#wls	flux	fluxerr
1.600000E+03	9.609016E-16	2.807823E-16
1.640000E+03	8.777493E-16	2.352761E-16
1.680000E+03	8.019453E-16	1.957296E-16
1.720000E+03	7.331370E-16	1.615485E-16
1.760000E+03	6.713600E-16	1.322484E-16
1.800000E+03	6.165356E-16	1.073281E-16
1.840000E+03	5.682890E-16	8.626359E-17
1.880000E+03	5.266269E-16	6.864120E-17
1.920000E+03	4.909999E-16	5.403547E-17
1.960000E+03	4.612343E-16	4.218520E-17
2.000000E+03	4.369498E-16	3.297000E-17
2.040000E+03	4.179232E-16	2.650282E-17
2.080000E+03	4.037223E-16	2.300112E-17
2.120000E+03	3.941424E-16	2.229907E-17
2.160000E+03	3.891134E-16	2.344898E-17
2.200000E+03	3.883508E-16	2.541909E-17
2.240000E+03	3.919320E-16	2.759714E-17
2.280000E+03	3.996273E-16	2.965696E-17
2.320000E+03	4.114034E-16	3.140098E-17
2.360000E+03	4.273409E-16	3.266009E-17
2.400000E+03	4.472970E-16	3.325276E-17
2.440000E+03	4.713348E-16	3.303749E-17
2.480000E+03	4.990313E-16	3.192376E-17
2.520000E+03	5.301474E-16	3.006231E-17
2.560000E+03	5.638863E-16	2.808050E-17
2.600000E+03	5.993583E-16	2.747914E-17
2.640000E+03	6.354272E-16	3.024257E-17
2.680000E+03	6.711886E-16	3.687958E-17
2.720000E+03	7.065126E-16	4.623946E-17
2.760000E+03	7.411089E-16	5.700635E-17
2.800000E+03	7.748946E-16	6.821789E-17
2.840000E+03	8.076595E-16	7.916641E-17
2.880000E+03	8.392947E-16	8.930849E-17
2.920000E+03	8.698203E-16	9.821469E-17
2.960000E+03	8.996071E-16	1.055736E-16
3.000000E+03	9.293828E-16	1.111854E-16
3.010000E+03	9.368586E-16	1.122916E-16
3.020000E+03	9.443223E-16	1.132696E-16
3.030000E+03	9.518911E-16	1.141306E-16
3.040000E+03	9.595754E-16	1.148730E-16
3.050000E+03	9.673861E-16	1.154956E-16
3.060000E+03	9.752257E-16	1.159842E-16
3.070000E+03	9.832136E-16	1.163507E-16
3.080000E+03	9.912524E-16	1.165813E-16
3.090000E+03	9.995712E-16	1.167009E-16
3.100000E+03	1.007964E-15	1.166832E-16
3.110000E+03	1.016661E-15	1.165529E-16
3.120000E+03	1.025455E-15	1.162844E-16
3.130000E+03	1.034578E-15	1.159020E-16
3.140000E+03	1.043822E-15	1.153807E-16
3.150000E+03	1.053419E-15	1.147446E-16
3.160000E+03	1.063381E-15	1.139929E-16
3.170000E+03	1.073498E-15	1.131016E-16
3.180000E+03	1.084003E-15	1.120940E-16
3.190000E+03	1.094907E-15	1.109694E-16
3.200000E+03	1.106110E-15	1.097163E-16
3.210000E+03	1.117731E-15	1.083456E-16
3.220000E+03	1.129781E-15	1.068570E-16
3.230000E+03	1.142268E-15	1.052502E-16
3.240000E+03	1.155197E-15	1.035252E-16
3.250000E+03	1.168687E-15	1.016922E-16
3.260000E+03	1.182516E-15	9.973172E-17
3.270000E+03	1.196911E-15	9.766431E-17
3.280000E+03	1.211873E-15	9.549083E-17
3.290000E+03	1.227399E-15	9.321286E-17
3.300000E+03	1.243482E-15	9.083286E-17
3.310000E+03	1.259998E-15	8.834636E-17
3.320000E+03	1.277164E-15	8.577520E-17
3.330000E+03	1.294963E-15	8.312553E-17
3.340000E+03	1.313258E-15	8.039857E-17
3.350000E+03	1.332137E-15	7.761357E-17
3.360000E+03	1.351689E-15	7.479204E-17
3.370000E+03	1.371635E-15	7.193974E-17
3.380000E+03	1.392172E-15	6.909405E-17
3.390000E+03	1.413249E-15	6.628475E-17
3.400000E+03	1.434810E-15	6.354884E-17
3.410000E+03	1.456793E-15	6.093137E-17
3.420000E+03	1.479251E-15	5.849061E-17
3.430000E+03	1.501989E-15	5.628268E-17
3.440000E+03	1.525175E-15	5.438379E-17
3.450000E+03	1.548605E-15	5.285802E-17
3.460000E+03	1.572200E-15	5.176951E-17
3.470000E+03	1.596004E-15	5.117213E-17
3.480000E+03	1.619951E-15	5.108863E-17
3.490000E+03	1.644121E-15	5.150504E-17
3.500000E+03	1.668364E-15	5.236767E-17
3.510000E+03	1.692782E-15	5.361090E-17
3.520000E+03	1.717357E-15	5.515569E-17
3.530000E+03	1.742195E-15	5.692588E-17
3.540000E+03	1.767157E-15	5.884205E-17
3.550000E+03	1.792344E-15	6.084073E-17
3.560000E+03	1.817616E-15	6.285959E-17
3.570000E+03	1.843193E-15	6.485823E-17
3.580000E+03	1.868931E-15	6.679250E-17
3.590000E+03	1.894928E-15	6.863461E-17
3.600000E+03	1.921042E-15	7.035491E-17
3.610000E+03	1.947255E-15	7.193389E-17
3.620000E+03	1.973795E-15	7.336594E-17
3.630000E+03	2.000419E-15	7.463206E-17
3.640000E+03	2.027255E-15	7.573026E-17
3.650000E+03	2.054214E-15	7.665312E-17
3.660000E+03	2.081580E-15	7.740942E-17
3.670000E+03	2.109315E-15	7.799767E-17
3.680000E+03	2.137540E-15	7.842366E-17
3.690000E+03	2.166304E-15	7.869185E-17
3.700000E+03	2.196056E-15	7.882207E-17
3.710000E+03	2.226851E-15	7.882054E-17
3.720000E+03	2.259262E-15	7.871277E-17
3.730000E+03	2.293487E-15	7.851144E-17
3.740000E+03	2.330133E-15	7.824438E-17
3.750000E+03	2.369768E-15	7.793880E-17
3.760000E+03	2.412922E-15	7.762196E-17
3.770000E+03	2.460411E-15	7.733218E-17
3.779350E+03	1.383808E-15	1.556025E-16
3.782375E+03	1.364022E-15	1.546060E-16
3.785400E+03	1.350058E-15	1.538740E-16
3.788425E+03	1.351164E-15	1.537955E-16
3.791450E+03	1.348178E-15	1.535415E-16
3.794475E+03	1.356008E-15	1.537501E-16
3.797500E+03	1.362312E-15	1.538923E-16
3.800525E+03	1.380011E-15	1.545212E-16
3.803550E+03	1.409383E-15	1.556551E-16
3.806574E+03	1.432189E-15	1.536845E-16
3.809599E+03	1.452428E-15	1.527547E-16
3.812624E+03	1.484480E-15	1.544135E-16
3.815649E+03	1.533313E-15	1.536099E-16
3.818674E+03	1.593774E-15	1.578705E-16
3.821699E+03	1.659805E-15	1.540278E-16
3.824724E+03	1.725790E-15	1.575021E-16
3.827749E+03	1.802731E-15	1.658114E-16
3.830773E+03	1.885705E-15	1.705032E-16
3.833798E+03	1.969764E-15	1.715229E-16
3.836823E+03	2.072039E-15	1.765774E-16
3.839848E+03	2.163932E-15	1.820122E-16
3.842873E+03	2.264978E-15	1.880044E-16
3.845898E+03	2.370923E-15	1.949470E-16
3.848923E+03	2.478876E-15	2.003824E-16
3.851948E+03	2.593994E-15	2.018182E-16
3.854972E+03	2.712576E-15	2.206747E-16
3.857997E+03	2.836471E-15	2.331508E-16
3.861022E+03	2.960826E-15	2.471611E-16
3.864047E+03	3.067607E-15	2.586716E-16
3.867072E+03	3.182244E-15	2.678949E-16
3.870097E+03	3.299419E-15	2.712022E-16
3.873122E+03	3.414740E-15	2.726083E-16
3.876147E+03	3.524277E-15	2.802314E-16
3.879172E+03	3.628029E-15	2.858557E-16
3.882197E+03	3.729233E-15	3.048005E-16
3.885221E+03	3.831125E-15	3.095177E-16
3.888246E+03	3.927231E-15	3.358612E-16
3.891271E+03	4.024950E-15	3.559388E-16
3.894296E+03	4.116189E-15	3.602241E-16
3.897321E+03	4.202800E-15	3.607548E-16
3.900346E+03	4.293101E-15	3.644302E-16
3.903371E+03	4.385476E-15	3.620080E-16
3.906396E+03	4.470447E-15	3.580980E-16
3.909420E+03	4.561650E-15	3.601615E-16
3.912445E+03	4.655850E-15	3.660825E-16
3.915470E+03	4.748193E-15	3.730213E-16
3.918495E+03	4.839602E-15	3.808310E-16
3.921520E+03	4.927999E-15	3.814515E-16
3.924545E+03	5.010839E-15	3.852345E-16
3.927570E+03	5.093440E-15	3.863961E-16
