#wls	flux	fluxerr
1.600000E+03	6.359221E-16	1.971778E-16
1.640000E+03	5.972512E-16	1.706271E-16
1.680000E+03	5.616479E-16	1.468821E-16
1.720000E+03	5.291005E-16	1.257499E-16
1.760000E+03	4.997651E-16	1.070796E-16
1.800000E+03	4.734607E-16	9.065118E-17
1.840000E+03	4.501014E-16	7.629460E-17
1.880000E+03	4.296763E-16	6.388650E-17
1.920000E+03	4.120774E-16	5.333541E-17
1.960000E+03	3.972775E-16	4.463005E-17
2.000000E+03	3.851722E-16	3.783127E-17
2.040000E+03	3.755927E-16	3.305718E-17
2.080000E+03	3.685816E-16	3.039476E-17
2.120000E+03	3.640248E-16	2.964764E-17
2.160000E+03	3.618369E-16	3.024899E-17
2.200000E+03	3.618589E-16	3.153319E-17
2.240000E+03	3.641300E-16	3.298542E-17
2.280000E+03	3.685588E-16	3.424895E-17
2.320000E+03	3.749223E-16	3.508001E-17
2.360000E+03	3.833311E-16	3.534842E-17
2.400000E+03	3.934709E-16	3.494723E-17
2.440000E+03	4.054141E-16	3.387440E-17
2.480000E+03	4.188521E-16	3.220230E-17
2.520000E+03	4.336525E-16	3.020896E-17
2.560000E+03	4.495177E-16	2.847392E-17
2.600000E+03	4.663180E-16	2.796602E-17
2.640000E+03	4.840024E-16	2.969460E-17
2.680000E+03	5.022560E-16	3.385897E-17
2.720000E+03	5.210141E-16	3.983759E-17
2.760000E+03	5.403317E-16	4.685341E-17
2.800000E+03	5.601796E-16	5.427623E-17
2.840000E+03	5.808317E-16	6.167323E-17
2.880000E+03	6.024333E-16	6.871769E-17
2.920000E+03	6.252408E-16	7.516652E-17
2.960000E+03	6.496197E-16	8.083453E-17
3.000000E+03	6.758568E-16	8.555418E-17
3.010000E+03	6.827864E-16	8.657365E-17
3.020000E+03	6.898703E-16	8.752395E-17
3.030000E+03	6.970187E-16	8.839085E-17
3.040000E+03	7.044191E-16	8.919529E-17
3.050000E+03	7.119818E-16	8.992307E-17
3.060000E+03	7.197092E-16	9.057164E-17
