#wls	flux	fluxerr	mangling_mask
3.479000E+03	1.774696E-14	1.985084E-15	1.974187E+00
3.480470E+03	1.788959E-14	1.993996E-15	1.974307E+00
3.481940E+03	1.805040E-14	2.004235E-15	1.974426E+00
3.483410E+03	1.820413E-14	2.013948E-15	1.974546E+00
3.484880E+03	1.838453E-14	2.025618E-15	1.974665E+00
3.486350E+03	1.855566E-14	2.036604E-15	1.974784E+00
3.487820E+03	1.871813E-14	2.046945E-15	1.974903E+00
3.489290E+03	1.890926E-14	2.059397E-15	1.975022E+00
3.490760E+03	1.911759E-14	2.073120E-15	1.975141E+00
3.492230E+03	1.934629E-14	2.088356E-15	1.975260E+00
3.493700E+03	1.957916E-14	2.103908E-15	1.975378E+00
3.495170E+03	1.981028E-14	2.119335E-15	1.975497E+00
3.496640E+03	2.004261E-14	2.134856E-15	1.975615E+00
3.498110E+03	2.026114E-14	2.149347E-15	1.975733E+00
3.499580E+03	2.046784E-14	2.162950E-15	1.975851E+00
3.501050E+03	2.070421E-14	2.178770E-15	1.975969E+00
3.502520E+03	2.097024E-14	2.196817E-15	1.976087E+00
3.503990E+03	2.123235E-14	2.214574E-15	1.976205E+00
3.505460E+03	2.150041E-14	2.259264E-15	1.976323E+00
3.506930E+03	2.176851E-14	2.297965E-15	1.976440E+00
3.508400E+03	2.201687E-14	2.314329E-15	1.976557E+00
3.509870E+03	2.228305E-14	2.334607E-15	1.976675E+00
3.511340E+03	2.257694E-14	2.353541E-15	1.976792E+00
3.512810E+03	2.287283E-14	2.375282E-15	1.976909E+00
3.514280E+03	2.318260E-14	2.382205E-15	1.977026E+00
3.515750E+03	2.350624E-14	2.425280E-15	1.977142E+00
3.517220E+03	2.381411E-14	2.443804E-15	1.977259E+00
3.518690E+03	2.412002E-14	2.446047E-15	1.977375E+00
3.520160E+03	2.443982E-14	2.456184E-15	1.977492E+00
3.521630E+03	2.476163E-14	2.499424E-15	1.977608E+00
3.523100E+03	2.509929E-14	2.544154E-15	1.977724E+00
3.524570E+03	2.543897E-14	2.610379E-15	1.977840E+00
3.526040E+03	2.577869E-14	2.633425E-15	1.977956E+00
3.527510E+03	2.613428E-14	2.647631E-15	1.978071E+00
3.528980E+03	2.648990E-14	2.656767E-15	1.978187E+00
3.530450E+03	2.684160E-14	2.671040E-15	1.978302E+00
3.531920E+03	2.721907E-14	2.711469E-15	1.978417E+00
3.533390E+03	2.759261E-14	2.749618E-15	1.978532E+00
3.534860E+03	2.794839E-14	2.778952E-15	1.978647E+00
3.536330E+03	2.830619E-14	2.804812E-15	1.978762E+00
3.537800E+03	2.868778E-14	2.831515E-15	1.978877E+00
3.539270E+03	2.909117E-14	2.863971E-15	1.978991E+00
3.540740E+03	2.948274E-14	2.875502E-15	1.979106E+00
3.542210E+03	2.984862E-14	2.895255E-15	1.979220E+00
3.543680E+03	3.022245E-14	2.922438E-15	1.979334E+00
3.545150E+03	3.059633E-14	2.958129E-15	1.979448E+00
3.546620E+03	3.095639E-14	2.984870E-15	1.979562E+00
3.548090E+03	3.132639E-14	3.006542E-15	1.979676E+00
3.549560E+03	3.169643E-14	3.012925E-15	1.979789E+00
3.551030E+03	3.203087E-14	3.004525E-15	1.979903E+00
3.552500E+03	3.235346E-14	3.002651E-15	1.980016E+00
3.553970E+03	3.265629E-14	3.015937E-15	1.980129E+00
3.555440E+03	3.296113E-14	3.003694E-15	1.980242E+00
3.556910E+03	3.325808E-14	2.996847E-15	1.980355E+00
3.558380E+03	3.353525E-14	3.028441E-15	1.980467E+00
3.559850E+03	3.381246E-14	3.040832E-15	1.980580E+00
3.561320E+03	3.408177E-14	3.086601E-15	1.980692E+00
3.562790E+03	3.431150E-14	3.109968E-15	1.980804E+00
3.564260E+03	3.452737E-14	3.118296E-15	1.980917E+00
3.565730E+03	3.471356E-14	3.104492E-15	1.981028E+00
3.567200E+03	3.490373E-14	3.148302E-15	1.981140E+00
3.568670E+03	3.506816E-14	3.225327E-15	1.981252E+00
3.570140E+03	3.519297E-14	3.302876E-15	1.981363E+00
3.571610E+03	3.530789E-14	3.346515E-15	1.981474E+00
3.573080E+03	3.540301E-14	3.376694E-15	1.981586E+00
3.574550E+03	3.549615E-14	3.353852E-15	1.981697E+00
3.576020E+03	3.560119E-14	3.340587E-15	1.981807E+00
3.577490E+03	3.565867E-14	3.339701E-15	1.981918E+00
3.578960E+03	3.571021E-14	3.376311E-15	1.982028E+00
3.580430E+03	3.574193E-14	3.393207E-15	1.982139E+00
3.581900E+03	3.573202E-14	3.385345E-15	1.982249E+00
3.583370E+03	3.571814E-14	3.369971E-15	1.982359E+00
3.584840E+03	3.570228E-14	3.351378E-15	1.982469E+00
3.586310E+03	3.565667E-14	3.327991E-15	1.982578E+00
3.587780E+03	3.559916E-14	3.312894E-15	1.982688E+00
3.589250E+03	3.551190E-14	3.282626E-15	1.982797E+00
3.590720E+03	3.541471E-14	3.261863E-15	1.982906E+00
3.592190E+03	3.533535E-14	3.256835E-15	1.983015E+00
3.593660E+03	3.525797E-14	3.232278E-15	1.983124E+00
3.595130E+03	3.516470E-14	3.187696E-15	1.983233E+00
3.596600E+03	3.503573E-14	3.161694E-15	1.983341E+00
3.598070E+03	3.492657E-14	3.178047E-15	1.983450E+00
3.599540E+03	3.479359E-14	3.181610E-15	1.983558E+00
3.601010E+03	3.466654E-14	3.198535E-15	1.983666E+00
3.602480E+03	3.455734E-14	3.223901E-15	1.983774E+00
3.603950E+03	3.444415E-14	3.240256E-15	1.983881E+00
3.605420E+03	3.433491E-14	3.259668E-15	1.983989E+00
3.606890E+03	3.421970E-14	3.334742E-15	1.984096E+00
3.608360E+03	3.409655E-14	3.360679E-15	1.984203E+00
3.609830E+03	3.398131E-14	3.399574E-15	1.984310E+00
3.611300E+03	3.387796E-14	3.504121E-15	1.984417E+00
3.612770E+03	3.381231E-14	3.618321E-15	1.984523E+00
3.614240E+03	3.374268E-14	3.671227E-15	1.984630E+00
3.615710E+03	3.367898E-14	3.681910E-15	1.984736E+00
3.617180E+03	3.364307E-14	3.685230E-15	1.984842E+00
3.618650E+03	3.365281E-14	3.705760E-15	1.984948E+00
3.620120E+03	3.367842E-14	3.684085E-15	1.985054E+00
3.621590E+03	3.374770E-14	3.647710E-15	1.985159E+00
3.623060E+03	3.380905E-14	3.620657E-15	1.985264E+00
3.624530E+03	3.389224E-14	3.600037E-15	1.985369E+00
3.626000E+03	3.398537E-14	3.596140E-15	1.985474E+00
3.627470E+03	3.411026E-14	3.585032E-15	1.985579E+00
3.628940E+03	3.426496E-14	3.516812E-15	1.985684E+00
3.630410E+03	3.441569E-14	3.462618E-15	1.985788E+00
3.631880E+03	3.460020E-14	3.391077E-15	1.985892E+00
3.633350E+03	3.483437E-14	3.326454E-15	1.985996E+00
3.634820E+03	3.505864E-14	3.320539E-15	1.986100E+00
3.636290E+03	3.531867E-14	3.313367E-15	1.986204E+00
3.637760E+03	3.561250E-14	3.284725E-15	1.986307E+00
3.639230E+03	3.591827E-14	3.253568E-15	1.986410E+00
3.640700E+03	3.621612E-14	3.217032E-15	1.986513E+00
3.642170E+03	3.656963E-14	3.152441E-15	1.986616E+00
3.643640E+03	3.693906E-14	3.181014E-15	1.986719E+00
3.645110E+03	3.729661E-14	3.231454E-15	1.986821E+00
3.646580E+03	3.769989E-14	3.251350E-15	1.986924E+00
3.648050E+03	3.812506E-14	3.293810E-15	1.987026E+00
3.649520E+03	3.854232E-14	3.330047E-15	1.987127E+00
3.650990E+03	3.896161E-14	3.403117E-15	1.987229E+00
3.652460E+03	3.939485E-14	3.578890E-15	1.987331E+00
3.653930E+03	3.981820E-14	3.666516E-15	1.987432E+00
3.655400E+03	4.024158E-14	3.781251E-15	1.987533E+00
3.656870E+03	4.067494E-14	3.873262E-15	1.987634E+00
3.658340E+03	4.111032E-14	3.955539E-15	1.987734E+00
3.659810E+03	4.152587E-14	4.060021E-15	1.987835E+00
3.661280E+03	4.192952E-14	4.187158E-15	1.987935E+00
3.662750E+03	4.232725E-14	4.267989E-15	1.988035E+00
3.664220E+03	4.272303E-14	4.398358E-15	1.988135E+00
