#wls	flux	fluxerr
1.586090E+03	2.203822E-03	1.949938E-04
1.625742E+03	1.737791E-03	1.525280E-04
1.665394E+03	1.355694E-03	1.180184E-04
1.705047E+03	1.045898E-03	9.029013E-05
1.744699E+03	7.976807E-04	6.827628E-05
1.784351E+03	6.012585E-04	5.101739E-05
1.824003E+03	4.476570E-04	3.764824E-05
1.863656E+03	3.292414E-04	2.743987E-05
1.903308E+03	2.392845E-04	1.975952E-05
1.942960E+03	1.720970E-04	1.407847E-05
1.982612E+03	1.229402E-04	9.961441E-06
2.022265E+03	8.791306E-05	7.054314E-06
2.061917E+03	6.377509E-05	5.067018E-06
2.101569E+03	4.776244E-05	3.756780E-06
2.141221E+03	3.752780E-05	2.921721E-06
2.180874E+03	3.149761E-05	2.426887E-06
2.220526E+03	2.877432E-05	2.193786E-06
2.260178E+03	2.900198E-05	2.187594E-06
2.299830E+03	3.235099E-05	2.413853E-06
2.339483E+03	3.963040E-05	2.924638E-06
2.379135E+03	5.251206E-05	3.832319E-06
2.418787E+03	7.383089E-05	5.327713E-06
2.458439E+03	1.078990E-04	7.697753E-06
2.498092E+03	1.606178E-04	1.132742E-05
2.537744E+03	2.392776E-04	1.667933E-05
2.577396E+03	3.521602E-04	2.426067E-05
2.617048E+03	5.083907E-04	3.460905E-05
2.656701E+03	7.149707E-04	4.808957E-05
2.696353E+03	9.742915E-04	6.473820E-05
2.736005E+03	1.285724E-03	8.438479E-05
2.775657E+03	1.646627E-03	1.067308E-04
2.815310E+03	2.052252E-03	1.313513E-04
2.854962E+03	2.494244E-03	1.576090E-04
2.894614E+03	2.959667E-03	1.846078E-04
2.934266E+03	3.431838E-03	2.112635E-04
2.973919E+03	3.891225E-03	2.363735E-04
2.983832E+03	4.001871E-03	2.422798E-04
2.993745E+03	4.110154E-03	2.479986E-04
3.003658E+03	4.215793E-03	2.535142E-04
3.013571E+03	4.318712E-03	2.588240E-04
3.023484E+03	4.418582E-03	2.639099E-04
3.033397E+03	4.515175E-03	2.687601E-04
3.043310E+03	4.608394E-03	2.733710E-04
3.053223E+03	4.697962E-03	2.777283E-04
3.063136E+03	4.783722E-03	2.818250E-04
3.073049E+03	4.865735E-03	2.856670E-04
3.082962E+03	4.943688E-03	2.892384E-04
3.092875E+03	5.017583E-03	2.925418E-04
3.102789E+03	5.087231E-03	2.955686E-04
3.112702E+03	5.152856E-03	2.983346E-04
3.122615E+03	5.214084E-03	3.008206E-04
3.132528E+03	5.270948E-03	3.030312E-04
3.142441E+03	5.323472E-03	3.049705E-04
3.152354E+03	5.371571E-03	3.066364E-04
3.162267E+03	5.414949E-03	3.080148E-04
3.172180E+03	5.453794E-03	3.091192E-04
3.182093E+03	5.487759E-03	3.099328E-04
3.192006E+03	5.516780E-03	3.104552E-04
3.201919E+03	5.540569E-03	3.106730E-04
