#wls	flux	fluxerr
1.586090E+03	6.657073E-03	2.963675E-04
1.625742E+03	5.592750E-03	2.487599E-04
1.665394E+03	4.693841E-03	2.085839E-04
1.705047E+03	3.937947E-03	1.748271E-04
1.744699E+03	3.306219E-03	1.466378E-04
1.784351E+03	2.780669E-03	1.232049E-04
1.824003E+03	2.345758E-03	1.038280E-04
1.863656E+03	1.986878E-03	8.785035E-05
1.903308E+03	1.692291E-03	7.474395E-05
1.942960E+03	1.451579E-03	6.404102E-05
1.982612E+03	1.256275E-03	5.536131E-05
2.022265E+03	1.099128E-03	4.837947E-05
2.061917E+03	9.741154E-04	4.282539E-05
2.101569E+03	8.770221E-04	3.850935E-05
2.141221E+03	8.040640E-04	3.526121E-05
2.180874E+03	7.526641E-04	3.296438E-05
2.220526E+03	7.206513E-04	3.152040E-05
2.260178E+03	7.068688E-04	3.087547E-05
2.299830E+03	7.101438E-04	3.097523E-05
2.339483E+03	7.302986E-04	3.180878E-05
2.379135E+03	7.671745E-04	3.336597E-05
2.418787E+03	8.210671E-04	3.565624E-05
2.458439E+03	8.926360E-04	3.870459E-05
2.498092E+03	9.824882E-04	4.253344E-05
2.537744E+03	1.091156E-03	4.716160E-05
2.577396E+03	1.218963E-03	5.259853E-05
2.617048E+03	1.365929E-03	5.884040E-05
2.656701E+03	1.531996E-03	6.587981E-05
2.696353E+03	1.716653E-03	7.368960E-05
2.736005E+03	1.919212E-03	8.223523E-05
2.775657E+03	2.139620E-03	9.150916E-05
2.815310E+03	2.377470E-03	1.014886E-04
2.854962E+03	2.632669E-03	1.121641E-04
2.894614E+03	2.906829E-03	1.235985E-04
2.934266E+03	3.201606E-03	1.358560E-04
2.973919E+03	3.519931E-03	1.490535E-04
2.983832E+03	3.603709E-03	1.525207E-04
2.993745E+03	3.689224E-03	1.560573E-04
3.003658E+03	3.776529E-03	1.596653E-04
3.013571E+03	3.865685E-03	1.633472E-04
3.023484E+03	3.956750E-03	1.671052E-04
3.033397E+03	4.050322E-03	1.709645E-04
3.043310E+03	4.145948E-03	1.749056E-04
3.053223E+03	4.243699E-03	1.789315E-04
3.063136E+03	4.344199E-03	1.830683E-04
3.073049E+03	4.446983E-03	1.872961E-04
3.082962E+03	4.552697E-03	1.916419E-04
3.092875E+03	4.660858E-03	1.960853E-04
3.102789E+03	4.772138E-03	2.006541E-04
3.112702E+03	4.886638E-03	2.053525E-04
3.122615E+03	5.003856E-03	2.101589E-04
3.132528E+03	5.125108E-03	2.151286E-04
3.142441E+03	5.249271E-03	2.202140E-04
3.152354E+03	5.377063E-03	2.254450E-04
3.162267E+03	5.508589E-03	2.308256E-04
3.172180E+03	5.643958E-03	2.363601E-04
3.182093E+03	5.783942E-03	2.420805E-04
3.192006E+03	5.927996E-03	2.479637E-04
3.201919E+03	6.076221E-03	2.540134E-04
3.211832E+03	6.228716E-03	2.602335E-04
3.221745E+03	6.386289E-03	2.666573E-04
3.231658E+03	6.549061E-03	2.732894E-04
3.241571E+03	6.716421E-03	2.801040E-04
3.251484E+03	6.889193E-03	2.871349E-04
3.261398E+03	7.067488E-03	2.943863E-04
3.271311E+03	7.251408E-03	3.018620E-04
3.281224E+03	7.441047E-03	3.095654E-04
3.291137E+03	7.636496E-03	3.174997E-04
3.301050E+03	7.838630E-03	3.257009E-04
