#wls	flux	fluxerr
1.586090E+03	4.552342E-02	1.996213E-03
1.625742E+03	3.894070E-02	1.659043E-03
1.665394E+03	3.299833E-02	1.364085E-03
1.705047E+03	2.768175E-02	1.108719E-03
1.744699E+03	2.297259E-02	8.901598E-04
1.784351E+03	1.884712E-02	7.054270E-04
1.824003E+03	1.526974E-02	5.511558E-04
1.863656E+03	1.220914E-02	4.242476E-04
1.903308E+03	9.626541E-03	3.214566E-04
1.942960E+03	7.482453E-03	2.396709E-04
1.982612E+03	5.737219E-03	1.759443E-04
2.022265E+03	4.352977E-03	1.275669E-04
2.061917E+03	3.294005E-03	9.207395E-05
2.101569E+03	2.529462E-03	6.731548E-05
2.141221E+03	2.014911E-03	5.096747E-05
2.180874E+03	1.712547E-03	4.111626E-05
2.220526E+03	1.594512E-03	3.629824E-05
2.260178E+03	1.656715E-03	3.574332E-05
2.299830E+03	1.929011E-03	3.945736E-05
2.339483E+03	2.492743E-03	4.841195E-05
2.379135E+03	3.507176E-03	6.485852E-05
2.418787E+03	5.237026E-03	9.264690E-05
2.458439E+03	8.063325E-03	1.373393E-04
2.498092E+03	1.241913E-02	2.053199E-04
2.537744E+03	1.858183E-02	3.010310E-04
2.577396E+03	2.633547E-02	4.220950E-04
2.617048E+03	3.484702E-02	5.572324E-04
2.656701E+03	4.330963E-02	6.956965E-04
2.672178E+03	1.654935E-02	2.667005E-04
2.675456E+03	1.742827E-02	2.810827E-04
2.678738E+03	1.868431E-02	3.015831E-04
2.682023E+03	2.000234E-02	3.231270E-04
2.685310E+03	2.116858E-02	3.422624E-04
2.688601E+03	2.239826E-02	3.624669E-04
2.691894E+03	2.329064E-02	3.772538E-04
2.695190E+03	2.416140E-02	3.917270E-04
2.698489E+03	2.507044E-02	4.068585E-04
2.701792E+03	2.570727E-02	4.176070E-04
2.705097E+03	2.643475E-02	4.298602E-04
2.708404E+03	2.719915E-02	4.427486E-04
2.711716E+03	2.793523E-02	4.552117E-04
2.715029E+03	2.863315E-02	4.670875E-04
2.718346E+03	2.907958E-02	4.748910E-04
2.721666E+03	2.964006E-02	4.845846E-04
2.724988E+03	3.064307E-02	5.015512E-04
2.728314E+03	3.155633E-02	5.170942E-04
2.731642E+03	3.177048E-02	5.212117E-04
2.734972E+03	3.173364E-02	5.212237E-04
2.738306E+03	3.209743E-02	5.278312E-04
2.741643E+03	3.245887E-02	5.344228E-04
2.744983E+03	3.256810E-02	5.368791E-04
2.748324E+03	3.299775E-02	5.446357E-04
2.751670E+03	3.344128E-02	5.526472E-04
2.755017E+03	3.372546E-02	5.580471E-04
2.758368E+03	3.447267E-02	5.711371E-04
2.761722E+03	3.587272E-02	5.950954E-04
2.765078E+03	3.736288E-02	6.206167E-04
2.768437E+03	3.843946E-02	6.393294E-04
2.771798E+03	3.933741E-02	6.551201E-04
