#wls	flux	fluxerr
1.586090E+03	6.805026E-04	1.757470E-04
1.625742E+03	6.819006E-04	1.761065E-04
1.665394E+03	6.842054E-04	1.767002E-04
1.705047E+03	6.870908E-04	1.774438E-04
1.744699E+03	6.908322E-04	1.784084E-04
1.784351E+03	6.953464E-04	1.795725E-04
1.824003E+03	7.007943E-04	1.809778E-04
1.863656E+03	7.070961E-04	1.826034E-04
1.903308E+03	7.144191E-04	1.844927E-04
1.942960E+03	7.226879E-04	1.866262E-04
1.982612E+03	7.320775E-04	1.890490E-04
2.022265E+03	7.425166E-04	1.917428E-04
2.061917E+03	7.540607E-04	1.947218E-04
2.101569E+03	7.670319E-04	1.980692E-04
2.141221E+03	7.811045E-04	2.017009E-04
2.180874E+03	7.967467E-04	2.057378E-04
2.220526E+03	8.136294E-04	2.100949E-04
2.260178E+03	8.322449E-04	2.148993E-04
2.299830E+03	8.524029E-04	2.201018E-04
2.339483E+03	8.741903E-04	2.257249E-04
2.379135E+03	8.980010E-04	2.318702E-04
2.418787E+03	9.234895E-04	2.384486E-04
2.458439E+03	9.512245E-04	2.456067E-04
2.498092E+03	9.810137E-04	2.532951E-04
2.537744E+03	1.013140E-03	2.615867E-04
2.577396E+03	1.047567E-03	2.704720E-04
2.617048E+03	1.084601E-03	2.800299E-04
2.656701E+03	1.124390E-03	2.902990E-04
2.696353E+03	1.166902E-03	3.012706E-04
2.736005E+03	1.212477E-03	3.130328E-04
2.775657E+03	1.261286E-03	3.256293E-04
2.815310E+03	1.313291E-03	3.390508E-04
2.854962E+03	1.368870E-03	3.533945E-04
2.894614E+03	1.427979E-03	3.686490E-04
2.934266E+03	1.491256E-03	3.849788E-04
2.973919E+03	1.558424E-03	4.023125E-04
2.983832E+03	1.575842E-03	4.068077E-04
2.993745E+03	1.593517E-03	4.113688E-04
3.003658E+03	1.611450E-03	4.159966E-04
3.013571E+03	1.629644E-03	4.206918E-04
3.023484E+03	1.648100E-03	4.254547E-04
3.033397E+03	1.667086E-03	4.303542E-04
3.043310E+03	1.686080E-03	4.352558E-04
3.053223E+03	1.705343E-03	4.402266E-04
3.063136E+03	1.725151E-03	4.453382E-04
3.073049E+03	1.744965E-03	4.504515E-04
3.082962E+03	1.765334E-03	4.557079E-04
3.092875E+03	1.785708E-03	4.609654E-04
3.102789E+03	1.806648E-03	4.663690E-04
3.112702E+03	1.827591E-03	4.717734E-04
3.122615E+03	1.849109E-03	4.773260E-04
3.132528E+03	1.870921E-03	4.829549E-04
3.142441E+03	1.892736E-03	4.885841E-04
3.152354E+03	1.915142E-03	4.943659E-04
3.162267E+03	1.937846E-03	5.002247E-04
3.172180E+03	1.960855E-03	5.061619E-04
3.182093E+03	1.983860E-03	5.120983E-04
3.192006E+03	2.007476E-03	5.181923E-04
3.201919E+03	2.031399E-03	5.243656E-04
3.211832E+03	2.055632E-03	5.306186E-04
3.221745E+03	2.080176E-03	5.369521E-04
3.231658E+03	2.105035E-03	5.433667E-04
3.241571E+03	2.130208E-03	5.498622E-04
3.251484E+03	2.155696E-03	5.564391E-04
3.261398E+03	2.181502E-03	5.630979E-04
