#wls	flux	fluxerr
1.586090E+03	4.575804E-16	6.091999E-17
1.625742E+03	3.701426E-16	4.879135E-17
1.665394E+03	2.981610E-16	3.891125E-17
1.705047E+03	2.393228E-16	3.091966E-17
1.744699E+03	1.916627E-16	2.451310E-17
1.784351E+03	1.533573E-16	1.941633E-17
1.824003E+03	1.227322E-16	1.538238E-17
1.863656E+03	9.843226E-17	1.221281E-17
1.903308E+03	7.920223E-17	9.728580E-18
1.942960E+03	6.406827E-17	7.791496E-18
1.982612E+03	5.220414E-17	6.286260E-18
2.022265E+03	4.296939E-17	5.124036E-18
2.061917E+03	3.584483E-17	4.233640E-18
2.101569E+03	3.048231E-17	3.566579E-18
2.141221E+03	2.667330E-17	3.092382E-18
2.180874E+03	2.422959E-17	2.784064E-18
2.220526E+03	2.301868E-17	2.622003E-18
2.260178E+03	2.294298E-17	2.591323E-18
2.299830E+03	2.394670E-17	2.682417E-18
2.339483E+03	2.602670E-17	2.891912E-18
2.379135E+03	2.924391E-17	3.223650E-18
2.418787E+03	3.373534E-17	3.689688E-18
2.458439E+03	3.963964E-17	4.301860E-18
2.498092E+03	4.710347E-17	5.072419E-18
2.537744E+03	5.617432E-17	6.002511E-18
2.577396E+03	6.677956E-17	7.080313E-18
2.617048E+03	7.867956E-17	8.276540E-18
2.656701E+03	9.153578E-17	9.552206E-18
2.696353E+03	1.050433E-16	1.087273E-17
2.736005E+03	1.188571E-16	1.220024E-17
2.775657E+03	1.326738E-16	1.350208E-17
2.815310E+03	1.462073E-16	1.474825E-17
2.854962E+03	1.592440E-16	1.591691E-17
2.894614E+03	1.716625E-16	1.699605E-17
2.934266E+03	1.834839E-16	1.798810E-17
2.973919E+03	1.948767E-16	1.890972E-17
2.983832E+03	1.976733E-16	1.913058E-17
2.993745E+03	2.004470E-16	1.934740E-17
3.003658E+03	2.032246E-16	1.956275E-17
3.013571E+03	2.060106E-16	1.977702E-17
3.023484E+03	2.088096E-16	1.999063E-17
3.033397E+03	2.116045E-16	2.020192E-17
3.043310E+03	2.144200E-16	2.041322E-17
3.053223E+03	2.172449E-16	2.062342E-17
3.063136E+03	2.201314E-16	2.083744E-17
3.073049E+03	2.230365E-16	2.105112E-17
3.082962E+03	2.260132E-16	2.126943E-17
3.092875E+03	2.290179E-16	2.148820E-17
3.102789E+03	2.321047E-16	2.171242E-17
3.112702E+03	2.352293E-16	2.193788E-17
3.122615E+03	2.384466E-16	2.216961E-17
3.132528E+03	2.417621E-16	2.240802E-17
3.142441E+03	2.451307E-16	2.264884E-17
3.152354E+03	2.486082E-16	2.289711E-17
3.162267E+03	2.521999E-16	2.315321E-17
3.172180E+03	2.558854E-16	2.341514E-17
3.182093E+03	2.596955E-16	2.368559E-17
3.192006E+03	2.636353E-16	2.396488E-17
3.201919E+03	2.677099E-16	2.425330E-17
3.211832E+03	2.719237E-16	2.455113E-17
3.221745E+03	2.763082E-16	2.486100E-17
3.231658E+03	2.808137E-16	2.517830E-17
3.241571E+03	2.854982E-16	2.550802E-17
3.251484E+03	2.903657E-16	2.585032E-17
3.261398E+03	2.954196E-16	2.620528E-17
3.271311E+03	3.006632E-16	2.657299E-17
3.281224E+03	3.060707E-16	2.695091E-17
3.291137E+03	3.117006E-16	2.734399E-17
3.301050E+03	3.175550E-16	2.775214E-17
3.310963E+03	3.236063E-16	2.817268E-17
3.320876E+03	3.298841E-16	2.860791E-17
3.330789E+03	3.364181E-16	2.906013E-17
3.340702E+03	3.431487E-16	2.952388E-17
3.350615E+03	3.501340E-16	3.000390E-17
3.360528E+03	3.573730E-16	3.049975E-17
3.370441E+03	3.648634E-16	3.101092E-17
3.380354E+03	3.726027E-16	3.153688E-17
3.390267E+03	3.806188E-16	3.207962E-17
3.400180E+03	3.888770E-16	3.263589E-17
3.410093E+03	3.974367E-16	3.321032E-17
3.420007E+03	4.062629E-16	3.379958E-17
3.429920E+03	4.153524E-16	3.440304E-17
