#wls	flux	fluxerr
1.586090E+03	2.933968E-16	1.665301E-17
1.625742E+03	2.413383E-16	1.353701E-17
1.665394E+03	1.977918E-16	1.096239E-17
1.705047E+03	1.616972E-16	8.854134E-18
1.744699E+03	1.320019E-16	7.140373E-18
1.784351E+03	1.077477E-16	5.757088E-18
1.824003E+03	8.802789E-17	4.645494E-18
1.863656E+03	7.209902E-17	3.757747E-18
1.903308E+03	5.927129E-17	3.050751E-18
1.942960E+03	4.899753E-17	2.490501E-18
1.982612E+03	4.080142E-17	2.048016E-18
2.022265E+03	3.430222E-17	1.700322E-18
2.061917E+03	2.921195E-17	1.430001E-18
2.101569E+03	2.532889E-17	1.224577E-18
2.141221E+03	2.255875E-17	1.077257E-18
2.180874E+03	2.082037E-17	9.821547E-19
2.220526E+03	2.003643E-17	9.338252E-19
2.260178E+03	2.019340E-17	9.300130E-19
2.299830E+03	2.125903E-17	9.677194E-19
2.339483E+03	2.324827E-17	1.046195E-18
2.379135E+03	2.623513E-17	1.167356E-18
2.418787E+03	3.034392E-17	1.335252E-18
2.458439E+03	3.574105E-17	1.555591E-18
2.498092E+03	4.256229E-17	1.832506E-18
2.537744E+03	5.092501E-17	2.169156E-18
2.577396E+03	6.084831E-17	2.564396E-18
2.617048E+03	7.222261E-17	3.011724E-18
2.656701E+03	8.489975E-17	3.503266E-18
2.696353E+03	9.866596E-17	4.028742E-18
2.736005E+03	1.132934E-16	4.577669E-18
2.775657E+03	1.285305E-16	5.138988E-18
2.815310E+03	1.441569E-16	5.703289E-18
2.854962E+03	1.600192E-16	6.264123E-18
2.894614E+03	1.759697E-16	6.815505E-18
2.934266E+03	1.920258E-16	7.358006E-18
2.973919E+03	2.083033E-16	7.895892E-18
2.983832E+03	2.124240E-16	8.030241E-18
2.993745E+03	2.165580E-16	8.164259E-18
3.003658E+03	2.207616E-16	8.300055E-18
3.013571E+03	2.249862E-16	8.435787E-18
3.023484E+03	2.292626E-16	8.572601E-18
3.033397E+03	2.335972E-16	8.710720E-18
3.043310E+03	2.379632E-16	8.849131E-18
3.053223E+03	2.424300E-16	8.990395E-18
3.063136E+03	2.469458E-16	9.132572E-18
3.073049E+03	2.515728E-16	9.277934E-18
3.082962E+03	2.562583E-16	9.424516E-18
3.092875E+03	2.610662E-16	9.574638E-18
3.102789E+03	2.659727E-16	9.727399E-18
3.112702E+03	2.709834E-16	9.882973E-18
3.122615E+03	2.761040E-16	1.004154E-17
3.132528E+03	2.813714E-16	1.020439E-17
3.142441E+03	2.867924E-16	1.037175E-17
3.152354E+03	2.923419E-16	1.054266E-17
3.162267E+03	2.980257E-16	1.071728E-17
3.172180E+03	3.039148E-16	1.089813E-17
3.182093E+03	3.099508E-16	1.108306E-17
3.192006E+03	3.161728E-16	1.127342E-17
3.201919E+03	3.225871E-16	1.146938E-17
3.211832E+03	3.292343E-16	1.167233E-17
3.221745E+03	3.360869E-16	1.188123E-17
3.231658E+03	3.431505E-16	1.209621E-17
3.241571E+03	3.504304E-16	1.231740E-17
3.251484E+03	3.580039E-16	1.254746E-17
3.261398E+03	3.658049E-16	1.278398E-17
3.271311E+03	3.738746E-16	1.302835E-17
3.281224E+03	3.822175E-16	1.328064E-17
3.291137E+03	3.908761E-16	1.354225E-17
3.301050E+03	3.998167E-16	1.381192E-17
3.310963E+03	4.090423E-16	1.408969E-17
3.320876E+03	4.185944E-16	1.437691E-17
3.330789E+03	4.284758E-16	1.467357E-17
3.340702E+03	4.387291E-16	1.498104E-17
3.350615E+03	4.492746E-16	1.529650E-17
