#wls	flux	fluxerr
1.600000E+03	5.764295E-16	3.199800E-17
1.640000E+03	4.763384E-16	2.620406E-17
1.680000E+03	3.898310E-16	2.124847E-17
1.720000E+03	3.157836E-16	1.705143E-17
1.760000E+03	2.530555E-16	1.353406E-17
1.800000E+03	2.004920E-16	1.061871E-17
1.840000E+03	1.568789E-16	8.226654E-18
1.880000E+03	1.211346E-16	6.288282E-18
1.920000E+03	9.219679E-17	4.737036E-18
1.960000E+03	6.910353E-17	3.513504E-18
2.000000E+03	5.100134E-17	2.565632E-18
2.040000E+03	3.716040E-17	1.849225E-18
2.080000E+03	2.696125E-17	1.327001E-18
2.120000E+03	1.981082E-17	9.642342E-19
2.160000E+03	1.507581E-17	7.255011E-19
2.200000E+03	1.222918E-17	5.817855E-19
2.240000E+03	1.090847E-17	5.129446E-19
2.280000E+03	1.096146E-17	5.093917E-19
2.320000E+03	1.246414E-17	5.723496E-19
2.360000E+03	1.581644E-17	7.175727E-19
2.400000E+03	2.191757E-17	9.823216E-19
2.440000E+03	3.236420E-17	1.432785E-18
2.480000E+03	4.964975E-17	2.170914E-18
2.520000E+03	7.716200E-17	3.331931E-18
2.560000E+03	1.186916E-16	5.061028E-18
2.600000E+03	1.773402E-16	7.466450E-18
2.640000E+03	2.547352E-16	1.058882E-17
2.680000E+03	3.501113E-16	1.436739E-17
2.720000E+03	4.610497E-16	1.867640E-17
2.760000E+03	5.856451E-16	2.341594E-17
2.800000E+03	7.228397E-16	2.852379E-17
2.840000E+03	8.717329E-16	3.394626E-17
2.880000E+03	1.030564E-15	3.959868E-17
2.920000E+03	1.195841E-15	4.533463E-17
2.960000E+03	1.362496E-15	5.095601E-17
3.000000E+03	1.524396E-15	5.623609E-17
3.010000E+03	1.563476E-15	5.747984E-17
3.020000E+03	1.601799E-15	5.868627E-17
3.030000E+03	1.639296E-15	5.985318E-17
3.040000E+03	1.675984E-15	6.098150E-17
3.050000E+03	1.711780E-15	6.206861E-17
3.060000E+03	1.746654E-15	6.311372E-17
3.070000E+03	1.780626E-15	6.411799E-17
3.080000E+03	1.813656E-15	6.508033E-17
3.090000E+03	1.845758E-15	6.600158E-17
3.100000E+03	1.877035E-15	6.688584E-17
3.110000E+03	1.907451E-15	6.773217E-17
3.120000E+03	1.937100E-15	6.854421E-17
3.130000E+03	1.966007E-15	6.932318E-17
3.140000E+03	1.994364E-15	7.007612E-17
3.150000E+03	2.022131E-15	7.080189E-17
3.160000E+03	2.049432E-15	7.150501E-17
3.170000E+03	2.076385E-15	7.218984E-17
3.180000E+03	2.103067E-15	7.285923E-17
