#wls	flux	fluxerr
1.600000E+03	3.477267E-16	1.729203E-17
1.640000E+03	2.956852E-16	1.468093E-17
1.680000E+03	2.513100E-16	1.245752E-17
1.720000E+03	2.137021E-16	1.057572E-17
1.760000E+03	1.819728E-16	8.990176E-18
1.800000E+03	1.553166E-16	7.659851E-18
1.840000E+03	1.330399E-16	6.549462E-18
1.880000E+03	1.144533E-16	5.624094E-18
1.920000E+03	9.907376E-17	4.859180E-18
1.960000E+03	8.639554E-17	4.229164E-18
2.000000E+03	7.601330E-17	3.713556E-18
2.040000E+03	6.758897E-17	3.295272E-18
2.080000E+03	6.085614E-17	2.960822E-18
2.120000E+03	5.558624E-17	2.698638E-18
2.160000E+03	5.159790E-17	2.499512E-18
2.200000E+03	4.875041E-17	2.356261E-18
2.240000E+03	4.694676E-17	2.263852E-18
2.280000E+03	4.610231E-17	2.217878E-18
2.320000E+03	4.618546E-17	2.216497E-18
2.360000E+03	4.715407E-17	2.257367E-18
2.400000E+03	4.902044E-17	2.340748E-18
2.440000E+03	5.178795E-17	2.466458E-18
2.480000E+03	5.549976E-17	2.636188E-18
2.520000E+03	6.016986E-17	2.850207E-18
2.560000E+03	6.585406E-17	3.110741E-18
2.600000E+03	7.258878E-17	3.419052E-18
2.640000E+03	8.040586E-17	3.776152E-18
2.680000E+03	8.934525E-17	4.183394E-18
2.720000E+03	9.943035E-17	4.641321E-18
2.760000E+03	1.107161E-16	5.151903E-18
2.800000E+03	1.232332E-16	5.715943E-18
2.840000E+03	1.370410E-16	6.335522E-18
2.880000E+03	1.522419E-16	7.014637E-18
2.920000E+03	1.689258E-16	7.756641E-18
2.960000E+03	1.872884E-16	8.569637E-18
3.000000E+03	2.075262E-16	9.461607E-18
3.010000E+03	2.129339E-16	9.699324E-18
3.020000E+03	2.184748E-16	9.942619E-18
3.030000E+03	2.241529E-16	1.019165E-17
3.040000E+03	2.299719E-16	1.044656E-17
3.050000E+03	2.359668E-16	1.070892E-17
3.060000E+03	2.421119E-16	1.097755E-17
3.070000E+03	2.484436E-16	1.125405E-17
3.080000E+03	2.549358E-16	1.153724E-17
3.090000E+03	2.616258E-16	1.182877E-17
3.100000E+03	2.685205E-16	1.212891E-17
3.110000E+03	2.755922E-16	1.243640E-17
3.120000E+03	2.828806E-16	1.275300E-17
3.130000E+03	2.903928E-16	1.307899E-17
3.140000E+03	2.980998E-16	1.341303E-17
3.150000E+03	3.060800E-16	1.375862E-17
3.160000E+03	3.143053E-16	1.411446E-17
3.170000E+03	3.227453E-16	1.447914E-17
3.180000E+03	3.314822E-16	1.485632E-17
3.190000E+03	3.404861E-16	1.524461E-17
3.200000E+03	3.498043E-16	1.564610E-17
3.210000E+03	3.593651E-16	1.605752E-17
3.220000E+03	3.692559E-16	1.648274E-17
3.230000E+03	3.794859E-16	1.692212E-17
3.240000E+03	3.900217E-16	1.737412E-17
3.250000E+03	4.009133E-16	1.784092E-17
3.260000E+03	4.121252E-16	1.832089E-17
3.270000E+03	4.237084E-16	1.881624E-17
3.280000E+03	4.357165E-16	1.932929E-17
3.290000E+03	4.480667E-16	1.985631E-17
3.300000E+03	4.608111E-16	2.039954E-17
3.310000E+03	4.739562E-16	2.095922E-17
3.320000E+03	4.875564E-16	2.153768E-17
3.330000E+03	5.015700E-16	2.213302E-17
3.340000E+03	5.160515E-16	2.274757E-17
3.350000E+03	5.309561E-16	2.337928E-17
3.360000E+03	5.462861E-16	2.402818E-17
3.370000E+03	5.621478E-16	2.469889E-17
3.380000E+03	5.784399E-16	2.538685E-17
3.390000E+03	5.952688E-16	2.609669E-17
3.400000E+03	6.125272E-16	2.682360E-17
3.410000E+03	6.303220E-16	2.757219E-17
3.420000E+03	6.485951E-16	2.833984E-17
3.430000E+03	6.673980E-16	2.912871E-17
3.440000E+03	6.866667E-16	2.993593E-17
3.450000E+03	7.064494E-16	3.076353E-17
3.460000E+03	7.267349E-16	3.161092E-17
3.470000E+03	7.475086E-16	3.247738E-17
3.480000E+03	7.687526E-16	3.336207E-17
3.490000E+03	7.905072E-16	3.426664E-17
3.500000E+03	8.126227E-16	3.518453E-17
3.510000E+03	8.352572E-16	3.612251E-17
3.520000E+03	8.582514E-16	3.707361E-17
3.530000E+03	8.816311E-16	3.803888E-17
3.540000E+03	9.053546E-16	3.901646E-17
3.550000E+03	9.293767E-16	4.000433E-17
3.560000E+03	9.536491E-16	4.100036E-17
3.570000E+03	9.781887E-16	4.200523E-17
3.580000E+03	1.002945E-15	4.301671E-17
3.590000E+03	1.027797E-15	4.402963E-17
3.600000E+03	1.052833E-15	4.504764E-17
3.610000E+03	1.077864E-15	4.606271E-17
3.620000E+03	1.102982E-15	4.707874E-17
3.630000E+03	1.128074E-15	4.809086E-17
3.640000E+03	1.153173E-15	4.910051E-17
3.650000E+03	1.178244E-15	5.010614E-17
3.660000E+03	1.203259E-15	5.110661E-17
3.670000E+03	1.228126E-15	5.209802E-17
3.680000E+03	1.253048E-15	5.308890E-17
3.690000E+03	1.277804E-15	5.406999E-17
3.700000E+03	1.302611E-15	5.505040E-17
3.710000E+03	1.327339E-15	5.602468E-17
3.720000E+03	1.352081E-15	5.699671E-17
3.730000E+03	1.376938E-15	5.797076E-17
3.740000E+03	1.401875E-15	5.894530E-17
3.750000E+03	1.426931E-15	5.992200E-17
3.760000E+03	1.452292E-15	6.090862E-17
3.770000E+03	1.477855E-15	6.190077E-17
3.780000E+03	1.503727E-15	6.290284E-17
3.790000E+03	1.529926E-15	6.391565E-17
3.800000E+03	1.556531E-15	6.494232E-17
3.810000E+03	1.583522E-15	6.598204E-17
3.820000E+03	1.610789E-15	6.703004E-17
3.830000E+03	1.638328E-15	6.808623E-17
3.840000E+03	1.666036E-15	6.914621E-17
3.850000E+03	1.693777E-15	7.020434E-17
3.860000E+03	1.721384E-15	7.125365E-17
3.870000E+03	1.748728E-15	7.228892E-17
3.880000E+03	1.775592E-15	7.330111E-17
3.890000E+03	1.801669E-15	7.427771E-17
3.900000E+03	1.826776E-15	7.521133E-17
3.910000E+03	1.850728E-15	7.609447E-17
3.920000E+03	1.873140E-15	7.691157E-17
3.930000E+03	1.893843E-15	7.765588E-17
3.940000E+03	1.912618E-15	7.831880E-17
3.950000E+03	1.929338E-15	7.889542E-17
3.960000E+03	1.943783E-15	7.937707E-17
3.970000E+03	1.955830E-15	7.975916E-17
3.980000E+03	1.965465E-15	8.004156E-17
3.990000E+03	1.972593E-15	8.022072E-17
4.000000E+03	1.977223E-15	8.029753E-17
4.010000E+03	1.979470E-15	8.027702E-17
4.020000E+03	1.979368E-15	8.016098E-17
4.030000E+03	1.977050E-15	7.995522E-17
4.040000E+03	1.972729E-15	7.966874E-17
4.050000E+03	1.966485E-15	7.930509E-17
4.060000E+03	1.958629E-15	7.887709E-17
4.070000E+03	1.949270E-15	7.838946E-17
4.080000E+03	1.938681E-15	7.785341E-17
4.090000E+03	1.927032E-15	7.727598E-17
4.100000E+03	1.914583E-15	7.666774E-17
4.110000E+03	1.901442E-15	7.603320E-17
4.120000E+03	1.887845E-15	7.538188E-17
4.130000E+03	1.873920E-15	7.471897E-17
4.140000E+03	1.859824E-15	7.405080E-17
4.150000E+03	1.845698E-15	7.338300E-17
4.160000E+03	1.831583E-15	7.271720E-17
4.170000E+03	1.817632E-15	7.205953E-17
4.180000E+03	1.803864E-15	7.141063E-17
4.190000E+03	1.790405E-15	7.077555E-17
4.200000E+03	1.777296E-15	7.015577E-17
4.210000E+03	1.764570E-15	6.955262E-17
4.220000E+03	1.752228E-15	6.896604E-17
4.230000E+03	1.740374E-15	6.840003E-17
4.240000E+03	1.729035E-15	6.785567E-17
4.250000E+03	1.718221E-15	6.733318E-17
4.260000E+03	1.707972E-15	6.683405E-17
4.270000E+03	1.698370E-15	6.636141E-17
4.280000E+03	1.689438E-15	6.591611E-17
4.290000E+03	1.681248E-15	6.550074E-17
4.300000E+03	1.673874E-15	6.511816E-17
4.310000E+03	1.667407E-15	6.477168E-17
4.320000E+03	1.661944E-15	6.446497E-17
4.330000E+03	1.657540E-15	6.420001E-17
4.340000E+03	1.654348E-15	6.398251E-17
4.350000E+03	1.652471E-15	6.381623E-17
4.360000E+03	1.652050E-15	6.370644E-17
4.370000E+03	1.653255E-15	6.365945E-17
4.380000E+03	1.656185E-15	6.367872E-17
4.390000E+03	1.661008E-15	6.377052E-17
4.400000E+03	1.667865E-15	6.393987E-17
4.410000E+03	1.676909E-15	6.419234E-17
4.420000E+03	1.688228E-15	6.453089E-17
4.430000E+03	1.701982E-15	6.496131E-17
4.440000E+03	1.718231E-15	6.548545E-17
4.450000E+03	1.737021E-15	6.610465E-17
4.460000E+03	1.758305E-15	6.681679E-17
4.470000E+03	1.782041E-15	6.761978E-17
4.480000E+03	1.808084E-15	6.850777E-17
4.490000E+03	1.836233E-15	6.947279E-17
4.500000E+03	1.866305E-15	7.050761E-17
4.510000E+03	1.898006E-15	7.160082E-17
4.520000E+03	1.930971E-15	7.273844E-17
4.530000E+03	1.964827E-15	7.390620E-17
4.540000E+03	1.999086E-15	7.508565E-17
4.550000E+03	2.033255E-15	7.625828E-17
4.560000E+03	2.066797E-15	7.740397E-17
4.570000E+03	2.099086E-15	7.849946E-17
4.580000E+03	2.129552E-15	7.952370E-17
4.590000E+03	2.157596E-15	8.045462E-17
4.600000E+03	2.182599E-15	8.126957E-17
4.610000E+03	2.204002E-15	8.194834E-17
4.620000E+03	2.221299E-15	8.247266E-17
4.630000E+03	2.234051E-15	8.282695E-17
4.640000E+03	2.241935E-15	8.299998E-17
