#wls	flux	fluxerr
1.600000E+03	8.649334E-15	2.165392E-15
1.640000E+03	7.183325E-15	1.635785E-15
1.680000E+03	5.899533E-15	1.210871E-15
1.720000E+03	4.788757E-15	8.764278E-16
1.760000E+03	3.839816E-15	6.186639E-16
1.800000E+03	3.039720E-15	4.245204E-16
1.840000E+03	2.373160E-15	2.818598E-16
1.880000E+03	1.825641E-15	1.800563E-16
1.920000E+03	1.382003E-15	1.098224E-16
1.960000E+03	1.027907E-15	6.337765E-17
2.000000E+03	7.502076E-16	3.439379E-17
2.040000E+03	5.374083E-16	1.789615E-17
2.080000E+03	3.795666E-16	9.937681E-18
2.120000E+03	2.679272E-16	6.735113E-18
2.160000E+03	1.939020E-16	5.127225E-18
2.200000E+03	1.487944E-16	4.058809E-18
2.240000E+03	1.254660E-16	3.509426E-18
2.280000E+03	1.196148E-16	3.614599E-18
2.320000E+03	1.295018E-16	4.410643E-18
2.360000E+03	1.566535E-16	5.931289E-18
2.400000E+03	2.069658E-16	8.319419E-18
2.440000E+03	2.912716E-16	1.172115E-17
2.480000E+03	4.255206E-16	1.603792E-17
2.520000E+03	6.287281E-16	2.058825E-17
2.560000E+03	9.165323E-16	2.423244E-17
2.600000E+03	1.289856E-15	2.804469E-17
2.640000E+03	1.727715E-15	4.058616E-17
2.680000E+03	2.196924E-15	6.728335E-17
2.720000E+03	2.671422E-15	1.036046E-16
2.760000E+03	3.139622E-15	1.445468E-16
2.800000E+03	3.599980E-15	1.867130E-16
2.840000E+03	4.052775E-15	2.279254E-16
2.880000E+03	4.493544E-15	2.666006E-16
2.920000E+03	4.910255E-15	3.012255E-16
2.960000E+03	5.286276E-15	3.302425E-16
3.000000E+03	5.604329E-15	3.521514E-16
3.010000E+03	5.673388E-15	3.563887E-16
3.020000E+03	5.737873E-15	3.600961E-16
3.030000E+03	5.797722E-15	3.632657E-16
3.040000E+03	5.853184E-15	3.659094E-16
3.050000E+03	5.904170E-15	3.680178E-16
3.060000E+03	5.950777E-15	3.695933E-16
3.070000E+03	5.993284E-15	3.706496E-16
3.080000E+03	6.031773E-15	3.711874E-16
3.090000E+03	6.066509E-15	3.712181E-16
3.100000E+03	6.098061E-15	3.707710E-16
3.110000E+03	6.126539E-15	3.698463E-16
3.120000E+03	6.152473E-15	3.684681E-16
3.130000E+03	6.176179E-15	3.666465E-16
