#wls	flux	fluxerr
1.600000E+03	9.006062E-16	2.588531E-16
1.640000E+03	7.351824E-16	1.952234E-16
1.680000E+03	5.982762E-16	1.458544E-16
1.720000E+03	4.855420E-16	1.079055E-16
1.760000E+03	3.936290E-16	7.910928E-17
1.800000E+03	3.191608E-16	5.748566E-17
1.840000E+03	2.591163E-16	4.140780E-17
1.880000E+03	2.109895E-16	2.958704E-17
1.920000E+03	1.726141E-16	2.099845E-17
1.960000E+03	1.421263E-16	1.484110E-17
2.000000E+03	1.180082E-16	1.050937E-17
2.040000E+03	9.899478E-17	7.549025E-18
2.080000E+03	8.407958E-17	5.622416E-18
2.120000E+03	7.256493E-17	4.455221E-18
2.160000E+03	6.402528E-17	3.790696E-18
2.200000E+03	5.817149E-17	3.450307E-18
2.240000E+03	5.477525E-17	3.343907E-18
2.280000E+03	5.375003E-17	3.445677E-18
2.320000E+03	5.493964E-17	3.730084E-18
2.360000E+03	5.825074E-17	4.172835E-18
2.400000E+03	6.371703E-17	4.766356E-18
2.440000E+03	7.145242E-17	5.513845E-18
2.480000E+03	8.162664E-17	6.429860E-18
2.520000E+03	9.435087E-17	7.541292E-18
2.560000E+03	1.096331E-16	8.900139E-18
2.600000E+03	1.272986E-16	1.059233E-17
2.640000E+03	1.469793E-16	1.272809E-17
2.680000E+03	1.681923E-16	1.536574E-17
2.720000E+03	1.904246E-16	1.847486E-17
2.760000E+03	2.131700E-16	2.196081E-17
2.800000E+03	2.359277E-16	2.567926E-17
2.840000E+03	2.583377E-16	2.946737E-17
2.880000E+03	2.800529E-16	3.314657E-17
2.920000E+03	3.010076E-16	3.656772E-17
2.960000E+03	3.212581E-16	3.960479E-17
3.000000E+03	3.410065E-16	4.216350E-17
3.010000E+03	3.458744E-16	4.271710E-17
3.020000E+03	3.507987E-16	4.324360E-17
3.030000E+03	3.556987E-16	4.373163E-17
3.040000E+03	3.606243E-16	4.418593E-17
3.050000E+03	3.655824E-16	4.460597E-17
3.060000E+03	3.705351E-16	4.498582E-17
3.070000E+03	3.755792E-16	4.533596E-17
3.080000E+03	3.806319E-16	4.564508E-17
3.090000E+03	3.857918E-16	4.592376E-17
3.100000E+03	3.910213E-16	4.616618E-17
3.110000E+03	3.962815E-16	4.636656E-17
3.120000E+03	4.016731E-16	4.653550E-17
3.130000E+03	4.071577E-16	4.666721E-17
3.140000E+03	4.127906E-16	4.676674E-17
3.150000E+03	4.185327E-16	4.682830E-17
3.160000E+03	4.243917E-16	4.685152E-17
3.170000E+03	4.304235E-16	4.684129E-17
3.180000E+03	4.365877E-16	4.679185E-17
3.190000E+03	4.429900E-16	4.671314E-17
3.200000E+03	4.495399E-16	4.659412E-17
3.210000E+03	4.562942E-16	4.643941E-17
3.220000E+03	4.632600E-16	4.624834E-17
3.230000E+03	4.704444E-16	4.602025E-17
3.240000E+03	4.778539E-16	4.575447E-17
3.250000E+03	4.854944E-16	4.545036E-17
3.260000E+03	4.934235E-16	4.511207E-17
3.270000E+03	5.016471E-16	4.473882E-17
3.280000E+03	5.101183E-16	4.432536E-17
3.290000E+03	5.188936E-16	4.387588E-17
3.300000E+03	5.279773E-16	4.338998E-17
3.310000E+03	5.373727E-16	4.286752E-17
3.320000E+03	5.470824E-16	4.230860E-17
3.330000E+03	5.571628E-16	4.171782E-17
3.340000E+03	5.675607E-16	4.109177E-17
3.350000E+03	5.783316E-16	4.043579E-17
3.360000E+03	5.894755E-16	3.975162E-17
3.370000E+03	6.009349E-16	3.903806E-17
3.380000E+03	6.128206E-16	3.830594E-17
3.390000E+03	6.250734E-16	3.755583E-17
3.400000E+03	6.377473E-16	3.679659E-17
3.410000E+03	6.508385E-16	3.603468E-17
3.420000E+03	6.642834E-16	3.527489E-17
3.430000E+03	6.781942E-16	3.453304E-17
3.440000E+03	6.924461E-16	3.381400E-17
3.450000E+03	7.071519E-16	3.313637E-17
3.460000E+03	7.223062E-16	3.251388E-17
3.470000E+03	7.379036E-16	3.196118E-17
3.480000E+03	7.539413E-16	3.149098E-17
3.490000E+03	7.704239E-16	3.110918E-17
3.500000E+03	7.874228E-16	3.082008E-17
3.510000E+03	8.048864E-16	3.062153E-17
3.520000E+03	8.228828E-16	3.051436E-17
3.530000E+03	8.414027E-16	3.049354E-17
3.540000E+03	8.604281E-16	3.055252E-17
3.550000E+03	8.799361E-16	3.068406E-17
3.560000E+03	8.999598E-16	3.088181E-17
3.570000E+03	9.204619E-16	3.113725E-17
3.580000E+03	9.414023E-16	3.144223E-17
3.590000E+03	9.626716E-16	3.178567E-17
3.600000E+03	9.843556E-16	3.216387E-17
3.610000E+03	1.006341E-15	3.256735E-17
3.620000E+03	1.028647E-15	3.299009E-17
3.630000E+03	1.051161E-15	3.342277E-17
3.640000E+03	1.073901E-15	3.386191E-17
3.650000E+03	1.096815E-15	3.430208E-17
3.660000E+03	1.119786E-15	3.473753E-17
3.670000E+03	1.142897E-15	3.517081E-17
3.680000E+03	1.166035E-15	3.559858E-17
3.690000E+03	1.189161E-15	3.602146E-17
3.700000E+03	1.212252E-15	3.644146E-17
3.710000E+03	1.235403E-15	3.686154E-17
3.720000E+03	1.258604E-15	3.728150E-17
3.730000E+03	1.281946E-15	3.770374E-17
3.740000E+03	1.305740E-15	3.813254E-17
3.750000E+03	1.330007E-15	3.856271E-17
3.760000E+03	1.355190E-15	3.900166E-17
3.770000E+03	1.381361E-15	3.944356E-17
3.780000E+03	1.409014E-15	3.989526E-17
3.790000E+03	1.438296E-15	4.035478E-17
3.800000E+03	1.469432E-15	4.082139E-17
3.810000E+03	1.502756E-15	4.129898E-17
3.820000E+03	1.538208E-15	4.178254E-17
3.830000E+03	1.575980E-15	4.227378E-17
3.840000E+03	1.615772E-15	4.276378E-17
3.850000E+03	1.657599E-15	4.325436E-17
3.860000E+03	1.700879E-15	4.373013E-17
3.870000E+03	1.745249E-15	4.418460E-17
3.880000E+03	1.790061E-15	4.460773E-17
3.890000E+03	1.834640E-15	4.498889E-17
3.900000E+03	1.878161E-15	4.531834E-17
3.910000E+03	1.919980E-15	4.559427E-17
3.920000E+03	1.959273E-15	4.580747E-17
3.930000E+03	1.995222E-15	4.595184E-17
3.940000E+03	2.027130E-15	4.602636E-17
3.950000E+03	2.054540E-15	4.602942E-17
3.960000E+03	2.076956E-15	4.595963E-17
3.970000E+03	2.094079E-15	4.582063E-17
3.980000E+03	2.105806E-15	4.561197E-17
3.990000E+03	2.112380E-15	4.534112E-17
4.000000E+03	2.113845E-15	4.501213E-17
