spec_file	spec_mjd	kait4_B_fitflux	kait4_B_fitfluxerr	kait4_B_inrange	kait4_I_fitflux	kait4_I_fitfluxerr	kait4_I_inrange	kait4_R_fitflux	kait4_R_fitfluxerr	kait4_R_inrange	kait4_V_fitflux	kait4_V_fitfluxerr	kait4_V_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2009ig/SN2009ig_2009-08-22_00-00-00_Other_Other_None.ascii	55065.0	1.0804733748476222e-15	3.8685640544019607e-16	True	3.348465815895809e-16	5.866880681625066e-17	True	6.485429426169334e-16	3.4057062942923616e-17	True	1.0716804585462437e-15	5.805521634724405e-17	True	1.2129861967588136e-15	6.104196877431054e-17	True	4.0088337037164953e-16	8.987839399689798e-17	True	1.1149318110601824e-17	4.4387339448474865e-17	False	9.937862718088581e-17	1.9415638725708723e-17	True	4.320212987458735e-17	7.87428126651297e-18	True	1.1155050760879543e-15	4.9471546900904995e-17	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2009ig/SN_2009ig_2009-08-23_14-57-07_Other_Other_UCB-SNDB_0.flm	55066.62	4.083276522647834e-15	3.6877975516105103e-16	True	7.467852083515157e-16	7.161340135698978e-17	True	1.5477393575589653e-15	8.182355802264844e-17	True	2.5560534170071848e-15	1.2421608351176905e-16	True	3.6835915396848e-15	1.5702667862965322e-16	True	1.529216904268325e-15	1.595129508767741e-16	True	3.492962146400097e-17	1.5121614450595288e-17	True	3.578186210073972e-16	5.2262919033787665e-17	True	1.156679622559876e-16	1.6874907105128526e-17	True	2.500121284232312e-15	9.59223961451072e-17	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2009ig/SN_2009ig_2009-08-24_12-25-55_Other_Other_UCB-SNDB_0.flm	55067.52	5.904046046013318e-15	3.5690716044463936e-16	True	1.0408573782250221e-15	6.988825382422632e-17	True	2.2437351135929594e-15	1.0355401989091406e-16	True	3.662702640620388e-15	1.5245235173794034e-16	True	5.988380868736203e-15	2.472245328790216e-16	True	2.988076092219782e-15	2.1555103900025913e-16	True	5.146057579751174e-17	8.308691662794644e-18	True	7.562008583951934e-16	8.779149054180983e-17	True	2.2607020044737787e-16	3.0178768853191515e-17	True	3.615109022909238e-15	1.3171948175994325e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2009ig/SN_2009ig_2009-08-25_12-31-40_Other_Other_UCB-SNDB_0.flm	55068.52	8.025327212435607e-15	3.04602881731296e-16	True	1.400448827125308e-15	5.944055692192232e-17	True	3.099902547075834e-15	9.801422789287029e-17	True	5.0467422868660955e-15	1.3549699796908707e-16	True	8.854265038723242e-15	2.942056562022642e-16	True	5.334908365599606e-15	2.2176108650190178e-16	True	7.432462802947891e-17	1.2904039658771777e-17	True	1.405339521634496e-15	7.611403690653402e-17	True	3.882665878379947e-16	3.5919429432204086e-17	True	5.016868546775079e-15	1.638489484430407e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2009ig/SN_2009ig_2009-08-26_15-17-16_Other_Other_UCB-SNDB_0.flm	55069.64	1.0476732746447365e-14	2.5869827383474073e-16	True	1.8155805541581743e-15	4.940831411578018e-17	True	4.064941559186432e-15	8.271231076116747e-17	True	6.698924810767629e-15	1.0655987017191403e-16	True	1.2028497602993056e-14	3.806321279021818e-16	True	8.594082852600038e-15	2.9683005861304095e-16	True	1.1070278004745741e-16	1.0840180074276615e-17	True	2.3310273682566935e-15	8.4588490539376e-17	True	5.947818893806627e-16	4.070111366113948e-17	True	6.655832407105217e-15	2.4211641209373376e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2009ig/SN_2009ig_2009-08-27_11-58-33_Other_Other_UCB-SNDB_0.flm	55070.5	1.2366291395971174e-14	2.833054314511449e-16	True	2.1206137629963936e-15	5.243721987194815e-17	True	4.755874473100664e-15	9.34060248326974e-17	True	7.976170513581155e-15	1.3518684542976929e-16	True	1.4320141803030266e-14	4.449578170490954e-16	True	1.1171647735163296e-14	3.6321205309722945e-16	True	1.5034051914767992e-16	7.601685615494688e-18	True	3.0824781339487283e-15	1.1354860182231254e-16	True	7.631978724926643e-16	4.1083592092606486e-17	True	7.901172055995362e-15	2.9781753611476535e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2009ig/SN2009ig_2009-08-28_00-00-00_Lick-3m_KAST_None.ascii	55071.0	1.3447747794893136e-14	3.019993473745158e-16	True	2.2861038612599816e-15	5.422162318161054e-17	True	5.140546288391986e-15	9.84115739465744e-17	True	8.701298861901675e-15	1.514176641124345e-16	True	1.5574266886393524e-14	4.888200369943169e-16	True	1.26118432479531e-14	4.3847134248168956e-16	True	1.7900965353295189e-16	9.408858482599681e-18	True	3.5070815996003787e-15	1.4639842134352006e-16	True	8.628694363176947e-16	4.105645752032859e-17	True	8.60512876078292e-15	3.2740582847246083e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2009ig/SN2009ig_2009-09-01_14-36-00_Swift-UVOT_UV-grism_None.dat	55075.61	2.1293413455092197e-14	4.0947065156744286e-16	True	3.156649076378616e-15	5.417177932275678e-17	True	7.98353222519076e-15	1.4698835999032085e-16	True	1.3689515267418902e-14	2.1192309624003608e-16	True	2.417805324231617e-14	4.928531014375e-16	True	2.0979843144208683e-14	5.038787080254577e-16	True	4.93406702338279e-16	1.9738158453454394e-17	True	5.863957257893489e-15	2.4583262847085576e-16	True	1.5578837375199476e-15	3.61818448299253e-17	True	1.3903397198984261e-14	4.010696946129301e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2009ig/SN2009ig_2009-09-03_16-29-00_Swift-UVOT_UV-grism_None.dat	55077.69	2.3006911429682503e-14	5.508536113607901e-16	True	3.2217495781384212e-15	6.46910172662791e-17	True	8.660850056680315e-15	1.744059405352971e-16	True	1.5013822489873327e-14	2.283796702249441e-16	True	2.5748647693446318e-14	6.077809140160117e-16	True	2.070908538203034e-14	6.093986803680977e-16	True	5.822741698286707e-16	2.299955449146091e-17	True	5.7899604325040715e-15	2.675295827149909e-16	True	1.5919948459106805e-15	3.180291653446376e-17	True	1.5372592030617417e-14	4.622687648889344e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2009ig/SN2009ig_2009-09-07_07-14-00_Swift-UVOT_UV-grism_None.dat	55081.3	2.3205875555400743e-14	7.288262659525007e-16	True	3.046366317164942e-15	8.568409635489848e-17	True	8.867880110607433e-15	1.875817898149129e-16	True	1.6155641871296668e-14	2.584229951094419e-16	True	2.571944694283926e-14	7.27997825676689e-16	True	1.7228848131609207e-14	6.877761295466733e-16	True	6.205202158473993e-16	2.4551329065538705e-17	True	4.837985400602206e-15	2.5300462301088173e-16	True	1.4096786916173476e-15	3.0763449480059276e-17	True	1.6264004732977478e-14	5.596644550191993e-16	True
