#wls	flux	fluxerr	mangling_mask
3.420000E+03	2.591449E-16	3.340291E-17	6.229294E-16
3.422000E+03	2.582996E-16	3.333405E-17	6.229640E-16
3.424000E+03	2.575789E-16	3.327278E-17	6.229988E-16
3.426000E+03	2.568769E-16	3.321286E-17	6.230340E-16
3.428000E+03	2.564678E-16	3.317022E-17	6.230694E-16
3.430000E+03	2.557411E-16	3.310928E-17	6.231052E-16
3.432000E+03	2.549458E-16	3.304462E-17	6.231412E-16
3.434000E+03	2.539947E-16	3.297128E-17	6.231776E-16
3.436000E+03	2.526324E-16	3.287473E-17	6.232142E-16
3.438000E+03	2.513323E-16	3.278231E-17	6.232512E-16
3.440000E+03	2.503687E-16	3.270951E-17	6.232884E-16
3.442000E+03	2.491746E-16	3.262404E-17	6.233260E-16
3.444000E+03	2.468271E-16	3.247436E-17	6.233638E-16
3.446000E+03	2.459632E-16	3.255084E-17	6.234020E-16
3.448000E+03	2.441330E-16	3.339288E-17	6.234404E-16
3.450000E+03	2.426269E-16	3.328481E-17	6.234792E-16
3.452000E+03	2.403351E-16	3.189597E-17	6.235182E-16
3.454000E+03	2.382801E-16	3.211078E-17	6.235576E-16
3.456000E+03	2.367861E-16	3.218789E-17	6.235973E-16
3.458000E+03	2.350302E-16	3.134422E-17	6.236373E-16
3.460000E+03	2.326504E-16	3.453707E-17	6.236776E-16
3.462000E+03	2.304202E-16	3.460553E-17	6.237182E-16
3.464000E+03	2.284206E-16	3.449872E-17	6.237591E-16
3.466000E+03	2.262087E-16	3.586638E-17	6.238003E-16
3.468000E+03	2.243086E-16	3.566879E-17	6.238419E-16
3.470000E+03	2.208548E-16	3.380446E-17	6.238837E-16
3.472000E+03	2.178562E-16	3.558308E-17	6.239259E-16
3.474000E+03	2.158431E-16	3.512838E-17	6.239684E-16
3.476000E+03	2.127941E-16	3.579178E-17	6.240112E-16
3.478000E+03	2.099381E-16	3.601942E-17	6.240543E-16
3.480000E+03	2.072441E-16	3.668393E-17	6.240978E-16
3.482000E+03	2.049681E-16	3.666866E-17	6.241415E-16
3.484000E+03	2.026169E-16	3.630834E-17	6.241856E-16
3.486000E+03	2.007399E-16	3.606511E-17	6.242300E-16
3.488000E+03	1.981136E-16	3.558970E-17	6.242747E-16
3.490000E+03	1.958554E-16	3.413982E-17	6.243198E-16
3.492000E+03	1.934158E-16	3.410677E-17	6.243652E-16
3.494000E+03	1.901206E-16	3.394483E-17	6.244109E-16
3.496000E+03	1.873683E-16	3.468411E-17	6.244569E-16
3.498000E+03	1.853213E-16	3.344411E-17	6.245033E-16
3.500000E+03	1.819252E-16	3.331309E-17	6.245500E-16
3.502000E+03	1.793842E-16	3.287198E-17	6.245970E-16
3.504000E+03	1.767743E-16	3.290781E-17	6.246443E-16
3.506000E+03	1.742141E-16	3.270251E-17	6.246920E-16
3.508000E+03	1.717723E-16	3.273058E-17	6.247400E-16
3.510000E+03	1.694551E-16	2.839376E-17	6.247883E-16
3.512000E+03	1.669502E-16	2.662965E-17	6.248370E-16
3.514000E+03	1.646075E-16	2.639799E-17	6.248860E-16
3.516000E+03	1.622895E-16	2.558670E-17	6.249354E-16
3.518000E+03	1.601274E-16	2.531113E-17	6.249851E-16
3.520000E+03	1.573526E-16	2.658236E-17	6.250351E-16
3.522000E+03	1.546086E-16	2.597847E-17	6.250855E-16
3.524000E+03	1.541211E-16	2.570053E-17	6.251362E-16
3.526000E+03	1.530833E-16	2.517774E-17	6.251872E-16
3.528000E+03	1.519017E-16	2.492626E-17	6.252386E-16
3.530000E+03	1.505261E-16	2.412084E-17	6.252903E-16
3.532000E+03	1.497632E-16	2.435116E-17	6.253424E-16
3.534000E+03	1.503949E-16	2.318600E-17	6.253948E-16
3.536000E+03	1.501512E-16	2.300792E-17	6.254476E-16
3.538000E+03	1.501702E-16	2.280348E-17	6.255007E-16
3.540000E+03	1.504708E-16	2.291495E-17	6.255542E-16
3.542000E+03	1.511156E-16	2.286721E-17	6.256080E-16
3.544000E+03	1.518920E-16	2.345461E-17	6.256621E-16
3.546000E+03	1.545020E-16	2.465924E-17	6.257166E-16
3.548000E+03	1.558609E-16	2.539870E-17	6.257715E-16
3.550000E+03	1.569886E-16	2.580568E-17	6.258267E-16
3.552000E+03	1.580040E-16	2.656526E-17	6.258823E-16
3.554000E+03	1.591573E-16	2.674155E-17	6.259382E-16
3.556000E+03	1.606552E-16	2.692512E-17	6.259945E-16
3.558000E+03	1.628547E-16	2.685763E-17	6.260511E-16
3.560000E+03	1.646038E-16	2.682790E-17	6.261081E-16
3.562000E+03	1.670484E-16	2.804151E-17	6.261655E-16
