#wls	flux	fluxerr
1.583061E+03	8.285408E-02	8.875615E-03
1.622638E+03	8.513875E-02	9.003571E-03
1.662214E+03	8.743502E-02	9.124669E-03
1.701791E+03	8.974838E-02	9.239306E-03
1.741367E+03	9.208429E-02	9.347851E-03
1.780944E+03	9.441353E-02	9.447174E-03
1.820520E+03	9.672310E-02	9.535922E-03
1.860097E+03	9.901966E-02	9.614742E-03
1.899673E+03	1.012963E-01	9.682946E-03
1.939250E+03	1.035333E-01	9.738709E-03
1.978827E+03	1.057961E-01	9.788203E-03
2.018403E+03	1.080482E-01	9.827961E-03
2.057980E+03	1.103816E-01	9.866203E-03
2.097556E+03	1.127999E-01	9.902856E-03
2.137133E+03	1.153877E-01	9.944785E-03
2.176709E+03	1.181966E-01	9.995554E-03
2.216286E+03	1.212642E-01	1.005718E-02
2.255862E+03	1.246884E-01	1.013628E-02
2.295439E+03	1.284992E-01	1.023344E-02
2.335015E+03	1.327003E-01	1.034692E-02
2.374592E+03	1.373075E-01	1.047588E-02
2.414168E+03	1.423143E-01	1.061770E-02
2.453745E+03	1.477435E-01	1.077195E-02
2.493321E+03	1.536092E-01	1.093740E-02
2.532898E+03	1.599703E-01	1.111589E-02
2.572475E+03	1.669103E-01	1.131053E-02
2.612051E+03	1.745198E-01	1.152435E-02
2.651628E+03	1.828287E-01	1.175590E-02
2.691204E+03	1.918090E-01	1.199996E-02
2.730781E+03	2.013958E-01	1.224930E-02
2.770357E+03	2.116114E-01	1.250231E-02
2.809934E+03	2.224019E-01	1.275289E-02
2.849510E+03	2.338001E-01	1.300030E-02
2.889087E+03	2.457719E-01	1.324009E-02
2.928663E+03	2.582887E-01	1.346856E-02
2.968240E+03	2.712845E-01	1.368052E-02
2.978134E+03	2.746196E-01	1.373135E-02
2.988028E+03	2.779539E-01	1.377953E-02
2.997922E+03	2.813156E-01	1.382645E-02
3.007816E+03	2.847002E-01	1.387190E-02
3.017710E+03	2.880716E-01	1.391412E-02
3.027605E+03	2.914883E-01	1.395597E-02
3.037499E+03	2.948815E-01	1.399414E-02
3.047393E+03	2.982775E-01	1.402994E-02
3.057287E+03	3.017021E-01	1.406460E-02
3.067181E+03	3.050847E-01	1.409485E-02
3.077075E+03	3.084830E-01	1.412342E-02
3.086969E+03	3.118570E-01	1.414851E-02
3.096864E+03	3.151991E-01	1.416985E-02
3.106758E+03	3.185010E-01	1.418715E-02
3.116652E+03	3.217862E-01	1.420154E-02
3.126546E+03	3.250133E-01	1.421127E-02
3.136440E+03	3.282050E-01	1.421743E-02
3.146334E+03	3.313187E-01	1.421830E-02
3.156228E+03	3.343446E-01	1.421358E-02
3.166122E+03	3.373360E-01	1.420568E-02
3.176017E+03	3.402172E-01	1.419154E-02
3.185911E+03	3.430091E-01	1.417220E-02
3.195805E+03	3.456999E-01	1.414733E-02
3.205699E+03	3.482777E-01	1.411663E-02
3.215593E+03	3.506992E-01	1.407853E-02
3.225487E+03	3.530151E-01	1.403530E-02
3.235381E+03	3.551822E-01	1.398541E-02
3.245276E+03	3.571885E-01	1.392862E-02
3.255170E+03	3.590538E-01	1.386592E-02
3.265064E+03	3.607356E-01	1.379591E-02
3.274958E+03	3.622234E-01	1.371845E-02
