#wls	flux	fluxerr
1.583061E+03	6.709040E-02	8.524113E-03
1.622638E+03	6.856509E-02	8.619924E-03
1.662214E+03	7.002540E-02	8.708700E-03
1.701791E+03	7.148519E-02	8.792132E-03
1.741367E+03	7.293539E-02	8.869052E-03
1.780944E+03	7.439328E-02	8.941516E-03
1.820520E+03	7.587876E-02	9.011789E-03
1.860097E+03	7.736162E-02	9.076155E-03
1.899673E+03	7.889200E-02	9.140378E-03
1.939250E+03	8.047023E-02	9.204239E-03
1.978827E+03	8.211233E-02	9.269282E-03
2.018403E+03	8.382275E-02	9.335673E-03
2.057980E+03	8.565106E-02	9.408502E-03
2.097556E+03	8.759275E-02	9.486700E-03
2.137133E+03	8.970329E-02	9.575625E-03
2.176709E+03	9.199719E-02	9.675975E-03
2.216286E+03	9.450557E-02	9.790056E-03
2.255862E+03	9.726082E-02	9.920080E-03
2.295439E+03	1.002938E-01	1.006788E-02
2.335015E+03	1.036338E-01	1.023493E-02
2.374592E+03	1.073284E-01	1.042424E-02
2.414168E+03	1.113933E-01	1.063548E-02
2.453745E+03	1.158626E-01	1.086991E-02
2.493321E+03	1.207912E-01	1.113047E-02
2.532898E+03	1.261975E-01	1.141643E-02
2.572475E+03	1.321369E-01	1.173020E-02
2.612051E+03	1.386169E-01	1.206965E-02
2.651628E+03	1.456669E-01	1.243449E-02
2.691204E+03	1.532501E-01	1.281866E-02
2.730781E+03	1.613305E-01	1.321646E-02
2.770357E+03	1.698787E-01	1.362290E-02
2.809934E+03	1.788232E-01	1.402996E-02
2.849510E+03	1.880722E-01	1.442857E-02
2.889087E+03	1.974840E-01	1.480660E-02
2.928663E+03	2.069213E-01	1.515333E-02
2.968240E+03	2.162899E-01	1.546216E-02
2.978134E+03	2.185948E-01	1.553163E-02
2.988028E+03	2.208435E-01	1.559516E-02
2.997922E+03	2.231297E-01	1.565939E-02
3.007816E+03	2.253536E-01	1.571731E-02
3.017710E+03	2.275440E-01	1.577102E-02
3.027605E+03	2.296981E-01	1.582037E-02
3.037499E+03	2.318457E-01	1.586747E-02
3.047393E+03	2.339169E-01	1.590756E-02
3.057287E+03	2.359753E-01	1.594507E-02
3.067181E+03	2.379839E-01	1.597752E-02
3.077075E+03	2.399395E-01	1.600479E-02
3.086969E+03	2.418381E-01	1.602669E-02
3.096864E+03	2.436763E-01	1.604309E-02
3.106758E+03	2.454503E-01	1.605382E-02
3.116652E+03	2.471567E-01	1.605876E-02
3.126546E+03	2.488269E-01	1.606002E-02
3.136440E+03	2.503866E-01	1.605293E-02
3.146334E+03	2.519028E-01	1.604189E-02
3.156228E+03	2.533365E-01	1.602450E-02
3.166122E+03	2.546837E-01	1.600064E-02
3.176017E+03	2.559049E-01	1.596798E-02
3.185911E+03	2.571038E-01	1.593309E-02
3.195805E+03	2.581686E-01	1.588917E-02
3.205699E+03	2.591317E-01	1.583837E-02
3.215593E+03	2.599894E-01	1.578060E-02
3.225487E+03	2.607735E-01	1.571795E-02
3.235381E+03	2.614082E-01	1.564598E-02
3.245276E+03	2.619621E-01	1.556897E-02
3.255170E+03	2.623952E-01	1.548468E-02
3.265064E+03	2.627037E-01	1.539306E-02
3.274958E+03	2.628481E-01	1.529198E-02
3.284852E+03	2.629326E-01	1.518768E-02
3.294746E+03	2.628461E-01	1.507388E-02
3.304640E+03	2.626212E-01	1.495266E-02
3.314534E+03	2.622545E-01	1.482402E-02
3.324429E+03	2.617787E-01	1.468999E-02
3.334323E+03	2.611200E-01	1.454658E-02
3.344217E+03	2.603460E-01	1.439780E-02
3.354111E+03	2.594198E-01	1.424176E-02
3.364005E+03	2.583039E-01	1.407661E-02
3.373899E+03	2.570668E-01	1.390630E-02
3.383793E+03	2.556722E-01	1.372904E-02
3.393688E+03	2.541537E-01	1.354682E-02
3.403582E+03	2.524433E-01	1.335619E-02
3.413476E+03	2.505760E-01	1.315922E-02
3.423370E+03	2.485531E-01	1.295617E-02
3.433264E+03	2.464106E-01	1.274909E-02
