#wls	flux	fluxerr
1.583061E+03	7.586650E-02	7.628440E-03
1.622638E+03	7.801312E-02	7.739547E-03
1.662214E+03	8.015692E-02	7.843212E-03
1.701791E+03	8.226881E-02	7.936552E-03
1.741367E+03	8.436179E-02	8.020855E-03
1.780944E+03	8.637614E-02	8.090534E-03
1.820520E+03	8.832674E-02	8.147234E-03
1.860097E+03	9.012561E-02	8.183185E-03
1.899673E+03	9.178437E-02	8.200048E-03
1.939250E+03	9.323934E-02	8.192816E-03
1.978827E+03	9.452322E-02	8.165208E-03
2.018403E+03	9.567239E-02	8.121087E-03
2.057980E+03	9.682228E-02	8.072372E-03
2.097556E+03	9.821645E-02	8.039029E-03
2.137133E+03	1.000286E-01	8.033924E-03
2.176709E+03	1.024368E-01	8.069199E-03
2.216286E+03	1.053902E-01	8.138132E-03
2.255862E+03	1.088695E-01	8.236689E-03
2.295439E+03	1.127724E-01	8.354777E-03
2.335015E+03	1.169864E-01	8.482156E-03
2.374592E+03	1.214668E-01	8.614102E-03
2.414168E+03	1.262152E-01	8.749382E-03
2.453745E+03	1.311655E-01	8.882192E-03
2.493321E+03	1.363510E-01	9.013703E-03
2.532898E+03	1.418037E-01	9.144832E-03
2.572475E+03	1.475330E-01	9.274878E-03
2.612051E+03	1.536509E-01	9.409404E-03
2.651628E+03	1.601313E-01	9.545033E-03
2.691204E+03	1.669798E-01	9.680451E-03
2.730781E+03	1.741863E-01	9.813439E-03
2.770357E+03	1.817596E-01	9.942849E-03
2.809934E+03	1.897254E-01	1.006844E-02
2.849510E+03	1.981460E-01	1.019174E-02
2.889087E+03	2.070829E-01	1.031395E-02
2.928663E+03	2.165868E-01	1.043545E-02
2.968240E+03	2.266853E-01	1.055538E-02
2.978134E+03	2.293211E-01	1.058570E-02
2.988028E+03	2.319766E-01	1.061496E-02
2.997922E+03	2.346498E-01	1.064303E-02
3.007816E+03	2.373954E-01	1.067238E-02
3.017710E+03	2.401568E-01	1.070043E-02
3.027605E+03	2.429623E-01	1.072840E-02
3.037499E+03	2.457797E-01	1.075487E-02
3.047393E+03	2.486620E-01	1.078213E-02
3.057287E+03	2.515770E-01	1.080874E-02
3.067181E+03	2.544916E-01	1.083328E-02
3.077075E+03	2.574582E-01	1.085799E-02
3.086969E+03	2.604428E-01	1.088139E-02
3.096864E+03	2.634403E-01	1.090329E-02
3.106758E+03	2.664442E-01	1.092344E-02
3.116652E+03	2.694766E-01	1.094274E-02
3.126546E+03	2.724736E-01	1.095863E-02
3.136440E+03	2.755133E-01	1.097428E-02
3.146334E+03	2.785020E-01	1.098598E-02
3.156228E+03	2.815167E-01	1.099684E-02
3.166122E+03	2.844625E-01	1.100318E-02
3.176017E+03	2.874154E-01	1.100803E-02
3.185911E+03	2.903081E-01	1.100887E-02
3.195805E+03	2.931584E-01	1.100646E-02
3.205699E+03	2.959549E-01	1.100048E-02
3.215593E+03	2.986858E-01	1.099058E-02
3.225487E+03	3.013386E-01	1.097644E-02
3.235381E+03	3.039006E-01	1.095771E-02
3.245276E+03	3.063590E-01	1.093409E-02
3.255170E+03	3.087282E-01	1.090623E-02
3.265064E+03	3.109669E-01	1.087285E-02
3.274958E+03	3.130613E-01	1.083363E-02
3.284852E+03	3.150256E-01	1.078928E-02
3.294746E+03	3.168188E-01	1.073858E-02
3.304640E+03	3.184550E-01	1.068224E-02
3.314534E+03	3.199212E-01	1.062003E-02
3.324429E+03	3.212053E-01	1.055177E-02
3.334323E+03	3.222952E-01	1.047731E-02
3.344217E+03	3.232065E-01	1.039737E-02
3.354111E+03	3.238772E-01	1.031023E-02
3.364005E+03	3.243252E-01	1.021670E-02
3.373899E+03	3.245932E-01	1.011840E-02
3.383793E+03	3.245998E-01	1.001301E-02
3.393688E+03	3.244148E-01	9.902964E-03
3.403582E+03	3.239852E-01	9.786862E-03
3.413476E+03	3.233332E-01	9.665634E-03
3.423370E+03	3.224574E-01	9.539469E-03
3.433264E+03	3.213563E-01	9.408552E-03
3.443158E+03	3.200281E-01	9.273052E-03
3.453052E+03	3.184900E-01	9.133635E-03
3.462946E+03	3.167171E-01	8.989714E-03
3.472841E+03	3.147310E-01	8.842027E-03
3.482735E+03	3.125149E-01	8.690217E-03
3.492629E+03	3.101161E-01	8.535702E-03
3.502523E+03	3.075226E-01	8.378236E-03
3.512417E+03	3.047276E-01	8.217720E-03
3.522311E+03	3.017829E-01	8.055627E-03
3.532205E+03	2.987035E-01	7.892398E-03
3.542100E+03	2.954874E-01	7.728014E-03
3.551994E+03	2.921708E-01	7.563449E-03
3.561888E+03	2.887718E-01	7.399177E-03
3.571782E+03	2.852926E-01	7.235249E-03
3.581676E+03	2.817850E-01	7.072960E-03
3.591570E+03	2.782508E-01	6.912312E-03
3.601464E+03	2.747224E-01	6.754063E-03
3.611358E+03	2.712018E-01	6.598200E-03
3.621253E+03	2.677186E-01	6.445378E-03
3.631147E+03	2.642866E-01	6.295841E-03
3.641041E+03	2.609179E-01	6.149792E-03
3.650935E+03	2.576234E-01	6.007391E-03
