#wls	flux	fluxerr
1.583061E+03	6.632780E-02	7.781239E-03
1.622638E+03	6.788093E-02	7.859528E-03
1.662214E+03	6.936084E-02	7.923498E-03
1.701791E+03	7.078495E-02	7.975390E-03
1.741367E+03	7.213513E-02	8.013394E-03
1.780944E+03	7.340104E-02	8.036681E-03
1.820520E+03	7.457179E-02	8.044435E-03
1.860097E+03	7.563689E-02	8.035971E-03
1.899673E+03	7.660129E-02	8.012296E-03
1.939250E+03	7.746558E-02	7.973952E-03
1.978827E+03	7.825058E-02	7.923538E-03
2.018403E+03	7.903027E-02	7.868819E-03
2.057980E+03	7.989902E-02	7.819061E-03
2.097556E+03	8.105548E-02	7.792912E-03
2.137133E+03	8.267030E-02	7.804997E-03
2.176709E+03	8.483930E-02	7.861805E-03
2.216286E+03	8.755580E-02	7.959794E-03
2.255862E+03	9.075021E-02	8.089822E-03
2.295439E+03	9.437552E-02	8.245185E-03
2.335015E+03	9.837237E-02	8.418432E-03
2.374592E+03	1.027328E-01	8.606823E-03
2.414168E+03	1.074952E-01	8.811483E-03
2.453745E+03	1.127056E-01	9.033847E-03
2.493321E+03	1.184251E-01	9.276194E-03
2.532898E+03	1.247594E-01	9.543801E-03
2.572475E+03	1.317681E-01	9.837696E-03
2.612051E+03	1.395536E-01	1.016163E-02
2.651628E+03	1.481022E-01	1.051033E-02
2.691204E+03	1.574450E-01	1.088181E-02
2.730781E+03	1.674964E-01	1.126601E-02
2.770357E+03	1.781938E-01	1.165504E-02
2.809934E+03	1.893941E-01	1.203641E-02
2.849510E+03	2.009101E-01	1.239607E-02
2.889087E+03	2.125349E-01	1.272027E-02
2.928663E+03	2.240452E-01	1.299596E-02
2.968240E+03	2.351288E-01	1.320686E-02
2.978134E+03	2.377945E-01	1.324767E-02
2.988028E+03	2.404096E-01	1.328339E-02
2.997922E+03	2.429684E-01	1.331379E-02
3.007816E+03	2.454655E-01	1.333866E-02
3.017710E+03	2.478973E-01	1.335792E-02
3.027605E+03	2.502602E-01	1.337146E-02
3.037499E+03	2.525474E-01	1.337905E-02
3.047393E+03	2.547530E-01	1.338048E-02
3.057287E+03	2.568700E-01	1.337553E-02
3.067181E+03	2.588928E-01	1.336404E-02
3.077075E+03	2.608145E-01	1.334580E-02
3.086969E+03	2.626300E-01	1.332071E-02
3.096864E+03	2.643600E-01	1.328996E-02
3.106758E+03	2.659454E-01	1.325076E-02
3.116652E+03	2.674343E-01	1.320568E-02
3.126546E+03	2.687954E-01	1.315334E-02
3.136440E+03	2.700235E-01	1.309368E-02
3.146334E+03	2.711147E-01	1.302670E-02
3.156228E+03	2.720915E-01	1.295369E-02
3.166122E+03	2.729236E-01	1.287337E-02
3.176017E+03	2.736082E-01	1.278582E-02
3.185911E+03	2.741425E-01	1.269114E-02
3.195805E+03	2.745504E-01	1.259062E-02
3.205699E+03	2.748042E-01	1.248321E-02
3.215593E+03	2.749028E-01	1.236906E-02
3.225487E+03	2.748714E-01	1.224951E-02
3.235381E+03	2.746841E-01	1.212361E-02
3.245276E+03	2.743419E-01	1.199162E-02
3.255170E+03	2.738708E-01	1.185488E-02
3.265064E+03	2.732477E-01	1.171257E-02
3.274958E+03	2.724992E-01	1.156604E-02
3.284852E+03	2.716041E-01	1.141456E-02
3.294746E+03	2.705896E-01	1.125947E-02
3.304640E+03	2.694364E-01	1.110011E-02
3.314534E+03	2.681724E-01	1.093784E-02
3.324429E+03	2.667794E-01	1.077204E-02
3.334323E+03	2.652862E-01	1.060404E-02
3.344217E+03	2.636984E-01	1.043420E-02
