#wls	flux	fluxerr
1.583061E+03	6.912836E-15	3.645301E-16
1.622638E+03	7.089073E-15	3.498561E-16
1.662214E+03	7.251785E-15	3.334855E-16
1.701791E+03	7.400648E-15	3.156198E-16
1.741367E+03	7.531507E-15	2.963312E-16
1.780944E+03	7.640298E-15	2.757694E-16
1.820520E+03	7.723025E-15	2.541623E-16
1.860097E+03	7.774384E-15	2.317757E-16
1.899673E+03	7.790730E-15	2.090167E-16
1.939250E+03	7.771271E-15	1.864395E-16
1.978827E+03	7.720387E-15	1.647598E-16
2.018403E+03	7.655566E-15	1.449460E-16
2.057980E+03	7.608294E-15	1.281001E-16
2.097556E+03	7.617509E-15	1.152616E-16
2.137133E+03	7.698346E-15	1.068564E-16
2.176709E+03	7.851868E-15	1.025425E-16
2.216286E+03	8.068982E-15	1.016683E-16
2.255862E+03	8.336520E-15	1.035558E-16
2.295439E+03	8.624617E-15	1.072045E-16
2.335015E+03	8.903030E-15	1.113833E-16
2.374592E+03	9.153487E-15	1.151381E-16
2.414168E+03	9.369446E-15	1.179050E-16
2.453745E+03	9.554828E-15	1.195404E-16
2.493321E+03	9.721314E-15	1.203045E-16
2.532898E+03	9.892064E-15	1.209079E-16
2.572475E+03	1.009882E-14	1.224636E-16
2.612051E+03	1.037901E-14	1.264246E-16
2.651628E+03	1.073192E-14	1.339613E-16
2.691204E+03	1.112756E-14	1.451998E-16
2.730781E+03	1.153723E-14	1.591359E-16
2.770357E+03	1.193744E-14	1.745634E-16
2.809934E+03	1.231064E-14	1.902962E-16
2.849510E+03	1.264334E-14	2.052388E-16
2.889087E+03	1.292643E-14	2.184519E-16
2.928663E+03	1.315406E-14	2.291697E-16
2.968240E+03	1.332291E-14	2.368117E-16
2.978134E+03	1.335567E-14	2.381901E-16
2.988028E+03	1.338466E-14	2.393468E-16
2.997922E+03	1.340985E-14	2.402773E-16
3.007816E+03	1.343151E-14	2.409838E-16
3.017710E+03	1.344943E-14	2.414603E-16
3.027605E+03	1.346369E-14	2.417065E-16
3.037499E+03	1.347482E-14	2.417310E-16
3.047393E+03	1.348224E-14	2.415232E-16
3.057287E+03	1.348666E-14	2.410962E-16
3.067181E+03	1.348773E-14	2.404445E-16
3.077075E+03	1.348538E-14	2.395686E-16
3.086969E+03	1.348008E-14	2.384790E-16
3.096864E+03	1.347126E-14	2.371687E-16
3.106758E+03	1.345916E-14	2.356453E-16
3.116652E+03	1.344376E-14	2.339131E-16
3.126546E+03	1.342532E-14	2.319814E-16
3.136440E+03	1.340362E-14	2.298520E-16
3.146334E+03	1.337892E-14	2.275358E-16
3.156228E+03	1.335128E-14	2.250410E-16
3.166122E+03	1.332052E-14	2.223723E-16
3.176017E+03	1.328698E-14	2.195438E-16
3.185911E+03	1.325098E-14	2.165703E-16
3.195805E+03	1.321218E-14	2.134562E-16
3.205699E+03	1.317120E-14	2.102220E-16
3.215593E+03	1.312773E-14	2.068747E-16
3.225487E+03	1.308265E-14	2.034400E-16
3.235381E+03	1.303548E-14	1.999239E-16
3.245276E+03	1.298671E-14	1.963475E-16
3.255170E+03	1.293680E-14	1.927329E-16
3.265064E+03	1.288586E-14	1.890968E-16
3.274958E+03	1.283443E-14	1.854636E-16
3.284852E+03	1.278248E-14	1.818501E-16
3.294746E+03	1.273065E-14	1.782833E-16
3.304640E+03	1.267937E-14	1.747884E-16
3.314534E+03	1.262915E-14	1.713919E-16
3.324429E+03	1.258049E-14	1.681210E-16
3.334323E+03	1.253375E-14	1.650017E-16
3.344217E+03	1.248946E-14	1.620629E-16
3.354111E+03	1.244814E-14	1.593340E-16
3.364005E+03	1.241028E-14	1.568441E-16
3.373899E+03	1.237612E-14	1.546196E-16
3.383793E+03	1.234598E-14	1.526877E-16
3.393688E+03	1.231996E-14	1.510732E-16
3.403582E+03	1.229779E-14	1.497953E-16
3.413476E+03	1.227898E-14	1.488696E-16
3.414440E+03	1.554588E-14	1.884133E-16
3.418454E+03	1.527225E-14	1.848776E-16
3.422466E+03	1.503450E-14	1.818523E-16
3.426479E+03	1.480986E-14	1.790592E-16
3.430491E+03	1.471224E-14	1.778735E-16
3.434504E+03	1.454742E-14	1.759451E-16
3.438516E+03	1.429018E-14	1.729640E-16
3.442529E+03	1.400041E-14	1.696489E-16
3.446542E+03	1.382685E-14	1.677977E-16
3.450554E+03	1.361354E-14	1.655169E-16
3.454567E+03	1.345409E-14	1.639399E-16
3.458579E+03	1.327408E-14	1.621584E-16
3.462592E+03	1.314675E-14	1.610636E-16
3.466604E+03	1.300608E-14	1.598464E-16
3.470617E+03	1.281609E-14	1.580582E-16
3.474630E+03	1.266196E-14	1.567433E-16
3.478643E+03	1.259294E-14	1.565148E-16
3.482656E+03	1.251180E-14	1.561699E-16
3.486668E+03	1.241013E-14	1.555983E-16
3.490681E+03	1.228916E-14	1.548093E-16
3.494693E+03	1.214887E-14	1.537963E-16
3.498706E+03	1.198254E-14	1.524674E-16
3.502718E+03	1.188908E-14	1.520795E-16
3.506731E+03	1.176971E-14	1.513746E-16
3.510744E+03	1.155086E-14	1.493931E-16
3.514756E+03	1.127887E-14	1.467128E-16
3.518769E+03	1.118575E-14	1.463549E-16
3.522781E+03	1.102207E-14	1.450746E-16
3.526794E+03	1.088328E-14	1.441174E-16
3.530806E+03	1.073708E-14	1.430562E-16
3.534819E+03	1.073924E-14	1.439759E-16
3.538832E+03	1.088431E-14	1.468382E-16
3.542845E+03	1.107736E-14	1.503898E-16
3.546858E+03	1.121604E-14	1.532440E-16
3.550870E+03	1.123632E-14	1.545048E-16
3.554883E+03	1.146659E-14	1.586852E-16
3.558895E+03	1.168110E-14	1.626952E-16
3.562908E+03	1.198703E-14	1.680327E-16
3.566920E+03	1.224636E-14	1.727737E-16
3.570933E+03	1.227548E-14	1.742984E-16
3.574945E+03	1.241231E-14	1.773711E-16
3.578958E+03	1.261367E-14	1.813997E-16
3.582971E+03	1.275132E-14	1.845446E-16
3.586983E+03	1.289358E-14	1.877817E-16
3.590996E+03	1.305599E-14	1.913397E-16
3.595008E+03	1.303984E-14	1.922918E-16
3.599021E+03	1.298886E-14	1.927214E-16
3.603034E+03	1.286600E-14	1.920644E-16
3.607047E+03	1.272636E-14	1.911283E-16
3.611059E+03	1.260584E-14	1.904496E-16
3.615072E+03	1.247574E-14	1.895971E-16
3.619085E+03	1.238032E-14	1.892438E-16
3.623097E+03	1.234343E-14	1.897649E-16
3.627110E+03	1.212496E-14	1.874628E-16
3.631122E+03	1.194478E-14	1.857081E-16
3.635135E+03	1.174736E-14	1.836427E-16
3.639147E+03	1.148437E-14	1.805018E-16
3.643160E+03	1.119155E-14	1.768341E-16
3.647173E+03	1.097474E-14	1.743132E-16
3.651185E+03	1.079285E-14	1.723018E-16
3.655198E+03	1.072796E-14	1.721262E-16
3.659210E+03	1.069014E-14	1.723633E-16
3.663224E+03	1.066661E-14	1.728127E-16
3.667236E+03	1.077287E-14	1.753571E-16
3.671249E+03	1.100239E-14	1.799188E-16
3.675261E+03	1.120184E-14	1.840051E-16
3.679274E+03	1.138258E-14	1.877958E-16
3.683287E+03	1.156339E-14	1.915967E-16
3.687299E+03	1.179398E-14	1.962336E-16
3.691312E+03	1.210736E-14	2.022667E-16
3.695324E+03	1.249189E-14	2.095157E-16
3.699337E+03	1.279415E-14	2.154097E-16
3.703349E+03	1.299047E-14	2.195304E-16
3.707362E+03	1.322103E-14	2.242342E-16
3.711374E+03	1.355936E-14	2.307771E-16
3.715387E+03	1.375743E-14	2.349408E-16
3.719400E+03	1.392564E-14	2.385908E-16
3.723412E+03	1.412805E-14	2.428218E-16
