#wls	flux	fluxerr
1.583061E+03	3.300590E-15	3.105770E-16
1.622638E+03	3.397465E-15	3.157195E-16
1.662214E+03	3.492210E-15	3.203959E-16
1.701791E+03	3.586169E-15	3.247336E-16
1.741367E+03	3.677043E-15	3.285285E-16
1.780944E+03	3.764496E-15	3.317610E-16
1.820520E+03	3.844660E-15	3.341069E-16
1.860097E+03	3.916794E-15	3.355295E-16
1.899673E+03	3.976095E-15	3.356538E-16
1.939250E+03	4.020291E-15	3.343402E-16
1.978827E+03	4.048000E-15	3.315345E-16
2.018403E+03	4.061673E-15	3.274994E-16
2.057980E+03	4.070648E-15	3.230328E-16
2.097556E+03	4.089618E-15	3.193036E-16
2.137133E+03	4.134916E-15	3.175312E-16
2.176709E+03	4.217622E-15	3.184539E-16
2.216286E+03	4.340146E-15	3.221062E-16
2.255862E+03	4.495630E-15	3.278339E-16
2.295439E+03	4.675490E-15	3.348934E-16
2.335015E+03	4.871916E-15	3.426387E-16
2.374592E+03	5.077922E-15	3.505202E-16
2.414168E+03	5.289300E-15	3.582130E-16
2.453745E+03	5.504647E-15	3.656009E-16
2.493321E+03	5.720072E-15	3.724129E-16
2.532898E+03	5.933898E-15	3.785407E-16
2.572475E+03	6.145424E-15	3.839462E-16
2.612051E+03	6.353155E-15	3.885474E-16
2.651628E+03	6.558501E-15	3.924451E-16
2.691204E+03	6.761217E-15	3.956367E-16
2.730781E+03	6.963946E-15	3.982835E-16
2.770357E+03	7.170978E-15	4.006223E-16
2.809934E+03	7.387592E-15	4.029217E-16
2.849510E+03	7.620518E-15	4.055004E-16
2.889087E+03	7.874232E-15	4.085255E-16
2.928663E+03	8.157311E-15	4.123490E-16
2.968240E+03	8.474558E-15	4.170937E-16
2.978134E+03	8.559049E-15	4.184006E-16
2.988028E+03	8.646820E-15	4.198107E-16
2.997922E+03	8.737910E-15	4.213224E-16
3.007816E+03	8.831243E-15	4.228813E-16
3.017710E+03	8.926918E-15	4.244899E-16
3.027605E+03	9.026165E-15	4.262041E-16
3.037499E+03	9.127858E-15	4.279679E-16
3.047393E+03	9.233156E-15	4.298328E-16
3.057287E+03	9.342182E-15	4.318013E-16
3.067181E+03	9.454880E-15	4.338673E-16
3.077075E+03	9.570032E-15	4.359719E-16
3.086969E+03	9.688712E-15	4.381616E-16
3.096864E+03	9.810836E-15	4.404294E-16
3.106758E+03	9.936307E-15	4.427678E-16
3.116652E+03	1.006500E-14	4.451685E-16
3.126546E+03	1.019678E-14	4.476227E-16
3.136440E+03	1.033266E-14	4.501719E-16
3.146334E+03	1.047011E-14	4.527028E-16
3.156228E+03	1.061125E-14	4.553062E-16
3.166122E+03	1.075469E-14	4.579185E-16
3.176017E+03	1.090010E-14	4.605254E-16
3.185911E+03	1.104840E-14	4.631632E-16
3.195805E+03	1.119922E-14	4.658144E-16
3.205699E+03	1.135095E-14	4.684113E-16
3.215593E+03	1.150435E-14	4.709842E-16
3.225487E+03	1.165890E-14	4.735116E-16
3.235381E+03	1.181285E-14	4.759224E-16
3.245276E+03	1.196801E-14	4.782904E-16
3.255170E+03	1.212127E-14	4.804922E-16
3.265064E+03	1.227433E-14	4.825972E-16
3.274958E+03	1.242518E-14	4.845285E-16
