#wls	flux	fluxerr
1.600000E+03	4.365438E-15	4.248369E-16
1.640000E+03	4.481384E-15	4.303549E-16
1.680000E+03	4.599771E-15	4.357327E-16
1.720000E+03	4.719220E-15	4.408281E-16
1.760000E+03	4.840883E-15	4.457395E-16
1.800000E+03	4.963049E-15	4.502993E-16
1.840000E+03	5.084719E-15	4.544135E-16
1.880000E+03	5.205763E-15	4.580700E-16
1.920000E+03	5.324089E-15	4.610885E-16
1.960000E+03	5.439754E-15	4.634840E-16
2.000000E+03	5.553295E-15	4.653120E-16
2.040000E+03	5.662803E-15	4.664246E-16
2.080000E+03	5.772520E-15	4.671829E-16
2.120000E+03	5.882163E-15	4.675653E-16
2.160000E+03	5.995097E-15	4.678369E-16
2.200000E+03	6.115465E-15	4.683029E-16
2.240000E+03	6.245898E-15	4.691283E-16
2.280000E+03	6.391198E-15	4.706214E-16
2.320000E+03	6.553205E-15	4.728485E-16
2.360000E+03	6.732930E-15	4.758040E-16
2.400000E+03	6.929217E-15	4.793260E-16
2.440000E+03	7.140231E-15	4.832137E-16
2.480000E+03	7.364981E-15	4.873330E-16
2.520000E+03	7.601290E-15	4.914800E-16
2.560000E+03	7.848885E-15	4.955845E-16
2.600000E+03	8.107472E-15	4.995783E-16
2.640000E+03	8.380363E-15	5.036126E-16
2.680000E+03	8.665170E-15	5.074863E-16
2.720000E+03	8.963678E-15	5.112530E-16
2.760000E+03	9.273547E-15	5.147254E-16
2.800000E+03	9.599529E-15	5.181114E-16
2.840000E+03	9.942127E-15	5.213687E-16
2.880000E+03	1.030954E-14	5.248467E-16
2.920000E+03	1.070444E-14	5.285745E-16
2.960000E+03	1.113335E-14	5.327546E-16
3.000000E+03	1.160042E-14	5.374448E-16
3.010000E+03	1.172361E-14	5.387009E-16
3.020000E+03	1.184861E-14	5.399512E-16
3.030000E+03	1.197685E-14	5.412579E-16
3.040000E+03	1.210828E-14	5.426167E-16
3.050000E+03	1.224137E-14	5.439563E-16
3.060000E+03	1.237755E-14	5.453380E-16
3.070000E+03	1.251522E-14	5.466896E-16
3.080000E+03	1.265727E-14	5.481353E-16
3.090000E+03	1.280060E-14	5.495381E-16
3.100000E+03	1.294807E-14	5.510184E-16
3.110000E+03	1.309655E-14	5.524404E-16
3.120000E+03	1.324732E-14	5.538583E-16
3.130000E+03	1.340172E-14	5.553251E-16
3.140000E+03	1.355649E-14	5.567045E-16
3.150000E+03	1.371441E-14	5.581099E-16
3.160000E+03	1.387368E-14	5.594667E-16
3.170000E+03	1.403550E-14	5.608223E-16
3.180000E+03	1.419650E-14	5.620417E-16
3.190000E+03	1.435931E-14	5.632306E-16
3.200000E+03	1.452353E-14	5.643725E-16
3.210000E+03	1.468716E-14	5.653906E-16
3.220000E+03	1.485124E-14	5.663262E-16
3.230000E+03	1.501521E-14	5.671599E-16
