#wls	flux	fluxerr
1.600000E+03	3.636413E-15	4.262206E-16
1.640000E+03	3.715302E-15	4.297541E-16
1.680000E+03	3.791909E-15	4.327186E-16
1.720000E+03	3.867379E-15	4.352508E-16
1.760000E+03	3.941006E-15	4.372743E-16
1.800000E+03	4.012857E-15	4.388029E-16
1.840000E+03	4.083168E-15	4.398677E-16
1.880000E+03	4.152366E-15	4.405197E-16
1.920000E+03	4.221817E-15	4.409048E-16
1.960000E+03	4.292441E-15	4.411149E-16
2.000000E+03	4.365424E-15	4.412623E-16
2.040000E+03	4.442933E-15	4.415492E-16
2.080000E+03	4.525179E-15	4.419719E-16
2.120000E+03	4.615395E-15	4.428152E-16
2.160000E+03	4.715338E-15	4.442025E-16
2.200000E+03	4.826819E-15	4.462492E-16
2.240000E+03	4.951750E-15	4.490669E-16
2.280000E+03	5.092070E-15	4.527548E-16
2.320000E+03	5.251089E-15	4.575170E-16
2.360000E+03	5.429608E-15	4.633192E-16
2.400000E+03	5.629337E-15	4.701965E-16
2.440000E+03	5.853149E-15	4.782659E-16
2.480000E+03	6.103516E-15	4.875914E-16
2.520000E+03	6.383353E-15	4.982534E-16
2.560000E+03	6.697832E-15	5.104824E-16
2.600000E+03	7.049570E-15	5.242817E-16
2.640000E+03	7.443520E-15	5.398047E-16
2.680000E+03	7.878498E-15	5.567356E-16
2.720000E+03	8.355839E-15	5.749426E-16
2.760000E+03	8.870750E-15	5.938756E-16
2.800000E+03	9.419757E-15	6.131079E-16
2.840000E+03	9.995175E-15	6.319751E-16
2.880000E+03	1.058710E-14	6.497391E-16
2.920000E+03	1.118464E-14	6.656807E-16
2.960000E+03	1.177613E-14	6.791253E-16
3.000000E+03	1.234529E-14	6.892312E-16
3.010000E+03	1.248210E-14	6.911450E-16
3.020000E+03	1.261628E-14	6.927966E-16
3.030000E+03	1.274750E-14	6.941737E-16
3.040000E+03	1.287550E-14	6.952658E-16
3.050000E+03	1.299996E-14	6.960615E-16
3.060000E+03	1.312059E-14	6.965504E-16
3.070000E+03	1.323706E-14	6.967224E-16
3.080000E+03	1.334908E-14	6.965688E-16
3.090000E+03	1.345637E-14	6.960807E-16
3.100000E+03	1.355861E-14	6.952501E-16
3.110000E+03	1.365553E-14	6.940710E-16
3.120000E+03	1.374684E-14	6.925368E-16
3.130000E+03	1.383368E-14	6.907124E-16
3.140000E+03	1.391296E-14	6.884527E-16
3.150000E+03	1.398726E-14	6.858950E-16
3.160000E+03	1.405492E-14	6.829665E-16
3.170000E+03	1.411573E-14	6.796661E-16
3.180000E+03	1.416946E-14	6.759944E-16
3.190000E+03	1.421733E-14	6.720181E-16
3.200000E+03	1.425778E-14	6.676738E-16
3.210000E+03	1.429065E-14	6.629639E-16
3.220000E+03	1.431582E-14	6.578950E-16
3.230000E+03	1.433455E-14	6.525348E-16
3.240000E+03	1.434540E-14	6.468278E-16
3.250000E+03	1.434832E-14	6.407830E-16
3.260000E+03	1.434463E-14	6.344696E-16
3.270000E+03	1.433297E-14	6.278384E-16
3.280000E+03	1.431340E-14	6.209020E-16
3.290000E+03	1.428728E-14	6.137303E-16
3.300000E+03	1.425340E-14	6.062811E-16
3.310000E+03	1.421315E-14	5.986233E-16
3.320000E+03	1.416540E-14	5.907186E-16
3.330000E+03	1.411159E-14	5.826364E-16
3.340000E+03	1.405069E-14	5.743426E-16
3.350000E+03	1.398414E-14	5.659050E-16
3.360000E+03	1.391099E-14	5.572934E-16
3.370000E+03	1.383273E-14	5.485748E-16
3.380000E+03	1.374964E-14	5.397673E-16
3.390000E+03	1.366090E-14	5.308452E-16
3.400000E+03	1.356802E-14	5.218731E-16
3.410000E+03	1.347024E-14	5.128280E-16
3.420000E+03	1.336907E-14	5.037725E-16
3.430000E+03	1.266444E-14	4.723304E-16
3.432000E+03	1.264625E-14	4.706803E-16
3.434000E+03	1.263967E-14	4.694657E-16
3.436000E+03	1.261965E-14	4.677555E-16
3.438000E+03	1.258966E-14	4.656816E-16
3.440000E+03	1.255879E-14	4.635811E-16
3.442000E+03	1.253606E-14	4.617868E-16
3.444000E+03	1.250039E-14	4.595220E-16
3.446000E+03	1.247029E-14	4.574684E-16
3.448000E+03	1.244702E-14	4.556715E-16
3.450000E+03	1.242758E-14	4.540193E-16
3.452000E+03	1.240037E-14	4.520887E-16
3.454000E+03	1.237913E-14	4.503808E-16
3.456000E+03	1.237110E-14	4.491580E-16
3.458000E+03	1.235104E-14	4.475016E-16
3.460000E+03	1.232707E-14	4.457089E-16
3.462000E+03	1.230692E-14	4.440592E-16
3.464000E+03	1.229611E-14	4.427501E-16
3.466000E+03	1.228010E-14	4.412581E-16
3.468000E+03	1.225298E-14	4.393715E-16
3.470000E+03	1.221945E-14	4.372615E-16
3.472000E+03	1.220331E-14	4.357790E-16
3.474000E+03	1.218627E-14	4.342685E-16
