#wls	flux	fluxerr
1.600000E+03	9.770042E-15	1.178561E-15
1.640000E+03	9.966976E-15	1.093470E-15
1.680000E+03	1.015445E-14	1.003866E-15
1.720000E+03	1.032992E-14	9.102743E-16
1.760000E+03	1.049196E-14	8.135041E-16
1.800000E+03	1.064046E-14	7.146184E-16
1.840000E+03	1.077257E-14	6.146683E-16
1.880000E+03	1.089133E-14	5.152970E-16
1.920000E+03	1.099913E-14	4.183421E-16
1.960000E+03	1.110109E-14	3.262891E-16
2.000000E+03	1.120425E-14	2.429586E-16
2.040000E+03	1.131676E-14	1.754808E-16
2.080000E+03	1.143694E-14	1.367080E-16
2.120000E+03	1.155402E-14	1.321383E-16
2.160000E+03	1.168498E-14	1.397234E-16
2.200000E+03	1.183477E-14	1.430402E-16
2.240000E+03	1.199325E-14	1.452721E-16
2.280000E+03	1.213759E-14	1.597009E-16
2.320000E+03	1.226761E-14	1.873427E-16
2.360000E+03	1.239695E-14	2.166731E-16
2.400000E+03	1.253006E-14	2.378390E-16
2.440000E+03	1.267028E-14	2.448721E-16
2.480000E+03	1.282598E-14	2.347949E-16
2.520000E+03	1.300731E-14	2.073806E-16
2.560000E+03	1.322382E-14	1.673947E-16
2.600000E+03	1.346625E-14	1.347234E-16
2.640000E+03	1.369332E-14	1.530913E-16
2.680000E+03	1.391325E-14	2.211968E-16
2.720000E+03	1.415985E-14	3.057638E-16
2.760000E+03	1.443361E-14	3.918909E-16
2.800000E+03	1.472019E-14	4.731590E-16
2.840000E+03	1.500300E-14	5.455203E-16
2.880000E+03	1.526835E-14	6.058611E-16
2.920000E+03	1.550510E-14	6.516710E-16
2.960000E+03	1.570756E-14	6.811718E-16
3.000000E+03	1.587211E-14	6.932540E-16
3.010000E+03	1.590774E-14	6.935192E-16
3.020000E+03	1.594081E-14	6.926656E-16
3.030000E+03	1.597134E-14	6.906982E-16
3.040000E+03	1.600006E-14	6.876556E-16
3.050000E+03	1.602664E-14	6.835325E-16
3.060000E+03	1.605113E-14	6.783428E-16
3.070000E+03	1.607393E-14	6.721176E-16
3.080000E+03	1.609475E-14	6.648618E-16
3.090000E+03	1.611368E-14	6.565986E-16
3.100000E+03	1.613148E-14	6.473809E-16
3.110000E+03	1.614757E-14	6.372097E-16
3.120000E+03	1.616240E-14	6.261300E-16
3.130000E+03	1.617577E-14	6.141636E-16
3.140000E+03	1.618878E-14	6.013845E-16
3.150000E+03	1.620061E-14	5.877959E-16
3.160000E+03	1.621174E-14	5.734533E-16
3.170000E+03	1.622265E-14	5.584133E-16
3.180000E+03	1.623351E-14	5.427239E-16
3.190000E+03	1.624389E-14	5.264165E-16
3.200000E+03	1.625491E-14	5.095761E-16
3.210000E+03	1.626615E-14	4.922411E-16
3.220000E+03	1.627812E-14	4.744827E-16
3.230000E+03	1.629074E-14	4.563580E-16
3.240000E+03	1.630451E-14	4.379453E-16
3.250000E+03	1.631963E-14	4.193186E-16
3.260000E+03	1.633630E-14	4.005570E-16
3.270000E+03	1.635442E-14	3.817390E-16
3.280000E+03	1.637445E-14	3.629626E-16
3.290000E+03	1.639651E-14	3.443256E-16
3.300000E+03	1.749573E-14	9.059548E-16
3.302000E+03	1.749444E-14	9.056534E-16
3.304000E+03	1.749451E-14	9.053632E-16
3.306000E+03	1.749457E-14	9.050737E-16
3.308000E+03	1.749463E-14	9.047849E-16
3.310000E+03	1.749469E-14	9.044970E-16
3.312000E+03	1.749430E-14	9.042064E-16
3.314000E+03	1.749301E-14	9.039100E-16
3.316000E+03	1.749129E-14	9.036110E-16
3.318000E+03	1.748911E-14	9.033096E-16
3.320000E+03	1.748559E-14	9.029991E-16
3.322000E+03	1.748073E-14	9.026796E-16
3.324000E+03	1.747542E-14	9.023579E-16
3.326000E+03	1.745984E-14	9.349651E-16
3.328000E+03	1.744828E-14	9.381088E-16
3.330000E+03	1.743493E-14	9.017171E-16
3.332000E+03	1.741622E-14	9.105930E-16
3.334000E+03	1.739840E-14	9.103983E-16
3.336000E+03	1.738863E-14	7.418888E-16
3.338000E+03	1.739182E-14	7.427165E-16
3.340000E+03	1.738473E-14	7.423400E-16
3.342000E+03	1.736021E-14	7.477283E-16
3.344000E+03	1.733972E-14	7.112532E-16
3.346000E+03	1.732370E-14	7.126083E-16
3.348000E+03	1.730544E-14	7.122862E-16
3.350000E+03	1.729434E-14	7.215111E-16
3.352000E+03	1.726760E-14	6.864397E-16
3.354000E+03	1.724399E-14	6.854710E-16
3.356000E+03	1.723467E-14	6.796921E-16
3.358000E+03	1.722982E-14	6.829344E-16
3.360000E+03	1.722050E-14	6.852818E-16
3.362000E+03	1.722191E-14	6.599420E-16
3.364000E+03	1.721929E-14	6.572587E-16
3.366000E+03	1.721578E-14	6.971182E-16
3.368000E+03	1.721093E-14	6.985486E-16
3.370000E+03	1.721367E-14	6.977096E-16
3.372000E+03	1.720436E-14	6.930058E-16
3.374000E+03	1.720084E-14	7.095063E-16
3.376000E+03	1.719867E-14	6.779312E-16
3.378000E+03	1.719695E-14	6.651547E-16
3.380000E+03	1.720594E-14	6.635498E-16
3.382000E+03	1.720599E-14	6.563926E-16
3.384000E+03	1.721052E-14	6.536195E-16
3.386000E+03	1.722352E-14	6.519774E-16
3.388000E+03	1.722670E-14	6.058935E-16
3.390000E+03	1.722899E-14	5.742348E-16
3.392000E+03	1.724243E-14	5.347170E-16
3.394000E+03	1.724873E-14	5.318118E-16
3.396000E+03	1.727467E-14	5.134943E-16
3.398000E+03	1.730907E-14	5.143985E-16
3.400000E+03	1.733991E-14	5.076294E-16
3.402000E+03	1.737476E-14	5.093378E-16
3.404000E+03	1.741807E-14	5.043172E-16
3.406000E+03	1.742659E-14	4.956272E-16
3.408000E+03	1.745251E-14	4.981309E-16
3.410000E+03	1.748244E-14	5.031882E-16
3.412000E+03	1.745438E-14	4.550646E-16
3.414000E+03	1.744951E-14	4.850436E-16
3.416000E+03	1.744643E-14	4.535106E-16
3.418000E+03	1.743889E-14	4.590144E-16
3.420000E+03	1.741664E-14	4.616296E-16
3.422000E+03	1.740776E-14	4.597603E-16
3.424000E+03	1.738551E-14	4.365743E-16
3.426000E+03	1.737396E-14	4.232215E-16
3.428000E+03	1.738024E-14	4.504451E-16
3.430000E+03	1.736914E-14	4.779319E-16
3.432000E+03	1.736204E-14	4.778127E-16
3.434000E+03	1.735585E-14	4.771854E-16
3.436000E+03	1.735188E-14	4.783895E-16
3.438000E+03	1.732339E-14	4.836694E-16
3.440000E+03	1.730650E-14	4.841194E-16
3.442000E+03	1.728648E-14	4.837856E-16
3.444000E+03	1.728296E-14	4.826209E-16
3.446000E+03	1.728033E-14	4.892947E-16
3.448000E+03	1.727057E-14	4.884050E-16
3.450000E+03	1.725279E-14	4.826582E-16
3.452000E+03	1.726531E-14	4.818349E-16
3.454000E+03	1.723817E-14	4.811610E-16
3.456000E+03	1.720837E-14	4.890284E-16
3.458000E+03	1.720351E-14	4.849094E-16
3.460000E+03	1.720623E-14	4.798727E-16
3.462000E+03	1.720627E-14	4.854350E-16
3.464000E+03	1.722859E-14	4.485162E-16
3.466000E+03	1.724823E-14	4.412640E-16
3.468000E+03	1.723045E-14	4.392605E-16
3.470000E+03	1.724386E-14	4.669741E-16
3.472000E+03	1.725859E-14	4.664578E-16
3.474000E+03	1.726442E-14	4.704390E-16
3.476000E+03	1.726179E-14	4.665792E-16
3.478000E+03	1.727162E-14	4.451725E-16
3.480000E+03	1.728547E-14	4.334257E-16
3.482000E+03	1.729263E-14	4.411758E-16
3.484000E+03	1.729266E-14	4.453981E-16
3.486000E+03	1.729092E-14	4.421499E-16
3.488000E+03	1.731766E-14	4.371110E-16
3.490000E+03	1.732126E-14	4.402012E-16
3.492000E+03	1.731506E-14	4.436390E-16
3.494000E+03	1.731108E-14	4.704956E-16
3.496000E+03	1.730400E-14	4.706034E-16
3.498000E+03	1.730714E-14	4.810885E-16
3.500000E+03	1.729516E-14	4.802173E-16
3.502000E+03	1.728585E-14	4.801958E-16
3.504000E+03	1.728321E-14	4.775320E-16
3.506000E+03	1.728636E-14	4.753081E-16
3.508000E+03	1.728416E-14	4.835250E-16
3.510000E+03	1.728330E-14	4.964843E-16
3.512000E+03	1.727711E-14	4.925426E-16
3.514000E+03	1.726957E-14	4.886821E-16
3.516000E+03	1.726471E-14	4.738409E-16
3.518000E+03	1.726563E-14	4.732284E-16
3.520000E+03	1.726878E-14	4.310274E-16
3.522000E+03	1.727059E-14	4.289621E-16
3.524000E+03	1.726839E-14	4.393764E-16
3.526000E+03	1.726353E-14	4.384423E-16
3.528000E+03	1.726311E-14	4.364826E-16
3.530000E+03	1.725558E-14	4.354766E-16
3.532000E+03	1.725783E-14	4.755945E-16
3.534000E+03	1.726009E-14	4.821716E-16
3.536000E+03	1.726856E-14	4.818693E-16
3.538000E+03	1.727348E-14	4.812735E-16
3.540000E+03	1.725439E-14	4.749014E-16
3.542000E+03	1.723530E-14	4.679347E-16
3.544000E+03	1.722643E-14	4.288207E-16
3.546000E+03	1.722024E-14	4.209599E-16
3.548000E+03	1.720426E-14	3.863858E-16
3.550000E+03	1.718918E-14	3.837002E-16
3.552000E+03	1.716254E-14	3.903397E-16
3.554000E+03	1.715724E-14	4.256569E-16
3.556000E+03	1.715238E-14	4.482306E-16
3.558000E+03	1.713685E-14	4.440078E-16
3.560000E+03	1.711733E-14	4.486895E-16
3.562000E+03	1.710358E-14	4.526640E-16
3.564000E+03	1.707473E-14	4.652719E-16
3.566000E+03	1.705033E-14	4.636384E-16
3.568000E+03	1.702681E-14	4.834872E-16
3.570000E+03	1.700241E-14	4.849447E-16
3.572000E+03	1.696424E-14	4.856911E-16
3.574000E+03	1.694474E-14	4.764751E-16
3.576000E+03	1.691235E-14	4.754472E-16
3.578000E+03	1.688396E-14	4.760366E-16
3.580000E+03	1.686046E-14	4.665858E-16
3.582000E+03	1.682187E-14	4.061178E-16
3.584000E+03	1.679127E-14	3.834455E-16
3.586000E+03	1.676512E-14	3.831400E-16
3.588000E+03	1.672786E-14	3.979184E-16
3.590000E+03	1.670749E-14	4.281577E-16
3.592000E+03	1.669156E-14	4.506223E-16
3.594000E+03	1.667429E-14	4.554001E-16
3.596000E+03	1.666858E-14	4.563298E-16
3.598000E+03	1.664821E-14	4.571715E-16
3.600000E+03	1.662918E-14	4.597697E-16
3.602000E+03	1.661148E-14	4.599051E-16
3.604000E+03	1.659956E-14	4.445059E-16
3.606000E+03	1.657387E-14	4.398622E-16
3.608000E+03	1.655130E-14	4.390461E-16
3.610000E+03	1.653184E-14	4.289252E-16
3.612000E+03	1.651637E-14	4.223758E-16
3.614000E+03	1.649957E-14	4.107014E-16
3.616000E+03	1.647878E-14	4.100517E-16
3.618000E+03	1.646155E-14	3.759297E-16
3.620000E+03	1.643144E-14	3.683696E-16
3.622000E+03	1.640445E-14	3.817856E-16
3.624000E+03	1.637169E-14	3.857436E-16
3.626000E+03	1.634337E-14	3.870556E-16
3.628000E+03	1.632438E-14	3.817001E-16
3.630000E+03	1.630227E-14	3.915661E-16
3.632000E+03	1.628683E-14	3.910503E-16
3.634000E+03	1.627804E-14	3.928557E-16
3.636000E+03	1.627280E-14	3.951630E-16
3.638000E+03	1.626046E-14	3.878379E-16
3.640000E+03	1.624591E-14	3.652160E-16
3.642000E+03	1.623624E-14	3.414920E-16
3.644000E+03	1.623012E-14	3.331414E-16
3.646000E+03	1.622710E-14	3.296484E-16
3.648000E+03	1.621034E-14	3.299129E-16
3.650000E+03	1.620289E-14	3.269826E-16
3.652000E+03	1.620076E-14	3.323344E-16
3.654000E+03	1.620440E-14	3.256552E-16
3.656000E+03	1.621867E-14	3.037173E-16
3.658000E+03	1.625024E-14	3.117351E-16
3.660000E+03	1.627205E-14	3.157345E-16
3.662000E+03	1.628499E-14	3.173035E-16
3.664000E+03	1.630812E-14	3.190714E-16
3.666000E+03	1.634500E-14	3.185316E-16
3.668000E+03	1.639206E-14	3.174685E-16
3.670000E+03	1.643380E-14	3.188075E-16
3.672000E+03	1.645737E-14	3.102050E-16
3.674000E+03	1.648670E-14	3.111413E-16
3.676000E+03	1.652621E-14	3.085386E-16
3.678000E+03	1.657149E-14	3.107049E-16
3.680000E+03	1.661897E-14	3.017928E-16
3.682000E+03	1.666335E-14	2.992066E-16
3.684000E+03	1.670905E-14	2.978265E-16
3.686000E+03	1.674943E-14	2.978999E-16
3.688000E+03	1.677121E-14	2.953489E-16
3.690000E+03	1.679298E-14	2.955168E-16
3.692000E+03	1.683026E-14	2.939101E-16
3.694000E+03	1.686177E-14	2.932675E-16
3.696000E+03	1.690258E-14	2.937170E-16
3.698000E+03	1.695401E-14	2.936518E-16
3.700000E+03	1.699925E-14	2.901273E-16
3.702000E+03	1.704315E-14	2.866037E-16
3.704000E+03	1.708040E-14	2.870705E-16
3.706000E+03	1.711278E-14	2.877536E-16
3.708000E+03	1.712789E-14	2.869885E-16
3.710000E+03	1.715096E-14	2.792939E-16
3.712000E+03	1.718201E-14	2.819687E-16
3.714000E+03	1.723164E-14	2.782044E-16
3.716000E+03	1.729322E-14	2.785631E-16
3.718000E+03	1.734993E-14	2.783450E-16
3.720000E+03	1.740486E-14	2.777777E-16
3.722000E+03	1.745359E-14	2.874367E-16
3.724000E+03	1.749878E-14	2.880005E-16
3.726000E+03	1.754484E-14	3.146106E-16
3.728000E+03	1.757984E-14	3.151581E-16
3.730000E+03	1.762502E-14	3.152481E-16
3.732000E+03	1.767063E-14	3.139665E-16
3.734000E+03	1.770208E-14	3.152319E-16
3.736000E+03	1.773352E-14	3.197477E-16
3.738000E+03	1.775612E-14	3.435054E-16
3.740000E+03	1.778535E-14	3.530750E-16
3.742000E+03	1.782652E-14	3.581579E-16
3.744000E+03	1.787432E-14	3.838197E-16
3.746000E+03	1.792478E-14	3.872731E-16
3.748000E+03	1.796372E-14	3.950246E-16
