#wls	flux	fluxerr
1.600000E+03	5.001910E-15	6.438585E-16
1.640000E+03	5.104094E-15	6.082432E-16
1.680000E+03	5.205951E-15	5.714067E-16
1.720000E+03	5.305843E-15	5.334568E-16
1.760000E+03	5.404013E-15	4.947914E-16
1.800000E+03	5.500717E-15	4.558755E-16
1.840000E+03	5.594189E-15	4.171145E-16
1.880000E+03	5.684810E-15	3.792466E-16
1.920000E+03	5.772158E-15	3.431215E-16
1.960000E+03	5.856174E-15	3.098317E-16
2.000000E+03	5.937322E-15	2.807169E-16
2.040000E+03	6.016720E-15	2.572672E-16
2.080000E+03	6.098371E-15	2.408995E-16
2.120000E+03	6.182354E-15	2.320352E-16
2.160000E+03	6.273173E-15	2.298845E-16
2.200000E+03	6.372311E-15	2.327713E-16
2.240000E+03	6.483780E-15	2.390964E-16
2.280000E+03	6.611388E-15	2.475175E-16
2.320000E+03	6.755165E-15	2.566400E-16
2.360000E+03	6.917117E-15	2.652667E-16
2.400000E+03	7.095288E-15	2.724282E-16
2.440000E+03	7.289981E-15	2.777934E-16
2.480000E+03	7.501851E-15	2.817703E-16
2.520000E+03	7.731052E-15	2.856445E-16
2.560000E+03	7.979984E-15	2.917444E-16
2.600000E+03	8.252197E-15	3.031267E-16
2.640000E+03	8.551504E-15	3.226324E-16
2.680000E+03	8.877382E-15	3.511487E-16
2.720000E+03	9.229134E-15	3.875706E-16
2.760000E+03	9.604619E-15	4.297314E-16
2.800000E+03	1.000220E-14	4.751506E-16
2.840000E+03	1.042075E-14	5.213842E-16
2.880000E+03	1.086071E-14	5.662109E-16
2.920000E+03	1.132224E-14	6.075684E-16
2.960000E+03	1.180605E-14	6.435817E-16
3.000000E+03	1.230701E-14	6.721995E-16
3.010000E+03	1.243434E-14	6.779724E-16
3.020000E+03	1.256440E-14	6.832478E-16
3.030000E+03	1.269270E-14	6.877580E-16
3.040000E+03	1.282342E-14	6.917080E-16
3.050000E+03	1.295491E-14	6.949878E-16
3.060000E+03	1.308554E-14	6.974888E-16
3.070000E+03	1.321653E-14	6.992590E-16
3.080000E+03	1.334911E-14	7.003448E-16
3.090000E+03	1.348013E-14	7.005636E-16
3.100000E+03	1.361077E-14	6.999639E-16
3.110000E+03	1.374220E-14	6.985921E-16
3.120000E+03	1.387122E-14	6.962733E-16
3.130000E+03	1.400041E-14	6.931294E-16
3.140000E+03	1.412943E-14	6.891338E-16
3.150000E+03	1.425502E-14	6.841227E-16
3.160000E+03	1.437970E-14	6.782169E-16
3.170000E+03	1.450163E-14	6.713290E-16
3.180000E+03	1.462185E-14	6.635104E-16
3.190000E+03	1.473990E-14	6.547458E-16
3.200000E+03	1.485393E-14	6.449610E-16
3.210000E+03	1.496488E-14	6.342130E-16
3.220000E+03	1.507230E-14	6.224971E-16
3.230000E+03	1.517568E-14	6.098133E-16
3.240000E+03	1.527313E-14	5.961116E-16
3.250000E+03	1.536696E-14	5.815130E-16
3.260000E+03	1.545388E-14	5.659259E-16
3.270000E+03	1.553616E-14	5.494751E-16
3.280000E+03	1.561192E-14	5.321360E-16
3.290000E+03	1.568068E-14	5.139435E-16
3.300000E+03	1.574333E-14	4.949822E-16
3.310000E+03	1.579805E-14	4.752558E-16
3.320000E+03	1.584576E-14	4.548609E-16
3.330000E+03	1.588603E-14	4.338587E-16
3.340000E+03	1.591720E-14	4.122873E-16
3.350000E+03	1.594025E-14	3.902666E-16
3.360000E+03	1.595487E-14	3.678916E-16
3.370000E+03	1.596085E-14	3.452716E-16
3.380000E+03	1.595798E-14	3.225330E-16
3.390000E+03	1.594737E-14	2.998462E-16
3.400000E+03	1.592772E-14	2.773583E-16
3.410000E+03	1.589902E-14	2.552770E-16
3.420000E+03	1.586252E-14	2.338709E-16
3.430000E+03	1.581717E-14	2.134278E-16
3.440000E+03	1.576427E-14	1.943415E-16
3.450000E+03	1.570403E-14	1.770726E-16
3.460000E+03	1.563667E-14	1.621673E-16
3.470000E+03	1.556246E-14	1.502236E-16
3.480000E+03	1.548263E-14	1.418054E-16
3.490000E+03	1.539517E-14	1.372371E-16
3.500000E+03	1.530213E-14	1.364648E-16
