#wls	flux	fluxerr	mangling_mask
3.700000E+03	7.319088E-15	3.599968E-16	4.995965E-01
3.701920E+03	7.347187E-15	3.605809E-16	4.996047E-01
3.703840E+03	7.379780E-15	3.613472E-16	4.996128E-01
3.705760E+03	7.409375E-15	3.619837E-16	4.996207E-01
3.707680E+03	7.442966E-15	3.627807E-16	4.996285E-01
3.709600E+03	7.478055E-15	3.636343E-16	4.996362E-01
3.711520E+03	7.519138E-15	3.647299E-16	4.996437E-01
3.713440E+03	7.566216E-15	3.660666E-16	4.996510E-01
3.715360E+03	7.614792E-15	3.674578E-16	4.996583E-01
3.717280E+03	7.666865E-15	3.689856E-16	4.996653E-01
3.719200E+03	7.715939E-15	3.703822E-16	4.996722E-01
3.721120E+03	7.767510E-15	3.718740E-16	4.996790E-01
3.723040E+03	7.820080E-15	3.733988E-16	4.996856E-01
3.724960E+03	7.864155E-15	3.745677E-16	4.996921E-01
3.726880E+03	7.907228E-15	3.763487E-16	4.996985E-01
3.728800E+03	7.950301E-15	3.781069E-16	4.997046E-01
3.730720E+03	7.991873E-15	3.867300E-16	4.997107E-01
3.732640E+03	8.029945E-15	3.845355E-16	4.997165E-01
3.734560E+03	8.068016E-15	3.850493E-16	4.997223E-01
3.736480E+03	8.105086E-15	4.032745E-16	4.997278E-01
3.738400E+03	8.145153E-15	4.599673E-16	4.997333E-01
3.740320E+03	8.188216E-15	4.959957E-16	4.997385E-01
3.742240E+03	8.234276E-15	5.566022E-16	4.997437E-01
3.744160E+03	8.280835E-15	5.936914E-16	4.997486E-01
3.746080E+03	8.328391E-15	6.083059E-16	4.997534E-01
3.748000E+03	8.375446E-15	6.086400E-16	4.997581E-01
3.749920E+03	8.416002E-15	6.035067E-16	4.997626E-01
3.751840E+03	8.454057E-15	6.081703E-16	4.997669E-01
3.753760E+03	8.485614E-15	6.187033E-16	4.997711E-01
3.755680E+03	8.510171E-15	6.209047E-16	4.997751E-01
3.757600E+03	8.537725E-15	6.212356E-16	4.997790E-01
3.759520E+03	8.562278E-15	6.249339E-16	4.997827E-01
3.761440E+03	8.584329E-15	6.431908E-16	4.997863E-01
3.763360E+03	8.604879E-15	6.529626E-16	4.997897E-01
3.765280E+03	8.622927E-15	6.711473E-16	4.997929E-01
3.767200E+03	8.636475E-15	6.819895E-16	4.997960E-01
3.769120E+03	8.648521E-15	6.840510E-16	4.997989E-01
3.771040E+03	8.661063E-15	6.831209E-16	4.998017E-01
3.772960E+03	8.667606E-15	6.830280E-16	4.998043E-01
3.774880E+03	8.674645E-15	6.835805E-16	4.998067E-01
3.776800E+03	8.684681E-15	6.834794E-16	4.998090E-01
3.778720E+03	8.701211E-15	6.849193E-16	4.998111E-01
3.780640E+03	8.713740E-15	6.783524E-16	4.998130E-01
3.782560E+03	8.728766E-15	6.838581E-16	4.998148E-01
3.784480E+03	8.743788E-15	6.870437E-16	4.998164E-01
3.786400E+03	8.752311E-15	6.889021E-16	4.998179E-01
3.788320E+03	8.760330E-15	6.559619E-16	4.998191E-01
3.790240E+03	8.766348E-15	6.270750E-16	4.998203E-01
3.792160E+03	8.773861E-15	5.632935E-16	4.998212E-01
3.794080E+03	8.777374E-15	5.095944E-16	4.998220E-01
3.796000E+03	8.777885E-15	4.790067E-16	4.998226E-01
3.797920E+03	8.772394E-15	4.845250E-16	4.998230E-01
3.799840E+03	8.764902E-15	5.030591E-16	4.998233E-01
3.801760E+03	8.762904E-15	5.072157E-16	4.998234E-01
3.803680E+03	8.763903E-15	5.071313E-16	4.998234E-01
3.805600E+03	8.768397E-15	5.094644E-16	4.998231E-01
3.807520E+03	8.768890E-15	5.100201E-16	4.998227E-01
3.809440E+03	8.763881E-15	5.074697E-16	4.998221E-01
3.811360E+03	8.758870E-15	4.918146E-16	4.998214E-01
3.813280E+03	8.750856E-15	4.854648E-16	4.998204E-01
3.815200E+03	8.725346E-15	4.677790E-16	4.998193E-01
3.817120E+03	8.705831E-15	4.550433E-16	4.998181E-01
3.819040E+03	8.691811E-15	4.525374E-16	4.998166E-01
3.820960E+03	8.676788E-15	4.529623E-16	4.998150E-01
3.822880E+03	8.665261E-15	4.586838E-16	4.998132E-01
3.824800E+03	8.653232E-15	4.689253E-16	4.998112E-01
3.826720E+03	8.643198E-15	4.738670E-16	4.998091E-01
3.828640E+03	8.634161E-15	4.740770E-16	4.998067E-01
3.830560E+03	8.636617E-15	4.715194E-16	4.998042E-01
3.832480E+03	8.643068E-15	4.602160E-16	4.998015E-01
3.834400E+03	8.659012E-15	4.469641E-16	4.997987E-01
3.836320E+03	8.687447E-15	4.308172E-16	4.997956E-01
3.838240E+03	8.718378E-15	4.246801E-16	4.997924E-01
3.840160E+03	8.749306E-15	4.271581E-16	4.997890E-01
3.842080E+03	8.779230E-15	4.317210E-16	4.997854E-01
3.844000E+03	8.805152E-15	4.398347E-16	4.997816E-01
3.845920E+03	8.834569E-15	4.514814E-16	4.997776E-01
3.847840E+03	8.861484E-15	4.520189E-16	4.997735E-01
3.849760E+03	8.886395E-15	4.594879E-16	4.997692E-01
3.851680E+03	8.912303E-15	4.766520E-16	4.997646E-01
3.853600E+03	8.944204E-15	4.846270E-16	4.997599E-01
3.855520E+03	8.980099E-15	4.810375E-16	4.997551E-01
3.857440E+03	9.016489E-15	4.805180E-16	4.997500E-01
3.859360E+03	9.054375E-15	4.815075E-16	4.997447E-01
3.861280E+03	9.081762E-15	4.853414E-16	4.997393E-01
3.863200E+03	9.094653E-15	4.830632E-16	4.997336E-01
3.865120E+03	9.103542E-15	4.822661E-16	4.997278E-01
3.867040E+03	9.096936E-15	4.827960E-16	4.997218E-01
3.868960E+03	9.090826E-15	4.877371E-16	4.997156E-01
3.870880E+03	9.085713E-15	4.898424E-16	4.997092E-01
3.872800E+03	9.084594E-15	4.845183E-16	4.997026E-01
3.874720E+03	9.086969E-15	4.676599E-16	4.996958E-01
3.876640E+03	9.100334E-15	4.571181E-16	4.996889E-01
3.878560E+03	9.117692E-15	4.493182E-16	4.996817E-01
3.880480E+03	9.131049E-15	4.636294E-16	4.996743E-01
3.882400E+03	9.138406E-15	5.015828E-16	4.996668E-01
3.884320E+03	9.151755E-15	5.566242E-16	4.996590E-01
3.886240E+03	9.171595E-15	5.977720E-16	4.996511E-01
3.888160E+03	9.188434E-15	6.151404E-16	4.996429E-01
3.890080E+03	9.209765E-15	6.192529E-16	4.996346E-01
3.892000E+03	9.227094E-15	6.183785E-16	4.996261E-01
