#wls	flux	fluxerr
1.595464E+03	1.182137E-02	3.321113E-04
1.635351E+03	1.011914E-02	2.790950E-04
1.675237E+03	8.575380E-03	2.320901E-04
1.715124E+03	7.195653E-03	1.910158E-04
1.755011E+03	5.981508E-03	1.556704E-04
1.794897E+03	4.930100E-03	1.257324E-04
1.834784E+03	4.032745E-03	1.007370E-04
1.874670E+03	3.279645E-03	8.020744E-05
1.914557E+03	2.657378E-03	6.359839E-05
1.954444E+03	2.151360E-03	5.036404E-05
1.994330E+03	1.746680E-03	3.998080E-05
2.034217E+03	1.429401E-03	3.197765E-05
2.074103E+03	1.186832E-03	2.593994E-05
2.113990E+03	1.008748E-03	2.153256E-05
2.153877E+03	8.913451E-04	1.857601E-05
2.193763E+03	8.319894E-04	1.692372E-05
2.233650E+03	8.321548E-04	1.651782E-05
2.273536E+03	9.005282E-04	1.743973E-05
2.313423E+03	1.053278E-03	1.989896E-05
2.353310E+03	1.317231E-03	2.427603E-05
2.393196E+03	1.734174E-03	3.117854E-05
2.433083E+03	2.359656E-03	4.139200E-05
2.472969E+03	3.253734E-03	5.569838E-05
2.512856E+03	4.457418E-03	7.448075E-05
2.552743E+03	5.957709E-03	9.719503E-05
2.592629E+03	7.656526E-03	1.219811E-04
2.632516E+03	9.382586E-03	1.460017E-04
2.672402E+03	1.107177E-02	1.683026E-04
2.712289E+03	1.284433E-02	1.907542E-04
2.752176E+03	1.490988E-02	2.163524E-04
2.792062E+03	1.750238E-02	2.481614E-04
2.831949E+03	2.081770E-02	2.884258E-04
2.871835E+03	2.493075E-02	3.375274E-04
2.911722E+03	2.967181E-02	3.925508E-04
2.951609E+03	3.463981E-02	4.478313E-04
2.991495E+03	3.941137E-02	4.979269E-04
3.001467E+03	4.053828E-02	5.092314E-04
3.011438E+03	4.163082E-02	5.199637E-04
3.021410E+03	4.268587E-02	5.300944E-04
3.031382E+03	4.370222E-02	5.396185E-04
3.041353E+03	4.467566E-02	5.484943E-04
3.051325E+03	4.560260E-02	5.566891E-04
3.061297E+03	4.648000E-02	5.641775E-04
3.071268E+03	4.730237E-02	5.709056E-04
3.081240E+03	4.806476E-02	5.768270E-04
3.091212E+03	4.876400E-02	5.819182E-04
3.101183E+03	4.939286E-02	5.861079E-04
3.111155E+03	4.994752E-02	5.893671E-04
3.121127E+03	5.042297E-02	5.916531E-04
3.131098E+03	5.081958E-02	5.929870E-04
3.141070E+03	5.113357E-02	5.933410E-04
3.151042E+03	5.136750E-02	5.927619E-04
3.161013E+03	5.152665E-02	5.913259E-04
3.170985E+03	5.161805E-02	5.891283E-04
3.180957E+03	5.164960E-02	5.862719E-04
3.190928E+03	5.163640E-02	5.829388E-04
3.200900E+03	5.159066E-02	5.792747E-04
3.210871E+03	5.152871E-02	5.754684E-04
3.220843E+03	5.146568E-02	5.716911E-04
3.230815E+03	5.141844E-02	5.681299E-04
3.240786E+03	5.140232E-02	5.649509E-04
3.250758E+03	5.143150E-02	5.623043E-04
3.260730E+03	5.151774E-02	5.603109E-04
3.270701E+03	5.167274E-02	5.590883E-04
3.280673E+03	5.190536E-02	5.587216E-04
3.290645E+03	5.222174E-02	5.592646E-04
3.300616E+03	5.262814E-02	5.607718E-04
3.310588E+03	5.312781E-02	5.632650E-04
3.320560E+03	5.372476E-02	5.667736E-04
3.330531E+03	5.442082E-02	5.713038E-04
3.340503E+03	5.521843E-02	5.768687E-04
3.350475E+03	5.612001E-02	5.834808E-04
3.360446E+03	5.712804E-02	5.911538E-04
3.370418E+03	5.824510E-02	5.999021E-04
3.380390E+03	5.947281E-02	6.097310E-04
3.390361E+03	6.081437E-02	6.206619E-04
3.400333E+03	6.226994E-02	6.326859E-04
3.410305E+03	6.384259E-02	6.458239E-04
3.420276E+03	6.553087E-02	6.600519E-04
3.428253E+03	6.382509E-02	6.406965E-04
3.430248E+03	6.398196E-02	6.417329E-04
3.432242E+03	6.417948E-02	6.431767E-04
3.434236E+03	6.438781E-02	6.447282E-04
3.436231E+03	6.465054E-02	6.468232E-04
3.438225E+03	6.489695E-02	6.487535E-04
3.440219E+03	6.517336E-02	6.509820E-04
3.442214E+03	6.546617E-02	6.533725E-04
3.444208E+03	6.578907E-02	6.560612E-04
3.446202E+03	6.611479E-02	6.587756E-04
3.448197E+03	6.646793E-02	6.617605E-04
3.450191E+03	6.681848E-02	6.647168E-04
3.452185E+03	6.716638E-02	6.676443E-04
3.454180E+03	6.755002E-02	6.709241E-04
3.456174E+03	6.795024E-02	6.743653E-04
3.458168E+03	6.835612E-02	6.778594E-04
