#wls	flux	fluxerr
1.595464E+03	5.882813E-03	2.241541E-04
1.635351E+03	4.905071E-03	1.839502E-04
1.675237E+03	4.071825E-03	1.502395E-04
1.715124E+03	3.367164E-03	1.221932E-04
1.755011E+03	2.776336E-03	9.905878E-05
1.794897E+03	2.284711E-03	8.012065E-05
1.834784E+03	1.878630E-03	6.472994E-05
1.874670E+03	1.545759E-03	5.231432E-05
1.914557E+03	1.274696E-03	4.236157E-05
1.954444E+03	1.055718E-03	3.444138E-05
1.994330E+03	8.803897E-04	2.818808E-05
2.034217E+03	7.414081E-04	2.329214E-05
2.074103E+03	6.332651E-04	1.951720E-05
2.113990E+03	5.518902E-04	1.668399E-05
2.153877E+03	4.951768E-04	1.468174E-05
2.193763E+03	4.619077E-04	1.343136E-05
2.233650E+03	4.520686E-04	1.289194E-05
2.273536E+03	4.671589E-04	1.306646E-05
2.313423E+03	5.101719E-04	1.399748E-05
2.353310E+03	5.864395E-04	1.578667E-05
2.393196E+03	7.046425E-04	1.861649E-05
2.433083E+03	8.774842E-04	2.276039E-05
2.472969E+03	1.121619E-03	2.857288E-05
2.512856E+03	1.456635E-03	3.645651E-05
2.552743E+03	1.902422E-03	4.679291E-05
2.592629E+03	2.474470E-03	5.983060E-05
2.632516E+03	3.178724E-03	7.557293E-05
2.672402E+03	4.011213E-03	9.378877E-05
2.712289E+03	4.958283E-03	1.140364E-04
2.752176E+03	5.996197E-03	1.356708E-04
2.792062E+03	7.091248E-03	1.578636E-04
2.831949E+03	8.202689E-03	1.796819E-04
2.871835E+03	9.288686E-03	2.002275E-04
2.911722E+03	1.031135E-02	2.187435E-04
2.951609E+03	1.124443E-02	2.347653E-04
2.991495E+03	1.207241E-02	2.480835E-04
3.001467E+03	1.226234E-02	2.509918E-04
3.011438E+03	1.244528E-02	2.537323E-04
3.021410E+03	1.262148E-02	2.563117E-04
3.031382E+03	1.279087E-02	2.587310E-04
3.041353E+03	1.295346E-02	2.609919E-04
3.051325E+03	1.310956E-02	2.631029E-04
3.061297E+03	1.325953E-02	2.650730E-04
3.071268E+03	1.340312E-02	2.668991E-04
3.081240E+03	1.354107E-02	2.685974E-04
3.091212E+03	1.367317E-02	2.701654E-04
3.101183E+03	1.380015E-02	2.716195E-04
3.111155E+03	1.392189E-02	2.729586E-04
3.121127E+03	1.403914E-02	2.741990E-04
3.131098E+03	1.415178E-02	2.753398E-04
3.141070E+03	1.426032E-02	2.763921E-04
3.151042E+03	1.436522E-02	2.773664E-04
3.161013E+03	1.446642E-02	2.782626E-04
3.170985E+03	1.456471E-02	2.790967E-04
3.180957E+03	1.466030E-02	2.798741E-04
3.190928E+03	1.475342E-02	2.805990E-04
3.200900E+03	1.484457E-02	2.812822E-04
3.210871E+03	1.493397E-02	2.819283E-04
3.220843E+03	1.502214E-02	2.825474E-04
3.230815E+03	1.510929E-02	2.831438E-04
