#wls	flux	fluxerr
1.595464E+03	5.063456E-03	6.854503E-05
1.635351E+03	4.226779E-03	5.716277E-05
1.675237E+03	3.512564E-03	4.745616E-05
1.715124E+03	2.908366E-03	3.925291E-05
1.755011E+03	2.401891E-03	3.238323E-05
1.794897E+03	1.980967E-03	2.667948E-05
1.834784E+03	1.633421E-03	2.197459E-05
1.874670E+03	1.348904E-03	1.812657E-05
1.914557E+03	1.117663E-03	1.500188E-05
1.954444E+03	9.312551E-04	1.248512E-05
1.994330E+03	7.825856E-04	1.047934E-05
2.034217E+03	6.661481E-04	8.909209E-06
2.074103E+03	5.778554E-04	7.718666E-06
2.113990E+03	5.147806E-04	6.867333E-06
2.153877E+03	4.747814E-04	6.325436E-06
2.193763E+03	4.561006E-04	6.068428E-06
2.233650E+03	4.577914E-04	6.082607E-06
2.273536E+03	4.801554E-04	6.370862E-06
2.313423E+03	5.248897E-04	6.954507E-06
2.353310E+03	5.953323E-04	7.876387E-06
2.393196E+03	6.967186E-04	9.204110E-06
2.433083E+03	8.361765E-04	1.102977E-05
2.472969E+03	1.022604E-03	1.346813E-05
2.512856E+03	1.265920E-03	1.664657E-05
2.552743E+03	1.576422E-03	2.069649E-05
2.592629E+03	1.963785E-03	2.574015E-05
2.632516E+03	2.436477E-03	3.188302E-05
2.672402E+03	2.998894E-03	3.917649E-05
2.712289E+03	3.649820E-03	4.759816E-05
2.752176E+03	4.382796E-03	5.705736E-05
2.792062E+03	5.185027E-03	6.738146E-05
2.831949E+03	6.036239E-03	7.830188E-05
2.871835E+03	6.908793E-03	8.945648E-05
2.911722E+03	7.768383E-03	1.003996E-04
2.951609E+03	8.578576E-03	1.106613E-04
2.991495E+03	9.304072E-03	1.197901E-04
3.001467E+03	9.468988E-03	1.218544E-04
3.011438E+03	9.626348E-03	1.238194E-04
3.021410E+03	9.775845E-03	1.256811E-04
3.031382E+03	9.917709E-03	1.274426E-04
3.041353E+03	1.005168E-02	1.291008E-04
3.051325E+03	1.017777E-02	1.306560E-04
3.061297E+03	1.029609E-02	1.321097E-04
3.071268E+03	1.040633E-02	1.334581E-04
3.081240E+03	1.050850E-02	1.347015E-04
3.091212E+03	1.060309E-02	1.358462E-04
3.101183E+03	1.068975E-02	1.368880E-04
3.111155E+03	1.076886E-02	1.378319E-04
3.121127E+03	1.084042E-02	1.386780E-04
3.131098E+03	1.090533E-02	1.394380E-04
3.141070E+03	1.096323E-02	1.401074E-04
3.151042E+03	1.101468E-02	1.406934E-04
3.161013E+03	1.106026E-02	1.412037E-04
3.170985E+03	1.110036E-02	1.416433E-04
3.180957E+03	1.113499E-02	1.420124E-04
3.190928E+03	1.116521E-02	1.423247E-04
3.200900E+03	1.119107E-02	1.425809E-04
3.210871E+03	1.121324E-02	1.427895E-04
3.220843E+03	1.123201E-02	1.429544E-04
3.230815E+03	1.124804E-02	1.430841E-04
3.240786E+03	1.126185E-02	1.431851E-04
3.250758E+03	1.127390E-02	1.432634E-04
3.260730E+03	1.128450E-02	1.433231E-04
3.270701E+03	1.129432E-02	1.433726E-04
3.280673E+03	1.130387E-02	1.434182E-04
3.290645E+03	1.131342E-02	1.434637E-04
3.300616E+03	1.132365E-02	1.435175E-04
3.310588E+03	1.133485E-02	1.435833E-04
3.320560E+03	1.134768E-02	1.436694E-04
3.330531E+03	1.136244E-02	1.437796E-04
3.340503E+03	1.137958E-02	1.439197E-04
3.350475E+03	1.139958E-02	1.440955E-04
3.360446E+03	1.142289E-02	1.443128E-04
3.370418E+03	1.144996E-02	1.445770E-04
3.380390E+03	1.148101E-02	1.448911E-04
3.390361E+03	1.151661E-02	1.452619E-04
3.400333E+03	1.155672E-02	1.456890E-04
3.410305E+03	1.160190E-02	1.461793E-04
3.420276E+03	1.165183E-02	1.467288E-04
3.430248E+03	1.170633E-02	1.473349E-04
3.440219E+03	1.176479E-02	1.479900E-04
3.450191E+03	1.182597E-02	1.486784E-04
3.460163E+03	1.188837E-02	1.493812E-04
3.470134E+03	1.194956E-02	1.500679E-04
3.480106E+03	1.200658E-02	1.507013E-04
3.490078E+03	1.205615E-02	1.512404E-04
3.500049E+03	1.209458E-02	1.516391E-04
3.510021E+03	1.211842E-02	1.518542E-04
3.519993E+03	1.212377E-02	1.518375E-04
3.529964E+03	1.210780E-02	1.515537E-04
3.539936E+03	1.206805E-02	1.509726E-04
3.549908E+03	1.200314E-02	1.500774E-04
3.559879E+03	1.191247E-02	1.488612E-04
3.569851E+03	1.179677E-02	1.473336E-04
3.579823E+03	1.165820E-02	1.455220E-04
3.589794E+03	1.149947E-02	1.434609E-04
3.599766E+03	1.132478E-02	1.412029E-04
3.609738E+03	1.113875E-02	1.388061E-04
3.619709E+03	1.094637E-02	1.363327E-04
3.629681E+03	1.075296E-02	1.338491E-04
3.639652E+03	1.056392E-02	1.314227E-04
3.649624E+03	1.038421E-02	1.291148E-04
3.659596E+03	1.021873E-02	1.269862E-04
3.669567E+03	1.007146E-02	1.250861E-04
3.679539E+03	9.946204E-03	1.234614E-04
3.689511E+03	9.846152E-03	1.221511E-04
3.699482E+03	9.774119E-03	1.211896E-04
3.709454E+03	9.732323E-03	1.206038E-04
3.719426E+03	9.722872E-03	1.204192E-04
3.729397E+03	9.747518E-03	1.206569E-04
3.739369E+03	9.807895E-03	1.213363E-04
3.749341E+03	9.905301E-03	1.224728E-04
3.759312E+03	1.004084E-02	1.240792E-04
3.769284E+03	1.021513E-02	1.261623E-04
3.779256E+03	1.042821E-02	1.287220E-04
