#wls	flux	fluxerr
1.595464E+03	2.162472E-03	9.060007E-05
1.635351E+03	1.842928E-03	7.636841E-05
1.675237E+03	1.564842E-03	6.412526E-05
1.715124E+03	1.324536E-03	5.366648E-05
1.755011E+03	1.118525E-03	4.480183E-05
1.794897E+03	9.428563E-04	3.732835E-05
1.834784E+03	7.939065E-04	3.106289E-05
1.874670E+03	6.682857E-04	2.583767E-05
1.914557E+03	5.628444E-04	2.150016E-05
1.954444E+03	4.750532E-04	1.792694E-05
1.994330E+03	4.024437E-04	1.500145E-05
2.034217E+03	3.434083E-04	1.264336E-05
2.074103E+03	2.966586E-04	1.078693E-05
2.113990E+03	2.615305E-04	9.391291E-06
2.153877E+03	2.377503E-04	8.430757E-06
2.193763E+03	2.250440E-04	7.880332E-06
2.233650E+03	2.233129E-04	7.721832E-06
2.273536E+03	2.331056E-04	7.959693E-06
2.313423E+03	2.555346E-04	8.616851E-06
2.353310E+03	2.924422E-04	9.739197E-06
2.393196E+03	3.470266E-04	1.141477E-05
2.433083E+03	4.236751E-04	1.376575E-05
2.472969E+03	5.279991E-04	1.694745E-05
2.512856E+03	6.662407E-04	2.112722E-05
2.552743E+03	8.443775E-04	2.645560E-05
2.592629E+03	1.066892E-03	3.302889E-05
2.632516E+03	1.335589E-03	4.085590E-05
2.672402E+03	1.649109E-03	4.984811E-05
2.712289E+03	2.002231E-03	5.980441E-05
2.752176E+03	2.386814E-03	7.044538E-05
2.792062E+03	2.791557E-03	8.141116E-05
2.831949E+03	3.202753E-03	9.228834E-05
2.871835E+03	3.606403E-03	1.026739E-04
2.911722E+03	3.989432E-03	1.122095E-04
2.951609E+03	4.341363E-03	1.206266E-04
2.991495E+03	4.655184E-03	1.277655E-04
3.001467E+03	4.727397E-03	1.293472E-04
3.011438E+03	4.796832E-03	1.308413E-04
3.021410E+03	4.863596E-03	1.322516E-04
3.031382E+03	4.927989E-03	1.335866E-04
3.041353E+03	4.989906E-03	1.348443E-04
3.051325E+03	5.049415E-03	1.360271E-04
3.061297E+03	5.106807E-03	1.371434E-04
3.071268E+03	5.161761E-03	1.381852E-04
3.081240E+03	5.214744E-03	1.391655E-04
3.091212E+03	5.265614E-03	1.400811E-04
3.101183E+03	5.314396E-03	1.409332E-04
3.111155E+03	5.361426E-03	1.417312E-04
3.121127E+03	5.406597E-03	1.424727E-04
3.131098E+03	5.450261E-03	1.431674E-04
3.141070E+03	5.492328E-03	1.438135E-04
3.151042E+03	5.532869E-03	1.444130E-04
3.161013E+03	5.572395E-03	1.449798E-04
3.170985E+03	5.610699E-03	1.455088E-04
3.180957E+03	5.648156E-03	1.460098E-04
3.190928E+03	5.684856E-03	1.464856E-04
3.200900E+03	5.720901E-03	1.469389E-04
3.210871E+03	5.756530E-03	1.473759E-04
3.220843E+03	5.791854E-03	1.477996E-04
3.230815E+03	5.827254E-03	1.482197E-04
3.240786E+03	5.862577E-03	1.486323E-04
3.250758E+03	5.898211E-03	1.490471E-04
3.260730E+03	5.934279E-03	1.494672E-04
3.270701E+03	5.971036E-03	1.498989E-04
3.280673E+03	6.008486E-03	1.503420E-04
3.290645E+03	6.046892E-03	1.508029E-04
3.300616E+03	6.086396E-03	1.512849E-04
3.310588E+03	6.127261E-03	1.517941E-04
3.320560E+03	6.169634E-03	1.523340E-04
3.330531E+03	6.213548E-03	1.529048E-04
3.340503E+03	6.259284E-03	1.535131E-04
3.350475E+03	6.306890E-03	1.541595E-04
3.360446E+03	6.356663E-03	1.548509E-04
3.370418E+03	6.408679E-03	1.555885E-04
3.380390E+03	6.463152E-03	1.563769E-04
3.390361E+03	6.520210E-03	1.572186E-04
3.400333E+03	6.580130E-03	1.581195E-04
3.410305E+03	6.643133E-03	1.590844E-04
3.420276E+03	6.709624E-03	1.601219E-04
3.426259E+03	4.028717E-03	9.594351E-05
3.428253E+03	4.042514E-03	9.620523E-05
3.430248E+03	4.054355E-03	9.641998E-05
3.432242E+03	4.065839E-03	9.662585E-05
3.434236E+03	4.086431E-03	9.704763E-05
3.436231E+03	4.104035E-03	9.739781E-05
3.438225E+03	4.127559E-03	9.788781E-05
3.440219E+03	4.153606E-03	9.843682E-05
3.442214E+03	4.175714E-03	9.889170E-05
3.444208E+03	4.201491E-03	9.943265E-05
3.446202E+03	4.236677E-03	1.001953E-04
3.448197E+03	4.274906E-03	1.010286E-04
3.450191E+03	4.306241E-03	1.016979E-04
3.452185E+03	4.339372E-03	1.024086E-04
3.454180E+03	4.381020E-03	1.033190E-04
3.456174E+03	4.424879E-03	1.042801E-04
3.458168E+03	4.465380E-03	1.051607E-04
3.460163E+03	4.514161E-03	1.062348E-04
3.462157E+03	4.560456E-03	1.072488E-04
3.464151E+03	4.611301E-03	1.083682E-04
3.466146E+03	4.653566E-03	1.092844E-04
3.468140E+03	4.703771E-03	1.103856E-04
3.470134E+03	4.760494E-03	1.116380E-04
3.472129E+03	4.819487E-03	1.129417E-04
3.474123E+03	4.876485E-03	1.141966E-04
3.476117E+03	4.938972E-03	1.155782E-04
3.478112E+03	4.995372E-03	1.168153E-04
3.480106E+03	5.059712E-03	1.182361E-04
3.482100E+03	5.125379E-03	1.196858E-04
3.484095E+03	5.192672E-03	1.211712E-04
3.486089E+03	5.261987E-03	1.227016E-04
3.488083E+03	5.327351E-03	1.241376E-04
3.490078E+03	5.394737E-03	1.256185E-04
3.492072E+03	5.466414E-03	1.271970E-04
3.494066E+03	5.534424E-03	1.286879E-04
3.496061E+03	5.598555E-03	1.300864E-04
3.498055E+03	5.668564E-03	1.316192E-04
3.500049E+03	5.737850E-03	1.331329E-04
3.502044E+03	5.811458E-03	1.347446E-04
3.504038E+03	5.889800E-03	1.364635E-04
3.506032E+03	5.963766E-03	1.380785E-04
3.508027E+03	6.040591E-03	1.397572E-04
3.510021E+03	6.119688E-03	1.414858E-04
3.512015E+03	6.197581E-03	1.431840E-04
3.514010E+03	6.282141E-03	1.450336E-04
3.516004E+03	6.367205E-03	1.468920E-04
3.517998E+03	6.460569E-03	1.489389E-04
3.519993E+03	6.542347E-03	1.507158E-04
3.521987E+03	6.633239E-03	1.526998E-04
3.523981E+03	6.727763E-03	1.547643E-04
3.525976E+03	6.820403E-03	1.567824E-04
3.527970E+03	6.916284E-03	1.588718E-04
3.529964E+03	7.008364E-03	1.608709E-04
3.531959E+03	7.094310E-03	1.627262E-04
3.533953E+03	7.186216E-03	1.647152E-04
3.535947E+03	7.279555E-03	1.667340E-04
3.537942E+03	7.360560E-03	1.684674E-04
3.539936E+03	7.440031E-03	1.701631E-04
3.541930E+03	7.511363E-03	1.716701E-04
3.543925E+03	7.584996E-03	1.732273E-04
3.545919E+03	7.654219E-03	1.746814E-04
3.547913E+03	7.716775E-03	1.759811E-04
3.549908E+03	7.770798E-03	1.770843E-04
3.551902E+03	7.820958E-03	1.780978E-04
3.553896E+03	7.868363E-03	1.790469E-04
3.555891E+03	7.912595E-03	1.799223E-04
3.557885E+03	7.946974E-03	1.805723E-04
3.559879E+03	7.972590E-03	1.810222E-04
3.561874E+03	7.983654E-03	1.811411E-04
3.563868E+03	8.000700E-03	1.813952E-04
3.565862E+03	8.009732E-03	1.814672E-04
3.567857E+03	8.017739E-03	1.815156E-04
3.569851E+03	8.020064E-03	1.814353E-04
3.571845E+03	8.015445E-03	1.811979E-04
3.573840E+03	8.007275E-03	1.808804E-04
3.575834E+03	7.987966E-03	1.803117E-04
3.577828E+03	7.961322E-03	1.795782E-04
3.579823E+03	7.947284E-03	1.791298E-04
3.581817E+03	7.923195E-03	1.784554E-04
3.583811E+03	7.895902E-03	1.777096E-04
3.585806E+03	7.873953E-03	1.770850E-04
3.587800E+03	7.846706E-03	1.763420E-04
3.589794E+03	7.816025E-03	1.755228E-04
3.591789E+03	7.793530E-03	1.748882E-04
3.593783E+03	7.760785E-03	1.740246E-04
3.595777E+03	7.732880E-03	1.732705E-04
3.597772E+03	7.716672E-03	1.727792E-04
3.599766E+03	7.705149E-03	1.723932E-04
3.601760E+03	7.697906E-03	1.721033E-04
3.603755E+03	7.714708E-03	1.723508E-04
3.605749E+03	7.732911E-03	1.726290E-04
3.607743E+03	7.781848E-03	1.735922E-04
3.609738E+03	7.832697E-03	1.745963E-04
3.611732E+03	7.903612E-03	1.760457E-04
3.613726E+03	7.986913E-03	1.777685E-04
3.615721E+03	8.102971E-03	1.802169E-04
3.617715E+03	8.234754E-03	1.830109E-04
3.619709E+03	8.390323E-03	1.863288E-04
3.621703E+03	8.572971E-03	1.902424E-04
3.623698E+03	8.766010E-03	1.943803E-04
3.625692E+03	8.974083E-03	1.988449E-04
3.627686E+03	9.200355E-03	2.037055E-04
3.629681E+03	9.441888E-03	2.088962E-04
3.631675E+03	9.706585E-03	2.145909E-04
3.633669E+03	1.000239E-02	2.209639E-04
3.635664E+03	1.029644E-02	2.272884E-04
3.637658E+03	1.059445E-02	2.336905E-04
3.639652E+03	1.090076E-02	2.402654E-04
3.641647E+03	1.121085E-02	2.469134E-04
3.643641E+03	1.153037E-02	2.537586E-04
3.645635E+03	1.184851E-02	2.605626E-04
3.647630E+03	1.216416E-02	2.673015E-04
3.649624E+03	1.246755E-02	2.737604E-04
3.651618E+03	1.276951E-02	2.801779E-04
3.653613E+03	1.307874E-02	2.867447E-04
3.655607E+03	1.337564E-02	2.930310E-04
3.657601E+03	1.366343E-02	2.991079E-04
3.659596E+03	1.395630E-02	3.052862E-04
3.661590E+03	1.423673E-02	3.111830E-04
3.663584E+03	1.450908E-02	3.168938E-04
3.665579E+03	1.477660E-02	3.224901E-04
3.667573E+03	1.504697E-02	3.281394E-04
3.669567E+03	1.530038E-02	3.334102E-04
3.671562E+03	1.553898E-02	3.383499E-04
3.673556E+03	1.576270E-02	3.429579E-04
3.675550E+03	1.596818E-02	3.471618E-04
3.677545E+03	1.615755E-02	3.510088E-04
3.679539E+03	1.634626E-02	3.548351E-04
3.681533E+03	1.650769E-02	3.580634E-04
3.683528E+03	1.664397E-02	3.607409E-04
3.685522E+03	1.676498E-02	3.630833E-04
3.687516E+03	1.686846E-02	3.650422E-04
3.689511E+03	1.695322E-02	3.665927E-04
3.691505E+03	1.701696E-02	3.676861E-04
3.693499E+03	1.705400E-02	3.682011E-04
3.695494E+03	1.707433E-02	3.683539E-04
3.697488E+03	1.707674E-02	3.681199E-04
3.699482E+03	1.705446E-02	3.673539E-04
3.701477E+03	1.701860E-02	3.662964E-04
3.703471E+03	1.695564E-02	3.646571E-04
3.705465E+03	1.686434E-02	3.624109E-04
3.707460E+03	1.676264E-02	3.599442E-04
3.709454E+03	1.663693E-02	3.569660E-04
3.711448E+03	1.649845E-02	3.537179E-04
3.713443E+03	1.634827E-02	3.502238E-04
3.715437E+03	1.617956E-02	3.463381E-04
3.717431E+03	1.600244E-02	3.422782E-04
3.719426E+03	1.579646E-02	3.376072E-04
3.721420E+03	1.559448E-02	3.330286E-04
3.723414E+03	1.537374E-02	3.280563E-04
3.725409E+03	1.513759E-02	3.227628E-04
3.727403E+03	1.489168E-02	3.172694E-04
3.729397E+03	1.464171E-02	3.116975E-04
3.731392E+03	1.438649E-02	3.060226E-04
3.733386E+03	1.412488E-02	3.002203E-04
3.735380E+03	1.385685E-02	2.942903E-04
3.737375E+03	1.358697E-02	2.883301E-04
3.739369E+03	1.332674E-02	2.825835E-04
3.741363E+03	1.306584E-02	2.768314E-04
3.743358E+03	1.280887E-02	2.711712E-04
3.745352E+03	1.255468E-02	2.655785E-04
3.747346E+03	1.230331E-02	2.600539E-04
3.749341E+03	1.206286E-02	2.547683E-04
3.751335E+03	1.183221E-02	2.496977E-04
3.753329E+03	1.160445E-02	2.446956E-04
3.755324E+03	1.138759E-02	2.399309E-04
3.757318E+03	1.117110E-02	2.351811E-04
3.759312E+03	1.097221E-02	2.308090E-04
3.761307E+03	1.078493E-02	2.266875E-04
3.763301E+03	1.061818E-02	2.230034E-04
3.765295E+03	1.045169E-02	2.193305E-04
3.767290E+03	1.030360E-02	2.160490E-04
3.769284E+03	1.014693E-02	2.125925E-04
3.771278E+03	9.997350E-03	2.092898E-04
3.773273E+03	9.869816E-03	2.064533E-04
3.775267E+03	9.743827E-03	2.036533E-04
3.777261E+03	9.642587E-03	2.013744E-04
3.779256E+03	9.527633E-03	1.988127E-04
3.781250E+03	9.406823E-03	1.961328E-04
3.783244E+03	9.307207E-03	1.938984E-04
3.785239E+03	9.205311E-03	1.916199E-04
3.787233E+03	9.110488E-03	1.894920E-04
3.789227E+03	9.014223E-03	1.873373E-04
3.791222E+03	8.929580E-03	1.854271E-04
3.793216E+03	8.850296E-03	1.836309E-04
3.795210E+03	8.788303E-03	1.821959E-04
3.797205E+03	8.753082E-03	1.813175E-04
3.799199E+03	8.728854E-03	1.806678E-04
3.801193E+03	8.719728E-03	1.803312E-04
3.803188E+03	8.739876E-03	1.805999E-04
3.805182E+03	8.775750E-03	1.811925E-04
3.807176E+03	8.842401E-03	1.824187E-04
3.809171E+03	8.905470E-03	1.835689E-04
3.811165E+03	9.000540E-03	1.853760E-04
3.813159E+03	9.131340E-03	1.879151E-04
3.815154E+03	9.290888E-03	1.910409E-04
3.817148E+03	9.460216E-03	1.943622E-04
3.819142E+03	9.647940E-03	1.980553E-04
3.821137E+03	9.857393E-03	2.021877E-04
3.823131E+03	1.010367E-02	2.070678E-04
3.825125E+03	1.038400E-02	2.126366E-04
3.827119E+03	1.070032E-02	2.189324E-04
3.829114E+03	1.103246E-02	2.255407E-04
3.831108E+03	1.134761E-02	2.317906E-04
3.833102E+03	1.167055E-02	2.381890E-04
3.835097E+03	1.203257E-02	2.453730E-04
3.837091E+03	1.243000E-02	2.532665E-04
3.839085E+03	1.284500E-02	2.615038E-04
3.841080E+03	1.326096E-02	2.697468E-04
3.843074E+03	1.367300E-02	2.778957E-04
3.845068E+03	1.408230E-02	2.859749E-04
3.847063E+03	1.449993E-02	2.942094E-04
3.849057E+03	1.490867E-02	3.022493E-04
3.851051E+03	1.531713E-02	3.102695E-04
3.853046E+03	1.573269E-02	3.184196E-04
3.855040E+03	1.613068E-02	3.262001E-04
3.857034E+03	1.653700E-02	3.341354E-04
3.859029E+03	1.694300E-02	3.420503E-04
3.861023E+03	1.733506E-02	3.496703E-04
3.863017E+03	1.771807E-02	3.570945E-04
3.865012E+03	1.808953E-02	3.642729E-04
3.867006E+03	1.842077E-02	3.706294E-04
3.869000E+03	1.875773E-02	3.770896E-04
3.870995E+03	1.910666E-02	3.837787E-04
3.872989E+03	1.945262E-02	3.903962E-04
3.874983E+03	1.979060E-02	3.968420E-04
3.876978E+03	2.013182E-02	4.033411E-04
3.878972E+03	2.046502E-02	4.096680E-04
3.880966E+03	2.077889E-02	4.155967E-04
