#wls	flux	fluxerr
1.595464E+03	1.736992E-15	7.076985E-17
1.635351E+03	1.461274E-15	5.946435E-17
1.675237E+03	1.225434E-15	4.980547E-17
1.715124E+03	1.025354E-15	4.162084E-17
1.755011E+03	8.570029E-16	3.474212E-17
1.794897E+03	7.163813E-16	2.900296E-17
1.834784E+03	5.995081E-16	2.423841E-17
1.874670E+03	5.030611E-16	2.031082E-17
1.914557E+03	4.239334E-16	1.709182E-17
1.954444E+03	3.594866E-16	1.447251E-17
1.994330E+03	3.075710E-16	1.236412E-17
2.034217E+03	2.666148E-16	1.070150E-17
2.074103E+03	2.355406E-16	9.439615E-18
2.113990E+03	2.136495E-16	8.548780E-18
2.153877E+03	2.004423E-16	8.007386E-18
2.193763E+03	1.953483E-16	7.791042E-18
2.233650E+03	1.978645E-16	7.878134E-18
2.273536E+03	2.077984E-16	8.259469E-18
2.313423E+03	2.254651E-16	8.945994E-18
2.353310E+03	2.517717E-16	9.971957E-18
2.393196E+03	2.881880E-16	1.139352E-17
2.433083E+03	3.366885E-16	1.328629E-17
2.472969E+03	3.997282E-16	1.574410E-17
2.512856E+03	4.800516E-16	1.887135E-17
2.552743E+03	5.806066E-16	2.277946E-17
2.592629E+03	7.042103E-16	2.757367E-17
2.632516E+03	8.532647E-16	3.334194E-17
2.672402E+03	1.029203E-15	4.013355E-17
2.712289E+03	1.232053E-15	4.794236E-17
2.752176E+03	1.460061E-15	5.669293E-17
2.792062E+03	1.709421E-15	6.623072E-17
2.831949E+03	1.974235E-15	7.632137E-17
2.871835E+03	2.246794E-15	8.666272E-17
2.911722E+03	2.517857E-15	9.689621E-17
2.951609E+03	2.777902E-15	1.066558E-16
2.991495E+03	3.017722E-15	1.155909E-16
3.001467E+03	3.073682E-15	1.176645E-16
3.011438E+03	3.127765E-15	1.196635E-16
3.021410E+03	3.179882E-15	1.215847E-16
3.031382E+03	3.230130E-15	1.234318E-16
3.041353E+03	3.278377E-15	1.252000E-16
3.051325E+03	3.324696E-15	1.268923E-16
3.061297E+03	3.369104E-15	1.285092E-16
3.071268E+03	3.411484E-15	1.300466E-16
3.081240E+03	3.451805E-15	1.315034E-16
3.091212E+03	3.490197E-15	1.328846E-16
3.101183E+03	3.526512E-15	1.341849E-16
3.111155E+03	3.560836E-15	1.354075E-16
3.121127E+03	3.593119E-15	1.365507E-16
3.131098E+03	3.623614E-15	1.376243E-16
3.141070E+03	3.652155E-15	1.386220E-16
3.151042E+03	3.678873E-15	1.395491E-16
3.161013E+03	3.703909E-15	1.404109E-16
3.170985E+03	3.727343E-15	1.412107E-16
3.180957E+03	3.749123E-15	1.419465E-16
3.190928E+03	3.769556E-15	1.426301E-16
3.200900E+03	3.788603E-15	1.432601E-16
3.210871E+03	3.806445E-15	1.438435E-16
3.220843E+03	3.823124E-15	1.443819E-16
3.230815E+03	3.838828E-15	1.448825E-16
3.240786E+03	3.853675E-15	1.453499E-16
3.250758E+03	3.867787E-15	1.457886E-16
3.260730E+03	3.881219E-15	1.462009E-16
3.270701E+03	3.894158E-15	1.465938E-16
