#wls	flux	fluxerr
1.595464E+03	4.691136E-15	2.504845E-16
1.635351E+03	4.049868E-15	2.098950E-16
1.675237E+03	3.470091E-15	1.743382E-16
1.715124E+03	2.950462E-15	1.434969E-16
1.755011E+03	2.489053E-15	1.170242E-16
1.794897E+03	2.082993E-15	9.453375E-17
1.834784E+03	1.728276E-15	7.559988E-17
1.874670E+03	1.421623E-15	5.984658E-17
1.914557E+03	1.159207E-15	4.689149E-17
1.954444E+03	9.374687E-16	3.638311E-17
1.994330E+03	7.532274E-16	2.800427E-17
2.034217E+03	6.040394E-16	2.148286E-17
2.074103E+03	4.882220E-16	1.658805E-17
2.113990E+03	4.044928E-16	1.311413E-17
2.153877E+03	3.511816E-16	1.085480E-17
2.193763E+03	3.270482E-16	9.632284E-18
2.233650E+03	3.331020E-16	9.347531E-18
2.273536E+03	3.753088E-16	1.004049E-17
2.313423E+03	4.657595E-16	1.189474E-17
2.353310E+03	6.263903E-16	1.530553E-17
2.393196E+03	8.939127E-16	2.096735E-17
2.433083E+03	1.322167E-15	2.989317E-17
2.472969E+03	1.978158E-15	4.330614E-17
2.512856E+03	2.922711E-15	6.225054E-17
2.552743E+03	4.171935E-15	8.684398E-17
2.574492E+03	3.396499E-16	6.993921E-18
2.577682E+03	3.714656E-16	7.637544E-18
2.603317E+03	4.243571E-16	8.626108E-18
2.606537E+03	4.680440E-16	9.501304E-18
2.609758E+03	5.134979E-16	1.041010E-17
2.612983E+03	5.539149E-16	1.121464E-17
2.616212E+03	5.927216E-16	1.198464E-17
2.619444E+03	6.422831E-16	1.296997E-17
2.622679E+03	6.988748E-16	1.409468E-17
2.625917E+03	7.556395E-16	1.522018E-17
2.629157E+03	8.141948E-16	1.637902E-17
2.632401E+03	8.652730E-16	1.738490E-17
2.635649E+03	9.148176E-16	1.835767E-17
2.638900E+03	9.597450E-16	1.923569E-17
2.642152E+03	9.979749E-16	1.997767E-17
2.645409E+03	1.038959E-15	2.077308E-17
2.648669E+03	1.076983E-15	2.150765E-17
2.651932E+03	1.108228E-15	2.210540E-17
2.655198E+03	1.156378E-15	2.303867E-17
2.658467E+03	1.214239E-15	2.416317E-17
2.661739E+03	1.277505E-15	2.539263E-17
2.665013E+03	1.331915E-15	2.644354E-17
