#wls	flux	fluxerr
1.600000E+03	7.938876E-15	2.230359E-16
1.640000E+03	6.795712E-15	1.874318E-16
1.680000E+03	5.758967E-15	1.558647E-16
1.720000E+03	4.832383E-15	1.282805E-16
1.760000E+03	4.017001E-15	1.045435E-16
1.800000E+03	3.310906E-15	8.443807E-17
1.840000E+03	2.708270E-15	6.765195E-17
1.880000E+03	2.202511E-15	5.386490E-17
1.920000E+03	1.784615E-15	4.271076E-17
1.960000E+03	1.444788E-15	3.382297E-17
2.000000E+03	1.173018E-15	2.684990E-17
2.040000E+03	9.599429E-16	2.147523E-17
2.080000E+03	7.970403E-16	1.742048E-17
2.120000E+03	6.774446E-16	1.446062E-17
2.160000E+03	5.986005E-16	1.247509E-17
2.200000E+03	5.587390E-16	1.136546E-17
2.240000E+03	5.588501E-16	1.109287E-17
2.280000E+03	6.047676E-16	1.171199E-17
2.320000E+03	7.073497E-16	1.336354E-17
2.360000E+03	8.846127E-16	1.630305E-17
2.400000E+03	1.164619E-15	2.093857E-17
2.440000E+03	1.584674E-15	2.779762E-17
2.480000E+03	2.185109E-15	3.740535E-17
2.520000E+03	2.993468E-15	5.001903E-17
2.560000E+03	4.001018E-15	6.527325E-17
2.600000E+03	5.141892E-15	8.191883E-17
2.640000E+03	6.301062E-15	9.805032E-17
2.680000E+03	7.435466E-15	1.130270E-16
2.720000E+03	8.625867E-15	1.281048E-16
2.760000E+03	1.001303E-14	1.452958E-16
2.800000E+03	1.175407E-14	1.666577E-16
2.840000E+03	1.398054E-14	1.936981E-16
2.880000E+03	1.674274E-14	2.266732E-16
2.920000E+03	1.992669E-14	2.636253E-16
2.960000E+03	2.326305E-14	3.007500E-16
3.000000E+03	2.646749E-14	3.343927E-16
3.010000E+03	2.722429E-14	3.419845E-16
3.020000E+03	2.795800E-14	3.491920E-16
3.030000E+03	2.866654E-14	3.559954E-16
3.040000E+03	2.934910E-14	3.623916E-16
3.050000E+03	3.000282E-14	3.683522E-16
3.060000E+03	3.062533E-14	3.738556E-16
3.070000E+03	3.121457E-14	3.788846E-16
3.080000E+03	3.176685E-14	3.834030E-16
3.090000E+03	3.227884E-14	3.873796E-16
3.100000E+03	3.274843E-14	3.907987E-16
3.110000E+03	3.317075E-14	3.936124E-16
3.120000E+03	3.354325E-14	3.958012E-16
3.130000E+03	3.386255E-14	3.973364E-16
3.140000E+03	3.412890E-14	3.982322E-16
3.150000E+03	3.433976E-14	3.984700E-16
3.160000E+03	3.449687E-14	3.980810E-16
3.170000E+03	3.460375E-14	3.971167E-16
3.180000E+03	3.466513E-14	3.956408E-16
3.190000E+03	3.468632E-14	3.937225E-16
3.200000E+03	3.467745E-14	3.914841E-16
3.210000E+03	3.464673E-14	3.890234E-16
3.220000E+03	3.460513E-14	3.864672E-16
3.230000E+03	3.456280E-14	3.839305E-16
3.240000E+03	3.453107E-14	3.815389E-16
3.250000E+03	3.452025E-14	3.794040E-16
3.260000E+03	3.453984E-14	3.776266E-16
3.270000E+03	3.459776E-14	3.762879E-16
3.280000E+03	3.470185E-14	3.754669E-16
3.290000E+03	3.485808E-14	3.752206E-16
3.300000E+03	3.507055E-14	3.755852E-16
3.310000E+03	3.534347E-14	3.765974E-16
3.320000E+03	3.567904E-14	3.782718E-16
3.330000E+03	3.607993E-14	3.806280E-16
3.340000E+03	3.654738E-14	3.836704E-16
3.350000E+03	3.708303E-14	3.874076E-16
3.360000E+03	3.768851E-14	3.918481E-16
3.370000E+03	3.836547E-14	3.970010E-16
3.380000E+03	3.911565E-14	4.028761E-16
3.390000E+03	3.994014E-14	4.094769E-16
3.400000E+03	4.084110E-14	4.168179E-16
3.410000E+03	4.181862E-14	4.248928E-16
3.420000E+03	4.287476E-14	4.337159E-16
3.430000E+03	4.400856E-14	4.432710E-16
3.438000E+03	4.286301E-14	4.302725E-16
3.440000E+03	4.296835E-14	4.309685E-16
3.442000E+03	4.310100E-14	4.319381E-16
3.444000E+03	4.324091E-14	4.329800E-16
3.446000E+03	4.341735E-14	4.343870E-16
3.448000E+03	4.358284E-14	4.356833E-16
3.450000E+03	4.376846E-14	4.371799E-16
3.452000E+03	4.396510E-14	4.387853E-16
3.454000E+03	4.418196E-14	4.405910E-16
3.456000E+03	4.440070E-14	4.424138E-16
3.458000E+03	4.463786E-14	4.444184E-16
3.460000E+03	4.487328E-14	4.464038E-16
3.462000E+03	4.510692E-14	4.483698E-16
3.464000E+03	4.536456E-14	4.505724E-16
3.466000E+03	4.563333E-14	4.528834E-16
3.468000E+03	4.590591E-14	4.552299E-16
3.470000E+03	4.618412E-14	4.576302E-16
3.472000E+03	4.646798E-14	4.600840E-16
3.474000E+03	4.676489E-14	4.626646E-16
3.476000E+03	4.707300E-14	4.653535E-16
3.478000E+03	4.737940E-14	4.680230E-16
3.480000E+03	4.769888E-14	4.708191E-16
3.482000E+03	4.800556E-14	4.734863E-16
3.484000E+03	4.834198E-14	4.764442E-16
3.486000E+03	4.866374E-14	4.792550E-16
3.488000E+03	4.899305E-14	4.821375E-16
3.490000E+03	4.934290E-14	4.852194E-16
3.492000E+03	4.967249E-14	4.880996E-16
3.494000E+03	5.000594E-14	4.910151E-16
3.496000E+03	5.034881E-14	4.940205E-16
3.498000E+03	5.069740E-14	4.970795E-16
3.500000E+03	5.105542E-14	5.002283E-16
3.502000E+03	5.142289E-14	5.034671E-16
3.504000E+03	5.180357E-14	5.068322E-16
3.506000E+03	5.219373E-14	5.102872E-16
3.508000E+03	5.259709E-14	5.138683E-16
3.510000E+03	5.299692E-14	5.174118E-16
3.512000E+03	5.341186E-14	5.210995E-16
3.514000E+03	5.382884E-14	5.248040E-16
3.516000E+03	5.426284E-14	5.286711E-16
3.518000E+03	5.470450E-14	5.326094E-16
3.520000E+03	5.516507E-14	5.367282E-16
3.522000E+03	5.562773E-14	5.408637E-16
3.524000E+03	5.610932E-14	5.451795E-16
3.526000E+03	5.660426E-14	5.496210E-16
3.528000E+03	5.709381E-14	5.540063E-16
3.530000E+03	5.760609E-14	5.586081E-16
3.532000E+03	5.813175E-14	5.633355E-16
3.534000E+03	5.863139E-14	5.678066E-16
3.536000E+03	5.915004E-14	5.724578E-16
3.538000E+03	5.970272E-14	5.774341E-16
3.540000E+03	6.022938E-14	5.821544E-16
3.542000E+03	6.071302E-14	5.864552E-16
3.544000E+03	6.120815E-14	5.908633E-16
3.546000E+03	6.168842E-14	5.951244E-16
3.548000E+03	6.211238E-14	5.988393E-16
3.550000E+03	6.254024E-14	6.025890E-16
3.552000E+03	6.291923E-14	6.058655E-16
3.554000E+03	6.325493E-14	6.087233E-16
3.556000E+03	6.359822E-14	6.116524E-16
3.558000E+03	6.389248E-14	6.141087E-16
3.560000E+03	6.416974E-14	6.164006E-16
3.562000E+03	6.439788E-14	6.182201E-16
3.564000E+03	6.462406E-14	6.200205E-16
3.566000E+03	6.480291E-14	6.213669E-16
3.568000E+03	6.500435E-14	6.229300E-16
3.570000E+03	6.517352E-14	6.241841E-16
3.572000E+03	6.532554E-14	6.252744E-16
3.574000E+03	6.547175E-14	6.263097E-16
3.576000E+03	6.560265E-14	6.271993E-16
3.578000E+03	6.570878E-14	6.278529E-16
3.580000E+03	6.579767E-14	6.283430E-16
3.582000E+03	6.590914E-14	6.290498E-16
3.584000E+03	6.602233E-14	6.297739E-16
3.586000E+03	6.610118E-14	6.301717E-16
3.588000E+03	6.615517E-14	6.303339E-16
3.590000E+03	6.621654E-14	6.305678E-16
3.592000E+03	6.627581E-14	6.307832E-16
3.594000E+03	6.628736E-14	6.305461E-16
3.596000E+03	6.628344E-14	6.301639E-16
3.598000E+03	6.628689E-14	6.298538E-16
3.600000E+03	6.623683E-14	6.290375E-16
3.602000E+03	6.623406E-14	6.286726E-16
3.604000E+03	6.622725E-14	6.282712E-16
3.606000E+03	6.621256E-14	6.277973E-16
3.608000E+03	6.616524E-14	6.270161E-16
3.610000E+03	6.610430E-14	6.261083E-16
3.612000E+03	6.605072E-14	6.252726E-16
3.614000E+03	6.601021E-14	6.245630E-16
3.616000E+03	6.594656E-14	6.236367E-16
3.618000E+03	6.590934E-14	6.229627E-16
3.620000E+03	6.586997E-14	6.222705E-16
3.622000E+03	6.581316E-14	6.214157E-16
3.624000E+03	6.577519E-14	6.207411E-16
3.626000E+03	6.572168E-14	6.199219E-16
3.628000E+03	6.566982E-14	6.191205E-16
3.630000E+03	6.561772E-14	6.183190E-16
3.632000E+03	6.555389E-14	6.174090E-16
3.634000E+03	6.549745E-14	6.165709E-16
3.636000E+03	6.543502E-14	6.156785E-16
3.638000E+03	6.535128E-14	6.145880E-16
3.640000E+03	6.527685E-14	6.135872E-16
3.642000E+03	6.520792E-14	6.126403E-16
3.644000E+03	6.513108E-14	6.116212E-16
3.646000E+03	6.502522E-14	6.103320E-16
3.648000E+03	6.489225E-14	6.087907E-16
3.650000E+03	6.475516E-14	6.072136E-16
3.652000E+03	6.459670E-14	6.054388E-16
3.654000E+03	6.442450E-14	6.035380E-16
3.656000E+03	6.420978E-14	6.012420E-16
3.658000E+03	6.396786E-14	5.986946E-16
3.660000E+03	6.368719E-14	5.957883E-16
3.662000E+03	6.338120E-14	5.926489E-16
3.664000E+03	6.305373E-14	5.893126E-16
3.666000E+03	6.269321E-14	5.856718E-16
3.668000E+03	6.229386E-14	5.816726E-16
3.670000E+03	6.186334E-14	5.773872E-16
3.672000E+03	6.143052E-14	5.730851E-16
3.674000E+03	6.096650E-14	5.684970E-16
3.676000E+03	6.045972E-14	5.635154E-16
3.678000E+03	5.991402E-14	5.581765E-16
3.680000E+03	5.933708E-14	5.525523E-16
3.682000E+03	5.872310E-14	5.465893E-16
3.684000E+03	5.809325E-14	5.404848E-16
3.686000E+03	5.742055E-14	5.339879E-16
3.688000E+03	5.674159E-14	5.274395E-16
3.690000E+03	5.604674E-14	5.207498E-16
3.692000E+03	5.530708E-14	5.136507E-16
3.694000E+03	5.455922E-14	5.064823E-16
3.696000E+03	5.381473E-14	4.993522E-16
3.698000E+03	5.307365E-14	4.922605E-16
3.700000E+03	5.232630E-14	4.851175E-16
3.702000E+03	5.156306E-14	4.778340E-16
3.704000E+03	5.080515E-14	4.706068E-16
3.706000E+03	5.004100E-14	4.633286E-16
3.708000E+03	4.928801E-14	4.561604E-16
3.710000E+03	4.851332E-14	4.487982E-16
3.712000E+03	4.776719E-14	4.417069E-16
3.714000E+03	4.703030E-14	4.347074E-16
3.716000E+03	4.630653E-14	4.278356E-16
3.718000E+03	4.559397E-14	4.210736E-16
3.720000E+03	4.491003E-14	4.145820E-16
3.722000E+03	4.423733E-14	4.081998E-16
3.724000E+03	4.359908E-14	4.021413E-16
3.726000E+03	4.297984E-14	3.962634E-16
3.728000E+03	4.237962E-14	3.905662E-16
3.730000E+03	4.182167E-14	3.852633E-16
3.732000E+03	4.126728E-14	3.799981E-16
3.734000E+03	4.073196E-14	3.749130E-16
3.736000E+03	4.023703E-14	3.702040E-16
3.738000E+03	3.975926E-14	3.656571E-16
3.740000E+03	3.923862E-14	3.607201E-16
3.742000E+03	3.874098E-14	3.559988E-16
3.744000E+03	3.830314E-14	3.518308E-16
3.746000E+03	3.785344E-14	3.475577E-16
3.748000E+03	3.740740E-14	3.433219E-16
3.750000E+03	3.701539E-14	3.395855E-16
3.752000E+03	3.662512E-14	3.358682E-16
3.754000E+03	3.622884E-14	3.320991E-16
3.756000E+03	3.588471E-14	3.288111E-16
3.758000E+03	3.554235E-14	3.255422E-16
3.760000E+03	3.522114E-14	3.224697E-16
3.762000E+03	3.493079E-14	3.196823E-16
3.764000E+03	3.464223E-14	3.169136E-16
3.766000E+03	3.435156E-14	3.141281E-16
3.768000E+03	3.410537E-14	3.117516E-16
3.770000E+03	3.386099E-14	3.093936E-16
3.772000E+03	3.363587E-14	3.072136E-16
3.774000E+03	3.342227E-14	3.051406E-16
3.776000E+03	3.319495E-14	3.029442E-16
3.778000E+03	3.297140E-14	3.007840E-16
3.780000E+03	3.275742E-14	2.987130E-16
3.782000E+03	3.252972E-14	2.965186E-16
3.784000E+03	3.230579E-14	2.943604E-16
3.786000E+03	3.206815E-14	2.920791E-16
3.788000E+03	3.184980E-14	2.899754E-16
3.790000E+03	3.164105E-14	2.879607E-16
3.792000E+03	3.142636E-14	2.858938E-16
3.794000E+03	3.122517E-14	2.839512E-16
3.796000E+03	3.106467E-14	2.823802E-16
3.798000E+03	3.092935E-14	2.810392E-16
3.800000E+03	3.083475E-14	2.800692E-16
3.802000E+03	3.078282E-14	2.794875E-16
3.804000E+03	3.074054E-14	2.789938E-16
3.806000E+03	3.074290E-14	2.789055E-16
3.808000E+03	3.078795E-14	2.792046E-16
3.810000E+03	3.087184E-14	2.798554E-16
3.812000E+03	3.100817E-14	2.809810E-16
3.814000E+03	3.121250E-14	2.827217E-16
3.816000E+03	3.147515E-14	2.849890E-16
3.818000E+03	3.181361E-14	2.879409E-16
3.820000E+03	3.219094E-14	2.912420E-16
3.822000E+03	3.261883E-14	2.949978E-16
3.824000E+03	3.311088E-14	2.993307E-16
3.826000E+03	3.367295E-14	3.042930E-16
3.828000E+03	3.429726E-14	3.098136E-16
3.830000E+03	3.497215E-14	3.157867E-16
3.832000E+03	3.563342E-14	3.216321E-16
3.834000E+03	3.645617E-14	3.289300E-16
3.836000E+03	3.735091E-14	3.368714E-16
3.838000E+03	3.829041E-14	3.452102E-16
3.840000E+03	3.929217E-14	3.541035E-16
3.842000E+03	4.026281E-14	3.627095E-16
3.844000E+03	4.114587E-14	3.705202E-16
3.846000E+03	4.220406E-14	3.799011E-16
3.848000E+03	4.343155E-14	3.907981E-16
3.850000E+03	4.465905E-14	4.016867E-16
3.852000E+03	4.590015E-14	4.126890E-16
3.854000E+03	4.713929E-14	4.236650E-16
3.856000E+03	4.836088E-14	4.344748E-16
3.858000E+03	4.957854E-14	4.452409E-16
3.860000E+03	5.078059E-14	4.558583E-16
3.862000E+03	5.196702E-14	4.663273E-16
3.864000E+03	5.313394E-14	4.766130E-16
3.866000E+03	5.426964E-14	4.866107E-16
3.868000E+03	5.537608E-14	4.963383E-16
3.870000E+03	5.653305E-14	5.065110E-16
3.872000E+03	5.767244E-14	5.165181E-16
3.874000E+03	5.877474E-14	5.261854E-16
3.876000E+03	5.984191E-14	5.355307E-16
3.878000E+03	6.081944E-14	5.440667E-16
3.880000E+03	6.180660E-14	5.526821E-16
3.882000E+03	6.288125E-14	5.620727E-16
3.884000E+03	6.395191E-14	5.714202E-16
3.886000E+03	6.501855E-14	5.807244E-16
3.888000E+03	6.606170E-14	5.898116E-16
3.890000E+03	6.707164E-14	5.985951E-16
3.892000E+03	6.806977E-14	6.072663E-16
3.894000E+03	6.904051E-14	6.156864E-16
3.896000E+03	6.999749E-14	6.239771E-16
3.898000E+03	7.092123E-14	6.319650E-16
3.900000E+03	7.180006E-14	6.395466E-16
3.902000E+03	7.265343E-14	6.468954E-16
3.904000E+03	7.346383E-14	6.538559E-16
3.906000E+03	7.424487E-14	6.605497E-16
3.908000E+03	7.499073E-14	6.669252E-16
3.910000E+03	7.567221E-14	6.727232E-16
3.912000E+03	7.633406E-14	6.783422E-16
3.914000E+03	7.696072E-14	6.836440E-16
3.916000E+03	7.750159E-14	6.881797E-16
3.918000E+03	7.804231E-14	6.927105E-16
3.920000E+03	7.854590E-14	6.969082E-16
3.922000E+03	7.901041E-14	7.007558E-16
3.924000E+03	7.943584E-14	7.042539E-16
3.926000E+03	7.981442E-14	7.073339E-16
3.928000E+03	8.013642E-14	7.099101E-16
3.930000E+03	8.042325E-14	7.121727E-16
3.932000E+03	8.063988E-14	7.138121E-16
3.934000E+03	8.083304E-14	7.152424E-16
3.936000E+03	8.097353E-14	7.162056E-16
3.938000E+03	8.106136E-14	7.167023E-16
3.940000E+03	8.109653E-14	7.167332E-16
3.942000E+03	8.110630E-14	7.165395E-16
3.944000E+03	8.107898E-14	7.160184E-16
3.946000E+03	8.099709E-14	7.150159E-16
3.948000E+03	8.086064E-14	7.135325E-16
3.950000E+03	8.070074E-14	7.118435E-16
3.952000E+03	8.048630E-14	7.096747E-16
3.954000E+03	8.023677E-14	7.071984E-16
3.956000E+03	7.998715E-14	7.047231E-16
3.958000E+03	7.968689E-14	7.018037E-16
3.960000E+03	7.935352E-14	6.985950E-16
3.962000E+03	7.900257E-14	6.952342E-16
3.964000E+03	7.860880E-14	6.914992E-16
3.966000E+03	7.820331E-14	6.876641E-16
3.968000E+03	7.778027E-14	6.836777E-16
3.970000E+03	7.731831E-14	6.793524E-16
3.972000E+03	7.684660E-14	6.749449E-16
3.974000E+03	7.634182E-14	6.702504E-16
3.976000E+03	7.582535E-14	6.654571E-16
3.978000E+03	7.529914E-14	6.605821E-16
3.980000E+03	7.476514E-14	6.556426E-16
3.982000E+03	7.422335E-14	6.506387E-16
3.984000E+03	7.368739E-14	6.456897E-16
3.986000E+03	7.314753E-14	6.407106E-16
3.988000E+03	7.261350E-14	6.357864E-16
3.990000E+03	7.208140E-14	6.308831E-16
3.992000E+03	7.157844E-14	6.262385E-16
3.994000E+03	7.109295E-14	6.217505E-16
3.996000E+03	7.061716E-14	6.173508E-16
3.998000E+03	7.015885E-14	6.131075E-16
4.000000E+03	6.973549E-14	6.091727E-16
4.002000E+03	6.933347E-14	6.054276E-16
4.004000E+03	6.896832E-14	6.020073E-16
4.006000E+03	6.863811E-14	5.988946E-16
4.008000E+03	6.833504E-14	5.960213E-16
4.010000E+03	6.808824E-14	5.936410E-16
4.012000E+03	6.788410E-14	5.916344E-16
4.014000E+03	6.773812E-14	5.901363E-16
4.016000E+03	6.763479E-14	5.890110E-16
4.018000E+03	6.757021E-14	5.882240E-16
4.020000E+03	6.752690E-14	5.876231E-16
4.022000E+03	6.754172E-14	5.875285E-16
4.024000E+03	6.763016E-14	5.880745E-16
4.026000E+03	6.775924E-14	5.889735E-16
4.028000E+03	6.790375E-14	5.900062E-16
4.030000E+03	6.809469E-14	5.914416E-16
4.032000E+03	6.833592E-14	5.933130E-16
4.034000E+03	6.871854E-14	5.964105E-16
4.036000E+03	6.908940E-14	5.994039E-16
4.038000E+03	6.947756E-14	6.025455E-16
4.040000E+03	6.988106E-14	6.058181E-16
4.042000E+03	7.030186E-14	6.092386E-16
4.044000E+03	7.082713E-14	6.135620E-16
4.046000E+03	7.157305E-14	6.197933E-16
4.048000E+03	7.225483E-14	6.254653E-16
4.050000E+03	7.285894E-14	6.304614E-16
4.052000E+03	7.345123E-14	6.353522E-16
4.054000E+03	7.403753E-14	6.401880E-16
4.056000E+03	7.460039E-14	6.448182E-16
4.058000E+03	7.514565E-14	6.492936E-16
4.060000E+03	7.567524E-14	6.536310E-16
4.062000E+03	7.616401E-14	6.576133E-16
4.064000E+03	7.661778E-14	6.612913E-16
4.066000E+03	7.704622E-14	6.647487E-16
4.068000E+03	7.745904E-14	6.680696E-16
4.070000E+03	7.786977E-14	6.713708E-16
4.072000E+03	7.819136E-14	6.739022E-16
4.074000E+03	7.848189E-14	6.761648E-16
4.076000E+03	7.873167E-14	6.780757E-16
4.078000E+03	7.895234E-14	6.797354E-16
4.080000E+03	7.925217E-14	6.820760E-16
4.082000E+03	7.952094E-14	6.841487E-16
4.084000E+03	7.969489E-14	6.854053E-16
4.086000E+03	7.982043E-14	6.862457E-16
4.088000E+03	7.989952E-14	6.866872E-16
4.090000E+03	7.993795E-14	6.867800E-16
4.092000E+03	7.994735E-14	6.866245E-16
4.094000E+03	7.990260E-14	6.860051E-16
4.096000E+03	7.982114E-14	6.850721E-16
4.098000E+03	7.970874E-14	6.838753E-16
4.100000E+03	7.956736E-14	6.824320E-16
4.102000E+03	7.938930E-14	6.806761E-16
4.104000E+03	7.918228E-14	6.786743E-16
4.106000E+03	7.897141E-14	6.766419E-16
4.108000E+03	7.872388E-14	6.742981E-16
4.110000E+03	7.845708E-14	6.717920E-16
4.112000E+03	7.817875E-14	6.691900E-16
4.114000E+03	7.788114E-14	6.664260E-16
4.116000E+03	7.756043E-14	6.634674E-16
