#wls	flux	fluxerr
1.600000E+03	7.565776E-16	3.045827E-17
1.640000E+03	6.609598E-16	2.643158E-17
1.680000E+03	5.774245E-16	2.293451E-17
1.720000E+03	5.048546E-16	1.991394E-17
1.760000E+03	4.420965E-16	1.731632E-17
1.800000E+03	3.881359E-16	1.509461E-17
1.840000E+03	3.419704E-16	1.320320E-17
1.880000E+03	3.028230E-16	1.160608E-17
1.920000E+03	2.698083E-16	1.026393E-17
1.960000E+03	2.422702E-16	9.146944E-18
2.000000E+03	2.196315E-16	8.228994E-18
2.040000E+03	2.014100E-16	7.488055E-18
2.080000E+03	1.871990E-16	6.905407E-18
2.120000E+03	1.768826E-16	6.473407E-18
2.160000E+03	1.705182E-16	6.190801E-18
2.200000E+03	1.683145E-16	6.061708E-18
2.240000E+03	1.706390E-16	6.095666E-18
2.280000E+03	1.780200E-16	6.307478E-18
2.320000E+03	1.910842E-16	6.714818E-18
2.360000E+03	2.106182E-16	7.340227E-18
2.400000E+03	2.376411E-16	8.213396E-18
2.440000E+03	2.732520E-16	9.365632E-18
2.480000E+03	3.187210E-16	1.083286E-17
2.520000E+03	3.750806E-16	1.264157E-17
2.560000E+03	4.432167E-16	1.481214E-17
2.600000E+03	5.232496E-16	1.733859E-17
2.640000E+03	6.147742E-16	2.019749E-17
2.680000E+03	7.165806E-16	2.333961E-17
2.720000E+03	8.269162E-16	2.669948E-17
2.760000E+03	9.436821E-16	3.020248E-17
2.800000E+03	1.064129E-15	3.375558E-17
2.840000E+03	1.185660E-15	3.727361E-17
2.880000E+03	1.305454E-15	4.066732E-17
2.920000E+03	1.421173E-15	4.386552E-17
2.960000E+03	1.531125E-15	4.681945E-17
3.000000E+03	1.634497E-15	4.950891E-17
3.010000E+03	1.659358E-15	5.014200E-17
3.020000E+03	1.683731E-15	5.075659E-17
3.030000E+03	1.707696E-15	5.135530E-17
3.040000E+03	1.731341E-15	5.194078E-17
3.050000E+03	1.754669E-15	5.251319E-17
3.060000E+03	1.777601E-15	5.307026E-17
3.070000E+03	1.800230E-15	5.361483E-17
3.080000E+03	1.822568E-15	5.414729E-17
3.090000E+03	1.844626E-15	5.466807E-17
3.100000E+03	1.866503E-15	5.518015E-17
3.110000E+03	1.888134E-15	5.568158E-17
3.120000E+03	1.909704E-15	5.617795E-17
3.130000E+03	1.931065E-15	5.666486E-17
3.140000E+03	1.952493E-15	5.715045E-17
3.150000E+03	1.973757E-15	5.762798E-17
3.160000E+03	1.995136E-15	5.810556E-17
3.170000E+03	2.016572E-15	5.858151E-17
3.180000E+03	2.038175E-15	5.905903E-17
3.190000E+03	2.059892E-15	5.953648E-17
3.200000E+03	2.081836E-15	6.001714E-17
3.210000E+03	2.104121E-15	6.050421E-17
3.220000E+03	2.126696E-15	6.099620E-17
3.230000E+03	2.149678E-15	6.149632E-17
3.240000E+03	2.173182E-15	6.200783E-17
3.250000E+03	2.197244E-15	6.253159E-17
3.260000E+03	2.221819E-15	6.306619E-17
3.270000E+03	2.247107E-15	6.361718E-17
3.280000E+03	2.273145E-15	6.418547E-17
3.290000E+03	2.299894E-15	6.476976E-17
3.300000E+03	2.327556E-15	6.537554E-17
3.310000E+03	2.356170E-15	6.600374E-17
3.320000E+03	2.385860E-15	6.665761E-17
3.330000E+03	2.416592E-15	6.733591E-17
