#wls	flux	fluxerr
1.600000E+03	6.344361E-14	1.193856E-14
1.640000E+03	5.135596E-14	8.772250E-15
1.680000E+03	4.112114E-14	6.319927E-15
1.720000E+03	3.258066E-14	4.459439E-15
1.760000E+03	2.556013E-14	3.078388E-15
1.800000E+03	1.987216E-14	2.076008E-15
1.840000E+03	1.533213E-14	1.365696E-15
1.880000E+03	1.175918E-14	8.747922E-16
1.920000E+03	8.984814E-15	5.445782E-16
1.960000E+03	6.858765E-15	3.293018E-16
2.000000E+03	5.251160E-15	1.945985E-16
2.040000E+03	4.053787E-15	1.157208E-16
2.080000E+03	3.179117E-15	7.497892E-17
2.120000E+03	2.561469E-15	5.711233E-17
2.160000E+03	2.145980E-15	4.846166E-17
2.200000E+03	1.895600E-15	4.329880E-17
2.240000E+03	1.789615E-15	4.169527E-17
2.280000E+03	1.823463E-15	4.578080E-17
2.320000E+03	2.002946E-15	5.638567E-17
2.360000E+03	2.346786E-15	7.321041E-17
2.400000E+03	2.890309E-15	9.607203E-17
2.440000E+03	3.677832E-15	1.240515E-16
2.480000E+03	4.744868E-15	1.542819E-16
2.520000E+03	6.091004E-15	1.817585E-16
2.560000E+03	7.647617E-15	2.020895E-16
2.600000E+03	9.267782E-15	2.184816E-16
2.639777E+03	1.306624E-15	6.183292E-16
2.643027E+03	1.421059E-15	4.558735E-16
2.646279E+03	1.558101E-15	3.666381E-16
2.649535E+03	1.695046E-15	3.773735E-16
2.652794E+03	1.826438E-15	3.912523E-16
2.656055E+03	1.944027E-15	3.859521E-16
2.659320E+03	2.083471E-15	3.280193E-16
2.662588E+03	2.256963E-15	3.644657E-16
2.665859E+03	2.403708E-15	3.707085E-16
2.669133E+03	2.556705E-15	3.882227E-16
2.672410E+03	2.730432E-15	4.349064E-16
2.675690E+03	2.929467E-15	4.403607E-16
2.678973E+03	3.147341E-15	4.430063E-16
2.682259E+03	3.363865E-15	4.475554E-16
2.685548E+03	3.589454E-15	5.912972E-16
2.688840E+03	3.805182E-15	6.403997E-16
2.692135E+03	4.000500E-15	6.484592E-16
