#wls	flux	fluxerr
1.600000E+03	6.051333E-16	1.494651E-16
1.640000E+03	5.497280E-16	1.258876E-16
1.680000E+03	5.001971E-16	1.056026E-16
1.720000E+03	4.559903E-16	8.820284E-17
1.760000E+03	4.167517E-16	7.335344E-17
1.800000E+03	3.820629E-16	6.073573E-17
1.840000E+03	3.515975E-16	5.007690E-17
1.880000E+03	3.250464E-16	4.113547E-17
1.920000E+03	3.020760E-16	3.369867E-17
1.960000E+03	2.824923E-16	2.760377E-17
2.000000E+03	2.660407E-16	2.271507E-17
2.040000E+03	2.525666E-16	1.894009E-17
2.080000E+03	2.420112E-16	1.621488E-17
2.120000E+03	2.343566E-16	1.446073E-17
2.160000E+03	2.300026E-16	1.354955E-17
2.200000E+03	2.292685E-16	1.333510E-17
2.240000E+03	2.326487E-16	1.371779E-17
2.280000E+03	2.405994E-16	1.464325E-17
2.320000E+03	2.534879E-16	1.605238E-17
2.360000E+03	2.715451E-16	1.787715E-17
2.400000E+03	2.950824E-16	2.008071E-17
2.440000E+03	3.242622E-16	2.264747E-17
2.480000E+03	3.592619E-16	2.560619E-17
2.520000E+03	3.999878E-16	2.903048E-17
2.560000E+03	4.461108E-16	3.306085E-17
2.600000E+03	4.970176E-16	3.790139E-17
2.640000E+03	5.515780E-16	4.375549E-17
2.680000E+03	6.088771E-16	5.072662E-17
2.720000E+03	6.679028E-16	5.873295E-17
2.760000E+03	7.279196E-16	6.758078E-17
2.800000E+03	7.880390E-16	7.695741E-17
2.840000E+03	8.476195E-16	8.650216E-17
2.880000E+03	9.056512E-16	9.577748E-17
2.920000E+03	9.615921E-16	1.043799E-16
2.960000E+03	1.014734E-15	1.118999E-16
3.000000E+03	1.065198E-15	1.180506E-16
3.010000E+03	1.077389E-15	1.193428E-16
3.020000E+03	1.089352E-15	1.205233E-16
3.030000E+03	1.101274E-15	1.216095E-16
3.040000E+03	1.112977E-15	1.225788E-16
3.050000E+03	1.124560E-15	1.234394E-16
3.060000E+03	1.136028E-15	1.241894E-16
3.070000E+03	1.147390E-15	1.248275E-16
3.080000E+03	1.158562E-15	1.253424E-16
3.090000E+03	1.169739E-15	1.257537E-16
3.100000E+03	1.180837E-15	1.260507E-16
3.110000E+03	1.191869E-15	1.262332E-16
3.120000E+03	1.202845E-15	1.263015E-16
3.130000E+03	1.213871E-15	1.262658E-16
3.140000E+03	1.224773E-15	1.261072E-16
3.150000E+03	1.235846E-15	1.258559E-16
3.160000E+03	1.246822E-15	1.254843E-16
3.170000E+03	1.257998E-15	1.250224E-16
3.180000E+03	1.269203E-15	1.244532E-16
3.190000E+03	1.280451E-15	1.237791E-16
3.200000E+03	1.291948E-15	1.230206E-16
3.210000E+03	1.303618E-15	1.221713E-16
3.220000E+03	1.315478E-15	1.212341E-16
3.230000E+03	1.327548E-15	1.202125E-16
3.240000E+03	1.339846E-15	1.191101E-16
3.250000E+03	1.352486E-15	1.179395E-16
3.260000E+03	1.365396E-15	1.166967E-16
3.270000E+03	1.378784E-15	1.154027E-16
3.280000E+03	1.392485E-15	1.140467E-16
3.290000E+03	1.406709E-15	1.126502E-16
3.300000E+03	1.421386E-15	1.112116E-16
3.310000E+03	1.436633E-15	1.097452E-16
3.320000E+03	1.452381E-15	1.082515E-16
3.330000E+03	1.468845E-15	1.067527E-16
3.340000E+03	1.485955E-15	1.052506E-16
3.350000E+03	1.503738E-15	1.037553E-16
3.360000E+03	1.522409E-15	1.022903E-16
3.370000E+03	1.541901E-15	1.008602E-16
3.380000E+03	1.562240E-15	9.947726E-17
3.390000E+03	1.583546E-15	9.816068E-17
3.400000E+03	1.605940E-15	9.692970E-17
3.410000E+03	1.629445E-15	9.579807E-17
3.420000E+03	1.654081E-15	9.477996E-17
3.430000E+03	1.679960E-15	9.389510E-17
3.440000E+03	1.707095E-15	9.315723E-17
3.450000E+03	1.735586E-15	9.258470E-17
3.460000E+03	1.765531E-15	9.219441E-17
3.470000E+03	1.796821E-15	9.199144E-17
3.480000E+03	1.829732E-15	9.199874E-17
