MJD	kait4_B	kait4_B_err	kait4_I	kait4_I_err	kait4_R	kait4_R_err	kait4_V	kait4_V_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55674.02	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55674.07	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55674.12	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55674.170000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55674.22000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55674.27000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55674.320000000014	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55674.37000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55674.42000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55674.47000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55674.520000000026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55674.57000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55674.62000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55674.670000000035	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55674.72000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55674.77000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55674.82000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55674.870000000046	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55674.92000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55674.97000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55675.020000000055	nan	nan	nan	nan	nan	nan	3.0221242109852174e-16	4.962965242891403e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55675.07000000006	nan	nan	nan	nan	nan	nan	3.7543301399205903e-16	4.873843945129159e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55675.12000000006	5.303940968801028e-16	2.809997156887408e-16	nan	nan	nan	nan	4.489696294145183e-16	4.789538567730634e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55675.170000000064	6.442463600020729e-16	2.781325958759499e-16	nan	nan	nan	nan	5.2282351423683835e-16	4.709858764324721e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55675.22000000007	7.587052823748862e-16	2.7826723416727166e-16	nan	nan	nan	nan	5.969959182900821e-16	4.634603219293117e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55675.27000000007	8.737772881718158e-16	2.8107483119189834e-16	nan	nan	nan	nan	6.714880943774788e-16	4.563560809270471e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55675.32000000007	9.8946881015399e-16	2.861719486740861e-16	nan	nan	nan	nan	7.463012982828697e-16	4.496511908092649e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55675.370000000075	1.1057862897569991e-15	2.931553359012494e-16	nan	nan	nan	nan	8.214367887820965e-16	4.433229810490564e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55675.42000000008	1.222736177174973e-15	3.016314673416106e-16	nan	nan	nan	nan	8.968958276530272e-16	4.373482246422731e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55675.47000000008	1.3403249314443451e-15	3.1123692887764427e-16	nan	nan	nan	nan	9.7267967968471e-16	4.3170329557837254e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55675.520000000084	1.4585590205311769e-15	3.216494596535097e-16	3.574794512232689e-16	3.8316598338710417e-16	3.5151200552136793e-16	5.027021732351444e-16	1.0487896126885446e-15	4.2636432925462816e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55675.57000000009	1.5774449214145615e-15	3.3259159130890967e-16	3.836517795745742e-16	3.754220683083324e-16	4.1028174627621534e-16	4.923802030444942e-16	1.1252268975078165e-15	4.2130738276376887e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55675.62000000009	1.696989120173121e-15	3.4382941742012716e-16	4.100014120681999e-16	3.677718023950355e-16	4.693498123936584e-16	4.823470772011972e-16	1.2019928080289225e-15	4.1650859216200835e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55675.67000000009	1.817198112069129e-15	3.551687000064377e-16	4.3652926396127756e-16	3.6021810958574114e-16	5.287173454501013e-16	4.726101617350039e-16	1.279088621190198e-15	4.1194432408323373e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55675.720000000096	1.938078401635759e-15	3.664498798672971e-16	4.632362547275847e-16	3.527639801436575e-16	5.883854909113935e-16	4.631766668895762e-16	1.3565156169941767e-15	4.07591319412666e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55675.7700000001	2.059636502760456e-15	3.7754294939431267e-16	4.901233080758907e-16	3.4541246770211334e-16	6.483553981426529e-16	4.54053580409377e-16	1.4342750785157097e-15	4.0342682712031494e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55675.8200000001	2.181878938772611e-15	3.883426948810118e-16	5.171913519680755e-16	3.381666853456231e-16	7.086282204220753e-16	4.452475933371781e-16	1.5123682919116646e-15	3.994287267881316e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55675.870000000104	2.304812242528084e-15	3.987645251519461e-16	5.444413186376584e-16	3.3102980057954846e-16	7.692051149534372e-16	4.3676501843190836e-16	1.5907965464367273e-15	3.9557563879326627e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55675.92000000011	2.4284429564953335e-15	4.087409367728833e-16	5.718741446082535e-16	3.240050290262232e-16	8.300872428783248e-16	4.286117015436187e-16	1.6695611344471072e-15	3.918470215149454e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55675.97000000011	2.552777632841816e-15	4.182185809538823e-16	5.994907707120762e-16	3.1709562667125297e-16	8.912751749372282e-16	4.2079085025791854e-16	1.7486633514143774e-15	3.882232553189792e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55676.02000000011	2.6778228335196967e-15	4.271558608037045e-16	6.272921421086406e-16	3.1030488046800454e-16	9.527662711102152e-16	4.132938042139113e-16	1.8281044959348474e-15	3.846857133992719e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55676.070000000116	2.803585130351827e-15	4.355209776184304e-16	6.55279208303302e-16	3.036360970953049e-16	1.0145568133952093e-15	4.061074990800427e-16	1.9078858697416586e-15	3.812168198453454e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55676.12000000012	2.9300711051183387e-15	4.4329034825726544e-16	6.834529231662394e-16	2.9709258965053914e-16	1.0766430868436387e-15	3.992183004574636e-16	1.9880087777114877e-15	3.7780009550677497e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55676.17000000012	3.0572873496434235e-15	4.504473244909143e-16	7.118142449512112e-16	2.906776620512431e-16	1.1390213803222492e-15	3.9261207141441533e-16	2.0684745278801294e-15	3.744201924089251e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55676.220000000125	3.185240465881235e-15	4.569811557769929e-16	7.403641363144635e-16	2.8439459091229184e-16	1.201687986462197e-15	3.862742431181619e-16	2.1492844314487644e-15	3.7106291756591793e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55676.27000000013	3.3139370660017825e-15	4.628861470006402e-16	7.691035643337784e-16	2.7824660466381174e-16	1.264639201609449e-15	3.801898904422574e-16	2.230439802796707e-15	3.677152471023081e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55676.32000000013	3.443383772479187e-15	4.681609717187093e-16	7.980335005275664e-16	2.7223685968098444e-16	1.3278713257725e-15	3.743438114558982e-16	2.3119419594900175e-15	3.643653316068551e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55676.37000000013	3.573587218177947e-15	4.728081089409471e-16	8.271545908157364e-16	2.6636777760095086e-16	1.3913806625715369e-15	3.687206096428807e-16	2.3937922222954497e-15	3.610024936097621e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
