#wls	flux	fluxerr	mangling_mask
3.436000E+03	3.850416E-15	3.120064E-16	9.000925E-16
3.438000E+03	3.859681E-15	3.120009E-16	9.003642E-16
3.440000E+03	3.867067E-15	3.119022E-16	9.006374E-16
3.442000E+03	3.874103E-15	3.117855E-16	9.009122E-16
3.444000E+03	3.889800E-15	3.120878E-16	9.011886E-16
3.446000E+03	3.902629E-15	3.122482E-16	9.014665E-16
3.448000E+03	3.921062E-15	3.126767E-16	9.017460E-16
3.450000E+03	3.941858E-15	3.132155E-16	9.020270E-16
3.452000E+03	3.958884E-15	3.135688E-16	9.023097E-16
3.454000E+03	3.979356E-15	3.140844E-16	9.025939E-16
3.456000E+03	4.008696E-15	3.150210E-16	9.028797E-16
3.458000E+03	4.040860E-15	3.160879E-16	9.031671E-16
3.460000E+03	4.066456E-15	3.168349E-16	9.034561E-16
3.462000E+03	4.093702E-15	3.148648E-16	9.037467E-16
3.464000E+03	4.128927E-15	3.282923E-16	9.040389E-16
3.466000E+03	4.166171E-15	3.551419E-16	9.043328E-16
3.468000E+03	4.200189E-15	3.620891E-16	9.046282E-16
3.470000E+03	4.241928E-15	3.762475E-16	9.049253E-16
3.472000E+03	4.281257E-15	3.773565E-16	9.052240E-16
3.474000E+03	4.324784E-15	3.791098E-16	9.055243E-16
3.476000E+03	4.360194E-15	3.829210E-16	9.058262E-16
3.478000E+03	4.402975E-15	3.833115E-16	9.061298E-16
3.480000E+03	4.451774E-15	3.765648E-16	9.064350E-16
3.482000E+03	4.502608E-15	3.758989E-16	9.067419E-16
3.484000E+03	4.551488E-15	3.711138E-16	9.070504E-16
3.486000E+03	4.605400E-15	3.601149E-16	9.073606E-16
3.488000E+03	4.653546E-15	3.671043E-16	9.076725E-16
3.490000E+03	4.708997E-15	3.675707E-16	9.079860E-16
3.492000E+03	4.765584E-15	3.700681E-16	9.083012E-16
3.494000E+03	4.823581E-15	4.069439E-16	9.086181E-16
3.496000E+03	4.883353E-15	4.190532E-16	9.089366E-16
3.498000E+03	4.939356E-15	4.401821E-16	9.092569E-16
3.500000E+03	4.997135E-15	4.458794E-16	9.095788E-16
3.502000E+03	5.058784E-15	4.539585E-16	9.099024E-16
3.504000E+03	5.116936E-15	4.559140E-16	9.102277E-16
3.506000E+03	5.171405E-15	4.556453E-16	9.105548E-16
3.508000E+03	5.231204E-15	4.564005E-16	9.108835E-16
3.510000E+03	5.290235E-15	4.567974E-16	9.112140E-16
3.512000E+03	5.353146E-15	4.585273E-16	9.115461E-16
3.514000E+03	5.420306E-15	4.533658E-16	9.118800E-16
3.516000E+03	5.483328E-15	4.371257E-16	9.122157E-16
3.518000E+03	5.548870E-15	4.412167E-16	9.125530E-16
3.520000E+03	5.616386E-15	4.289357E-16	9.128921E-16
3.522000E+03	5.682684E-15	4.334611E-16	9.132330E-16
3.524000E+03	5.754978E-15	4.345453E-16	9.135756E-16
3.526000E+03	5.827611E-15	4.266053E-16	9.139199E-16
3.528000E+03	5.907713E-15	4.374485E-16	9.142661E-16
3.530000E+03	5.977094E-15	4.459016E-16	9.146139E-16
3.532000E+03	6.054680E-15	4.473401E-16	9.149636E-16
3.534000E+03	6.135448E-15	4.481901E-16	9.153150E-16
3.536000E+03	6.214365E-15	4.568485E-16	9.156682E-16
3.538000E+03	6.296102E-15	4.648314E-16	9.160232E-16
3.540000E+03	6.374247E-15	4.622553E-16	9.163800E-16
3.542000E+03	6.446689E-15	4.640534E-16	9.167385E-16
3.544000E+03	6.524425E-15	4.436089E-16	9.170989E-16
3.546000E+03	6.603334E-15	4.353562E-16	9.174611E-16
3.548000E+03	6.670936E-15	4.181058E-16	9.178251E-16
3.550000E+03	6.737042E-15	4.175669E-16	9.181909E-16
3.552000E+03	6.795679E-15	4.129325E-16	9.185585E-16
3.554000E+03	6.856305E-15	4.135190E-16	9.189279E-16
3.556000E+03	6.912854E-15	4.182749E-16	9.192992E-16
3.558000E+03	6.963299E-15	4.231428E-16	9.196723E-16
3.560000E+03	7.005976E-15	4.263659E-16	9.200473E-16
3.562000E+03	7.045110E-15	4.373609E-16	9.204241E-16
3.564000E+03	7.081709E-15	4.381593E-16	9.208027E-16
3.566000E+03	7.115403E-15	4.482887E-16	9.211832E-16
3.568000E+03	7.140198E-15	4.553045E-16	9.215656E-16
3.570000E+03	7.157096E-15	4.690411E-16	9.219498E-16
3.572000E+03	7.160924E-15	4.819160E-16	9.223359E-16
3.574000E+03	7.170118E-15	4.870630E-16	9.227239E-16
3.576000E+03	7.172132E-15	4.935925E-16	9.231138E-16
3.578000E+03	7.173237E-15	4.965934E-16	9.235055E-16
3.580000E+03	7.169273E-15	4.887142E-16	9.238991E-16
3.582000E+03	7.159125E-15	4.862889E-16	9.242947E-16
3.584000E+03	7.145836E-15	4.865289E-16	9.246921E-16
3.586000E+03	7.122649E-15	4.731583E-16	9.250915E-16
3.588000E+03	7.092976E-15	4.553839E-16	9.254928E-16
3.590000E+03	7.074586E-15	4.521173E-16	9.258959E-16
3.592000E+03	7.047298E-15	4.484954E-16	9.263010E-16
3.594000E+03	7.017219E-15	4.362643E-16	9.267081E-16
3.596000E+03	6.991946E-15	4.359770E-16	9.271171E-16
3.598000E+03	6.962025E-15	4.404697E-16	9.275280E-16
