#wls	flux	fluxerr
1.598715E+03	-2.725673E-04	-1.836072E-04
1.638682E+03	-3.326706E-04	-2.139763E-04
1.678650E+03	-4.034848E-04	-2.480403E-04
1.718618E+03	-4.852347E-04	-2.854017E-04
1.758586E+03	-5.771992E-04	-3.252180E-04
1.798554E+03	-6.772079E-04	-3.660425E-04
1.838522E+03	-7.806118E-04	-4.054314E-04
1.878490E+03	-8.797718E-04	-4.398928E-04
1.918458E+03	-9.628131E-04	-4.644485E-04
1.958425E+03	-1.014086E-03	-4.729958E-04
1.998393E+03	-1.016712E-03	-4.595968E-04
2.038361E+03	-9.603338E-04	-4.217520E-04
2.078329E+03	-8.505261E-04	-3.638265E-04
2.118297E+03	-7.112245E-04	-2.971384E-04
2.158265E+03	-5.733160E-04	-2.345958E-04
2.198233E+03	-4.584311E-04	-1.842660E-04
2.238200E+03	-3.738726E-04	-1.480375E-04
2.278168E+03	-3.175337E-04	-1.241739E-04
2.318136E+03	-2.843332E-04	-1.100624E-04
2.358104E+03	-2.701561E-04	-1.037124E-04
2.398072E+03	-2.734122E-04	-1.042606E-04
2.438040E+03	-2.951192E-04	-1.119230E-04
2.478008E+03	-3.379610E-04	-1.275844E-04
2.517976E+03	-4.034784E-04	-1.517101E-04
2.557943E+03	-4.865424E-04	-1.822667E-04
2.597911E+03	-5.696274E-04	-2.126111E-04
2.637879E+03	-6.277192E-04	-2.333907E-04
2.677847E+03	-6.457769E-04	-2.390830E-04
2.717815E+03	-6.250616E-04	-2.302944E-04
2.757783E+03	-5.687531E-04	-2.083804E-04
2.797751E+03	-4.680166E-04	-1.703672E-04
2.837718E+03	-3.008805E-04	-1.087125E-04
2.877686E+03	-4.317903E-05	-1.546841E-05
2.917654E+03	3.150976E-04	1.117885E-04
2.957622E+03	7.615736E-04	2.672427E-04
2.997590E+03	1.268747E-03	4.397964E-04
3.007582E+03	1.401390E-03	4.841912E-04
3.017574E+03	1.535338E-03	5.286972E-04
3.027566E+03	1.670061E-03	5.731180E-04
3.037558E+03	1.805076E-03	6.172760E-04
3.047550E+03	1.939753E-03	6.609458E-04
3.057542E+03	2.073448E-03	7.039007E-04
3.067534E+03	2.205522E-03	7.459189E-04
3.077526E+03	2.335211E-03	7.867403E-04
3.087518E+03	2.461769E-03	8.261155E-04
3.097510E+03	2.584570E-03	8.638394E-04
3.107502E+03	2.702817E-03	8.996544E-04
3.117494E+03	2.815944E-03	9.333841E-04
3.127486E+03	2.923379E-03	9.648553E-04
3.137477E+03	3.024929E-03	9.940224E-04
3.147469E+03	3.120220E-03	1.020783E-03
3.157461E+03	3.209303E-03	1.045177E-03
3.167453E+03	3.292422E-03	1.067306E-03
3.177445E+03	3.369955E-03	1.087317E-03
3.187437E+03	3.442336E-03	1.105370E-03
3.197429E+03	3.510470E-03	1.121778E-03
3.207421E+03	3.575058E-03	1.136779E-03
3.217413E+03	3.637089E-03	1.150703E-03
3.227405E+03	3.697475E-03	1.163847E-03
3.237397E+03	3.757261E-03	1.176547E-03
3.247389E+03	3.817414E-03	1.189106E-03
3.257381E+03	3.878839E-03	1.201800E-03
3.267373E+03	3.942302E-03	1.214861E-03
3.277365E+03	4.008598E-03	1.228521E-03
3.287357E+03	4.078326E-03	1.242949E-03
3.297349E+03	4.151891E-03	1.258250E-03
3.307341E+03	4.229661E-03	1.274514E-03
3.317333E+03	4.311697E-03	1.291738E-03
3.327325E+03	4.397999E-03	1.309902E-03
3.337317E+03	4.488238E-03	1.328884E-03
3.347309E+03	4.581941E-03	1.348527E-03
3.357301E+03	4.678424E-03	1.368612E-03
3.367293E+03	4.776769E-03	1.388858E-03
3.377285E+03	4.875830E-03	1.408926E-03
3.387277E+03	4.974130E-03	1.428388E-03
3.397269E+03	5.070100E-03	1.446801E-03
3.407261E+03	5.161747E-03	1.463605E-03
3.417253E+03	2.101000E-03	5.919118E-04
3.419251E+03	2.112116E-03	5.942723E-04
3.421249E+03	2.124140E-03	5.968793E-04
3.423248E+03	2.135324E-03	5.992407E-04
3.425246E+03	2.147297E-03	6.018143E-04
3.427244E+03	2.156282E-03	6.035417E-04
3.429243E+03	2.166058E-03	6.054828E-04
3.431241E+03	2.176796E-03	6.076842E-04
3.433240E+03	2.185598E-03	6.093370E-04
3.435238E+03	2.195418E-03	6.112658E-04
3.437236E+03	2.204751E-03	6.130509E-04
3.439235E+03	2.212908E-03	6.145012E-04
3.441233E+03	2.219603E-03	6.155393E-04
3.443232E+03	2.226683E-03	6.166777E-04
3.445230E+03	2.230528E-03	6.169153E-04
3.447228E+03	2.236598E-03	6.177630E-04
3.449227E+03	2.241276E-03	6.182214E-04
3.451225E+03	2.244227E-03	6.181990E-04
