#wls	flux	fluxerr
1.598715E+03	1.467786E-04	8.180087E-06
1.638682E+03	1.950102E-04	1.045233E-05
1.678650E+03	2.614846E-04	1.345530E-05
1.718618E+03	3.532911E-04	1.742036E-05
1.758586E+03	4.798370E-04	2.262739E-05
1.798554E+03	6.525869E-04	2.936876E-05
1.838522E+03	8.825904E-04	3.782268E-05
1.878490E+03	1.175616E-03	4.786224E-05
1.918458E+03	1.523226E-03	5.877127E-05
1.958425E+03	1.893110E-03	6.904650E-05
1.998393E+03	2.221429E-03	7.638643E-05
2.038361E+03	2.419923E-03	7.823997E-05
2.078329E+03	2.422956E-03	7.345732E-05
2.118297E+03	2.265010E-03	6.421938E-05
2.158265E+03	2.067384E-03	5.468152E-05
2.198233E+03	1.935650E-03	4.765745E-05
2.238200E+03	1.901405E-03	4.350793E-05
2.278168E+03	1.944030E-03	4.131187E-05
2.318136E+03	2.055219E-03	4.058428E-05
2.358104E+03	2.247364E-03	4.133589E-05
2.398072E+03	2.549157E-03	4.387530E-05
2.438040E+03	3.080741E-03	4.994649E-05
2.478008E+03	4.131003E-03	6.357202E-05
2.517976E+03	6.152076E-03	9.063746E-05
2.557943E+03	9.348764E-03	1.330857E-04
2.597911E+03	1.236928E-02	1.718102E-04
2.637879E+03	1.261664E-02	1.726475E-04
2.677847E+03	1.109992E-02	1.509828E-04
2.717815E+03	1.043138E-02	1.422150E-04
2.757783E+03	1.141373E-02	1.572015E-04
2.797751E+03	1.414257E-02	1.983095E-04
2.837718E+03	1.862992E-02	2.680306E-04
2.877686E+03	2.447576E-02	3.641436E-04
2.917654E+03	3.016156E-02	4.676654E-04
2.957622E+03	3.345469E-02	5.442147E-04
2.997590E+03	3.361245E-02	5.761921E-04
3.007582E+03	3.332778E-02	5.791085E-04
3.017574E+03	3.298846E-02	5.811089E-04
3.027566E+03	3.263331E-02	5.828322E-04
3.037558E+03	3.229948E-02	5.849250E-04
3.047550E+03	3.201656E-02	5.879329E-04
3.057542E+03	3.180974E-02	5.923516E-04
3.067534E+03	3.169853E-02	5.985981E-04
3.077526E+03	3.169285E-02	6.069287E-04
3.087518E+03	3.179646E-02	6.174933E-04
3.097510E+03	3.200716E-02	6.303314E-04
3.107502E+03	3.231104E-02	6.452483E-04
3.117494E+03	3.268880E-02	6.619275E-04
3.127486E+03	3.311310E-02	6.798664E-04
3.137477E+03	3.355166E-02	6.984309E-04
3.147469E+03	3.396435E-02	7.167837E-04
3.157461E+03	3.431393E-02	7.341036E-04
3.167453E+03	3.456610E-02	7.495897E-04
3.177445E+03	3.469208E-02	7.625207E-04
3.187437E+03	3.467102E-02	7.723175E-04
3.197429E+03	3.449633E-02	7.786963E-04
3.207421E+03	3.416922E-02	7.815427E-04
3.217413E+03	3.370258E-02	7.810138E-04
3.227405E+03	3.311588E-02	7.774348E-04
3.237397E+03	3.243523E-02	7.713122E-04
3.247389E+03	3.168851E-02	7.632261E-04
3.257381E+03	3.090311E-02	7.537789E-04
3.267373E+03	3.010403E-02	7.435476E-04
3.277365E+03	2.931416E-02	7.330867E-04
3.287357E+03	2.855162E-02	7.228594E-04
3.297349E+03	2.783004E-02	7.132365E-04
3.307341E+03	2.716014E-02	7.045301E-04
3.317333E+03	2.654792E-02	6.969434E-04
3.327325E+03	2.599746E-02	6.906358E-04
3.337317E+03	2.550984E-02	6.856921E-04
3.347309E+03	2.508479E-02	6.821616E-04
3.357301E+03	2.472090E-02	6.800632E-04
3.367293E+03	2.441609E-02	6.793950E-04
3.377285E+03	2.416764E-02	6.801349E-04
3.387277E+03	2.397231E-02	6.822431E-04
3.397269E+03	2.382772E-02	6.857007E-04
3.407261E+03	2.373054E-02	6.904585E-04
3.417253E+03	2.367918E-02	6.965139E-04
3.427244E+03	2.367098E-02	7.038310E-04
3.437236E+03	2.370413E-02	7.123960E-04
3.447228E+03	2.377688E-02	7.221950E-04
3.457220E+03	2.388692E-02	7.331931E-04
3.467212E+03	2.403174E-02	7.453456E-04
3.477204E+03	2.420673E-02	7.585390E-04
3.487196E+03	2.440508E-02	7.725837E-04
3.497188E+03	2.461857E-02	7.872365E-04
3.507180E+03	2.483789E-02	8.022089E-04
3.517172E+03	2.505413E-02	8.172128E-04
3.527164E+03	2.525723E-02	8.319109E-04
3.537156E+03	2.543898E-02	8.460148E-04
3.547148E+03	2.559160E-02	8.592397E-04
3.557140E+03	2.570911E-02	8.713523E-04
3.567132E+03	2.578647E-02	8.821439E-04
3.577124E+03	2.582053E-02	8.914646E-04
3.587116E+03	2.581035E-02	8.992383E-04
3.597108E+03	2.575525E-02	9.053972E-04
3.607100E+03	2.565707E-02	9.099613E-04
3.617092E+03	2.551817E-02	9.129731E-04
3.627084E+03	2.534153E-02	9.145006E-04
3.637076E+03	2.513120E-02	9.146547E-04
3.647068E+03	2.489217E-02	9.135864E-04
3.657060E+03	2.462931E-02	9.114479E-04
3.667052E+03	2.434866E-02	9.084426E-04
3.677044E+03	2.405550E-02	9.047523E-04
3.687036E+03	2.375598E-02	9.005990E-04
3.697028E+03	2.345605E-02	8.962034E-04
3.707020E+03	2.316167E-02	8.917956E-04
3.717012E+03	2.287815E-02	8.875864E-04
3.727003E+03	2.261077E-02	8.837915E-04
3.736995E+03	2.236404E-02	8.806031E-04
3.746987E+03	2.214204E-02	8.782012E-04
3.756979E+03	2.194790E-02	8.767323E-04
3.766971E+03	2.178418E-02	8.763223E-04
3.776963E+03	2.165235E-02	8.770576E-04
3.786955E+03	2.155311E-02	8.789917E-04
3.796947E+03	2.148687E-02	8.821687E-04
3.806939E+03	2.145213E-02	8.865531E-04
3.816931E+03	2.144749E-02	8.921111E-04
3.826923E+03	2.147067E-02	8.987701E-04
3.836915E+03	2.151809E-02	9.064002E-04
3.846907E+03	2.158591E-02	9.148563E-04
3.856899E+03	2.166990E-02	9.239725E-04
3.866891E+03	2.176518E-02	9.335493E-04
3.876883E+03	2.186654E-02	9.433691E-04
3.886875E+03	2.196839E-02	9.531920E-04
3.896867E+03	2.206557E-02	9.627906E-04
3.906859E+03	2.215282E-02	9.719300E-04
3.916851E+03	2.222526E-02	9.803849E-04
3.926843E+03	2.227844E-02	9.879459E-04
3.936835E+03	2.230849E-02	9.944259E-04
3.946827E+03	2.231247E-02	9.996762E-04
3.956819E+03	2.228804E-02	1.003572E-03
