#wls	flux	fluxerr
1.598715E+03	3.358473E-05	2.475548E-06
1.638682E+03	4.953114E-05	3.503952E-06
1.678650E+03	7.415324E-05	5.024588E-06
1.718618E+03	1.124070E-04	7.280089E-06
1.758586E+03	1.718176E-04	1.061215E-05
1.798554E+03	2.631341E-04	1.546166E-05
1.838522E+03	4.000891E-04	2.230772E-05
1.878490E+03	5.977792E-04	3.153942E-05
1.918458E+03	8.669751E-04	4.315601E-05
1.958425E+03	1.202157E-03	5.627691E-05
1.998393E+03	1.560408E-03	6.846262E-05
2.038361E+03	1.845693E-03	7.561844E-05
2.078329E+03	1.943200E-03	7.405226E-05
2.118297E+03	1.837835E-03	6.487470E-05
2.158265E+03	1.678511E-03	5.464422E-05
2.198233E+03	1.588765E-03	4.748635E-05
2.238200E+03	1.596195E-03	4.360205E-05
2.278168E+03	1.668910E-03	4.148223E-05
2.318136E+03	1.803407E-03	4.063009E-05
2.358104E+03	1.993803E-03	4.060026E-05
2.398072E+03	2.239029E-03	4.116801E-05
2.438040E+03	2.710810E-03	4.508856E-05
2.478008E+03	3.865335E-03	5.849823E-05
2.517976E+03	6.573661E-03	9.127472E-05
2.557943E+03	1.187687E-02	1.526420E-04
2.597911E+03	1.808645E-02	2.171303E-04
2.637879E+03	1.824052E-02	2.065703E-04
2.677847E+03	1.526768E-02	1.650238E-04
2.717815E+03	1.522494E-02	1.594829E-04
2.757783E+03	1.877991E-02	1.945708E-04
2.797751E+03	2.594595E-02	2.722144E-04
2.837718E+03	3.722697E-02	4.051304E-04
2.877686E+03	5.251918E-02	6.067443E-04
2.917654E+03	6.850161E-02	8.574866E-04
2.957622E+03	7.896056E-02	1.085672E-03
2.997590E+03	8.100406E-02	1.230600E-03
3.007582E+03	8.054789E-02	1.254887E-03
3.017574E+03	7.988204E-02	1.276226E-03
3.027566E+03	7.909680E-02	1.295780E-03
3.037558E+03	7.827667E-02	1.314758E-03
3.047550E+03	7.748735E-02	1.334187E-03
3.057542E+03	7.678023E-02	1.354957E-03
3.067534E+03	7.618862E-02	1.377726E-03
3.077526E+03	7.572126E-02	1.402764E-03
3.087518E+03	7.536799E-02	1.430004E-03
3.097510E+03	7.510135E-02	1.459033E-03
3.107502E+03	7.486763E-02	1.488872E-03
3.117494E+03	7.460354E-02	1.518250E-03
3.127486E+03	7.423618E-02	1.545583E-03
3.137477E+03	7.369897E-02	1.569282E-03
3.147469E+03	7.292356E-02	1.587593E-03
3.157461E+03	7.186217E-02	1.599084E-03
3.167453E+03	7.048717E-02	1.602687E-03
3.177445E+03	6.879160E-02	1.597754E-03
3.187437E+03	6.678802E-02	1.584082E-03
3.197429E+03	6.451546E-02	1.562129E-03
3.207421E+03	6.202152E-02	1.532640E-03
3.217413E+03	5.936619E-02	1.496764E-03
3.227405E+03	5.661025E-02	1.455791E-03
3.237397E+03	5.381444E-02	1.411131E-03
3.247389E+03	5.103176E-02	1.364111E-03
3.257381E+03	4.830590E-02	1.315916E-03
3.267373E+03	4.566978E-02	1.267522E-03
3.277365E+03	4.314785E-02	1.219735E-03
3.287357E+03	4.075428E-02	1.173120E-03
3.297349E+03	3.849511E-02	1.128034E-03
3.307341E+03	3.637206E-02	1.084721E-03
3.317333E+03	3.438150E-02	1.043269E-03
3.327325E+03	3.251829E-02	1.003711E-03
3.337317E+03	3.077494E-02	9.659975E-04
3.347309E+03	2.914421E-02	9.300743E-04
3.357301E+03	2.761900E-02	8.958794E-04
3.367293E+03	2.619282E-02	8.633561E-04
3.377285E+03	2.486009E-02	8.324676E-04
3.387277E+03	2.361572E-02	8.031823E-04
3.397269E+03	2.245609E-02	7.755105E-04
3.407261E+03	2.137724E-02	7.494437E-04
3.417253E+03	2.037703E-02	7.250303E-04
3.427244E+03	1.945241E-02	7.022823E-04
3.437236E+03	1.860126E-02	6.812391E-04
3.447228E+03	1.782150E-02	6.619380E-04
3.457220E+03	1.711069E-02	6.443981E-04
3.467212E+03	1.646649E-02	6.286383E-04
3.477204E+03	1.588501E-02	6.146106E-04
3.487196E+03	1.536041E-02	6.021845E-04
3.497188E+03	1.488632E-02	5.911947E-04
3.507180E+03	1.445640E-02	5.814644E-04
3.517172E+03	1.406512E-02	5.728361E-04
3.527164E+03	1.370681E-02	5.651362E-04
3.537156E+03	1.337721E-02	5.582369E-04
3.547148E+03	1.307237E-02	5.520154E-04
3.557140E+03	1.278916E-02	5.463764E-04
3.567132E+03	1.252486E-02	5.412346E-04
3.577124E+03	1.227750E-02	5.365326E-04
3.587116E+03	1.204596E-02	5.322474E-04
3.597108E+03	1.182908E-02	5.283502E-04
3.607100E+03	1.162667E-02	5.248548E-04
3.617092E+03	1.143864E-02	5.217789E-04
3.627084E+03	1.126506E-02	5.191468E-04
3.637076E+03	1.110636E-02	5.169995E-04
3.647068E+03	1.096325E-02	5.153924E-04
3.657060E+03	1.083628E-02	5.143731E-04
3.667052E+03	1.072639E-02	5.140100E-04
3.677044E+03	1.063406E-02	5.143493E-04
3.687036E+03	1.056004E-02	5.154513E-04
3.697028E+03	1.050490E-02	5.173690E-04
3.707020E+03	1.046916E-02	5.201529E-04
3.717012E+03	1.045302E-02	5.238375E-04
3.727003E+03	1.045670E-02	5.284587E-04
3.736995E+03	1.048013E-02	5.340374E-04
3.746987E+03	1.052317E-02	5.405898E-04
3.756979E+03	1.058534E-02	5.481139E-04
3.766971E+03	1.066604E-02	5.566009E-04
3.776963E+03	1.076440E-02	5.660243E-04
3.786955E+03	1.087928E-02	5.763433E-04
3.796947E+03	1.100963E-02	5.875190E-04
3.806939E+03	1.115369E-02	5.994712E-04
3.816931E+03	1.130985E-02	6.121264E-04
3.826923E+03	1.147635E-02	6.253982E-04
3.836915E+03	1.165089E-02	6.391690E-04
3.846907E+03	1.183120E-02	6.533188E-04
3.856899E+03	1.201503E-02	6.677246E-04
3.866891E+03	1.219988E-02	6.822476E-04
3.876883E+03	1.238323E-02	6.967419E-04
3.886875E+03	1.256238E-02	7.110506E-04
3.896867E+03	1.273493E-02	7.250290E-04
3.906859E+03	1.289844E-02	7.385267E-04
3.916851E+03	1.305058E-02	7.513976E-04
3.926843E+03	1.318917E-02	7.635013E-04
3.936835E+03	1.331224E-02	7.747085E-04
3.946827E+03	1.341817E-02	7.849063E-04
3.956819E+03	1.350545E-02	7.939887E-04
3.966811E+03	1.357272E-02	8.018571E-04
3.976803E+03	1.361923E-02	8.084479E-04
3.986795E+03	1.364417E-02	8.136944E-04
3.996787E+03	1.364720E-02	8.175573E-04
4.006779E+03	1.362814E-02	8.200077E-04
4.016771E+03	1.358691E-02	8.210241E-04
4.026762E+03	1.352407E-02	8.206230E-04
4.036754E+03	1.344000E-02	8.188128E-04
4.046746E+03	1.333555E-02	8.156318E-04
4.056738E+03	1.321167E-02	8.111251E-04
4.066730E+03	1.306951E-02	8.053517E-04
4.076722E+03	1.291036E-02	7.983832E-04
4.086714E+03	1.273587E-02	7.903122E-04
4.096706E+03	1.254759E-02	7.812290E-04
4.106698E+03	1.234730E-02	7.712407E-04
4.116690E+03	1.213719E-02	7.604799E-04
4.126682E+03	1.191905E-02	7.490587E-04
4.136674E+03	1.169513E-02	7.371171E-04
4.146666E+03	1.146759E-02	7.247933E-04
4.156658E+03	1.123861E-02	7.122281E-04
4.166650E+03	1.101039E-02	6.995653E-04
4.176642E+03	1.078510E-02	6.869468E-04
4.186634E+03	1.056485E-02	6.745136E-04
4.196626E+03	1.035168E-02	6.624037E-04
4.206618E+03	1.014757E-02	6.507494E-04
4.216610E+03	9.954341E-03	6.396771E-04
4.226602E+03	9.773660E-03	6.293014E-04
4.236594E+03	9.607134E-03	6.197345E-04
4.246586E+03	9.456279E-03	6.110825E-04
4.256578E+03	9.322403E-03	6.034385E-04
4.266570E+03	9.206481E-03	5.968740E-04
4.276562E+03	9.109549E-03	5.914639E-04
4.286554E+03	9.032389E-03	5.872666E-04
4.296546E+03	8.975632E-03	5.843302E-04
4.306538E+03	8.939676E-03	5.826868E-04
4.316530E+03	8.924671E-03	5.823523E-04
4.326521E+03	8.930868E-03	5.833478E-04
4.336513E+03	8.957963E-03	5.856580E-04
4.346505E+03	9.005841E-03	5.892789E-04
4.356497E+03	9.074095E-03	5.941866E-04
4.366489E+03	9.162257E-03	6.003527E-04
4.376481E+03	9.269630E-03	6.077326E-04
4.386473E+03	9.395513E-03	6.162807E-04
4.396465E+03	9.538977E-03	6.259357E-04
4.406457E+03	9.699158E-03	6.366398E-04
4.416449E+03	9.874860E-03	6.483130E-04
4.426441E+03	1.006472E-02	6.608639E-04
4.436433E+03	1.026738E-02	6.741995E-04
4.446425E+03	1.048112E-02	6.882044E-04
4.456417E+03	1.070406E-02	7.027523E-04
4.466409E+03	1.093430E-02	7.177133E-04
4.476401E+03	1.116944E-02	7.329265E-04
4.486393E+03	1.140726E-02	7.482429E-04
4.496385E+03	1.164538E-02	7.635010E-04
4.506377E+03	1.188123E-02	7.785298E-04
4.516369E+03	1.211240E-02	7.931678E-04
4.526361E+03	1.233654E-02	8.072576E-04
4.536353E+03	1.255139E-02	8.206501E-04
4.546345E+03	1.275490E-02	8.332082E-04
4.556337E+03	1.294507E-02	8.448017E-04
4.566329E+03	1.312017E-02	8.553167E-04
4.576321E+03	1.327910E-02	8.646826E-04
4.586313E+03	1.342061E-02	8.728186E-04
4.596305E+03	1.354386E-02	8.796738E-04
4.606297E+03	1.364864E-02	8.852369E-04
4.616289E+03	1.373495E-02	8.895114E-04
4.626280E+03	1.380272E-02	8.924981E-04
4.636272E+03	1.385300E-02	8.942683E-04
4.646264E+03	1.388616E-02	8.948527E-04
4.656256E+03	1.390366E-02	8.943494E-04
4.666248E+03	1.390673E-02	8.928433E-04
4.676240E+03	1.389676E-02	8.904301E-04
4.686232E+03	1.387528E-02	8.872129E-04
4.696224E+03	1.384392E-02	8.833001E-04
4.706216E+03	1.380462E-02	8.788212E-04
4.716208E+03	1.375899E-02	8.738822E-04
4.726200E+03	1.370879E-02	8.685999E-04
4.736192E+03	1.365597E-02	8.630989E-04
4.746184E+03	1.360203E-02	8.574782E-04
4.756176E+03	1.354917E-02	8.518770E-04
4.766168E+03	1.349877E-02	8.463822E-04
4.776160E+03	1.345284E-02	8.411201E-04
4.786152E+03	1.341314E-02	8.361987E-04
4.796144E+03	1.338108E-02	8.317041E-04
4.806136E+03	1.335850E-02	8.277467E-04
4.816128E+03	1.334719E-02	8.244319E-04
4.826120E+03	1.334850E-02	8.218376E-04
4.836112E+03	1.336413E-02	8.200606E-04
4.846104E+03	1.339552E-02	8.191805E-04
4.856096E+03	1.344390E-02	8.192630E-04
4.866088E+03	1.351048E-02	8.203703E-04
4.876080E+03	1.359643E-02	8.225613E-04
4.886072E+03	1.370249E-02	8.258664E-04
4.896064E+03	1.382945E-02	8.303194E-04
4.906056E+03	1.397750E-02	8.359158E-04
4.916047E+03	1.414706E-02	8.426639E-04
