#wls	flux	fluxerr
1.598715E+03	9.372414E-05	5.202513E-06
1.638682E+03	1.294759E-04	6.912853E-06
1.678650E+03	1.810292E-04	9.280126E-06
1.718618E+03	2.556111E-04	1.255754E-05
1.758586E+03	3.631863E-04	1.706503E-05
1.798554E+03	5.163321E-04	2.315472E-05
1.838522E+03	7.281302E-04	3.109397E-05
1.878490E+03	1.007579E-03	4.087609E-05
1.918458E+03	1.350493E-03	5.191739E-05
1.958425E+03	1.728474E-03	6.280038E-05
1.998393E+03	2.078776E-03	7.118350E-05
2.038361E+03	2.308659E-03	7.429318E-05
2.078329E+03	2.338347E-03	7.050606E-05
2.118297E+03	2.187699E-03	6.162158E-05
2.158265E+03	2.004548E-03	5.259137E-05
2.198233E+03	1.903210E-03	4.638153E-05
2.238200E+03	1.909909E-03	4.313275E-05
2.278168E+03	1.983954E-03	4.145050E-05
2.318136E+03	2.112879E-03	4.081368E-05
2.358104E+03	2.303258E-03	4.117364E-05
2.398072E+03	2.565423E-03	4.257323E-05
2.438040E+03	3.050125E-03	4.725625E-05
2.478008E+03	4.145760E-03	6.039468E-05
2.517976E+03	6.529214E-03	9.013828E-05
2.557943E+03	1.077564E-02	1.421644E-04
2.597911E+03	1.518993E-02	1.932330E-04
2.637879E+03	1.514344E-02	1.875376E-04
2.677847E+03	1.265620E-02	1.541738E-04
2.717815E+03	1.192424E-02	1.444265E-04
2.757783E+03	1.364272E-02	1.661027E-04
2.797751E+03	1.785791E-02	2.210438E-04
2.837718E+03	2.481099E-02	3.158994E-04
2.877686E+03	3.432345E-02	4.548966E-04
2.917654E+03	4.432085E-02	6.184970E-04
2.957622E+03	5.093192E-02	7.552169E-04
2.997590E+03	5.235920E-02	8.295448E-04
3.007582E+03	5.215054E-02	8.404658E-04
3.017574E+03	5.184088E-02	8.499684E-04
3.027566E+03	5.149581E-02	8.590364E-04
3.037558E+03	5.117818E-02	8.686806E-04
3.047550E+03	5.093973E-02	8.797956E-04
3.057542E+03	5.082445E-02	8.932038E-04
3.067534E+03	5.086558E-02	9.095941E-04
3.077526E+03	5.108051E-02	9.294120E-04
3.087518E+03	5.147483E-02	9.529131E-04
3.097510E+03	5.204129E-02	9.801221E-04
3.107502E+03	5.274975E-02	1.010621E-03
3.117494E+03	5.355784E-02	1.043718E-03
3.127486E+03	5.440812E-02	1.078370E-03
3.137477E+03	5.523540E-02	1.113301E-03
3.147469E+03	5.596127E-02	1.146877E-03
3.157461E+03	5.651427E-02	1.177503E-03
3.167453E+03	5.683420E-02	1.203719E-03
3.177445E+03	5.687398E-02	1.224266E-03
3.187437E+03	5.660347E-02	1.238183E-03
3.197429E+03	5.602236E-02	1.245128E-03
3.207421E+03	5.514547E-02	1.245097E-03
3.217413E+03	5.400747E-02	1.238559E-03
3.227405E+03	5.265552E-02	1.226321E-03
3.237397E+03	5.114601E-02	1.209475E-03
3.247389E+03	4.953448E-02	1.189171E-03
3.257381E+03	4.787268E-02	1.166549E-03
3.267373E+03	4.620536E-02	1.142648E-03
3.277365E+03	4.457020E-02	1.118396E-03
3.287357E+03	4.299398E-02	1.094502E-03
3.297349E+03	4.149465E-02	1.071484E-03
3.307341E+03	4.008470E-02	1.049745E-03
3.317333E+03	3.876885E-02	1.029502E-03
3.327325E+03	3.754878E-02	1.010897E-03
3.337317E+03	3.642232E-02	9.939693E-04
3.347309E+03	3.538599E-02	9.787188E-04
3.357301E+03	3.443535E-02	9.651150E-04
3.367293E+03	3.356573E-02	9.531148E-04
3.377285E+03	3.277272E-02	9.426763E-04
3.387277E+03	3.205181E-02	9.337486E-04
3.397269E+03	3.140004E-02	9.263209E-04
3.407261E+03	3.081398E-02	9.203636E-04
3.417253E+03	3.029262E-02	9.159157E-04
3.427244E+03	2.983382E-02	9.129807E-04
3.437236E+03	2.943709E-02	9.116094E-04
3.447228E+03	2.910220E-02	9.118606E-04
3.457220E+03	2.882847E-02	9.137782E-04
3.467212E+03	2.861553E-02	9.174148E-04
3.477204E+03	2.846011E-02	9.227286E-04
3.487196E+03	2.835436E-02	9.295224E-04
3.497188E+03	1.103954E-02	3.658669E-04
3.498096E+03	1.105606E-02	3.667742E-04
3.499003E+03	1.107078E-02	3.676226E-04
3.499910E+03	1.108635E-02	3.685001E-04
3.500817E+03	1.110542E-02	3.694949E-04
3.501725E+03	1.112710E-02	3.705778E-04
3.502632E+03	1.114873E-02	3.716604E-04
3.503539E+03	1.117209E-02	3.728018E-04
3.504446E+03	1.119716E-02	3.740018E-04
3.505354E+03	1.122218E-02	3.752017E-04
3.506261E+03	1.124452E-02	3.763132E-04
3.507168E+03	1.126594E-02	3.773952E-04
3.508076E+03	1.128732E-02	3.784771E-04
3.508983E+03	1.130777E-02	3.795293E-04
3.509889E+03	1.132907E-02	3.806106E-04
3.510796E+03	1.135120E-02	3.817214E-04
3.511705E+03	1.137503E-02	3.828911E-04
3.512611E+03	1.139969E-02	3.840896E-04
3.513518E+03	1.142693E-02	3.853766E-04
3.514425E+03	1.145760E-02	3.867812E-04
3.515333E+03	1.149083E-02	3.882740E-04
3.516240E+03	1.152573E-02	3.898257E-04
3.517147E+03	1.156406E-02	3.914951E-04
3.518054E+03	1.160405E-02	3.932234E-04
3.518962E+03	1.164658E-02	3.950400E-04
3.519869E+03	1.169076E-02	3.969155E-04
3.520776E+03	1.173920E-02	3.989384E-04
3.521684E+03	1.178756E-02	4.009613E-04
3.522591E+03	1.183670E-02	4.030137E-04
3.523498E+03	1.188402E-02	4.050072E-04
3.524405E+03	1.192866E-02	4.069123E-04
3.525313E+03	1.197149E-02	4.087583E-04
3.526220E+03	1.201425E-02	4.106044E-04
3.527127E+03	1.205694E-02	4.124504E-04
3.528034E+03	1.209954E-02	4.142964E-04
3.528942E+03	1.214293E-02	4.161718E-04
3.529849E+03	1.218711E-02	4.180767E-04
3.530756E+03	1.223034E-02	4.199520E-04
3.531664E+03	1.227350E-02	4.218273E-04
3.532571E+03	1.231658E-02	4.237025E-04
3.533478E+03	1.236130E-02	4.256366E-04
3.534385E+03	1.240594E-02	4.275708E-04
3.535293E+03	1.244879E-02	4.294458E-04
3.536200E+03	1.249327E-02	4.313798E-04
3.537106E+03	1.253768E-02	4.333134E-04
3.538013E+03	1.258286E-02	4.352767E-04
3.538922E+03	1.262624E-02	4.371813E-04
3.539828E+03	1.266786E-02	4.390261E-04
3.540735E+03	1.270940E-02	4.408711E-04
3.541643E+03	1.275426E-02	4.428341E-04
3.542550E+03	1.279820E-02	4.447675E-04
3.543457E+03	1.284036E-02	4.466417E-04
3.544364E+03	1.287990E-02	4.484271E-04
3.545272E+03	1.291767E-02	4.501533E-04
3.546179E+03	1.295453E-02	4.518498E-04
3.547086E+03	1.298963E-02	4.534870E-04
3.547993E+03	1.302128E-02	4.550058E-04
3.548901E+03	1.305203E-02	4.564949E-04
3.549808E+03	1.308273E-02	4.579837E-04
3.550715E+03	1.311336E-02	4.594723E-04
3.551622E+03	1.314310E-02	4.609312E-04
3.552530E+03	1.317110E-02	4.623306E-04
3.553437E+03	1.319821E-02	4.637003E-04
3.554344E+03	1.322275E-02	4.649810E-04
3.555252E+03	1.324724E-02	4.662615E-04
3.556159E+03	1.326832E-02	4.674233E-04
3.557066E+03	1.328685E-02	4.684961E-04
3.557973E+03	1.330366E-02	4.695095E-04
3.558881E+03	1.331710E-02	4.704042E-04
3.559788E+03	1.332715E-02	4.711802E-04
3.560695E+03	1.333719E-02	4.719558E-04
3.561602E+03	1.334470E-02	4.726423E-04
3.562510E+03	1.335052E-02	4.732693E-04
3.563417E+03	1.335382E-02	4.738071E-04
3.564323E+03	1.335295E-02	4.741962E-04
3.565231E+03	1.334958E-02	4.744964E-04
3.566139E+03	1.334370E-02	4.747076E-04
3.567045E+03	1.333701E-02	4.748883E-04
3.567952E+03	1.332782E-02	4.749799E-04
3.568860E+03	1.331532E-02	4.749527E-04
3.569767E+03	1.330118E-02	4.748658E-04
3.570674E+03	1.328292E-02	4.746304E-04
3.571581E+03	1.326302E-02	4.743353E-04
3.572489E+03	1.324150E-02	4.739804E-04
3.573396E+03	1.321918E-02	4.735954E-04
3.574303E+03	1.319441E-02	4.731210E-04
3.575211E+03	1.316885E-02	4.726166E-04
3.576118E+03	1.314004E-02	4.719932E-04
3.577025E+03	1.310796E-02	4.712506E-04
3.577932E+03	1.307594E-02	4.705077E-04
3.578840E+03	1.303985E-02	4.696160E-04
3.579747E+03	1.300134E-02	4.686349E-04
3.580654E+03	1.295961E-02	4.675348E-04
3.581561E+03	1.291302E-02	4.662562E-04
3.582469E+03	1.286322E-02	4.648586E-04
3.583376E+03	1.281349E-02	4.634604E-04
3.584283E+03	1.276303E-02	4.620320E-04
3.585191E+03	1.270855E-02	4.604549E-04
3.586098E+03	1.265415E-02	4.588772E-04
3.587005E+03	1.259575E-02	4.571506E-04
3.587912E+03	1.253337E-02	4.552753E-04
3.588820E+03	1.247189E-02	4.534291E-04
3.589727E+03	1.241215E-02	4.516416E-04
3.590634E+03	1.235086E-02	4.497942E-04
3.591540E+03	1.229049E-02	4.479757E-04
3.592448E+03	1.223102E-02	4.461866E-04
3.593355E+03	1.217165E-02	4.443969E-04
3.594262E+03	1.211317E-02	4.426364E-04
3.595169E+03	1.205317E-02	4.408161E-04
3.596077E+03	1.199488E-02	4.390545E-04
3.596984E+03	1.193587E-02	4.372628E-04
3.597891E+03	1.187372E-02	4.353519E-04
3.598799E+03	1.181328E-02	4.334999E-04
3.599706E+03	1.175536E-02	4.317363E-04
3.600613E+03	1.169914E-02	4.300317E-04
3.601520E+03	1.164220E-02	4.282968E-04
