#wls	flux	fluxerr
1.598715E+03	-2.719294E-20	1.980970E-19
1.638682E+03	-3.827618E-20	2.900590E-19
1.678650E+03	-4.873852E-20	3.855061E-19
1.718618E+03	-5.660100E-20	4.691080E-19
1.758586E+03	-5.922270E-20	5.166430E-19
1.798554E+03	-5.356124E-20	4.944397E-19
1.838522E+03	-3.680316E-20	3.617845E-19
1.878490E+03	-7.595196E-21	8.011427E-20
1.918458E+03	3.220272E-20	-3.678893E-19
1.958425E+03	7.545121E-20	-9.445018E-19
1.998393E+03	1.091699E-19	-1.519958E-18
2.038361E+03	1.187682E-19	-1.875810E-18
2.078329E+03	9.794599E-20	-1.803209E-18
2.118297E+03	5.620900E-20	-1.255124E-18
2.158265E+03	1.246810E-20	-3.597092E-19
2.198233E+03	-1.798140E-20	7.525937E-19
2.238200E+03	-2.590521E-20	2.087494E-18
2.278168E+03	-5.230025E-22	3.816680E-18
2.318136E+03	8.182296E-20	6.288137E-18
2.358104E+03	2.747866E-19	1.012564E-17
2.398072E+03	7.007473E-19	1.654507E-17
2.438040E+03	1.650095E-18	2.806607E-17
2.478008E+03	3.826584E-18	4.994887E-17
2.517976E+03	8.871853E-18	9.243020E-17
2.557943E+03	2.014512E-17	1.719923E-16
2.597911E+03	4.286318E-17	3.055292E-16
2.637879E+03	8.246495E-17	4.974559E-16
2.677847E+03	1.450172E-16	7.477758E-16
2.717815E+03	2.440870E-16	1.083876E-15
2.757783E+03	4.089729E-16	1.572354E-15
2.797751E+03	6.912728E-16	2.309682E-15
2.837718E+03	1.166096E-15	3.393950E-15
2.877686E+03	1.916999E-15	4.865690E-15
2.917654E+03	3.006845E-15	6.655821E-15
2.957622E+03	4.467194E-15	8.616333E-15
2.997590E+03	6.325167E-15	1.061124E-14
3.007582E+03	6.856927E-15	1.110444E-14
3.017574E+03	7.416784E-15	1.159228E-14
3.027566E+03	8.005027E-15	1.207274E-14
3.037558E+03	8.621927E-15	1.254389E-14
3.047550E+03	9.266675E-15	1.300236E-14
3.057542E+03	9.937984E-15	1.344444E-14
3.067534E+03	1.063385E-14	1.386583E-14
3.077526E+03	1.135094E-14	1.426110E-14
3.087518E+03	1.208529E-14	1.462468E-14
3.097510E+03	1.283276E-14	1.495161E-14
3.107502E+03	1.358768E-14	1.523594E-14
3.117494E+03	1.434494E-14	1.547328E-14
3.127486E+03	1.509905E-14	1.565967E-14
3.137477E+03	1.584625E-14	1.579364E-14
3.147469E+03	1.658189E-14	1.587340E-14
3.157461E+03	1.730375E-14	1.589995E-14
3.167453E+03	1.801111E-14	1.587582E-14
3.177445E+03	1.870453E-14	1.580459E-14
3.187437E+03	1.938550E-14	1.569037E-14
3.197429E+03	2.005882E-14	1.553948E-14
3.207421E+03	2.072889E-14	1.535723E-14
3.217413E+03	2.140237E-14	1.514981E-14
3.227405E+03	2.208590E-14	1.492258E-14
3.237397E+03	2.278751E-14	1.468085E-14
3.247389E+03	2.351505E-14	1.442896E-14
3.257381E+03	2.427624E-14	1.417024E-14
3.267373E+03	2.507810E-14	1.390687E-14
3.277365E+03	2.592801E-14	1.364056E-14
3.287357E+03	2.683216E-14	1.337182E-14
3.297349E+03	2.779549E-14	1.310010E-14
3.307341E+03	2.882281E-14	1.282458E-14
3.317333E+03	2.991670E-14	1.254332E-14
3.327325E+03	3.107937E-14	1.225433E-14
3.337317E+03	3.231065E-14	1.195500E-14
3.347309E+03	3.360889E-14	1.164270E-14
3.357301E+03	3.497062E-14	1.131496E-14
3.367293E+03	3.639048E-14	1.096978E-14
3.377285E+03	3.786081E-14	1.060583E-14
3.387277E+03	3.937068E-14	1.022262E-14
3.397269E+03	4.090745E-14	9.821420E-15
3.407261E+03	4.245348E-14	9.404982E-15
3.417253E+03	4.399011E-14	8.979109E-15
3.427244E+03	4.549305E-14	8.552211E-15
3.437236E+03	4.693577E-14	8.136620E-15
3.447228E+03	4.828826E-14	7.748527E-15
3.457220E+03	4.951744E-14	7.407414E-15
3.467212E+03	5.058958E-14	7.135072E-15
3.477204E+03	5.146775E-14	6.952189E-15
3.487196E+03	5.211547E-14	6.874402E-15
3.491710E+03	2.436170E-14	3.201321E-15
3.493440E+03	2.423978E-14	3.184316E-15
3.495171E+03	2.410313E-14	3.167353E-15
3.496901E+03	2.396116E-14	3.151598E-15
3.498632E+03	2.381576E-14	3.137224E-15
3.500363E+03	2.365362E-14	3.122397E-15
3.502093E+03	2.348414E-14	3.108267E-15
3.503824E+03	2.331117E-14	3.095251E-15
3.505555E+03	2.313085E-14	3.082749E-15
3.507285E+03	2.294508E-14	3.070917E-15
3.509016E+03	2.274619E-14	3.058625E-15
3.510746E+03	2.254178E-14	3.046789E-15
3.512477E+03	2.233383E-14	3.035575E-15
3.514208E+03	2.211265E-14	3.023562E-15
3.515938E+03	2.188398E-14	3.011419E-15
3.517669E+03	2.165561E-14	3.000115E-15
3.519399E+03	2.143145E-14	2.990111E-15
3.521130E+03	2.119011E-14	2.978331E-15
3.522861E+03	2.094127E-14	2.966008E-15
3.524591E+03	2.069863E-14	2.954991E-15
3.526322E+03	2.045052E-14	2.943543E-15
3.528052E+03	2.019100E-14	2.930710E-15
3.529783E+03	1.993382E-14	2.918387E-15
3.531514E+03	1.967334E-14	2.905679E-15
3.533244E+03	1.941468E-14	2.893268E-15
3.534975E+03	1.915808E-14	2.881133E-15
3.536705E+03	1.890120E-14	2.868866E-15
3.538436E+03	1.864368E-14	2.856352E-15
3.540167E+03	1.839032E-14	2.844273E-15
3.541897E+03	1.812304E-14	2.829776E-15
3.543628E+03	1.786095E-14	2.815757E-15
3.545359E+03	1.759411E-14	2.800612E-15
3.547089E+03	1.733173E-14	2.785753E-15
3.548820E+03	1.708048E-14	2.772240E-15
3.550550E+03	1.682599E-14	2.757732E-15
3.552281E+03	1.658332E-14	2.744671E-15
3.554012E+03	1.634030E-14	2.731043E-15
3.555742E+03	1.609895E-14	2.717156E-15
3.557472E+03	1.586353E-14	2.703700E-15
3.559203E+03	1.563917E-14	2.691604E-15
3.560934E+03	1.541863E-14	2.679594E-15
3.562665E+03	1.520540E-14	2.668292E-15
3.564394E+03	1.501005E-14	2.659574E-15
3.566126E+03	1.482276E-14	2.651797E-15
3.567856E+03	1.463562E-14	2.643511E-15
3.569586E+03	1.445169E-14	2.635259E-15
3.571318E+03	1.428022E-14	2.628784E-15
3.573048E+03	1.412693E-14	2.625161E-15
3.574779E+03	1.397904E-14	2.622087E-15
3.576509E+03	1.383149E-14	2.618619E-15
3.578240E+03	1.369943E-14	2.617643E-15
3.579970E+03	1.357962E-14	2.618593E-15
3.581701E+03	1.346806E-14	2.620783E-15
3.583431E+03	1.337130E-14	2.625482E-15
3.585162E+03	1.328099E-14	2.631149E-15
3.586892E+03	1.319861E-14	2.638087E-15
3.588623E+03	1.311862E-14	2.645219E-15
3.590353E+03	1.303899E-14	2.652132E-15
3.592084E+03	1.296589E-14	2.660095E-15
3.593815E+03	1.290699E-14	2.670720E-15
3.595545E+03	1.284685E-14	2.680853E-15
3.597277E+03	1.279539E-14	2.692586E-15
3.599006E+03	1.273670E-14	2.702544E-15
3.600737E+03	1.268155E-14	2.713028E-15
3.602469E+03	1.261877E-14	2.721643E-15
3.604198E+03	1.255684E-14	2.730148E-15
3.605929E+03	1.251214E-14	2.742177E-15
3.607659E+03	1.246542E-14	2.753549E-15
3.609391E+03	1.243661E-14	2.768699E-15
3.611121E+03	1.240684E-14	2.783447E-15
3.612851E+03	1.236366E-14	2.795007E-15
3.614582E+03	1.233158E-14	2.808877E-15
3.616312E+03	1.232599E-14	2.828647E-15
3.618043E+03	1.232823E-14	2.850130E-15
3.619774E+03	1.233539E-14	2.872690E-15
3.621504E+03	1.234310E-14	2.895322E-15
3.623235E+03	1.235011E-14	2.917732E-15
3.624966E+03	1.236977E-14	2.943088E-15
3.626696E+03	1.237832E-14	2.965759E-15
3.628427E+03	1.239869E-14	2.991219E-15
3.630157E+03	1.241649E-14	3.016031E-15
3.631888E+03	1.244947E-14	3.044516E-15
3.633619E+03	1.250077E-14	3.077520E-15
3.635349E+03	1.256872E-14	3.114719E-15
3.637080E+03	1.261889E-14	3.147599E-15
3.638810E+03	1.267527E-14	3.182097E-15
3.640541E+03	1.275354E-14	3.222198E-15
3.642272E+03	1.283468E-14	3.263171E-15
3.644002E+03	1.292059E-14	3.305508E-15
3.645733E+03	1.302568E-14	3.352939E-15
3.647463E+03	1.313301E-14	3.401164E-15
3.649194E+03	1.324467E-14	3.450735E-15
3.650925E+03	1.336777E-14	3.503528E-15
3.652655E+03	1.348015E-14	3.553748E-15
3.654386E+03	1.359705E-14	3.605387E-15
3.656116E+03	1.373268E-14	3.662249E-15
3.657847E+03	1.387554E-14	3.721329E-15
3.659578E+03	1.402625E-14	3.782821E-15
3.661308E+03	1.419064E-14	3.848339E-15
3.663039E+03	1.435180E-14	3.913321E-15
3.664770E+03	1.452619E-14	3.982268E-15
3.666500E+03	1.470923E-14	4.053962E-15
3.668231E+03	1.488961E-14	4.125305E-15
3.669961E+03	1.507590E-14	4.198662E-15
3.671692E+03	1.527475E-14	4.275918E-15
3.673423E+03	1.546256E-14	4.350478E-15
3.675153E+03	1.566855E-14	4.430548E-15
3.676884E+03	1.585743E-14	4.506172E-15
3.678614E+03	1.605381E-14	4.584301E-15
3.680345E+03	1.627396E-14	4.669619E-15
3.682076E+03	1.649655E-14	4.756079E-15
3.683806E+03	1.672472E-14	4.844583E-15
3.685537E+03	1.696928E-14	4.938293E-15
3.687267E+03	1.722456E-14	5.035614E-15
3.688998E+03	1.750762E-14	5.141584E-15
3.690729E+03	1.778885E-14	5.247574E-15
3.692459E+03	1.807408E-14	5.355289E-15
