#wls	flux	fluxerr
1.598715E+03	1.126485E-16	4.263236E-18
1.638682E+03	1.121508E-16	4.227037E-18
1.678650E+03	1.117562E-16	4.194462E-18
1.718618E+03	1.114489E-16	4.164871E-18
1.758586E+03	1.112749E-16	4.139924E-18
1.798554E+03	1.112062E-16	4.118520E-18
1.838522E+03	1.112317E-16	4.100188E-18
1.878490E+03	1.113363E-16	4.084318E-18
1.918458E+03	1.115453E-16	4.071787E-18
1.958425E+03	1.118047E-16	4.060562E-18
1.998393E+03	1.121670E-16	4.052506E-18
2.038361E+03	1.126494E-16	4.048167E-18
2.078329E+03	1.134513E-16	4.054592E-18
2.118297E+03	1.147379E-16	4.077444E-18
2.158265E+03	1.167374E-16	4.124475E-18
2.198233E+03	1.195771E-16	4.199678E-18
2.238200E+03	1.231984E-16	4.300439E-18
2.278168E+03	1.275231E-16	4.423489E-18
2.318136E+03	1.323830E-16	4.562507E-18
2.358104E+03	1.377484E-16	4.716048E-18
2.398072E+03	1.436221E-16	4.883788E-18
2.438040E+03	1.499720E-16	5.064197E-18
2.478008E+03	1.569146E-16	5.260756E-18
2.517976E+03	1.644810E-16	5.473974E-18
2.557943E+03	1.727629E-16	5.706307E-18
2.597911E+03	1.818614E-16	5.960416E-18
2.637879E+03	1.918564E-16	6.238144E-18
2.677847E+03	2.028642E-16	6.542407E-18
2.717815E+03	2.150447E-16	6.877356E-18
2.757783E+03	2.285066E-16	7.245330E-18
2.797751E+03	2.434027E-16	7.649891E-18
2.837718E+03	2.599373E-16	8.096010E-18
2.877686E+03	2.783374E-16	8.589080E-18
2.917654E+03	2.987761E-16	9.132546E-18
2.957622E+03	3.216066E-16	9.735051E-18
2.997590E+03	3.470525E-16	1.040089E-17
3.007582E+03	3.538601E-16	1.057806E-17
3.017574E+03	3.608809E-16	1.076045E-17
3.027566E+03	3.681198E-16	1.094816E-17
3.037558E+03	3.755376E-16	1.113998E-17
3.047550E+03	3.831864E-16	1.133739E-17
3.057542E+03	3.910758E-16	1.154062E-17
3.067534E+03	3.991638E-16	1.174837E-17
3.077526E+03	4.075482E-16	1.196346E-17
3.087518E+03	4.161398E-16	1.218321E-17
3.097510E+03	4.249905E-16	1.240908E-17
3.107502E+03	4.341056E-16	1.264115E-17
3.117494E+03	4.434903E-16	1.287951E-17
3.127486E+03	4.532005E-16	1.312571E-17
3.137477E+03	4.631418E-16	1.337693E-17
3.147469E+03	4.734210E-16	1.363619E-17
3.157461E+03	4.839937E-16	1.390213E-17
3.167453E+03	4.948659E-16	1.417485E-17
3.177445E+03	5.060970E-16	1.445596E-17
3.187437E+03	5.176951E-16	1.474560E-17
3.197429E+03	5.295591E-16	1.504080E-17
3.207421E+03	5.418594E-16	1.534631E-17
3.217413E+03	5.544945E-16	1.565917E-17
3.227405E+03	5.675277E-16	1.598106E-17
3.237397E+03	5.809675E-16	1.631211E-17
3.247389E+03	5.947651E-16	1.665086E-17
3.257381E+03	6.090443E-16	1.700066E-17
3.267373E+03	6.237572E-16	1.736006E-17
3.277365E+03	6.388530E-16	1.772753E-17
3.287357E+03	6.545209E-16	1.810820E-17
3.297349E+03	6.705902E-16	1.849721E-17
3.307341E+03	6.871927E-16	1.889809E-17
3.317333E+03	7.042770E-16	1.930929E-17
3.327325E+03	7.219165E-16	1.973267E-17
3.337317E+03	7.401233E-16	2.016843E-17
3.347309E+03	7.588440E-16	2.061497E-17
3.357301E+03	7.781544E-16	2.107419E-17
3.367293E+03	7.981335E-16	2.154809E-17
3.377285E+03	8.186606E-16	2.203323E-17
3.387277E+03	8.398141E-16	2.253157E-17
3.397269E+03	8.616753E-16	2.304511E-17
3.407261E+03	8.842589E-16	2.357407E-17
3.417253E+03	9.074381E-16	2.411489E-17
3.427244E+03	9.314374E-16	2.467335E-17
3.437236E+03	9.561293E-16	2.524588E-17
3.447228E+03	9.815991E-16	2.583452E-17
3.457220E+03	1.007862E-15	2.643947E-17
3.467212E+03	1.034931E-15	2.706089E-17
3.477204E+03	1.062898E-15	2.770093E-17
3.487196E+03	1.091703E-15	2.835781E-17
3.497188E+03	1.121360E-15	2.903164E-17
3.507180E+03	1.151961E-15	2.972463E-17
3.517172E+03	1.183443E-15	3.043488E-17
3.527164E+03	1.215981E-15	3.116663E-17
3.537156E+03	1.249513E-15	3.191804E-17
3.547148E+03	1.284052E-15	3.268920E-17
3.557140E+03	1.319617E-15	3.348028E-17
3.567132E+03	1.356305E-15	3.429352E-17
3.577124E+03	1.394049E-15	3.512690E-17
3.587116E+03	1.432949E-15	3.598269E-17
3.597108E+03	1.473021E-15	3.686098E-17
3.607100E+03	1.514282E-15	3.776189E-17
