#wls	flux	fluxerr
1.600000E+03	-2.697501E-18	-4.039081E-19
1.640000E+03	-9.623231E-19	-1.411063E-19
1.680000E+03	2.136395E-18	3.065683E-19
1.720000E+03	7.338687E-18	1.029893E-18
1.760000E+03	1.569776E-17	2.152977E-18
1.800000E+03	2.866333E-17	3.839267E-18
1.840000E+03	4.811966E-17	6.289983E-18
1.880000E+03	7.629894E-17	9.725880E-18
1.920000E+03	1.152028E-16	1.430965E-17
1.960000E+03	1.650612E-16	1.996334E-17
2.000000E+03	2.214482E-16	2.605824E-17
2.040000E+03	2.723741E-16	3.115899E-17
2.080000E+03	3.004840E-16	3.339198E-17
2.120000E+03	2.973404E-16	3.207287E-17
2.160000E+03	2.752295E-16	2.879424E-17
2.200000E+03	2.519484E-16	2.554579E-17
2.240000E+03	2.378969E-16	2.336013E-17
2.280000E+03	2.372878E-16	2.254951E-17
2.320000E+03	2.519156E-16	2.315311E-17
2.360000E+03	2.855295E-16	2.536545E-17
2.400000E+03	3.484433E-16	2.990470E-17
2.440000E+03	4.640688E-16	3.846150E-17
2.480000E+03	6.807804E-16	5.447020E-17
2.520000E+03	1.087230E-15	8.396792E-17
2.560000E+03	1.805218E-15	1.345748E-16
2.600000E+03	2.868442E-15	2.064433E-16
2.640000E+03	4.025295E-15	2.797542E-16
2.680000E+03	5.094153E-15	3.419424E-16
2.720000E+03	6.338676E-15	4.109850E-16
2.760000E+03	8.191219E-15	5.130143E-16
2.800000E+03	1.110522E-14	6.717841E-16
2.840000E+03	1.544371E-14	9.022062E-16
2.880000E+03	2.117276E-14	1.194206E-15
2.920000E+03	2.765213E-14	1.505387E-15
2.960000E+03	3.405603E-14	1.788907E-15
3.000000E+03	4.006460E-14	2.029964E-15
3.010000E+03	4.152900E-14	2.085179E-15
3.020000E+03	4.298802E-14	2.138932E-15
3.030000E+03	4.444460E-14	2.191395E-15
3.040000E+03	4.590061E-14	2.242681E-15
3.050000E+03	4.735045E-14	2.292540E-15
3.060000E+03	4.878453E-14	2.340543E-15
3.070000E+03	5.018925E-14	2.386085E-15
3.080000E+03	5.154367E-14	2.428242E-15
3.090000E+03	5.282395E-14	2.465992E-15
3.100000E+03	5.400633E-14	2.498353E-15
3.110000E+03	5.506215E-14	2.524164E-15
3.120000E+03	5.596828E-14	2.542557E-15
3.130000E+03	5.670383E-14	2.552801E-15
3.140000E+03	5.725879E-14	2.554684E-15
3.150000E+03	5.762439E-14	2.548059E-15
3.160000E+03	5.780517E-14	2.533370E-15
3.170000E+03	5.781381E-14	2.511405E-15
3.180000E+03	5.766961E-14	2.483211E-15
3.190000E+03	5.739573E-14	2.449965E-15
3.200000E+03	5.702433E-14	2.413186E-15
3.210000E+03	5.658446E-14	2.374210E-15
3.220000E+03	5.610846E-14	2.334466E-15
3.230000E+03	5.562463E-14	2.295168E-15
3.240000E+03	5.516058E-14	2.257460E-15
3.250000E+03	5.473919E-14	2.222257E-15
3.260000E+03	5.437842E-14	2.190252E-15
3.270000E+03	5.409101E-14	2.161903E-15
3.280000E+03	5.388735E-14	2.137570E-15
3.290000E+03	5.377232E-14	2.117382E-15
3.300000E+03	5.374649E-14	2.101303E-15
3.310000E+03	5.380932E-14	2.089258E-15
3.320000E+03	5.395536E-14	2.080989E-15
3.330000E+03	5.417891E-14	2.076240E-15
3.340000E+03	5.447100E-14	2.074645E-15
3.350000E+03	5.482172E-14	2.075812E-15
3.360000E+03	5.522013E-14	2.079327E-15
3.370000E+03	5.565438E-14	2.084754E-15
3.380000E+03	5.611134E-14	2.091625E-15
3.390000E+03	5.657612E-14	2.099415E-15
3.400000E+03	5.703460E-14	2.107641E-15
3.410000E+03	5.746873E-14	2.115685E-15
3.420000E+03	5.786297E-14	2.123026E-15
3.430000E+03	5.819846E-14	2.129030E-15
3.440000E+03	5.845817E-14	2.133128E-15
3.450000E+03	5.862572E-14	2.134771E-15
3.460000E+03	5.868578E-14	2.133409E-15
3.470000E+03	5.862655E-14	2.128604E-15
3.480000E+03	5.843027E-14	2.119690E-15
3.490000E+03	5.806063E-14	2.105318E-15
3.498576E+03	5.086152E-14	1.844094E-15
3.500310E+03	5.066057E-14	1.836832E-15
3.502044E+03	5.043475E-14	1.828686E-15
3.503778E+03	5.018697E-14	1.819763E-15
3.505512E+03	4.992985E-14	1.810519E-15
3.507246E+03	4.964488E-14	1.800283E-15
3.508980E+03	4.934469E-14	1.789513E-15
3.510714E+03	4.902246E-14	1.777959E-15
3.512448E+03	4.869477E-14	1.766224E-15
3.514183E+03	4.834403E-14	1.753667E-15
3.515917E+03	4.797214E-14	1.740359E-15
3.517651E+03	4.757913E-14	1.726297E-15
3.519385E+03	4.717473E-14	1.711836E-15
3.521119E+03	4.674623E-14	1.696513E-15
3.522853E+03	4.628577E-14	1.680042E-15
3.524587E+03	4.581097E-14	1.663060E-15
3.526321E+03	4.532182E-14	1.645568E-15
3.528055E+03	4.482025E-14	1.627634E-15
3.529789E+03	4.429254E-14	1.608758E-15
3.531523E+03	4.375341E-14	1.589476E-15
3.533257E+03	4.319890E-14	1.569641E-15
3.534992E+03	4.263099E-14	1.549325E-15
3.536726E+03	4.203690E-14	1.528061E-15
3.538460E+03	4.141661E-14	1.505849E-15
3.540194E+03	4.079665E-14	1.483652E-15
3.541928E+03	4.017015E-14	1.461218E-15
3.543662E+03	3.952530E-14	1.438118E-15
3.545396E+03	3.887195E-14	1.414709E-15
3.547130E+03	3.821797E-14	1.391275E-15
3.548864E+03	3.756336E-14	1.367817E-15
3.550598E+03	3.691012E-14	1.344407E-15
3.552332E+03	3.624349E-14	1.320506E-15
3.554066E+03	3.556935E-14	1.296327E-15
3.555800E+03	3.490055E-14	1.272338E-15
3.557534E+03	3.423216E-14	1.248359E-15
3.559269E+03	3.357013E-14	1.224606E-15
3.561003E+03	3.290755E-14	1.200825E-15
3.562737E+03	3.225135E-14	1.177271E-15
3.564471E+03	3.160646E-14	1.154122E-15
3.566205E+03	3.096996E-14	1.131272E-15
3.567939E+03	3.033593E-14	1.108504E-15
3.569673E+03	2.970836E-14	1.085963E-15
3.571407E+03	2.908920E-14	1.063720E-15
3.573141E+03	2.847159E-14	1.041524E-15
3.574875E+03	2.786540E-14	1.019736E-15
3.576609E+03	2.726669E-14	9.982115E-16
3.578343E+03	2.667154E-14	9.768068E-16
3.580077E+03	2.608984E-14	9.558838E-16
3.581811E+03	2.553744E-14	9.360235E-16
3.583546E+03	2.499753E-14	9.166109E-16
3.585280E+03	2.446026E-14	8.972837E-16
3.587014E+03	2.395432E-14	8.790953E-16
3.588748E+03	2.346588E-14	8.615390E-16
3.590482E+03	2.298210E-14	8.441432E-16
3.592216E+03	2.250496E-14	8.269808E-16
3.593950E+03	2.204634E-14	8.104887E-16
3.595684E+03	2.160333E-14	7.945597E-16
3.597418E+03	2.117095E-14	7.790117E-16
3.599152E+03	2.074824E-14	7.638091E-16
3.600887E+03	2.034711E-14	7.493910E-16
3.602621E+03	1.995070E-14	7.351368E-16
3.604354E+03	1.957985E-14	7.218149E-16
3.606089E+03	1.920683E-14	7.084035E-16
3.607823E+03	1.885344E-14	6.957069E-16
3.609557E+03	1.849690E-14	6.828844E-16
3.611291E+03	1.818877E-14	6.718403E-16
3.613025E+03	1.791123E-14	6.619185E-16
3.614759E+03	1.762759E-14	6.517640E-16
3.616493E+03	1.733884E-14	6.414132E-16
3.618227E+03	1.710750E-14	6.331785E-16
3.619961E+03	1.691472E-14	6.263662E-16
3.621695E+03	1.673572E-14	6.200597E-16
3.623429E+03	1.659333E-14	6.151057E-16
3.625164E+03	1.645183E-14	6.101819E-16
3.626898E+03	1.630924E-14	6.052145E-16
3.628632E+03	1.616556E-14	6.002034E-16
3.630366E+03	1.607738E-14	5.972506E-16
3.632100E+03	1.600102E-14	5.947360E-16
3.633834E+03	1.591864E-14	5.919963E-16
3.635568E+03	1.585999E-14	5.901385E-16
3.637302E+03	1.581418E-14	5.887585E-16
3.639036E+03	1.581198E-14	5.890033E-16
3.640770E+03	1.582958E-14	5.899878E-16
3.642504E+03	1.583520E-14	5.905283E-16
3.644238E+03	1.585067E-14	5.914384E-16
3.645972E+03	1.588496E-14	5.930534E-16
3.647706E+03	1.593904E-14	5.954112E-16
3.649441E+03	1.603873E-14	5.994783E-16
3.651175E+03	1.614632E-14	6.038463E-16
3.652909E+03	1.622405E-14	6.071034E-16
3.654643E+03	1.628978E-14	6.099163E-16
3.656377E+03	1.639419E-14	6.141827E-16
3.658111E+03	1.650350E-14	6.186392E-16
3.659845E+03	1.661970E-14	6.233602E-16
3.661579E+03	1.677654E-14	6.296133E-16
3.663313E+03	1.692338E-14	6.354994E-16
3.665047E+03	1.709499E-14	6.423241E-16
3.666781E+03	1.727744E-14	6.495654E-16
3.668515E+03	1.746976E-14	6.571876E-16
3.670249E+03	1.768284E-14	6.656017E-16
3.671984E+03	1.788492E-14	6.736124E-16
3.673718E+03	1.808295E-14	6.814808E-16
3.675452E+03	1.829580E-14	6.899180E-16
3.677186E+03	1.851549E-14	6.986249E-16
3.678920E+03	1.875001E-14	7.079025E-16
3.680654E+03	1.898441E-14	7.171880E-16
3.682388E+03	1.922369E-14	7.266697E-16
3.684122E+03	1.945494E-14	7.358599E-16
3.685856E+03	1.967516E-14	7.446443E-16
3.687590E+03	1.991514E-14	7.541885E-16
3.689325E+03	2.017088E-14	7.643426E-16
3.691058E+03	2.043347E-14	7.747685E-16
3.692793E+03	2.069991E-14	7.853546E-16
3.694527E+03	2.096823E-14	7.960249E-16
3.696261E+03	2.125329E-14	8.073449E-16
3.697995E+03	2.154219E-14	8.188248E-16
3.699729E+03	2.182402E-14	8.300508E-16
3.701463E+03	2.211466E-14	8.416256E-16
3.703197E+03	2.242003E-14	8.537764E-16
3.704931E+03	2.273816E-14	8.664281E-16
3.706665E+03	2.307400E-14	8.797710E-16
3.708399E+03	2.342456E-14	8.936922E-16
3.710133E+03	2.378290E-14	9.079275E-16
3.711867E+03	2.416784E-14	9.231968E-16
3.713601E+03	2.454666E-14	9.382508E-16
3.715336E+03	2.491836E-14	9.530517E-16
3.717070E+03	2.529485E-14	9.680535E-16
3.718804E+03	2.571576E-14	9.847745E-16
3.720538E+03	2.612854E-14	1.001205E-15
3.722272E+03	2.654013E-14	1.017609E-15
3.724006E+03	2.698322E-14	1.035243E-15
3.725740E+03	2.743897E-14	1.053383E-15
3.727474E+03	2.790144E-14	1.071803E-15
3.729208E+03	2.835378E-14	1.089857E-15
3.730942E+03	2.883757E-14	1.109142E-15
3.732676E+03	2.933597E-14	1.129012E-15
