#wls	flux	fluxerr
1.600000E+03	4.061601E-16	2.679807E-18
1.640000E+03	3.974168E-16	2.619903E-18
1.680000E+03	3.892694E-16	2.563974E-18
1.720000E+03	3.817684E-16	2.512343E-18
1.760000E+03	3.750529E-16	2.465917E-18
1.800000E+03	3.691868E-16	2.425105E-18
1.840000E+03	3.643549E-16	2.391104E-18
1.880000E+03	3.606035E-16	2.364200E-18
1.920000E+03	3.581660E-16	2.345904E-18
1.960000E+03	3.571504E-16	2.336895E-18
2.000000E+03	3.577181E-16	2.338202E-18
2.040000E+03	3.600815E-16	2.351179E-18
2.080000E+03	3.644729E-16	2.377302E-18
2.120000E+03	3.711189E-16	2.418004E-18
2.160000E+03	3.802436E-16	2.474691E-18
2.200000E+03	3.922346E-16	2.549827E-18
2.240000E+03	4.074419E-16	2.645614E-18
2.280000E+03	4.265116E-16	2.766164E-18
2.320000E+03	4.497767E-16	2.913538E-18
2.360000E+03	4.775849E-16	3.089876E-18
2.400000E+03	5.103755E-16	3.297899E-18
2.440000E+03	5.485594E-16	3.540125E-18
2.480000E+03	5.926914E-16	3.819980E-18
2.520000E+03	6.431982E-16	4.140046E-18
2.560000E+03	7.005825E-16	4.503372E-18
2.600000E+03	7.652278E-16	4.912220E-18
2.640000E+03	8.375527E-16	5.369060E-18
2.680000E+03	9.178744E-16	5.875691E-18
2.720000E+03	1.006511E-15	6.433904E-18
2.760000E+03	1.103676E-15	7.044801E-18
2.800000E+03	1.209435E-15	7.708530E-18
2.840000E+03	1.323904E-15	8.425560E-18
2.880000E+03	1.446993E-15	9.195030E-18
2.920000E+03	1.578917E-15	1.001803E-17
2.960000E+03	1.720753E-15	1.090108E-17
3.000000E+03	1.873815E-15	1.185216E-17
3.010000E+03	1.914042E-15	1.210183E-17
3.020000E+03	1.955098E-15	1.235653E-17
3.030000E+03	1.996994E-15	1.261631E-17
3.040000E+03	2.039837E-15	1.288186E-17
3.050000E+03	2.083594E-15	1.315295E-17
3.060000E+03	2.128329E-15	1.342998E-17
3.070000E+03	2.174056E-15	1.371303E-17
3.080000E+03	2.220844E-15	1.400252E-17
3.090000E+03	2.268710E-15	1.429856E-17
3.100000E+03	2.317723E-15	1.460158E-17
3.110000E+03	2.367907E-15	1.491171E-17
3.120000E+03	2.419284E-15	1.522907E-17
3.130000E+03	2.471929E-15	1.555414E-17
3.140000E+03	2.525866E-15	1.588706E-17
3.150000E+03	2.581229E-15	1.622866E-17
3.160000E+03	2.637942E-15	1.657844E-17
3.170000E+03	2.696140E-15	1.693724E-17
3.180000E+03	2.755856E-15	1.730527E-17
3.190000E+03	2.817179E-15	1.768306E-17
3.200000E+03	2.880089E-15	1.807049E-17
3.210000E+03	2.944736E-15	1.846847E-17
3.220000E+03	3.011158E-15	1.887723E-17
3.230000E+03	3.079344E-15	1.929669E-17
3.240000E+03	3.149450E-15	1.972781E-17
3.250000E+03	3.221576E-15	2.017120E-17
3.260000E+03	3.295662E-15	2.062647E-17
3.270000E+03	3.371872E-15	2.109463E-17
3.280000E+03	3.450259E-15	2.157600E-17
3.290000E+03	3.530882E-15	2.207092E-17
3.300000E+03	3.613799E-15	2.257974E-17
3.310000E+03	3.699127E-15	2.310318E-17
3.320000E+03	3.786934E-15	2.364164E-17
3.330000E+03	3.877284E-15	2.419549E-17
3.340000E+03	3.970248E-15	2.476516E-17
3.350000E+03	4.065895E-15	2.535107E-17
3.360000E+03	4.164361E-15	2.595403E-17
3.370000E+03	4.265662E-15	2.657413E-17
3.380000E+03	4.369878E-15	2.721184E-17
3.390000E+03	4.477087E-15	2.786762E-17
3.400000E+03	4.587375E-15	2.854199E-17
3.410000E+03	4.700824E-15	2.923542E-17
3.420000E+03	4.817461E-15	2.994807E-17
3.430000E+03	4.937311E-15	3.068006E-17
3.440000E+03	5.060523E-15	3.143230E-17
