#wls	flux	fluxerr
1.600000E+03	1.798086E-15	2.602167E-16
1.640000E+03	2.431522E-15	3.009582E-16
1.680000E+03	3.331989E-15	3.468286E-16
1.720000E+03	4.616632E-15	3.970828E-16
1.760000E+03	6.446235E-15	4.510353E-16
1.800000E+03	9.027644E-15	5.097128E-16
1.840000E+03	1.259582E-14	5.775666E-16
1.880000E+03	1.737650E-14	6.598307E-16
1.920000E+03	2.346099E-14	7.492276E-16
1.960000E+03	3.053571E-14	8.085719E-16
2.000000E+03	3.741063E-14	7.705054E-16
2.040000E+03	4.172094E-14	5.964456E-16
2.080000E+03	4.086023E-14	4.288740E-16
2.120000E+03	3.504825E-14	4.421123E-16
2.160000E+03	2.832108E-14	4.207888E-16
2.200000E+03	2.331872E-14	3.330892E-16
2.240000E+03	2.022506E-14	2.461360E-16
2.280000E+03	1.831812E-14	2.228260E-16
2.320000E+03	1.723704E-14	2.386200E-16
2.360000E+03	1.691559E-14	2.503975E-16
2.400000E+03	1.756128E-14	2.646200E-16
2.440000E+03	2.019115E-14	3.056740E-16
2.480000E+03	2.705954E-14	4.054947E-16
2.520000E+03	4.209342E-14	5.942128E-16
2.560000E+03	6.900662E-14	8.276625E-16
2.600000E+03	9.950894E-14	9.250244E-16
2.640000E+03	1.070920E-13	1.017143E-15
2.680000E+03	9.755790E-14	1.113633E-15
2.720000E+03	9.648418E-14	1.192547E-15
2.760000E+03	1.119980E-13	1.419292E-15
2.800000E+03	1.463636E-13	1.901211E-15
2.840000E+03	2.021581E-13	2.722162E-15
2.880000E+03	2.773470E-13	3.856389E-15
2.920000E+03	3.564670E-13	5.046048E-15
2.960000E+03	4.154643E-13	5.931450E-15
3.000000E+03	4.437573E-13	6.273396E-15
3.010000E+03	4.471257E-13	6.275383E-15
3.020000E+03	4.495809E-13	6.252653E-15
3.030000E+03	4.514129E-13	6.212340E-15
3.040000E+03	4.528946E-13	6.162771E-15
3.050000E+03	4.542132E-13	6.112066E-15
3.060000E+03	4.554995E-13	6.067885E-15
3.070000E+03	4.568194E-13	6.036477E-15
3.080000E+03	4.581407E-13	6.021436E-15
3.090000E+03	4.593653E-13	6.023635E-15
3.100000E+03	4.603459E-13	6.041243E-15
3.110000E+03	4.608424E-13	6.069352E-15
3.120000E+03	4.606107E-13	6.101820E-15
3.130000E+03	4.593828E-13	6.131825E-15
3.140000E+03	4.569490E-13	6.153630E-15
3.150000E+03	4.530926E-13	6.162104E-15
3.160000E+03	4.477013E-13	6.154265E-15
3.170000E+03	4.407423E-13	6.128770E-15
3.180000E+03	4.322574E-13	6.085626E-15
3.190000E+03	4.223505E-13	6.025762E-15
3.200000E+03	4.112294E-13	5.951437E-15
3.210000E+03	3.991085E-13	5.864796E-15
3.220000E+03	3.862500E-13	5.768469E-15
3.230000E+03	3.729063E-13	5.664761E-15
3.240000E+03	3.593298E-13	5.555907E-15
3.250000E+03	3.457385E-13	5.443627E-15
3.260000E+03	3.323137E-13	5.329136E-15
3.270000E+03	3.191905E-13	5.213045E-15
3.280000E+03	3.064746E-13	5.095655E-15
3.290000E+03	2.942279E-13	4.976740E-15
3.300000E+03	2.824759E-13	4.855696E-15
3.310000E+03	2.712287E-13	4.731927E-15
3.320000E+03	2.604699E-13	4.604670E-15
3.330000E+03	2.501812E-13	4.473462E-15
3.340000E+03	2.403314E-13	4.337977E-15
3.350000E+03	2.308938E-13	4.198332E-15
3.360000E+03	2.218449E-13	4.055071E-15
3.370000E+03	2.131666E-13	3.909181E-15
3.380000E+03	2.048462E-13	3.762083E-15
3.390000E+03	1.968741E-13	3.615553E-15
3.400000E+03	1.892515E-13	3.471852E-15
3.410000E+03	1.819753E-13	3.333403E-15
3.420000E+03	1.750565E-13	3.203091E-15
3.430000E+03	1.684977E-13	3.083774E-15
3.440000E+03	1.623078E-13	2.978419E-15
3.450000E+03	1.564956E-13	2.889788E-15
3.460000E+03	1.510653E-13	2.820086E-15
