#wls	flux	fluxerr
1.600000E+03	3.919431E-15	5.755073E-16
1.640000E+03	4.922448E-15	6.238800E-16
1.680000E+03	6.214643E-15	6.703895E-16
1.720000E+03	7.877788E-15	7.130759E-16
1.760000E+03	1.001325E-14	7.512208E-16
1.800000E+03	1.273571E-14	7.862790E-16
1.840000E+03	1.612334E-14	8.195561E-16
1.880000E+03	2.014079E-14	8.471479E-16
1.920000E+03	2.452994E-14	8.516915E-16
1.960000E+03	2.874173E-14	7.994900E-16
2.000000E+03	3.192159E-14	6.528081E-16
2.040000E+03	3.305105E-14	4.093522E-16
2.080000E+03	3.145816E-14	2.160430E-16
2.120000E+03	2.771115E-14	2.933851E-16
2.160000E+03	2.373088E-14	3.209699E-16
2.200000E+03	2.081496E-14	2.604013E-16
2.240000E+03	1.921089E-14	1.785039E-16
2.280000E+03	1.858191E-14	1.840193E-16
2.320000E+03	1.882943E-14	2.504950E-16
2.360000E+03	1.996356E-14	3.060369E-16
2.400000E+03	2.196272E-14	3.517409E-16
2.440000E+03	2.539798E-14	4.104229E-16
2.480000E+03	3.182802E-14	5.060636E-16
2.520000E+03	4.326623E-14	6.321660E-16
2.560000E+03	5.945847E-14	6.878862E-16
2.600000E+03	7.257448E-14	5.427907E-16
2.640000E+03	7.109679E-14	5.789068E-16
2.680000E+03	6.217942E-14	7.043499E-16
2.720000E+03	5.848129E-14	7.522272E-16
2.760000E+03	6.291442E-14	8.516005E-16
2.800000E+03	7.507697E-14	1.066831E-15
2.840000E+03	9.434344E-14	1.391683E-15
2.880000E+03	1.185512E-13	1.770845E-15
2.920000E+03	1.411766E-13	2.096142E-15
2.960000E+03	1.536291E-13	2.248628E-15
3.000000E+03	1.538920E-13	2.191418E-15
3.010000E+03	1.527623E-13	2.152342E-15
3.020000E+03	1.514470E-13	2.107832E-15
3.030000E+03	1.500943E-13	2.060709E-15
3.040000E+03	1.488460E-13	2.013948E-15
3.050000E+03	1.478149E-13	1.970255E-15
3.060000E+03	1.470961E-13	1.932106E-15
3.070000E+03	1.467630E-13	1.901565E-15
3.080000E+03	1.468569E-13	1.880017E-15
3.090000E+03	1.473957E-13	1.868292E-15
3.100000E+03	1.483766E-13	1.866684E-15
3.110000E+03	1.497567E-13	1.874687E-15
3.120000E+03	1.514758E-13	1.891274E-15
3.130000E+03	1.534422E-13	1.914701E-15
3.140000E+03	1.555542E-13	1.942766E-15
3.150000E+03	1.576756E-13	1.972663E-15
3.160000E+03	1.596761E-13	2.001677E-15
3.170000E+03	1.614288E-13	2.027329E-15
3.180000E+03	1.628178E-13	2.047738E-15
3.190000E+03	1.637452E-13	2.061897E-15
3.200000E+03	1.641612E-13	2.070012E-15
3.210000E+03	1.640391E-13	2.072978E-15
3.220000E+03	1.634014E-13	2.072357E-15
3.230000E+03	1.623017E-13	2.069801E-15
3.240000E+03	1.608288E-13	2.066922E-15
3.250000E+03	1.590878E-13	2.065005E-15
3.260000E+03	1.571917E-13	2.064972E-15
3.270000E+03	1.552494E-13	2.067398E-15
3.280000E+03	1.533671E-13	2.072706E-15
3.290000E+03	1.516347E-13	2.081097E-15
3.300000E+03	1.501249E-13	2.092576E-15
3.310000E+03	1.488996E-13	2.107015E-15
3.320000E+03	1.480015E-13	2.123985E-15
3.330000E+03	1.474652E-13	2.142884E-15
3.340000E+03	1.473100E-13	2.162818E-15
3.350000E+03	1.475488E-13	2.182719E-15
3.360000E+03	1.481868E-13	2.201372E-15
3.370000E+03	1.492229E-13	2.217492E-15
3.380000E+03	1.506504E-13	2.229832E-15
3.390000E+03	1.524558E-13	2.237329E-15
3.400000E+03	1.546260E-13	2.239440E-15
3.410000E+03	1.571382E-13	2.236237E-15
3.420000E+03	1.599758E-13	2.228959E-15
3.430000E+03	1.631111E-13	2.220082E-15
3.440000E+03	1.665187E-13	2.213807E-15
3.450000E+03	1.701710E-13	2.216121E-15
3.460000E+03	1.740351E-13	2.234439E-15
3.470000E+03	1.780788E-13	2.276503E-15
3.480000E+03	1.822572E-13	2.347632E-15
3.490000E+03	1.865122E-13	2.447523E-15
3.500000E+03	1.907782E-13	2.571904E-15
3.510000E+03	1.949820E-13	2.714928E-15
3.520000E+03	1.990533E-13	2.870712E-15
3.530000E+03	2.029119E-13	3.033901E-15
3.540000E+03	2.064915E-13	3.200273E-15
3.550000E+03	2.097288E-13	3.366547E-15
3.560000E+03	2.125740E-13	3.530364E-15
3.570000E+03	2.149857E-13	3.690036E-15
3.580000E+03	2.169390E-13	3.844539E-15
3.590000E+03	2.184283E-13	3.993411E-15
3.600000E+03	2.194507E-13	4.136327E-15
3.610000E+03	2.200241E-13	4.273309E-15
3.620000E+03	2.201700E-13	4.404315E-15
3.630000E+03	2.199138E-13	4.529210E-15
3.640000E+03	2.192882E-13	4.647844E-15
3.650000E+03	2.183322E-13	4.760061E-15
3.660000E+03	2.170835E-13	4.865624E-15
3.670000E+03	2.155911E-13	4.964557E-15
3.680000E+03	2.138992E-13	5.056851E-15
3.690000E+03	2.120633E-13	5.142905E-15
3.700000E+03	2.101406E-13	5.223346E-15
3.710000E+03	2.081934E-13	5.299138E-15
3.720000E+03	2.062807E-13	5.371400E-15
3.730000E+03	2.044650E-13	5.441571E-15
3.740000E+03	2.028038E-13	5.511179E-15
3.750000E+03	2.013522E-13	5.581887E-15
3.760000E+03	2.001568E-13	5.655299E-15
3.770000E+03	1.992581E-13	5.732990E-15
3.780000E+03	1.986861E-13	5.816324E-15
3.790000E+03	1.984607E-13	5.906443E-15
3.800000E+03	1.985975E-13	6.004362E-15
3.810000E+03	1.990912E-13	6.110461E-15
3.820000E+03	1.999331E-13	6.224964E-15
3.830000E+03	2.011032E-13	6.347665E-15
3.840000E+03	2.025649E-13	6.477735E-15
3.850000E+03	2.042749E-13	6.614017E-15
3.860000E+03	2.061824E-13	6.754982E-15
3.870000E+03	2.082269E-13	6.898645E-15
3.880000E+03	2.103418E-13	7.042696E-15
3.890000E+03	2.124549E-13	7.184500E-15
3.900000E+03	2.144965E-13	7.321403E-15
3.910000E+03	2.163968E-13	7.450645E-15
3.920000E+03	2.180901E-13	7.569540E-15
3.930000E+03	2.195177E-13	7.675598E-15
3.940000E+03	2.206300E-13	7.766635E-15
3.950000E+03	2.213906E-13	7.840929E-15
3.960000E+03	2.217733E-13	7.897158E-15
3.970000E+03	2.217623E-13	7.934439E-15
3.980000E+03	2.213605E-13	7.952616E-15
3.990000E+03	2.205765E-13	7.951820E-15
4.000000E+03	2.194327E-13	7.932782E-15
4.010000E+03	2.179580E-13	7.896540E-15
4.020000E+03	2.161854E-13	7.844369E-15
4.030000E+03	2.141578E-13	7.777972E-15
4.040000E+03	2.119138E-13	7.698961E-15
4.050000E+03	2.094960E-13	7.609132E-15
4.060000E+03	2.069436E-13	7.510190E-15
4.070000E+03	2.042925E-13	7.403744E-15
4.080000E+03	2.015748E-13	7.291273E-15
4.090000E+03	1.988199E-13	7.174163E-15
4.100000E+03	1.960486E-13	7.053477E-15
4.110000E+03	1.932787E-13	6.930159E-15
4.120000E+03	1.905263E-13	6.805092E-15
4.130000E+03	1.877962E-13	6.678731E-15
4.140000E+03	1.850943E-13	6.551570E-15
4.150000E+03	1.824212E-13	6.423920E-15
4.160000E+03	1.797754E-13	6.295993E-15
4.170000E+03	1.771532E-13	6.167952E-15
4.180000E+03	1.745504E-13	6.039941E-15
4.190000E+03	1.719627E-13	5.912110E-15
4.200000E+03	1.693869E-13	5.784656E-15
4.210000E+03	1.668213E-13	5.657849E-15
4.220000E+03	1.642668E-13	5.532041E-15
4.230000E+03	1.617254E-13	5.407641E-15
4.240000E+03	1.592040E-13	5.285226E-15
4.250000E+03	1.567141E-13	5.165517E-15
4.260000E+03	1.542693E-13	5.049305E-15
4.270000E+03	1.518837E-13	4.937403E-15
4.280000E+03	1.495786E-13	4.830834E-15
4.290000E+03	1.473767E-13	4.730667E-15
4.300000E+03	1.453031E-13	4.638038E-15
4.310000E+03	1.433845E-13	4.554107E-15
4.320000E+03	1.416479E-13	4.480027E-15
4.330000E+03	1.401248E-13	4.417070E-15
4.340000E+03	1.388418E-13	4.366297E-15
4.350000E+03	1.378300E-13	4.328864E-15
4.360000E+03	1.371174E-13	4.305744E-15
4.370000E+03	1.367311E-13	4.297730E-15
4.380000E+03	1.366944E-13	4.305308E-15
4.390000E+03	1.370294E-13	4.328830E-15
4.400000E+03	1.377539E-13	4.368465E-15
4.410000E+03	1.388848E-13	4.424363E-15
4.420000E+03	1.404327E-13	4.496498E-15
4.430000E+03	1.424032E-13	4.584705E-15
4.440000E+03	1.447990E-13	4.688757E-15
4.450000E+03	1.476136E-13	4.808174E-15
4.460000E+03	1.508341E-13	4.942276E-15
4.470000E+03	1.544408E-13	5.090167E-15
4.480000E+03	1.583999E-13	5.250513E-15
4.490000E+03	1.626717E-13	5.421756E-15
4.500000E+03	1.672044E-13	5.601928E-15
4.510000E+03	1.719336E-13	5.788635E-15
4.520000E+03	1.767861E-13	5.979150E-15
4.530000E+03	1.816794E-13	6.170423E-15
4.540000E+03	1.865237E-13	6.359150E-15
4.550000E+03	1.912245E-13	6.541843E-15
4.560000E+03	1.956838E-13	6.714906E-15
4.570000E+03	1.998059E-13	6.874830E-15
4.580000E+03	2.035073E-13	7.018519E-15
4.590000E+03	2.067073E-13	7.143006E-15
4.600000E+03	2.093411E-13	7.245911E-15
4.610000E+03	2.113654E-13	7.325599E-15
4.620000E+03	2.127544E-13	7.381091E-15
4.630000E+03	2.134968E-13	7.411942E-15
4.640000E+03	2.136140E-13	7.418862E-15
4.650000E+03	2.131319E-13	7.402759E-15
4.660000E+03	2.121060E-13	7.365588E-15
4.670000E+03	2.105988E-13	7.309564E-15
4.680000E+03	2.086830E-13	7.237278E-15
