#wls	flux	fluxerr
1.597671E+03	1.548013E-02	5.844852E-04
1.637612E+03	1.358190E-02	5.020272E-04
1.677554E+03	1.178677E-02	4.262939E-04
1.717496E+03	1.010857E-02	3.575472E-04
1.757438E+03	8.559523E-03	2.959421E-04
1.797379E+03	7.149123E-03	2.414977E-04
1.837321E+03	5.881061E-03	1.940058E-04
1.877263E+03	4.758873E-03	1.532382E-04
1.917205E+03	3.781136E-03	1.187971E-04
1.957146E+03	2.943884E-03	9.021034E-05
1.997088E+03	2.240936E-03	6.695258E-05
2.037030E+03	1.666108E-03	4.851949E-05
2.076972E+03	1.212941E-03	3.442133E-05
2.116914E+03	8.760388E-04	2.422246E-05
2.156855E+03	6.483986E-04	1.746683E-05
2.196797E+03	5.119659E-04	1.343706E-05
2.236739E+03	4.475345E-04	1.144578E-05
2.276681E+03	4.447668E-04	1.108737E-05
2.316622E+03	5.060509E-04	1.230136E-05
2.356564E+03	6.517574E-04	1.545832E-05
2.396506E+03	9.303435E-04	2.154607E-05
2.436448E+03	1.433117E-03	3.243874E-05
2.476389E+03	2.312438E-03	5.121238E-05
2.516331E+03	3.786832E-03	8.214528E-05
2.556273E+03	6.096110E-03	1.296700E-04
2.596215E+03	9.359705E-03	1.954347E-04
2.636156E+03	1.339570E-02	2.748660E-04
2.676098E+03	1.780950E-02	3.594789E-04
2.716040E+03	2.227508E-02	4.427342E-04
2.755982E+03	2.665558E-02	5.221960E-04
2.795924E+03	3.100317E-02	5.992064E-04
2.835865E+03	3.546290E-02	6.767956E-04
2.875807E+03	4.015430E-02	7.573587E-04
2.915749E+03	4.508801E-02	8.411589E-04
2.955691E+03	5.010596E-02	9.253469E-04
2.995632E+03	5.482671E-02	1.003110E-03
3.005618E+03	5.589756E-02	1.020440E-03
3.015603E+03	5.690364E-02	1.036559E-03
3.025589E+03	5.783516E-02	1.051299E-03
3.035574E+03	5.868545E-02	1.064549E-03
3.045560E+03	5.944505E-02	1.076150E-03
3.055545E+03	6.010724E-02	1.085989E-03
3.065530E+03	6.066831E-02	1.094007E-03
3.075516E+03	6.112416E-02	1.100141E-03
3.085501E+03	6.147432E-02	1.104391E-03
3.095487E+03	6.172346E-02	1.106848E-03
3.105472E+03	6.187365E-02	1.107557E-03
3.115458E+03	6.193342E-02	1.106677E-03
3.125443E+03	6.191104E-02	1.104362E-03
3.135429E+03	6.182177E-02	1.100887E-03
3.145414E+03	6.167503E-02	1.096424E-03
3.155399E+03	6.148647E-02	1.091253E-03
3.165385E+03	6.127230E-02	1.085661E-03
3.175370E+03	6.104767E-02	1.079916E-03
3.185356E+03	6.082539E-02	1.074242E-03
3.195341E+03	6.062330E-02	1.068951E-03
3.205327E+03	6.045270E-02	1.064238E-03
3.215312E+03	6.032717E-02	1.060336E-03
3.225298E+03	6.025668E-02	1.057414E-03
3.235283E+03	6.025212E-02	1.055656E-03
3.245268E+03	6.032178E-02	1.055199E-03
3.255254E+03	6.047256E-02	1.056155E-03
3.265239E+03	6.070906E-02	1.058596E-03
3.275225E+03	6.103655E-02	1.062605E-03
3.285210E+03	6.145808E-02	1.068223E-03
3.295196E+03	6.197453E-02	1.075459E-03
3.305181E+03	6.258779E-02	1.084332E-03
3.315166E+03	6.329678E-02	1.094815E-03
3.325152E+03	6.410152E-02	1.106898E-03
3.335137E+03	6.499907E-02	1.120519E-03
3.345123E+03	6.598680E-02	1.135623E-03
3.355108E+03	6.706124E-02	1.152140E-03
3.365094E+03	6.821798E-02	1.169984E-03
3.375079E+03	6.945194E-02	1.189057E-03
3.385065E+03	7.075596E-02	1.209229E-03
3.395050E+03	7.212422E-02	1.230390E-03
3.405035E+03	7.354668E-02	1.252360E-03
3.415021E+03	7.501645E-02	1.275014E-03
3.425006E+03	7.652140E-02	1.298139E-03
3.434992E+03	7.805014E-02	1.321534E-03
3.444977E+03	7.958978E-02	1.344977E-03
3.454963E+03	8.112420E-02	1.368192E-03
3.464948E+03	8.263633E-02	1.390887E-03
3.474934E+03	8.410115E-02	1.412642E-03
3.484919E+03	8.548281E-02	1.432857E-03
3.494904E+03	8.673997E-02	1.450846E-03
3.504890E+03	8.782745E-02	1.465864E-03
3.514875E+03	8.870208E-02	1.477205E-03
3.524861E+03	8.931854E-02	1.484137E-03
3.534846E+03	8.964089E-02	1.486088E-03
3.544832E+03	8.963869E-02	1.482586E-03
3.554817E+03	8.929306E-02	1.473356E-03
3.564803E+03	8.859597E-02	1.458303E-03
3.574788E+03	8.755516E-02	1.437598E-03
3.584773E+03	8.619596E-02	1.411697E-03
3.594759E+03	8.455457E-02	1.381234E-03
3.604744E+03	8.268431E-02	1.347114E-03
3.614730E+03	8.064658E-02	1.310369E-03
3.624715E+03	7.850812E-02	1.272106E-03
3.634701E+03	7.633866E-02	1.233469E-03
3.644686E+03	7.420645E-02	1.195566E-03
3.654671E+03	7.217242E-02	1.159375E-03
3.664657E+03	7.029143E-02	1.125767E-03
3.674642E+03	6.860541E-02	1.095392E-03
3.684628E+03	6.714815E-02	1.068763E-03
3.694613E+03	6.594275E-02	1.046216E-03
3.704599E+03	6.500411E-02	1.027951E-03
3.714584E+03	6.433832E-02	1.014024E-03
3.724570E+03	6.394687E-02	1.004418E-03
