#wls	flux	fluxerr
1.597671E+03	1.588001E-02	5.834873E-04
1.637612E+03	1.368929E-02	4.970234E-04
1.677554E+03	1.162442E-02	4.169647E-04
1.717496E+03	9.712172E-03	3.441099E-04
1.757438E+03	7.973325E-03	2.789959E-04
1.797379E+03	6.426935E-03	2.220595E-04
1.837321E+03	5.081482E-03	1.733397E-04
1.877263E+03	3.940912E-03	1.327054E-04
1.917205E+03	3.000127E-03	9.971600E-05
1.957146E+03	2.246953E-03	7.370719E-05
1.997088E+03	1.662501E-03	5.381891E-05
2.037030E+03	1.223653E-03	3.908995E-05
2.076972E+03	9.052059E-04	2.853486E-05
2.116914E+03	6.829096E-04	2.124289E-05
2.156855E+03	5.355271E-04	1.643869E-05
2.196797E+03	4.459819E-04	1.351034E-05
2.236739E+03	4.025424E-04	1.203559E-05
2.276681E+03	3.997739E-04	1.179876E-05
2.316622E+03	4.381046E-04	1.276561E-05
2.356564E+03	5.252691E-04	1.511367E-05
2.396506E+03	6.791492E-04	1.930030E-05
2.436448E+03	9.304787E-04	2.612175E-05
2.476389E+03	1.326005E-03	3.678035E-05
2.516331E+03	1.930680E-03	5.292060E-05
2.556273E+03	2.827024E-03	7.658552E-05
2.596215E+03	4.111073E-03	1.100840E-04
2.636156E+03	5.881444E-03	1.556840E-04
2.676098E+03	8.205183E-03	2.147182E-04
2.716040E+03	1.108012E-02	2.866592E-04
2.755982E+03	1.442107E-02	3.688678E-04
2.795924E+03	1.806481E-02	4.568363E-04
2.835865E+03	2.179023E-02	5.448005E-04
2.875807E+03	2.534695E-02	6.265227E-04
2.915749E+03	2.849296E-02	6.962487E-04
2.955691E+03	3.102518E-02	7.494309E-04
2.995632E+03	3.280524E-02	7.832863E-04
3.005618E+03	3.312359E-02	7.885869E-04
3.015603E+03	3.339148E-02	7.926481E-04
3.025589E+03	3.360721E-02	7.954404E-04
3.035574E+03	3.377351E-02	7.970386E-04
3.045560E+03	3.389014E-02	7.974479E-04
3.055545E+03	3.395813E-02	7.967022E-04
3.065530E+03	3.397950E-02	7.948586E-04
3.075516E+03	3.395657E-02	7.919804E-04
3.085501E+03	3.389046E-02	7.881024E-04
3.095487E+03	3.378473E-02	7.833157E-04
3.105472E+03	3.364099E-02	7.776653E-04
3.115458E+03	3.346247E-02	7.712330E-04
3.125443E+03	3.325253E-02	7.641030E-04
3.135429E+03	3.301393E-02	7.563443E-04
3.145414E+03	3.274894E-02	7.480148E-04
3.155399E+03	3.246245E-02	7.392307E-04
3.165385E+03	3.215618E-02	7.300350E-04
3.175370E+03	3.183431E-02	7.205266E-04
3.185356E+03	3.149982E-02	7.107756E-04
3.195341E+03	3.115561E-02	7.008495E-04
3.205327E+03	3.080448E-02	6.908129E-04
3.215312E+03	3.045034E-02	6.807547E-04
3.225298E+03	3.009525E-02	6.707210E-04
3.235283E+03	2.974178E-02	6.607692E-04
3.245268E+03	2.939288E-02	6.509642E-04
3.255254E+03	2.905137E-02	6.413671E-04
3.265239E+03	2.871900E-02	6.320147E-04
3.275225E+03	2.839836E-02	6.229619E-04
