#wls	flux	fluxerr
1.597671E+03	2.621178E-04	2.140050E-05
1.637612E+03	2.218117E-04	1.797241E-05
1.677554E+03	1.850364E-04	1.487732E-05
1.717496E+03	1.520272E-04	1.212797E-05
1.757438E+03	1.228969E-04	9.726635E-06
1.797379E+03	9.759487E-05	7.662345E-06
1.837321E+03	7.597345E-05	5.916572E-06
1.877263E+03	5.787984E-05	4.470675E-06
1.917205E+03	4.309486E-05	3.301229E-06
1.957146E+03	3.136763E-05	2.382906E-06
1.997088E+03	2.241091E-05	1.688242E-06
2.037030E+03	1.589740E-05	1.187491E-06
2.076972E+03	1.145147E-05	8.481604E-07
2.116914E+03	8.643130E-06	6.347300E-07
2.156855E+03	7.021055E-06	5.112293E-07
2.196797E+03	6.264781E-06	4.522873E-07
2.236739E+03	6.210294E-06	4.445509E-07
2.276681E+03	6.851952E-06	4.863360E-07
2.316622E+03	8.330104E-06	5.862785E-07
2.356564E+03	1.096343E-05	7.651619E-07
2.396506E+03	1.531896E-05	1.060254E-06
2.436448E+03	2.226913E-05	1.528533E-06
2.476389E+03	3.299900E-05	2.246339E-06
2.516331E+03	4.885989E-05	3.298661E-06
2.556273E+03	7.103005E-05	4.755981E-06
2.596215E+03	1.001240E-04	6.648845E-06
2.636156E+03	1.361487E-04	8.966521E-06
2.676098E+03	1.779964E-04	1.162549E-05
2.716040E+03	2.237613E-04	1.449296E-05
2.755982E+03	2.722178E-04	1.748390E-05
2.795924E+03	3.233394E-04	2.059225E-05
2.835865E+03	3.779589E-04	2.386616E-05
2.875807E+03	4.369509E-04	2.735448E-05
2.915749E+03	5.002650E-04	3.104673E-05
2.955691E+03	5.661996E-04	3.483083E-05
2.995632E+03	6.307901E-04	3.846036E-05
3.005618E+03	6.460824E-04	3.930453E-05
3.015603E+03	6.608134E-04	4.011039E-05
3.025589E+03	6.748785E-04	4.087183E-05
3.035574E+03	6.882217E-04	4.158571E-05
3.045560E+03	7.007845E-04	4.224882E-05
3.055545E+03	7.125376E-04	4.285970E-05
3.065530E+03	7.234141E-04	4.341466E-05
3.075516E+03	7.333325E-04	4.390918E-05
3.085501E+03	7.422453E-04	4.434082E-05
3.095487E+03	7.501568E-04	4.471023E-05
3.105472E+03	7.570303E-04	4.501565E-05
3.115458E+03	7.628975E-04	4.525937E-05
3.125443E+03	7.677801E-04	4.544308E-05
3.135429E+03	7.717799E-04	4.557319E-05
3.145414E+03	7.749236E-04	4.565165E-05
3.155399E+03	7.773128E-04	4.568475E-05
3.165385E+03	7.790580E-04	4.567929E-05
3.175370E+03	7.802610E-04	4.564148E-05
3.185356E+03	7.809966E-04	4.557592E-05
3.195341E+03	7.814111E-04	4.549130E-05
3.205327E+03	7.815728E-04	4.539172E-05
3.215312E+03	7.815856E-04	4.528329E-05
3.225298E+03	7.815140E-04	4.516982E-05
3.235283E+03	7.814383E-04	4.505595E-05
3.245268E+03	7.814103E-04	4.494467E-05
3.255254E+03	7.814665E-04	4.483804E-05
3.265239E+03	7.816144E-04	4.473645E-05
3.275225E+03	7.818723E-04	4.464091E-05
3.285210E+03	7.822291E-04	4.455074E-05
3.295196E+03	7.826458E-04	4.446367E-05
3.305181E+03	7.830945E-04	4.437811E-05
3.315166E+03	7.835090E-04	4.429027E-05
3.325152E+03	7.838355E-04	4.419715E-05
3.335137E+03	7.839852E-04	4.409379E-05
3.345123E+03	7.838728E-04	4.397548E-05
3.355108E+03	7.834063E-04	4.383717E-05
3.365094E+03	7.824883E-04	4.367360E-05
3.375079E+03	7.810194E-04	4.347940E-05
3.385065E+03	7.788884E-04	4.324866E-05
3.395050E+03	7.760101E-04	4.297693E-05
3.405035E+03	7.722709E-04	4.265828E-05
3.415021E+03	7.676104E-04	4.228974E-05
3.425006E+03	7.619348E-04	4.186658E-05
3.434992E+03	8.056340E-04	4.415072E-05
3.436989E+03	8.049118E-04	4.408773E-05
3.438986E+03	8.035107E-04	4.398761E-05
3.440983E+03	8.024026E-04	4.390359E-05
3.442980E+03	8.004897E-04	4.377562E-05
3.444977E+03	7.993586E-04	4.369048E-05
3.446974E+03	7.980328E-04	4.359477E-05
3.448971E+03	7.969720E-04	4.351359E-05
3.450968E+03	7.958086E-04	4.342687E-05
3.452966E+03	7.947885E-04	4.334802E-05
3.454963E+03	7.942526E-04	4.329562E-05
3.456960E+03	7.941416E-04	4.326639E-05
3.458957E+03	7.934968E-04	4.320810E-05
3.460954E+03	7.929677E-04	4.315612E-05
