#wls	flux	fluxerr
1.597671E+03	9.370416E-04	1.015150E-04
1.637612E+03	7.864236E-04	8.417236E-05
1.677554E+03	6.500318E-04	6.872240E-05
1.717496E+03	5.288011E-04	5.521020E-05
1.757438E+03	4.230298E-04	4.360920E-05
1.797379E+03	3.322941E-04	3.381675E-05
1.837321E+03	2.557407E-04	2.568850E-05
1.877263E+03	1.924554E-04	1.907801E-05
1.917205E+03	1.413049E-04	1.382184E-05
1.957146E+03	1.010931E-04	9.756329E-06
1.997088E+03	7.058717E-05	6.720576E-06
2.037030E+03	4.850101E-05	4.555307E-06
2.076972E+03	3.340275E-05	3.094690E-06
2.116914E+03	2.374874E-05	2.170390E-06
2.156855E+03	1.804964E-05	1.627183E-06
2.196797E+03	1.512466E-05	1.345076E-06
2.236739E+03	1.427290E-05	1.252290E-06
2.276681E+03	1.531687E-05	1.326017E-06
2.316622E+03	1.853977E-05	1.583943E-06
2.356564E+03	2.479234E-05	2.090666E-06
2.396506E+03	3.578323E-05	2.978908E-06
2.436448E+03	5.440468E-05	4.471954E-06
2.476389E+03	8.497794E-05	6.897823E-06
2.516331E+03	1.329063E-04	1.065477E-05
2.556273E+03	2.030390E-04	1.607700E-05
2.596215E+03	2.965481E-04	2.319354E-05
2.636156E+03	4.087296E-04	3.157610E-05
2.676098E+03	5.305317E-04	4.048306E-05
2.716040E+03	6.541988E-04	4.930427E-05
2.755982E+03	7.780705E-04	5.791143E-05
2.795924E+03	9.067941E-04	6.664487E-05
2.835865E+03	1.048121E-03	7.605167E-05
2.875807E+03	1.208945E-03	8.658751E-05
2.915749E+03	1.392691E-03	9.843543E-05
2.955691E+03	1.597304E-03	1.113820E-04
2.995632E+03	1.811672E-03	1.245966E-04
3.005618E+03	1.864458E-03	1.277782E-04
3.015603E+03	1.916027E-03	1.308502E-04
3.025589E+03	1.965903E-03	1.337808E-04
3.035574E+03	2.013731E-03	1.365472E-04
3.045560E+03	2.059147E-03	1.391259E-04
3.055545E+03	2.101872E-03	1.415000E-04
3.065530E+03	2.141535E-03	1.436463E-04
3.075516E+03	2.177749E-03	1.455411E-04
3.085501E+03	2.210265E-03	1.471704E-04
3.095487E+03	2.239040E-03	1.485338E-04
3.105472E+03	2.263968E-03	1.496270E-04
3.115458E+03	2.285211E-03	1.504634E-04
3.125443E+03	2.302963E-03	1.510586E-04
3.135429E+03	2.317720E-03	1.514473E-04
3.145414E+03	2.329801E-03	1.516524E-04
3.155399E+03	2.339788E-03	1.517136E-04
3.165385E+03	2.348316E-03	1.516734E-04
3.175370E+03	2.356009E-03	1.515728E-04
3.185356E+03	2.363404E-03	1.514470E-04
3.195341E+03	2.371248E-03	1.513434E-04
3.205327E+03	2.380027E-03	1.512928E-04
3.215312E+03	2.390315E-03	1.513306E-04
3.225298E+03	2.402537E-03	1.514822E-04
3.235283E+03	2.417136E-03	1.517739E-04
3.245268E+03	2.434438E-03	1.522241E-04
3.255254E+03	2.454697E-03	1.528464E-04
3.265239E+03	2.478045E-03	1.536464E-04
3.275225E+03	2.504627E-03	1.546304E-04
3.285210E+03	2.534468E-03	1.557974E-04
3.295196E+03	2.567481E-03	1.571391E-04
3.305181E+03	2.603593E-03	1.586484E-04
3.315166E+03	2.642577E-03	1.603088E-04
3.325152E+03	2.684226E-03	1.621052E-04
3.335137E+03	2.728185E-03	1.640138E-04
3.345123E+03	2.774080E-03	1.660102E-04
3.355108E+03	2.821473E-03	1.680664E-04
3.365094E+03	2.869865E-03	1.701513E-04
3.375079E+03	2.918693E-03	1.722306E-04
3.385065E+03	2.967289E-03	1.742643E-04
3.395050E+03	3.015010E-03	1.762149E-04
3.405035E+03	3.061030E-03	1.780348E-04
3.415021E+03	3.104655E-03	1.796850E-04
3.425006E+03	3.144989E-03	1.811157E-04
3.434992E+03	3.181207E-03	1.822822E-04
3.444977E+03	3.212486E-03	1.831410E-04
3.454963E+03	3.237967E-03	1.836476E-04
3.464948E+03	3.256884E-03	1.837636E-04
3.474934E+03	3.268387E-03	1.834469E-04
3.484919E+03	3.271628E-03	1.826567E-04
3.494904E+03	3.265869E-03	1.813594E-04
3.504890E+03	3.250503E-03	1.795297E-04
3.514875E+03	3.225283E-03	1.771624E-04
3.524861E+03	3.190157E-03	1.742639E-04
3.534846E+03	3.145671E-03	1.708730E-04
3.544832E+03	3.092767E-03	1.670493E-04
3.554817E+03	3.032893E-03	1.628785E-04
3.564803E+03	2.967834E-03	1.584627E-04
3.574788E+03	2.899741E-03	1.539212E-04
3.584773E+03	2.831028E-03	1.493846E-04
3.594759E+03	2.764055E-03	1.449776E-04
3.604744E+03	2.701264E-03	1.408263E-04
3.614730E+03	2.644878E-03	1.370421E-04
3.624715E+03	2.596891E-03	1.337218E-04
3.634701E+03	2.559089E-03	1.309490E-04
3.644686E+03	2.533042E-03	1.287940E-04
3.654671E+03	2.520039E-03	1.273105E-04
3.664657E+03	2.521257E-03	1.265449E-04
3.674642E+03	2.537591E-03	1.265279E-04
3.684628E+03	2.569880E-03	1.272860E-04
3.694613E+03	2.618809E-03	1.288370E-04
3.704599E+03	2.684954E-03	1.311921E-04
3.714584E+03	2.768721E-03	1.343535E-04
3.724570E+03	2.870432E-03	1.383185E-04
3.734555E+03	2.990218E-03	1.430749E-04
3.744540E+03	3.128046E-03	1.486020E-04
3.754526E+03	3.283636E-03	1.548678E-04
3.764511E+03	3.456464E-03	1.618287E-04
3.774497E+03	3.645658E-03	1.694258E-04
3.784482E+03	3.849996E-03	1.775851E-04
3.794468E+03	4.067970E-03	1.862210E-04
3.804453E+03	4.297491E-03	1.952235E-04
3.814439E+03	4.536237E-03	2.044754E-04
3.824424E+03	4.781559E-03	2.138475E-04
3.834409E+03	5.030418E-03	2.231976E-04
3.844395E+03	5.279715E-03	2.323847E-04
3.854380E+03	5.526406E-03	2.412751E-04
3.864366E+03	5.767541E-03	2.497433E-04
3.874351E+03	6.000463E-03	2.576809E-04
3.884337E+03	6.222879E-03	2.649988E-04
3.894322E+03	6.433127E-03	2.716380E-04
3.904308E+03	6.630045E-03	2.775630E-04
3.914293E+03	6.813029E-03	2.827633E-04
3.924278E+03	6.981956E-03	2.872493E-04
3.934264E+03	7.137066E-03	2.910462E-04
3.944249E+03	7.278877E-03	2.941906E-04
3.954235E+03	7.407948E-03	2.967199E-04
