#wls	flux	fluxerr
1.597671E+03	1.232099E-15	1.165709E-16
1.637612E+03	1.038307E-15	9.714687E-17
1.677554E+03	8.613232E-16	7.967727E-17
1.717496E+03	7.027982E-16	6.426454E-17
1.757438E+03	5.635365E-16	5.092639E-17
1.797379E+03	4.433353E-16	3.958600E-17
1.837321E+03	3.413967E-16	3.011386E-17
1.877263E+03	2.568055E-16	2.237277E-17
1.917205E+03	1.883003E-16	1.619897E-17
1.957146E+03	1.344722E-16	1.142099E-17
1.997088E+03	9.378649E-17	7.862540E-18
2.037030E+03	6.453085E-17	5.339009E-18
2.076972E+03	4.476281E-17	3.654294E-18
2.116914E+03	3.233437E-17	2.604170E-18
2.156855E+03	2.512186E-17	1.995745E-18
2.196797E+03	2.156059E-17	1.689260E-18
2.236739E+03	2.078493E-17	1.605853E-18
2.276681E+03	2.263206E-17	1.724038E-18
2.316622E+03	2.755623E-17	2.069459E-18
2.356564E+03	3.676237E-17	2.721465E-18
2.396506E+03	5.255334E-17	3.834484E-18
2.436448E+03	7.868102E-17	5.657497E-18
2.476389E+03	1.205323E-16	8.539628E-18
2.516331E+03	1.845600E-16	1.288194E-17
2.556273E+03	2.763806E-16	1.900110E-17
2.596215E+03	3.978387E-16	2.693506E-17
2.636156E+03	5.458199E-16	3.638352E-17
2.676098E+03	7.117794E-16	4.670274E-17
2.716040E+03	8.860819E-16	5.721397E-17
2.755982E+03	1.065170E-15	6.766446E-17
2.795924E+03	1.252764E-15	7.827061E-17
2.835865E+03	1.456809E-15	8.949266E-17
2.875807E+03	1.684984E-15	1.017409E-16
2.915749E+03	1.940622E-15	1.151354E-16
2.955691E+03	2.219610E-15	1.293476E-16
2.995632E+03	2.506425E-15	1.434135E-16
3.005618E+03	2.576392E-15	1.467353E-16
3.015603E+03	2.644580E-15	1.499189E-16
3.025589E+03	2.710434E-15	1.529342E-16
3.035574E+03	2.773589E-15	1.557627E-16
3.045560E+03	2.833656E-15	1.583847E-16
3.055545E+03	2.890416E-15	1.607904E-16
3.065530E+03	2.943469E-15	1.629604E-16
3.075516E+03	2.992365E-15	1.648727E-16
3.085501E+03	3.036824E-15	1.665154E-16
3.095487E+03	3.076817E-15	1.678903E-16
3.105472E+03	3.112187E-15	1.689924E-16
3.115458E+03	3.143101E-15	1.698346E-16
3.125443E+03	3.169733E-15	1.704297E-16
3.135429E+03	3.192631E-15	1.708104E-16
3.145414E+03	3.212069E-15	1.709941E-16
3.155399E+03	3.228657E-15	1.710160E-16
3.165385E+03	3.243070E-15	1.709136E-16
3.175370E+03	3.255960E-15	1.707229E-16
3.185356E+03	3.267863E-15	1.704730E-16
3.195341E+03	3.279617E-15	1.702079E-16
3.205327E+03	3.291716E-15	1.699534E-16
3.215312E+03	3.304794E-15	1.697416E-16
3.225298E+03	3.319299E-15	1.695945E-16
3.235283E+03	3.335721E-15	1.695358E-16
3.245268E+03	3.354410E-15	1.695815E-16
3.255254E+03	3.375625E-15	1.697426E-16
3.265239E+03	3.399480E-15	1.700229E-16
3.275225E+03	3.426113E-15	1.704269E-16
3.285210E+03	3.455506E-15	1.709514E-16
3.295196E+03	3.487503E-15	1.715863E-16
3.305181E+03	3.521968E-15	1.723226E-16
