#wls	flux	fluxerr
1.597671E+03	1.989023E-16	8.568947E-17
1.637612E+03	1.972722E-16	8.498715E-17
1.677554E+03	1.948950E-16	8.396297E-17
1.717496E+03	1.918211E-16	8.263866E-17
1.757438E+03	1.880017E-16	8.099318E-17
1.797379E+03	1.833211E-16	7.897667E-17
1.837321E+03	1.776221E-16	7.652141E-17
1.877263E+03	1.706188E-16	7.350425E-17
1.917205E+03	1.622582E-16	6.990239E-17
1.957146E+03	1.525299E-16	6.571127E-17
1.997088E+03	1.417950E-16	6.108654E-17
2.037030E+03	1.309171E-16	5.640022E-17
2.076972E+03	1.213710E-16	5.228761E-17
2.116914E+03	1.147506E-16	4.943547E-17
2.156855E+03	1.123227E-16	4.838947E-17
2.196797E+03	1.143904E-16	4.928018E-17
2.236739E+03	1.203489E-16	5.184711E-17
2.276681E+03	1.290467E-16	5.559414E-17
2.316622E+03	1.392627E-16	5.999519E-17
2.356564E+03	1.500267E-16	6.463232E-17
2.396506E+03	1.607450E-16	6.924973E-17
2.436448E+03	1.710781E-16	7.370124E-17
2.476389E+03	1.809165E-16	7.793958E-17
2.516331E+03	1.903003E-16	8.198204E-17
2.556273E+03	1.992701E-16	8.584619E-17
2.596215E+03	2.079489E-16	8.958495E-17
2.636156E+03	2.163992E-16	9.322526E-17
2.676098E+03	2.247420E-16	9.681924E-17
2.716040E+03	2.330205E-16	1.003855E-16
2.755982E+03	2.412993E-16	1.039519E-16
2.795924E+03	2.496711E-16	1.075584E-16
2.835865E+03	2.581836E-16	1.112254E-16
2.875807E+03	2.668765E-16	1.149702E-16
2.915749E+03	2.757413E-16	1.187890E-16
2.955691E+03	2.848012E-16	1.226918E-16
2.995632E+03	2.941595E-16	1.267231E-16
3.005618E+03	2.965385E-16	1.277480E-16
3.015603E+03	2.988858E-16	1.287591E-16
3.025589E+03	3.013324E-16	1.298131E-16
3.035574E+03	3.037540E-16	1.308562E-16
3.045560E+03	3.062154E-16	1.319165E-16
3.055545E+03	3.087438E-16	1.330057E-16
3.065530E+03	3.113775E-16	1.341403E-16
3.075516E+03	3.140194E-16	1.352784E-16
3.085501E+03	3.167541E-16	1.364564E-16
3.095487E+03	3.195309E-16	1.376526E-16
3.105472E+03	3.223442E-16	1.388645E-16
3.115458E+03	3.251895E-16	1.400902E-16
3.125443E+03	3.280623E-16	1.413278E-16
3.135429E+03	3.309586E-16	1.425754E-16
3.145414E+03	3.338745E-16	1.438315E-16
3.155399E+03	3.368545E-16	1.451152E-16
3.165385E+03	3.398004E-16	1.463843E-16
3.175370E+03	3.428051E-16	1.476786E-16
3.185356E+03	3.458182E-16	1.489766E-16
3.195341E+03	3.488375E-16	1.502772E-16
