#wls	flux	fluxerr
1.600000E+03	2.301299E-14	1.574729E-15
1.640000E+03	1.970677E-14	1.315541E-15
1.680000E+03	1.671322E-14	1.087397E-15
1.720000E+03	1.403134E-14	8.888667E-16
1.760000E+03	1.165608E-14	7.182211E-16
1.800000E+03	9.577515E-15	5.734231E-16
1.840000E+03	7.777699E-15	4.519910E-16
1.880000E+03	6.239060E-15	3.515503E-16
1.920000E+03	4.938645E-15	2.695229E-16
1.960000E+03	3.851906E-15	2.033823E-16
2.000000E+03	2.953473E-15	1.507148E-16
2.040000E+03	2.220663E-15	1.094053E-16
2.080000E+03	1.634819E-15	7.768296E-17
2.120000E+03	1.189307E-15	5.445611E-17
2.160000E+03	8.859815E-16	3.905816E-17
2.200000E+03	7.061653E-16	2.995167E-17
2.240000E+03	6.261810E-16	2.553919E-17
2.280000E+03	6.353401E-16	2.490931E-17
2.320000E+03	7.414531E-16	2.794180E-17
2.360000E+03	9.809213E-16	3.554025E-17
2.400000E+03	1.438198E-15	5.012744E-17
2.440000E+03	2.273954E-15	7.631987E-17
2.480000E+03	3.761325E-15	1.217255E-16
2.520000E+03	6.297513E-15	1.967756E-16
2.560000E+03	1.030488E-14	3.112393E-16
2.600000E+03	1.588682E-14	4.642073E-16
2.640000E+03	2.238406E-14	6.331104E-16
2.680000E+03	2.880167E-14	7.887191E-16
2.720000E+03	3.463416E-14	9.181705E-16
2.748182E+03	7.991883E-15	2.070298E-16
2.751525E+03	8.109251E-15	2.094909E-16
2.754870E+03	8.278878E-15	2.132818E-16
2.758218E+03	8.354236E-15	2.146266E-16
2.761569E+03	8.429875E-15	2.159678E-16
2.764923E+03	8.488260E-15	2.168572E-16
2.768280E+03	8.668802E-15	2.208504E-16
2.771639E+03	8.967258E-15	2.278135E-16
2.775001E+03	9.319104E-15	2.360862E-16
2.778367E+03	9.868443E-15	2.492974E-16
2.781734E+03	1.051970E-14	2.649975E-16
2.785105E+03	1.122618E-14	2.819911E-16
2.788478E+03	1.225119E-14	3.068617E-16
2.791854E+03	1.350072E-14	3.371927E-16
2.795233E+03	1.485108E-14	3.698555E-16
2.798615E+03	1.622391E-14	4.028819E-16
2.801999E+03	1.758430E-14	4.354031E-16
2.805387E+03	1.899108E-14	4.688731E-16
2.808776E+03	2.055783E-14	5.060790E-16
2.812169E+03	2.239945E-14	5.498050E-16
2.815564E+03	2.435320E-14	5.960095E-16
2.818962E+03	2.639971E-14	6.441949E-16
2.822363E+03	2.851295E-14	6.937072E-16
2.825766E+03	3.065027E-14	7.434978E-16
2.829172E+03	3.297180E-14	7.974331E-16
2.832581E+03	3.535126E-14	8.524275E-16
2.835992E+03	3.766403E-14	9.054729E-16
2.839407E+03	3.994347E-14	9.573811E-16
2.842823E+03	4.222572E-14	1.009025E-15
2.846243E+03	4.447990E-14	1.059665E-15
2.849665E+03	4.661032E-14	1.107035E-15
2.853089E+03	4.838395E-14	1.145644E-15
2.856517E+03	4.998358E-14	1.179884E-15
2.859947E+03	5.154045E-14	1.212880E-15
2.863379E+03	5.294732E-14	1.242127E-15
2.866814E+03	5.406580E-14	1.264419E-15
2.870252E+03	5.488639E-14	1.279597E-15
2.873692E+03	5.554644E-14	1.290921E-15
2.877135E+03	5.591796E-14	1.295458E-15
2.880581E+03	5.623907E-14	1.298770E-15
2.884029E+03	5.636972E-14	1.297647E-15
2.887479E+03	5.633215E-14	1.292639E-15
2.890933E+03	5.637252E-14	1.289414E-15
2.894388E+03	5.649172E-14	1.287975E-15
2.897847E+03	5.655940E-14	1.285342E-15
2.901308E+03	5.643744E-14	1.278398E-15
2.904771E+03	5.626385E-14	1.270302E-15
2.908237E+03	5.623820E-14	1.265555E-15
2.911705E+03	5.617692E-14	1.260008E-15
2.915176E+03	5.614953E-14	1.255222E-15
2.918650E+03	5.624484E-14	1.253167E-15
2.922126E+03	5.635219E-14	1.251361E-15
2.925604E+03	5.670481E-14	1.254963E-15
2.929085E+03	5.726365E-14	1.263055E-15
2.932569E+03	5.799941E-14	1.274946E-15
2.936055E+03	5.882655E-14	1.288725E-15
2.939543E+03	5.978854E-14	1.305319E-15
2.943034E+03	6.075602E-14	1.321882E-15
2.946527E+03	6.180917E-14	1.340153E-15
2.950023E+03	6.273103E-14	1.355423E-15
2.953521E+03	6.341200E-14	1.365362E-15
2.957022E+03	6.406069E-14	1.374500E-15
2.960525E+03	6.471462E-14	1.383648E-15
2.964030E+03	6.555914E-14	1.396753E-15
2.967538E+03	6.637179E-14	1.409048E-15
2.971048E+03	6.729751E-14	1.423607E-15
2.974561E+03	6.827400E-14	1.439091E-15
2.978076E+03	6.926558E-14	1.454739E-15
2.981593E+03	7.011161E-14	1.467187E-15
2.985113E+03	7.109401E-14	1.482345E-15
2.988636E+03	7.214141E-14	1.498698E-15
2.992160E+03	7.312554E-14	1.513580E-15
2.995687E+03	7.410745E-14	1.528262E-15
2.999217E+03	7.532297E-14	1.547589E-15
3.002748E+03	7.680751E-14	1.572236E-15
3.006282E+03	7.859699E-14	1.602871E-15
3.009819E+03	8.065668E-14	1.638718E-15
3.013357E+03	8.269003E-14	1.673718E-15
3.016898E+03	8.483321E-14	1.710617E-15
3.020442E+03	8.737758E-14	1.755245E-15
3.023987E+03	9.020535E-14	1.805155E-15
3.027535E+03	9.316041E-14	1.857168E-15
3.031085E+03	9.609654E-14	1.908352E-15
3.034638E+03	9.911961E-14	1.960805E-15
3.038193E+03	1.022670E-13	2.015246E-15
3.041750E+03	1.055476E-13	2.071821E-15
3.045309E+03	1.087503E-13	2.126371E-15
3.048871E+03	1.119550E-13	2.180472E-15
3.052435E+03	1.152514E-13	2.235865E-15
3.056001E+03	1.182085E-13	2.284200E-15
3.059570E+03	1.208211E-13	2.325454E-15
3.063140E+03	1.234401E-13	2.366441E-15
3.066713E+03	1.260392E-13	2.406651E-15
3.070288E+03	1.284975E-13	2.443794E-15
3.073865E+03	1.309430E-13	2.480329E-15
3.077445E+03	1.333430E-13	2.515638E-15
3.081027E+03	1.353378E-13	2.542979E-15
3.084611E+03	1.369549E-13	2.562961E-15
3.088197E+03	1.384051E-13	2.579601E-15
3.091785E+03	1.395813E-13	2.590945E-15
3.095376E+03	1.404501E-13	2.596436E-15
3.098969E+03	1.410337E-13	2.596559E-15
3.102564E+03	1.412280E-13	2.589467E-15
3.106161E+03	1.408507E-13	2.571920E-15
3.109760E+03	1.398296E-13	2.542733E-15
3.113361E+03	1.380592E-13	2.500141E-15
3.116965E+03	1.357998E-13	2.449003E-15
3.120571E+03	1.333777E-13	2.395295E-15
3.124178E+03	1.307962E-13	2.339112E-15
3.127788E+03	1.278234E-13	2.276352E-15
3.131400E+03	1.244591E-13	2.207106E-15
3.135015E+03	1.210223E-13	2.137088E-15
3.138631E+03	1.175640E-13	2.067219E-15
3.142249E+03	1.141537E-13	1.998716E-15
3.145870E+03	1.107173E-13	1.930272E-15
3.149493E+03	1.071809E-13	1.860613E-15
3.153117E+03	1.034763E-13	1.788583E-15
3.156744E+03	9.982792E-14	1.718080E-15
3.160373E+03	9.634391E-14	1.650943E-15
3.164004E+03	9.330543E-14	1.591933E-15
3.167637E+03	9.067427E-14	1.540301E-15
3.171272E+03	8.836128E-14	1.494448E-15
3.174909E+03	8.616981E-14	1.450992E-15
3.178548E+03	8.400470E-14	1.408309E-15
3.182189E+03	8.206318E-14	1.369686E-15
3.185833E+03	8.036633E-14	1.335422E-15
3.189478E+03	7.887249E-14	1.304775E-15
3.193125E+03	7.756681E-14	1.277456E-15
3.196774E+03	7.643145E-14	1.253129E-15
3.200426E+03	7.555872E-14	1.233263E-15
3.204079E+03	7.495143E-14	1.217849E-15
3.207734E+03	7.450518E-14	1.205137E-15
3.211392E+03	7.415437E-14	1.194035E-15
3.215051E+03	7.375928E-14	1.182287E-15
3.218712E+03	7.329331E-14	1.169475E-15
3.222376E+03	7.275967E-14	1.155667E-15
3.226041E+03	7.250561E-14	1.146369E-15
3.229708E+03	7.257210E-14	1.142165E-15
3.233377E+03	7.260306E-14	1.137409E-15
3.237048E+03	7.251874E-14	1.130863E-15
3.240721E+03	7.269785E-14	1.128434E-15
3.244396E+03	7.302749E-14	1.128320E-15
3.248073E+03	7.330955E-14	1.127444E-15
3.251752E+03	7.360019E-14	1.126676E-15
3.255433E+03	7.378746E-14	1.124310E-15
3.259116E+03	7.402761E-14	1.122739E-15
3.262800E+03	7.437341E-14	1.122752E-15
3.266487E+03	7.493308E-14	1.125950E-15
3.270175E+03	7.574109E-14	1.132809E-15
3.273865E+03	7.664426E-14	1.140996E-15
3.277558E+03	7.750468E-14	1.148451E-15
3.281252E+03	7.844230E-14	1.156955E-15
3.284948E+03	7.978060E-14	1.171242E-15
3.288646E+03	8.149463E-14	1.190870E-15
3.292345E+03	8.334715E-14	1.212315E-15
3.296047E+03	8.499161E-14	1.230534E-15
3.299751E+03	8.666385E-14	1.248973E-15
3.303456E+03	8.834336E-14	1.267338E-15
3.307163E+03	9.020649E-14	1.288149E-15
3.310872E+03	9.210501E-14	1.309267E-15
3.314582E+03	9.395497E-14	1.329504E-15
3.318295E+03	9.576221E-14	1.348955E-15
3.322010E+03	9.757287E-14	1.368282E-15
3.325726E+03	9.945004E-14	1.388373E-15
3.329444E+03	1.011295E-13	1.405547E-15
3.333164E+03	1.026322E-13	1.420137E-15
3.336886E+03	1.039017E-13	1.431405E-15
3.340609E+03	1.049963E-13	1.440200E-15
3.344334E+03	1.057800E-13	1.444700E-15
3.348061E+03	1.060497E-13	1.442202E-15
3.351790E+03	1.058506E-13	1.433414E-15
3.355521E+03	1.054431E-13	1.421929E-15
3.359253E+03	1.050942E-13	1.411374E-15
3.362987E+03	1.047019E-13	1.400376E-15
3.366723E+03	1.043541E-13	1.390114E-15
3.370461E+03	1.038536E-13	1.377966E-15
3.374200E+03	1.034485E-13	1.367241E-15
3.377941E+03	1.031551E-13	1.358139E-15
3.381684E+03	1.030512E-13	1.351666E-15
3.385429E+03	1.034067E-13	1.351326E-15
3.389175E+03	1.042610E-13	1.357569E-15
3.392923E+03	1.056085E-13	1.370259E-15
3.396673E+03	1.071742E-13	1.385780E-15
3.400425E+03	1.089291E-13	1.403740E-15
3.404178E+03	1.110245E-13	1.426070E-15
3.407933E+03	1.135631E-13	1.454053E-15
3.411689E+03	1.169751E-13	1.493143E-15
3.415447E+03	1.207492E-13	1.536746E-15
3.419207E+03	1.244523E-13	1.579348E-15
3.422969E+03	1.280135E-13	1.620080E-15
3.426732E+03	1.315977E-13	1.661061E-15
3.430497E+03	1.354776E-13	1.705743E-15
3.434264E+03	1.394446E-13	1.751501E-15
3.438032E+03	1.431800E-13	1.794359E-15
3.441802E+03	1.465576E-13	1.832783E-15
3.445573E+03	1.496501E-13	1.867733E-15
3.449347E+03	1.525267E-13	1.900111E-15
3.453122E+03	1.552239E-13	1.930407E-15
3.456898E+03	1.577373E-13	1.958602E-15
3.460676E+03	1.598426E-13	1.981943E-15
3.464456E+03	1.614457E-13	1.999301E-15
3.468237E+03	1.625471E-13	2.010724E-15
3.472020E+03	1.633207E-13	2.018390E-15
3.475804E+03	1.637499E-13	2.022119E-15
3.479591E+03	1.640338E-13	2.024379E-15
3.483378E+03	1.641492E-13	2.024901E-15
3.487168E+03	1.642644E-13	2.025762E-15
3.490959E+03	1.643767E-13	2.026933E-15
3.494751E+03	1.645364E-13	2.029029E-15
3.498545E+03	1.649511E-13	2.034605E-15
3.502341E+03	1.653568E-13	2.040400E-15
3.506138E+03	1.656484E-13	2.045115E-15
3.509936E+03	1.658896E-13	2.049526E-15
3.513737E+03	1.662607E-13	2.055858E-15
3.517539E+03	1.668367E-13	2.065036E-15
3.521342E+03	1.674345E-13	2.074794E-15
3.525147E+03	1.681238E-13	2.085993E-15
3.528953E+03	1.690778E-13	2.100786E-15
3.532761E+03	1.700570E-13	2.116202E-15
3.536571E+03	1.709451E-13	2.130790E-15
3.540382E+03	1.718844E-13	2.146315E-15
3.544194E+03	1.728025E-13	2.161870E-15
3.548008E+03	1.738331E-13	2.179127E-15
3.551824E+03	1.748397E-13	2.196374E-15
