#wls	flux	fluxerr
1.600000E+03	3.496487E-14	1.714517E-15
1.640000E+03	3.048308E-14	1.461468E-15
1.680000E+03	2.630920E-14	1.232490E-15
1.720000E+03	2.246413E-14	1.027626E-15
1.760000E+03	1.896377E-14	8.465748E-16
1.800000E+03	1.581713E-14	6.886413E-16
1.840000E+03	1.301987E-14	5.524993E-16
1.880000E+03	1.056721E-14	4.368069E-16
1.920000E+03	8.443666E-15	3.397986E-16
1.960000E+03	6.628760E-15	2.595722E-16
2.000000E+03	5.098078E-15	1.941619E-16
2.040000E+03	3.828330E-15	1.417500E-16
2.080000E+03	2.801471E-15	1.008127E-16
2.120000E+03	2.016406E-15	7.050571E-17
2.160000E+03	1.480832E-15	5.030634E-17
2.200000E+03	1.160542E-15	3.830560E-17
2.240000E+03	1.009448E-15	3.237838E-17
2.280000E+03	1.001112E-15	3.121696E-17
2.320000E+03	1.140669E-15	3.459898E-17
2.360000E+03	1.476969E-15	4.361466E-17
2.400000E+03	2.127422E-15	6.122713E-17
2.440000E+03	3.317288E-15	9.317329E-17
2.480000E+03	5.430292E-15	1.490832E-16
2.520000E+03	9.026381E-15	2.426100E-16
2.560000E+03	1.471218E-14	3.877391E-16
2.600000E+03	2.269279E-14	5.873159E-16
2.640000E+03	3.217300E-14	8.188745E-16
2.680000E+03	4.186107E-14	1.049207E-15
2.720000E+03	5.101147E-14	1.260624E-15
2.760000E+03	5.957927E-14	1.453380E-15
2.800000E+03	6.806085E-14	1.640609E-15
2.840000E+03	7.711624E-14	1.838636E-15
2.880000E+03	8.720905E-14	2.058434E-15
2.920000E+03	9.848862E-14	2.303245E-15
2.960000E+03	1.107208E-13	2.567382E-15
3.000000E+03	1.230469E-13	2.831061E-15
3.010000E+03	1.259717E-13	2.893027E-15
3.020000E+03	1.287698E-13	2.951977E-15
3.030000E+03	1.314080E-13	3.007172E-15
3.040000E+03	1.338587E-13	3.058011E-15
3.050000E+03	1.360874E-13	3.103731E-15
3.060000E+03	1.380657E-13	3.143717E-15
3.070000E+03	1.397731E-13	3.177527E-15
3.080000E+03	1.411897E-13	3.204732E-15
3.090000E+03	1.423066E-13	3.225149E-15
3.100000E+03	1.431296E-13	3.238934E-15
3.110000E+03	1.436626E-13	3.246193E-15
3.120000E+03	1.439276E-13	3.247446E-15
3.130000E+03	1.439505E-13	3.243287E-15
3.140000E+03	1.437763E-13	3.234743E-15
3.150000E+03	1.434394E-13	3.222593E-15
3.160000E+03	1.429901E-13	3.207974E-15
3.170000E+03	1.424813E-13	3.192068E-15
3.180000E+03	1.419634E-13	3.175999E-15
3.190000E+03	1.414803E-13	3.160740E-15
3.200000E+03	1.410869E-13	3.147500E-15
3.210000E+03	1.408206E-13	3.137097E-15
3.220000E+03	1.407229E-13	3.130434E-15
3.230000E+03	1.408251E-13	3.128179E-15
3.240000E+03	1.411586E-13	3.131003E-15
3.250000E+03	1.417477E-13	3.139413E-15
3.260000E+03	1.426123E-13	3.153813E-15
3.270000E+03	1.437655E-13	3.174456E-15
3.280000E+03	1.452214E-13	3.201614E-15
3.290000E+03	1.469881E-13	3.235426E-15
3.300000E+03	1.490680E-13	3.275902E-15
3.310000E+03	1.514654E-13	3.323089E-15
3.320000E+03	1.541772E-13	3.376874E-15
3.330000E+03	1.572026E-13	3.437192E-15
3.340000E+03	1.605342E-13	3.503831E-15
3.350000E+03	1.641646E-13	3.576579E-15
3.360000E+03	1.680845E-13	3.655183E-15
3.370000E+03	1.722819E-13	3.739330E-15
3.380000E+03	1.767424E-13	3.828653E-15
3.390000E+03	1.814449E-13	3.922649E-15
3.400000E+03	1.863702E-13	4.020847E-15
3.410000E+03	1.914868E-13	4.122517E-15
3.420000E+03	1.967698E-13	4.227080E-15
3.430000E+03	2.021802E-13	4.333650E-15
3.440000E+03	2.076802E-13	4.441378E-15
3.450000E+03	2.132280E-13	4.549335E-15
3.460000E+03	2.187724E-13	4.656399E-15
3.470000E+03	2.242558E-13	4.761321E-15
3.480000E+03	2.295927E-13	4.862277E-15
3.490000E+03	2.346580E-13	4.956626E-15
3.500000E+03	2.393023E-13	5.041236E-15
3.510000E+03	2.433589E-13	5.112657E-15
3.520000E+03	2.466604E-13	5.167449E-15
3.530000E+03	2.490261E-13	5.201955E-15
3.540000E+03	2.503021E-13	5.213115E-15
3.550000E+03	2.503545E-13	5.198337E-15
3.560000E+03	2.490864E-13	5.155839E-15
3.570000E+03	2.464462E-13	5.084810E-15
3.580000E+03	2.424514E-13	4.985888E-15
3.590000E+03	2.371965E-13	4.861298E-15
3.600000E+03	2.308334E-13	4.714423E-15
3.610000E+03	2.235878E-13	4.550122E-15
3.620000E+03	2.157311E-13	4.374118E-15
3.630000E+03	2.075578E-13	4.192532E-15
3.640000E+03	1.993670E-13	4.011494E-15
3.650000E+03	1.914440E-13	3.836766E-15
3.660000E+03	1.840359E-13	3.673252E-15
3.670000E+03	1.773441E-13	3.524868E-15
3.680000E+03	1.715035E-13	3.394135E-15
3.690000E+03	1.666060E-13	3.282676E-15
3.700000E+03	1.626968E-13	3.191160E-15
3.710000E+03	1.597802E-13	3.119422E-15
3.720000E+03	1.578305E-13	3.066710E-15
3.730000E+03	1.568096E-13	3.032027E-15
3.740000E+03	1.566651E-13	3.014108E-15
3.750000E+03	1.573418E-13	3.011640E-15
3.760000E+03	1.587845E-13	3.023329E-15
3.770000E+03	1.609438E-13	3.048003E-15
3.780000E+03	1.637745E-13	3.084577E-15
3.790000E+03	1.672369E-13	3.132084E-15
3.800000E+03	1.712999E-13	3.189730E-15
3.810000E+03	1.759251E-13	3.256588E-15
3.820000E+03	1.810704E-13	3.331678E-15
3.830000E+03	1.866712E-13	3.413620E-15
3.840000E+03	1.926376E-13	3.500601E-15
3.850000E+03	1.988640E-13	3.590561E-15
3.860000E+03	2.052245E-13	3.681128E-15
