#wls	flux	fluxerr
1.600000E+03	3.240578E-13	7.918591E-14
1.640000E+03	2.807763E-13	6.197445E-14
1.680000E+03	2.402502E-13	4.741708E-14
1.720000E+03	2.028288E-13	3.536672E-14
1.760000E+03	1.687903E-13	2.562789E-14
1.800000E+03	1.383195E-13	1.796444E-14
1.840000E+03	1.114506E-13	1.210702E-14
1.880000E+03	8.818214E-14	7.782513E-15
1.920000E+03	6.839026E-14	4.715324E-15
1.960000E+03	5.188328E-14	2.645749E-15
2.000000E+03	3.841492E-14	1.340940E-15
2.040000E+03	2.771341E-14	6.078693E-16
2.080000E+03	1.950126E-14	3.021916E-16
2.120000E+03	1.354248E-14	2.316522E-16
2.160000E+03	9.575444E-15	1.868361E-16
2.200000E+03	7.169116E-15	1.387306E-16
2.240000E+03	5.894167E-15	1.072856E-16
2.280000E+03	5.462638E-15	1.102140E-16
2.320000E+03	5.751342E-15	1.468597E-16
2.360000E+03	6.815908E-15	2.121418E-16
2.400000E+03	8.919764E-15	3.113316E-16
2.440000E+03	1.257145E-14	4.512407E-16
2.480000E+03	1.854785E-14	6.251525E-16
2.520000E+03	2.778769E-14	7.889168E-16
2.560000E+03	4.098470E-14	8.462979E-16
2.600000E+03	5.778082E-14	7.714726E-16
2.640000E+03	7.614699E-14	1.140407E-15
2.680000E+03	9.352318E-14	2.203252E-15
2.720000E+03	1.084539E-13	3.481012E-15
2.760000E+03	1.208051E-13	4.707104E-15
2.800000E+03	1.313418E-13	5.781540E-15
2.840000E+03	1.410595E-13	6.703670E-15
2.880000E+03	1.506547E-13	7.508724E-15
2.920000E+03	1.602711E-13	8.219497E-15
2.960000E+03	1.694599E-13	8.822689E-15
3.000000E+03	1.771467E-13	9.260243E-15
3.010000E+03	1.786681E-13	9.334038E-15
3.020000E+03	1.799760E-13	9.390521E-15
3.030000E+03	1.810477E-13	9.428404E-15
3.040000E+03	1.818708E-13	9.447003E-15
3.050000E+03	1.824246E-13	9.445248E-15
3.060000E+03	1.826971E-13	9.422589E-15
3.070000E+03	1.826856E-13	9.379029E-15
3.080000E+03	1.823861E-13	9.314547E-15
3.090000E+03	1.818052E-13	9.229732E-15
3.100000E+03	1.809641E-13	9.125943E-15
3.110000E+03	1.798755E-13	9.004135E-15
3.120000E+03	1.785700E-13	8.866164E-15
3.130000E+03	1.770763E-13	8.713782E-15
3.140000E+03	1.754418E-13	8.549624E-15
3.150000E+03	1.736959E-13	8.375391E-15
3.160000E+03	1.718843E-13	8.193504E-15
3.170000E+03	1.700529E-13	8.006307E-15
3.180000E+03	1.682433E-13	7.815842E-15
3.190000E+03	1.664895E-13	7.623678E-15
3.200000E+03	1.648383E-13	7.431868E-15
3.210000E+03	1.633177E-13	7.241471E-15
3.220000E+03	1.619611E-13	7.053672E-15
3.230000E+03	1.607916E-13	6.869096E-15
3.240000E+03	1.598344E-13	6.688325E-15
3.250000E+03	1.591073E-13	6.511525E-15
3.260000E+03	1.586243E-13	6.338600E-15
3.270000E+03	1.583933E-13	6.169107E-15
3.280000E+03	1.584239E-13	6.002595E-15
3.290000E+03	1.587201E-13	5.838308E-15
3.300000E+03	1.592804E-13	5.675221E-15
3.310000E+03	1.601061E-13	5.512359E-15
3.320000E+03	1.611912E-13	5.348443E-15
3.330000E+03	1.625328E-13	5.182295E-15
3.340000E+03	1.641208E-13	5.012532E-15
3.350000E+03	1.659462E-13	4.837887E-15
3.360000E+03	1.679983E-13	4.657200E-15
3.370000E+03	1.702644E-13	4.469530E-15
3.380000E+03	1.727305E-13	4.274305E-15
3.390000E+03	1.753778E-13	4.071471E-15
3.400000E+03	1.781912E-13	3.861964E-15
3.410000E+03	1.811456E-13	3.647791E-15
3.420000E+03	1.842240E-13	3.432916E-15
3.430000E+03	1.873969E-13	3.223411E-15
3.440000E+03	1.906370E-13	3.028348E-15
3.450000E+03	1.939137E-13	2.859934E-15
3.460000E+03	1.971889E-13	2.732741E-15
3.470000E+03	2.004225E-13	2.661154E-15
3.480000E+03	2.035555E-13	2.653972E-15
3.490000E+03	2.065030E-13	2.708681E-15
3.500000E+03	2.091672E-13	2.813693E-15
