#wls	flux	fluxerr
1.600000E+03	2.813656E-14	7.808951E-15
1.640000E+03	2.229940E-14	5.681276E-15
1.680000E+03	1.750322E-14	4.065298E-15
1.720000E+03	1.362538E-14	2.862569E-15
1.760000E+03	1.053151E-14	1.983855E-15
1.800000E+03	8.098825E-15	1.354416E-15
1.840000E+03	6.207031E-15	9.114356E-16
1.880000E+03	4.755255E-15	6.057486E-16
1.920000E+03	3.652279E-15	3.986088E-16
1.960000E+03	2.821936E-15	2.609234E-16
2.000000E+03	2.202952E-15	1.714848E-16
2.040000E+03	1.745575E-15	1.150608E-16
2.080000E+03	1.411885E-15	8.095739E-17
2.120000E+03	1.172769E-15	6.138492E-17
2.160000E+03	1.007263E-15	5.063856E-17
2.200000E+03	9.006381E-16	4.523513E-17
2.240000E+03	8.428706E-16	4.354160E-17
2.280000E+03	8.289256E-16	4.502913E-17
2.320000E+03	8.562859E-16	4.939566E-17
2.360000E+03	9.258011E-16	5.644091E-17
2.400000E+03	1.041185E-15	6.613401E-17
2.440000E+03	1.209062E-15	7.860007E-17
2.480000E+03	1.437614E-15	9.410328E-17
2.520000E+03	1.734704E-15	1.132438E-16
2.560000E+03	2.105067E-15	1.374660E-16
2.600000E+03	2.546488E-15	1.696656E-16
2.640000E+03	3.047670E-15	2.139830E-16
2.680000E+03	3.590663E-15	2.734666E-16
2.720000E+03	4.154378E-15	3.481858E-16
2.760000E+03	4.712881E-15	4.351064E-16
2.800000E+03	5.240593E-15	5.290229E-16
2.840000E+03	5.712178E-15	6.232305E-16
2.880000E+03	6.106759E-15	7.106658E-16
2.920000E+03	6.409538E-15	7.848549E-16
2.960000E+03	6.614350E-15	8.409148E-16
3.000000E+03	6.723791E-15	8.761109E-16
3.010000E+03	6.737672E-15	8.815965E-16
3.020000E+03	6.746093E-15	8.857099E-16
3.030000E+03	6.749924E-15	8.885550E-16
3.040000E+03	6.748768E-15	8.900740E-16
3.050000E+03	6.743515E-15	8.903830E-16
3.060000E+03	6.734427E-15	8.895195E-16
3.070000E+03	6.721157E-15	8.874444E-16
3.080000E+03	6.704609E-15	8.842872E-16
3.090000E+03	6.685064E-15	8.800985E-16
3.100000E+03	6.662210E-15	8.748536E-16
3.110000E+03	6.637534E-15	8.687666E-16
3.120000E+03	6.610134E-15	8.617402E-16
3.130000E+03	6.581469E-15	8.539876E-16
3.140000E+03	6.550658E-15	8.454185E-16
