#wls	flux	fluxerr	mangling_mask
3.456000E+03	1.317388E-14	9.578299E-16	4.475584E-15
3.458000E+03	1.318587E-14	9.575355E-16	4.475401E-15
3.460000E+03	1.318936E-14	9.569703E-16	4.475218E-15
3.462000E+03	1.321119E-14	9.569858E-16	4.475034E-15
3.464000E+03	1.323079E-14	9.569283E-16	4.474849E-15
3.466000E+03	1.325843E-14	9.571231E-16	4.474665E-15
3.468000E+03	1.328115E-14	9.571600E-16	4.474480E-15
3.470000E+03	1.329536E-14	9.569269E-16	4.474294E-15
3.472000E+03	1.330510E-14	9.565519E-16	4.474108E-15
3.474000E+03	1.331618E-14	9.562181E-16	4.473922E-15
3.476000E+03	1.331965E-14	9.556454E-16	4.473735E-15
3.478000E+03	1.332446E-14	9.551146E-16	4.473549E-15
3.480000E+03	1.333330E-14	9.547090E-16	4.473361E-15
3.482000E+03	1.334303E-14	9.842405E-16	4.473174E-15
3.484000E+03	1.334068E-14	1.005916E-15	4.472985E-15
3.486000E+03	1.335264E-14	1.005373E-15	4.472797E-15
3.488000E+03	1.335789E-14	1.013290E-15	4.472608E-15
3.490000E+03	1.336269E-14	1.014789E-15	4.472419E-15
3.492000E+03	1.335408E-14	1.007920E-15	4.472229E-15
3.494000E+03	1.337229E-14	1.011667E-15	4.472039E-15
3.496000E+03	1.339319E-14	1.016981E-15	4.471849E-15
3.498000E+03	1.341542E-14	9.633431E-16	4.471658E-15
3.500000E+03	1.343586E-14	9.558823E-16	4.471467E-15
3.502000E+03	1.343887E-14	9.108701E-16	4.471276E-15
3.504000E+03	1.343784E-14	9.056375E-16	4.471084E-15
3.506000E+03	1.345783E-14	9.063414E-16	4.470891E-15
3.508000E+03	1.345770E-14	8.765362E-16	4.470699E-15
3.510000E+03	1.344326E-14	8.476393E-16	4.470506E-15
3.512000E+03	1.343016E-14	8.312169E-16	4.470312E-15
3.514000E+03	1.341259E-14	8.291968E-16	4.470118E-15
3.516000E+03	1.338698E-14	8.308679E-16	4.469924E-15
3.518000E+03	1.338058E-14	8.234164E-16	4.469730E-15
3.520000E+03	1.336659E-14	7.884421E-16	4.469535E-15
3.522000E+03	1.335662E-14	8.145618E-16	4.469339E-15
3.524000E+03	1.335157E-14	8.299363E-16	4.469143E-15
3.526000E+03	1.332640E-14	8.340666E-16	4.468947E-15
3.528000E+03	1.330213E-14	8.396916E-16	4.468751E-15
3.530000E+03	1.328725E-14	8.487632E-16	4.468554E-15
3.532000E+03	1.326476E-14	8.367645E-16	4.468357E-15
3.534000E+03	1.323111E-14	7.968873E-16	4.468159E-15
3.536000E+03	1.320551E-14	7.989745E-16	4.467961E-15
3.538000E+03	1.318839E-14	7.966966E-16	4.467762E-15
3.540000E+03	1.314759E-14	7.933588E-16	4.467563E-15
3.542000E+03	1.309116E-14	8.100068E-16	4.467364E-15
3.544000E+03	1.302536E-14	8.168303E-16	4.467165E-15
3.546000E+03	1.295822E-14	8.091940E-16	4.466965E-15
3.548000E+03	1.290046E-14	8.076080E-16	4.466764E-15
3.550000E+03	1.282395E-14	8.005582E-16	4.466563E-15
3.552000E+03	1.275057E-14	7.944610E-16	4.466362E-15
3.554000E+03	1.266380E-14	7.722119E-16	4.466160E-15
3.556000E+03	1.257748E-14	7.619697E-16	4.465958E-15
3.558000E+03	1.250903E-14	7.534903E-16	4.465756E-15
3.560000E+03	1.243210E-14	7.222739E-16	4.465553E-15
3.562000E+03	1.232839E-14	7.158402E-16	4.465350E-15
3.564000E+03	1.223629E-14	7.135373E-16	4.465146E-15
3.566000E+03	1.211785E-14	6.983340E-16	4.464943E-15
3.568000E+03	1.198023E-14	7.465701E-16	4.464738E-15
3.570000E+03	1.186584E-14	7.405231E-16	4.464533E-15
3.572000E+03	1.173449E-14	7.240316E-16	4.464328E-15
3.574000E+03	1.159243E-14	7.165093E-16	4.464123E-15
3.576000E+03	1.145039E-14	7.178371E-16	4.463917E-15
3.578000E+03	1.128738E-14	7.092780E-16	4.463710E-15
3.580000E+03	1.112037E-14	7.039282E-16	4.463504E-15
3.582000E+03	1.096900E-14	7.030416E-16	4.463296E-15
3.584000E+03	1.084040E-14	6.983495E-16	4.463089E-15
3.586000E+03	1.071181E-14	6.917410E-16	4.462881E-15
3.588000E+03	1.054530E-14	6.956944E-16	4.462672E-15
3.590000E+03	1.040200E-14	7.113414E-16	4.462464E-15
3.592000E+03	1.025828E-14	7.367789E-16	4.462255E-15
3.594000E+03	1.010475E-14	7.128621E-16	4.462045E-15
3.596000E+03	9.925798E-15	7.063873E-16	4.461835E-15
3.598000E+03	9.784789E-15	6.980859E-16	4.461625E-15
3.600000E+03	9.629070E-15	6.881056E-16	4.461414E-15
3.602000E+03	9.474256E-15	6.920691E-16	4.461203E-15
3.604000E+03	9.321241E-15	6.904435E-16	4.460991E-15
3.606000E+03	9.180283E-15	6.864892E-16	4.460779E-15
3.608000E+03	9.045137E-15	6.794490E-16	4.460567E-15
3.610000E+03	8.872090E-15	6.717545E-16	4.460354E-15
3.612000E+03	8.724035E-15	6.784032E-16	4.460141E-15
3.614000E+03	8.588036E-15	7.510984E-16	4.459927E-15
3.616000E+03	8.465428E-15	7.642496E-16	4.459713E-15
3.618000E+03	8.345506E-15	7.175221E-16	4.459499E-15
3.620000E+03	8.230054E-15	7.153437E-16	4.459284E-15
3.622000E+03	8.100790E-15	7.096811E-16	4.459069E-15
3.624000E+03	7.984468E-15	7.128368E-16	4.458853E-15
3.626000E+03	7.886883E-15	6.941753E-16	4.458637E-15
3.628000E+03	7.779944E-15	6.942118E-16	4.458421E-15
3.630000E+03	7.705113E-15	6.934167E-16	4.458204E-15
3.632000E+03	7.619590E-15	6.571370E-16	4.457986E-15
3.634000E+03	7.551460E-15	6.747927E-16	4.457769E-15
3.636000E+03	7.506961E-15	6.939029E-16	4.457551E-15
3.638000E+03	7.454888E-15	6.881204E-16	4.457332E-15
3.640000E+03	7.419756E-15	6.757723E-16	4.457113E-15
3.642000E+03	7.398444E-15	6.137490E-16	4.456894E-15
3.644000E+03	7.374459E-15	6.316860E-16	4.456674E-15
3.646000E+03	7.362508E-15	6.164303E-16	4.456454E-15
3.648000E+03	7.331841E-15	6.241416E-16	4.456233E-15
3.650000E+03	7.319892E-15	6.296912E-16	4.456012E-15
3.652000E+03	7.297249E-15	6.062191E-16	4.455791E-15
3.654000E+03	7.272826E-15	5.897374E-16	4.455569E-15
3.656000E+03	7.258206E-15	5.961407E-16	4.455347E-15
3.658000E+03	7.243141E-15	5.957456E-16	4.455124E-15
3.660000E+03	7.244560E-15	5.906121E-16	4.454901E-15
3.662000E+03	7.279389E-15	5.997371E-16	4.454678E-15
3.664000E+03	7.312877E-15	5.405943E-16	4.454454E-15
3.666000E+03	7.334334E-15	5.234797E-16	4.454230E-15
3.668000E+03	7.357571E-15	5.321195E-16	4.454005E-15
3.670000E+03	7.383476E-15	5.361140E-16	4.453780E-15
3.672000E+03	7.407151E-15	5.390683E-16	4.453554E-15
3.674000E+03	7.453535E-15	5.331778E-16	4.453328E-15
3.676000E+03	7.484773E-15	5.329289E-16	4.453102E-15
3.678000E+03	7.523132E-15	5.367470E-16	4.452875E-15
