#wls	flux	fluxerr
1.593625E+03	3.075171E-02	9.597027E-04
1.633466E+03	2.820365E-02	8.537853E-04
1.673307E+03	2.521574E-02	7.395806E-04
1.713147E+03	2.200757E-02	6.246448E-04
1.752988E+03	1.876883E-02	5.148795E-04
1.792829E+03	1.566880E-02	4.149130E-04
1.832669E+03	1.282558E-02	3.274051E-04
1.872510E+03	1.032227E-02	2.536866E-04
1.912351E+03	8.198061E-03	1.937193E-04
1.952191E+03	6.456395E-03	1.464952E-04
1.992032E+03	5.073788E-03	1.104046E-04
2.031873E+03	4.011984E-03	8.362162E-05
2.071713E+03	3.231014E-03	6.443731E-05
2.111554E+03	2.687444E-03	5.123761E-05
2.151394E+03	2.329656E-03	4.243385E-05
2.191235E+03	2.123855E-03	3.694743E-05
2.231076E+03	2.055614E-03	3.415873E-05
2.270916E+03	2.128011E-03	3.380219E-05
2.310757E+03	2.359784E-03	3.588153E-05
2.350598E+03	2.791033E-03	4.071674E-05
2.390438E+03	3.491682E-03	4.902832E-05
2.430279E+03	4.569734E-03	6.201909E-05
2.470120E+03	6.176990E-03	8.142256E-05
2.509960E+03	8.510578E-03	1.095083E-04
2.549801E+03	1.180543E-02	1.489689E-04
2.589641E+03	1.634066E-02	2.030198E-04
2.629482E+03	2.247019E-02	2.757588E-04
2.669323E+03	3.037588E-02	3.691063E-04
2.709163E+03	3.985873E-02	4.803333E-04
2.749004E+03	5.041531E-02	6.030448E-04
2.788845E+03	6.129446E-02	7.278803E-04
2.828685E+03	7.162503E-02	8.441050E-04
2.868526E+03	8.059951E-02	9.418988E-04
2.908367E+03	8.761877E-02	1.014171E-03
2.948207E+03	9.237728E-02	1.057613E-03
2.988048E+03	9.492349E-02	1.073343E-03
2.998008E+03	9.524997E-02	1.073441E-03
3.007968E+03	9.546497E-02	1.072175E-03
3.017928E+03	9.558062E-02	1.069695E-03
3.027888E+03	9.560101E-02	1.066061E-03
3.037849E+03	9.553919E-02	1.061434E-03
3.047809E+03	9.540437E-02	1.055928E-03
3.057769E+03	9.520805E-02	1.049685E-03
3.067729E+03	9.495591E-02	1.042779E-03
3.077689E+03	9.466381E-02	1.035397E-03
3.087649E+03	9.433775E-02	1.027615E-03
3.097610E+03	9.399160E-02	1.019595E-03
3.107570E+03	9.363524E-02	1.011452E-03
3.117530E+03	9.327680E-02	1.003282E-03
3.127490E+03	9.292977E-02	9.952374E-04
3.137450E+03	9.260220E-02	9.874084E-04
3.147410E+03	9.230554E-02	9.799214E-04
3.157371E+03	9.204947E-02	9.728766E-04
3.167331E+03	9.184364E-02	9.663700E-04
3.177291E+03	9.169943E-02	9.605143E-04
3.187251E+03	9.162662E-02	9.554037E-04
3.197211E+03	9.163358E-02	9.511155E-04
3.207171E+03	9.173371E-02	9.477784E-04
3.217131E+03	9.193590E-02	9.454720E-04
3.227092E+03	9.225259E-02	9.443110E-04
3.237052E+03	9.269510E-02	9.443964E-04
3.247012E+03	9.327382E-02	9.458184E-04
3.256972E+03	9.400434E-02	9.487177E-04
3.266932E+03	9.489697E-02	9.531796E-04
3.276892E+03	9.596889E-02	9.593567E-04
3.286853E+03	9.723526E-02	9.673790E-04
3.296813E+03	9.870929E-02	9.773547E-04
3.306773E+03	1.004113E-01	9.894607E-04
3.316733E+03	1.023597E-01	1.003854E-03
3.326693E+03	1.045729E-01	1.020685E-03
3.336653E+03	1.070716E-01	1.040130E-03
3.346614E+03	1.098779E-01	1.062372E-03
3.356574E+03	1.130144E-01	1.087602E-03
3.366534E+03	1.165045E-01	1.116012E-03
3.376494E+03	1.203716E-01	1.147795E-03
3.386454E+03	1.246368E-01	1.183121E-03
3.396414E+03	1.293192E-01	1.222143E-03
3.406375E+03	1.344402E-01	1.265033E-03
3.416335E+03	1.400077E-01	1.311843E-03
3.426295E+03	1.460290E-01	1.362620E-03
3.436255E+03	1.524975E-01	1.417285E-03
3.446215E+03	1.593929E-01	1.475643E-03
3.456175E+03	1.666699E-01	1.537276E-03
3.466135E+03	1.742575E-01	1.601546E-03
3.476096E+03	1.820487E-01	1.667495E-03
3.486056E+03	1.269538E-01	1.159135E-03
3.486818E+03	1.282154E-01	1.170377E-03
3.487579E+03	1.295451E-01	1.182237E-03
3.488340E+03	1.309953E-01	1.195192E-03
3.489102E+03	1.326000E-01	1.209551E-03
3.489863E+03	1.339554E-01	1.221632E-03
3.490625E+03	1.354540E-01	1.235014E-03
3.491385E+03	1.370135E-01	1.248947E-03
3.492147E+03	1.386342E-01	1.263433E-03
3.492908E+03	1.402187E-01	1.277583E-03
3.493670E+03	1.419018E-01	1.292627E-03
3.494431E+03	1.437211E-01	1.308906E-03
3.495193E+03	1.455082E-01	1.324886E-03
3.495954E+03	1.474091E-01	1.341896E-03
3.496716E+03	1.491877E-01	1.357788E-03
3.497477E+03	1.510200E-01	1.374164E-03
