#wls	flux	fluxerr
1.593625E+03	2.720438E-02	7.862280E-04
1.633466E+03	2.309390E-02	6.519985E-04
1.673307E+03	1.937122E-02	5.339516E-04
1.713147E+03	1.606550E-02	4.321143E-04
1.752988E+03	1.319192E-02	3.460563E-04
1.792829E+03	1.074323E-02	2.747245E-04
1.832669E+03	8.695995E-03	2.166779E-04
1.872510E+03	7.014889E-03	1.702484E-04
1.912351E+03	5.656621E-03	1.336753E-04
1.952191E+03	4.576057E-03	1.052739E-04
1.992032E+03	3.727194E-03	8.346342E-05
2.031873E+03	3.065534E-03	6.682065E-05
2.071713E+03	2.554808E-03	5.421560E-05
2.111554E+03	2.172219E-03	4.489297E-05
2.151394E+03	1.906119E-03	3.838557E-05
2.191235E+03	1.749503E-03	3.435654E-05
2.231076E+03	1.699986E-03	3.258803E-05
2.270916E+03	1.763329E-03	3.303871E-05
2.310757E+03	1.954452E-03	3.584872E-05
2.350598E+03	2.302766E-03	4.142526E-05
2.390438E+03	2.859330E-03	5.055556E-05
2.430279E+03	3.702401E-03	6.447915E-05
2.470120E+03	4.936589E-03	8.485584E-05
2.509960E+03	6.686515E-03	1.136553E-04
2.549801E+03	9.066646E-03	1.526525E-04
2.589641E+03	1.213043E-02	2.026002E-04
2.629482E+03	1.581828E-02	2.624042E-04
2.669323E+03	1.996935E-02	3.293555E-04
2.709163E+03	2.436384E-02	3.998341E-04
2.749004E+03	2.874189E-02	4.696048E-04
2.788845E+03	3.281699E-02	5.340239E-04
2.828685E+03	3.632745E-02	5.888740E-04
2.868526E+03	3.907574E-02	6.309978E-04
2.908367E+03	4.097572E-02	6.590571E-04
2.948207E+03	4.205677E-02	6.735885E-04
2.988048E+03	4.245180E-02	6.767920E-04
2.998008E+03	4.246679E-02	6.762050E-04
3.007968E+03	4.245393E-02	6.751550E-04
3.017928E+03	4.241777E-02	6.737151E-04
3.027888E+03	4.236284E-02	6.719580E-04
3.037849E+03	4.229262E-02	6.699393E-04
3.047809E+03	4.221059E-02	6.677148E-04
3.057769E+03	4.212252E-02	6.653759E-04
3.067729E+03	4.203079E-02	6.629600E-04
3.077689E+03	4.193899E-02	6.605236E-04
3.087649E+03	4.185272E-02	6.581549E-04
3.097610E+03	4.177547E-02	6.559076E-04
3.107570E+03	4.171166E-02	6.538503E-04
