#wls	flux	fluxerr
1.593625E+03	2.277365E-02	9.239482E-04
1.633466E+03	1.841574E-02	7.320305E-04
1.673307E+03	1.471867E-02	5.728366E-04
1.713147E+03	1.162147E-02	4.425197E-04
1.752988E+03	9.060951E-03	3.373116E-04
1.792829E+03	6.972854E-03	2.535835E-04
1.832669E+03	5.291412E-03	1.878417E-04
1.872510E+03	3.956899E-03	1.370038E-04
1.912351E+03	2.912222E-03	9.826476E-05
1.952191E+03	2.106061E-03	6.919417E-05
1.992032E+03	1.493232E-03	4.772798E-05
2.031873E+03	1.035257E-03	3.216304E-05
2.071713E+03	7.011471E-04	2.115400E-05
2.111554E+03	4.691536E-04	1.373352E-05
2.151394E+03	3.226150E-04	9.154692E-06
2.191235E+03	2.393359E-04	6.577676E-06
2.231076E+03	2.002461E-04	5.325440E-06
2.270916E+03	1.952383E-04	5.020170E-06
2.310757E+03	2.237806E-04	5.558951E-06
2.350598E+03	2.973177E-04	7.130040E-06
2.390438E+03	4.464913E-04	1.033015E-05
2.430279E+03	7.362482E-04	1.642520E-05
2.470120E+03	1.293254E-03	2.780967E-05
2.509960E+03	2.345682E-03	4.860897E-05
2.549801E+03	4.257667E-03	8.502695E-05
2.589641E+03	7.494400E-03	1.442667E-04
2.629482E+03	1.245039E-02	2.311345E-04
2.669323E+03	1.932446E-02	3.462266E-04
2.709163E+03	2.812884E-02	4.868501E-04
2.749004E+03	3.862507E-02	6.464629E-04
2.788845E+03	5.032371E-02	8.152926E-04
2.828685E+03	6.256585E-02	9.821366E-04
2.868526E+03	7.464839E-02	1.136494E-03
2.908367E+03	8.594208E-02	1.270217E-03
2.948207E+03	9.602100E-02	1.379047E-03
2.988048E+03	1.047036E-01	1.462665E-03
2.998008E+03	1.066600E-01	1.479951E-03
3.007968E+03	1.085322E-01	1.495879E-03
3.017928E+03	1.103232E-01	1.510520E-03
3.027888E+03	1.120415E-01	1.524021E-03
3.037849E+03	1.136886E-01	1.536431E-03
3.047809E+03	1.152692E-01	1.547839E-03
3.057769E+03	1.167904E-01	1.558368E-03
3.067729E+03	1.182550E-01	1.568077E-03
3.077689E+03	1.196683E-01	1.577059E-03
3.087649E+03	1.210410E-01	1.585475E-03
3.097610E+03	1.223740E-01	1.593354E-03
3.107570E+03	1.236756E-01	1.600826E-03
3.117530E+03	1.249494E-01	1.607951E-03
3.127490E+03	1.262087E-01	1.614915E-03
3.137450E+03	1.274516E-01	1.621708E-03
3.147410E+03	1.286861E-01	1.628444E-03
3.157371E+03	1.299200E-01	1.635233E-03
3.167331E+03	1.311580E-01	1.642146E-03
3.177291E+03	1.324001E-01	1.649186E-03
3.187251E+03	1.336577E-01	1.656499E-03
3.197211E+03	1.349296E-01	1.664066E-03
3.207171E+03	1.362210E-01	1.671951E-03
3.217131E+03	1.375318E-01	1.680148E-03
3.227092E+03	1.388653E-01	1.688699E-03
3.237052E+03	1.402216E-01	1.697604E-03
3.247012E+03	1.415996E-01	1.706844E-03
3.256972E+03	1.429941E-01	1.716360E-03
3.266932E+03	1.444034E-01	1.726132E-03
3.276892E+03	1.458217E-01	1.736090E-03
3.286853E+03	1.472387E-01	1.746114E-03
3.296813E+03	1.486468E-01	1.756119E-03
3.306773E+03	1.500315E-01	1.765940E-03
3.316733E+03	1.513805E-01	1.775439E-03
3.326693E+03	1.526745E-01	1.784400E-03
3.336653E+03	1.538944E-01	1.792611E-03
3.346614E+03	1.550187E-01	1.799836E-03
3.356574E+03	1.560248E-01	1.805828E-03
3.366534E+03	1.568886E-01	1.810326E-03
3.376494E+03	1.575839E-01	1.813048E-03
3.386454E+03	1.580900E-01	1.813777E-03
3.396414E+03	1.583820E-01	1.812248E-03
3.406375E+03	1.584501E-01	1.808372E-03
3.416335E+03	1.582916E-01	1.802141E-03
3.426295E+03	1.579316E-01	1.793858E-03
3.436255E+03	1.574092E-01	1.783982E-03
3.446215E+03	1.567717E-01	1.773063E-03
3.456175E+03	1.560709E-01	1.761690E-03
3.466135E+03	1.552830E-01	1.749600E-03
3.476096E+03	1.542134E-01	1.734606E-03
3.486056E+03	1.875348E-01	2.106117E-03
3.486818E+03	1.876013E-01	2.106624E-03
3.487579E+03	1.876383E-01	2.106800E-03
3.488340E+03	1.877220E-01	2.107504E-03
3.489102E+03	1.878203E-01	2.108373E-03
3.489863E+03	1.879243E-01	2.109307E-03
3.490625E+03	1.880577E-01	2.110572E-03
3.491385E+03	1.881468E-01	2.111341E-03
3.492147E+03	1.882623E-01	2.112407E-03
3.492908E+03	1.884041E-01	2.113771E-03
3.493670E+03	1.885341E-01	2.115003E-03
3.494431E+03	1.886727E-01	2.116333E-03
3.495193E+03	1.888231E-01	2.117797E-03
3.495954E+03	1.889675E-01	2.119193E-03
3.496716E+03	1.891413E-01	2.120922E-03
3.497477E+03	1.892294E-01	2.121691E-03
3.498239E+03	1.893647E-01	2.122989E-03
3.499000E+03	1.894879E-01	2.124155E-03
3.499762E+03	1.896112E-01	2.125321E-03
3.500523E+03	1.897401E-01	2.126553E-03
3.501284E+03	1.898719E-01	2.127818E-03
3.502046E+03	1.900096E-01	2.129150E-03
3.502807E+03	1.901323E-01	2.130315E-03
3.503569E+03	1.902195E-01	2.131084E-03
3.504330E+03	1.903568E-01	2.132415E-03
3.505092E+03	1.904674E-01	2.133448E-03
3.505853E+03	1.905394E-01	2.134050E-03
3.506615E+03	1.906320E-01	2.134884E-03
3.507375E+03	1.907332E-01	2.135817E-03
3.508137E+03	1.908463E-01	2.136883E-03
3.508898E+03	1.909474E-01	2.137815E-03
3.509660E+03	1.910632E-01	2.138914E-03
3.510421E+03	1.911669E-01	2.139879E-03
3.511183E+03	1.912677E-01	2.140812E-03
3.511944E+03	1.913415E-01	2.141444E-03
3.512706E+03	1.913826E-01	2.141711E-03
3.513467E+03	1.914115E-01	2.141844E-03
3.514229E+03	1.914315E-01	2.141878E-03
3.514990E+03	1.914691E-01	2.142110E-03
3.515751E+03	1.914589E-01	2.141809E-03
3.516513E+03	1.914575E-01	2.141607E-03
3.517274E+03	1.914559E-01	2.141404E-03
3.518036E+03	1.914779E-01	2.141467E-03
3.518797E+03	1.914819E-01	2.141330E-03
3.519559E+03	1.914321E-01	2.140592E-03
3.520320E+03	1.913522E-01	2.139520E-03
3.521082E+03	1.912633E-01	2.138347E-03
3.521843E+03	1.911800E-01	2.137240E-03
3.522605E+03	1.910608E-01	2.135731E-03
3.523366E+03	1.909471E-01	2.134287E-03
3.524127E+03	1.907767E-01	2.132209E-03
3.524888E+03	1.905999E-01	2.130062E-03
3.525650E+03	1.904020E-01	2.127680E-03
3.526411E+03	1.901798E-01	2.125029E-03
3.527173E+03	1.898977E-01	2.121709E-03
3.527934E+03	1.896031E-01	2.118253E-03
3.528696E+03	1.892994E-01	2.114695E-03
3.529457E+03	1.890071E-01	2.111267E-03
3.530219E+03	1.886727E-01	2.107370E-03
3.530980E+03	1.883199E-01	2.103269E-03
3.531742E+03	1.879368E-01	2.098832E-03
3.532503E+03	1.875264E-01	2.094091E-03
3.533265E+03	1.870706E-01	2.088846E-03
3.534026E+03	1.865754E-01	2.083163E-03
3.534787E+03	1.860678E-01	2.077342E-03
3.535549E+03	1.855897E-01	2.071853E-03
3.536310E+03	1.850332E-01	2.065490E-03
3.537072E+03	1.844462E-01	2.058789E-03
3.537833E+03	1.838287E-01	2.051750E-03
3.538595E+03	1.831777E-01	2.044338E-03
3.539356E+03	1.824901E-01	2.036520E-03
3.540118E+03	1.817599E-01	2.028229E-03
3.540878E+03	1.810141E-01	2.019765E-03
3.541640E+03	1.802467E-01	2.011063E-03
3.542401E+03	1.794576E-01	2.002121E-03
3.543163E+03	1.786469E-01	1.992941E-03
3.543924E+03	1.778325E-01	1.983721E-03
3.544686E+03	1.769905E-01	1.974194E-03
3.545447E+03	1.761206E-01	1.964360E-03
3.546209E+03	1.752352E-01	1.954354E-03
3.546970E+03	1.743189E-01	1.944007E-03
3.547732E+03	1.733509E-01	1.933083E-03
3.548493E+03	1.723609E-01	1.921919E-03
3.549254E+03	1.713552E-01	1.910581E-03
3.550016E+03	1.703278E-01	1.899002E-03
3.550777E+03	1.692664E-01	1.887048E-03
3.551539E+03	1.681772E-01	1.874785E-03
3.552300E+03	1.670540E-01	1.862147E-03
3.553062E+03	1.659150E-01	1.849334E-03
3.553823E+03	1.647662E-01	1.836413E-03
3.554585E+03	1.635954E-01	1.823251E-03
3.555346E+03	1.623937E-01	1.809745E-03
3.556108E+03	1.611851E-01	1.796167E-03
3.556869E+03	1.599334E-01	1.782109E-03
3.557630E+03	1.586477E-01	1.767675E-03
3.558391E+03	1.573490E-01	1.753099E-03
3.559153E+03	1.560314E-01	1.738315E-03
3.559914E+03	1.546826E-01	1.723185E-03
3.560676E+03	1.533179E-01	1.707881E-03
3.561437E+03	1.519250E-01	1.692266E-03
3.562199E+03	1.506040E-01	1.677452E-03
3.562960E+03	1.492609E-01	1.662395E-03
3.563722E+03	1.478533E-01	1.646623E-03
3.564483E+03	1.464843E-01	1.631282E-03
3.565244E+03	1.451143E-01	1.615934E-03
3.566006E+03	1.437345E-01	1.600477E-03
3.566767E+03	1.423568E-01	1.585047E-03
3.567529E+03	1.409692E-01	1.569508E-03
3.568290E+03	1.394807E-01	1.552848E-03
3.569052E+03	1.379549E-01	1.535776E-03
3.569813E+03	1.364524E-01	1.518965E-03
3.570575E+03	1.349581E-01	1.502248E-03
3.571336E+03	1.334873E-01	1.485794E-03
3.572098E+03	1.319761E-01	1.468893E-03
3.572859E+03	1.304548E-01	1.451882E-03
3.573621E+03	1.289449E-01	1.435000E-03
3.574381E+03	1.274614E-01	1.418414E-03
3.575143E+03	1.259436E-01	1.401449E-03
3.575904E+03	1.244796E-01	1.385084E-03
3.576666E+03	1.229723E-01	1.368239E-03
3.577427E+03	1.214154E-01	1.350845E-03
3.578188E+03	1.198667E-01	1.333545E-03
3.578950E+03	1.183781E-01	1.316914E-03
3.579711E+03	1.169616E-01	1.301089E-03
3.580473E+03	1.155566E-01	1.285392E-03
3.581234E+03	1.141720E-01	1.269925E-03
3.581996E+03	1.127867E-01	1.254452E-03
3.582757E+03	1.113609E-01	1.238531E-03
3.583519E+03	1.099893E-01	1.223213E-03
3.584280E+03	1.086169E-01	1.207889E-03
3.585042E+03	1.073321E-01	1.193541E-03
3.585803E+03	1.060527E-01	1.179255E-03
3.586565E+03	1.047483E-01	1.164691E-03
3.587326E+03	1.034644E-01	1.150359E-03
3.588088E+03	1.021494E-01	1.135681E-03
3.588849E+03	1.008458E-01	1.121132E-03
3.589611E+03	9.962702E-02	1.107528E-03
3.590372E+03	9.840452E-02	1.093884E-03
3.591133E+03	9.720890E-02	1.080540E-03
3.591894E+03	9.597284E-02	1.066748E-03
3.592655E+03	9.485838E-02	1.054309E-03
3.593417E+03	9.374644E-02	1.041900E-03
3.594178E+03	9.264609E-02	1.029621E-03
3.594940E+03	9.152681E-02	1.017132E-03
3.595701E+03	9.040692E-02	1.004639E-03
3.596463E+03	8.932012E-02	9.925141E-04
3.597224E+03	8.829395E-02	9.810643E-04
3.597986E+03	8.734990E-02	9.705283E-04
3.598747E+03	8.636860E-02	9.595796E-04
3.599509E+03	8.534696E-02	9.481838E-04
3.600270E+03	8.431251E-02	9.366469E-04
3.601032E+03	8.331124E-02	9.254798E-04
3.601793E+03	8.233090E-02	9.145464E-04
3.602555E+03	8.138994E-02	9.040515E-04
3.603316E+03	8.049138E-02	8.940287E-04
3.604078E+03	7.961078E-02	8.842062E-04
3.604839E+03	7.877571E-02	8.748906E-04
3.605601E+03	7.798014E-02	8.660144E-04
3.606362E+03	7.723017E-02	8.576457E-04
3.607124E+03	7.649209E-02	8.494097E-04
3.607884E+03	7.571983E-02	8.407951E-04
3.608646E+03	7.492262E-02	8.319043E-04
3.609407E+03	7.421407E-02	8.239989E-04
3.610169E+03	7.345908E-02	8.155785E-04
3.610930E+03	7.276210E-02	8.078030E-04
3.611691E+03	7.215694E-02	8.010478E-04
3.612453E+03	7.157612E-02	7.945632E-04
3.613214E+03	7.095804E-02	7.876657E-04
3.613976E+03	7.045043E-02	7.819951E-04
3.614737E+03	6.999481E-02	7.769022E-04
3.615499E+03	6.953587E-02	7.717728E-04
3.616260E+03	6.908899E-02	7.667778E-04
3.617022E+03	6.864804E-02	7.618492E-04
3.617783E+03	6.821609E-02	7.570209E-04
3.618545E+03	6.782395E-02	7.526347E-04
3.619306E+03	6.745313E-02	7.484856E-04
3.620068E+03	6.707287E-02	7.442321E-04
3.620829E+03	6.672014E-02	7.402844E-04
3.621591E+03	6.639187E-02	7.366086E-04
3.622352E+03	6.604184E-02	7.326917E-04
3.623114E+03	6.571011E-02	7.289781E-04
3.623875E+03	6.547074E-02	7.262894E-04
3.624636E+03	6.528677E-02	7.242155E-04
3.625397E+03	6.512733E-02	7.224139E-04
3.626158E+03	6.502949E-02	7.212958E-04
3.626920E+03	6.486060E-02	7.193896E-04
3.627681E+03	6.471318E-02	7.177217E-04
3.628443E+03	6.455642E-02	7.159504E-04
3.629204E+03	6.442423E-02	7.144518E-04
3.629966E+03	6.431051E-02	7.131579E-04
3.630727E+03	6.424919E-02	7.124454E-04
3.631489E+03	6.420945E-02	7.119721E-04
3.632250E+03	6.416965E-02	7.114981E-04
3.633012E+03	6.407106E-02	7.103724E-04
3.633773E+03	6.403730E-02	7.099654E-04
3.634535E+03	6.406225E-02	7.102093E-04
3.635296E+03	6.413977E-02	7.110360E-04
3.636058E+03	6.427609E-02	7.125142E-04
3.636819E+03	6.439070E-02	7.137517E-04
3.637581E+03	6.451154E-02	7.150581E-04
3.638342E+03	6.466952E-02	7.167760E-04
3.639104E+03	6.481824E-02	7.183909E-04
3.639865E+03	6.502888E-02	7.206920E-04
3.640626E+03	6.523341E-02	7.229251E-04
3.641387E+03	6.545343E-02	7.253295E-04
3.642148E+03	6.569826E-02	7.280087E-04
3.642910E+03	6.594008E-02	7.306540E-04
3.643671E+03	6.617573E-02	7.332308E-04
3.644433E+03	6.641142E-02	7.358075E-04
3.645194E+03	6.661302E-02	7.380064E-04
3.645956E+03	6.688914E-02	7.410304E-04
3.646717E+03	6.713422E-02	7.437104E-04
3.647479E+03	6.741354E-02	7.467691E-04
3.648240E+03	6.767737E-02	7.496560E-04
3.649002E+03	6.797541E-02	7.529214E-04
3.649763E+03	6.824865E-02	7.559118E-04
3.650525E+03	6.852817E-02	7.589713E-04
3.651286E+03	6.884814E-02	7.624783E-04
3.652048E+03	6.923339E-02	7.667078E-04
3.652809E+03	6.958766E-02	7.705938E-04
