#wls	flux	fluxerr
1.593625E+03	7.164614E-03	5.178460E-04
1.633466E+03	5.976483E-03	4.275061E-04
1.673307E+03	4.980136E-03	3.525148E-04
1.713147E+03	4.147812E-03	2.905024E-04
1.752988E+03	3.457034E-03	2.395461E-04
1.792829E+03	2.887145E-03	1.979133E-04
1.832669E+03	2.418688E-03	1.640133E-04
1.872510E+03	2.036454E-03	1.365983E-04
1.912351E+03	1.725249E-03	1.144670E-04
1.952191E+03	1.473637E-03	9.670996E-05
1.992032E+03	1.271418E-03	8.253231E-05
2.031873E+03	1.110691E-03	7.131746E-05
2.071713E+03	9.845401E-04	6.253516E-05
2.111554E+03	8.880497E-04	5.580181E-05
2.151394E+03	8.178883E-04	5.084728E-05
2.191235E+03	7.712041E-04	4.744159E-05
2.231076E+03	7.467794E-04	4.546337E-05
2.270916E+03	7.435715E-04	4.480621E-05
2.310757E+03	7.612735E-04	4.541142E-05
2.350598E+03	8.002396E-04	4.726109E-05
2.390438E+03	8.611481E-04	5.035678E-05
2.430279E+03	9.457424E-04	5.476114E-05
2.470120E+03	1.055340E-03	6.050902E-05
2.509960E+03	1.191926E-03	6.767044E-05
2.549801E+03	1.356369E-03	7.624786E-05
2.589641E+03	1.549159E-03	8.622027E-05
2.629482E+03	1.769692E-03	9.750388E-05
2.669323E+03	2.015709E-03	1.099246E-04
2.709163E+03	2.284831E-03	1.233048E-04
2.749004E+03	2.573238E-03	1.373931E-04
2.788845E+03	2.877127E-03	1.519453E-04
2.828685E+03	3.191765E-03	1.666753E-04
2.868526E+03	3.512446E-03	1.813072E-04
2.908367E+03	3.834877E-03	1.955955E-04
2.948207E+03	4.156500E-03	2.093915E-04
2.988048E+03	4.476947E-03	2.226605E-04
2.998008E+03	4.556654E-03	2.258825E-04
3.007968E+03	4.635980E-03	2.290551E-04
3.017928E+03	4.715457E-03	2.322045E-04
3.027888E+03	4.795105E-03	2.353313E-04
3.037849E+03	4.874942E-03	2.384358E-04
3.047809E+03	4.954441E-03	2.414921E-04
3.057769E+03	5.034172E-03	2.445276E-04
3.067729E+03	5.113603E-03	2.475162E-04
3.077689E+03	5.193886E-03	2.505134E-04
3.087649E+03	5.273923E-03	2.534655E-04
3.097610E+03	5.354891E-03	2.564287E-04
3.107570E+03	5.435681E-03	2.593494E-04
3.117530E+03	5.517488E-03	2.622841E-04
3.127490E+03	5.599186E-03	2.651785E-04
3.137450E+03	5.681993E-03	2.680900E-04
3.147410E+03	5.765958E-03	2.710199E-04
3.157371E+03	5.849932E-03	2.739134E-04
3.167331E+03	5.935152E-03	2.768279E-04
3.177291E+03	6.021673E-03	2.797649E-04
3.187251E+03	6.108927E-03	2.826971E-04
3.197211E+03	6.197567E-03	2.856538E-04
3.207171E+03	6.287639E-03	2.886361E-04
3.217131E+03	6.379185E-03	2.916446E-04
3.227092E+03	6.472240E-03	2.946798E-04
3.237052E+03	6.567477E-03	2.977709E-04
3.247012E+03	6.663652E-03	3.008602E-04
3.256972E+03	6.762069E-03	3.040054E-04
3.266932E+03	6.862759E-03	3.072060E-04
3.276892E+03	6.965747E-03	3.104617E-04
3.286853E+03	7.071051E-03	3.137713E-04
3.296813E+03	7.178012E-03	3.171040E-04
3.306773E+03	7.287961E-03	3.205170E-04
3.316733E+03	7.400903E-03	3.240082E-04
3.326693E+03	7.516162E-03	3.275460E-04
3.336653E+03	7.634393E-03	3.311569E-04
3.346614E+03	7.756260E-03	3.348673E-04
3.356574E+03	7.880372E-03	3.386149E-04
3.366534E+03	8.008063E-03	3.424547E-04
3.376494E+03	8.139299E-03	3.463827E-04
3.386454E+03	8.274033E-03	3.503942E-04
3.396414E+03	8.412216E-03	3.544844E-04
3.406375E+03	8.554489E-03	3.586776E-04
3.416335E+03	8.700089E-03	3.629389E-04
3.426295E+03	8.850360E-03	3.673213E-04
3.436255E+03	9.004531E-03	3.717895E-04
3.446215E+03	9.162522E-03	3.763373E-04
3.456175E+03	9.324967E-03	3.809875E-04
3.466135E+03	9.491807E-03	3.857343E-04
3.476096E+03	9.663810E-03	3.906052E-04
3.486056E+03	9.840327E-03	3.955702E-04
3.496016E+03	1.002216E-02	4.006581E-04
3.505976E+03	1.020941E-02	4.058684E-04
3.515936E+03	1.040291E-02	4.112298E-04
3.525896E+03	1.060202E-02	4.167128E-04
3.535857E+03	1.080760E-02	4.223461E-04
3.545817E+03	1.101902E-02	4.281006E-04
3.555777E+03	1.123787E-02	4.340334E-04
3.565737E+03	1.146356E-02	4.401153E-04
3.575697E+03	1.169695E-02	4.463743E-04
3.585657E+03	1.193742E-02	4.527808E-04
3.595618E+03	1.218511E-02	4.593343E-04
3.605578E+03	1.244163E-02	4.660895E-04
3.615538E+03	1.270561E-02	4.729884E-04
3.625498E+03	1.297790E-02	4.800567E-04
3.635458E+03	1.325785E-02	4.872640E-04
3.645418E+03	1.354707E-02	4.946624E-04
3.655378E+03	1.384487E-02	5.022200E-04
3.665339E+03	1.415131E-02	5.099320E-04
3.675299E+03	1.446567E-02	5.177656E-04
3.685259E+03	1.478948E-02	5.257688E-04
3.695219E+03	1.512120E-02	5.338799E-04
3.705179E+03	1.546231E-02	5.421442E-04
3.715139E+03	1.581121E-02	5.504985E-04
3.725100E+03	1.616854E-02	5.589587E-04
3.735060E+03	1.653416E-02	5.675131E-04
3.745020E+03	1.690710E-02	5.761221E-04
3.754980E+03	1.728790E-02	5.847978E-04
3.764940E+03	1.767551E-02	5.934985E-04
3.774900E+03	1.807036E-02	6.022337E-04
3.784861E+03	1.847133E-02	6.109599E-04
3.794821E+03	1.887800E-02	6.196586E-04
3.804781E+03	1.929069E-02	6.283358E-04
3.814741E+03	1.970735E-02	6.369205E-04
3.824701E+03	2.012745E-02	6.453925E-04
3.834661E+03	2.055122E-02	6.537564E-04
3.844622E+03	2.097727E-02	6.619662E-04
3.854582E+03	2.140580E-02	6.700260E-04
3.864542E+03	2.183463E-02	6.778666E-04
3.874502E+03	2.226392E-02	6.854932E-04
3.884462E+03	2.269306E-02	6.928873E-04
3.894422E+03	2.311988E-02	6.999843E-04
3.904382E+03	2.354539E-02	7.068163E-04
3.914343E+03	2.396824E-02	7.133457E-04
3.924303E+03	2.438717E-02	7.195379E-04
3.934263E+03	2.480171E-02	7.253838E-04
3.944223E+03	2.521146E-02	7.308762E-04
3.954183E+03	2.561609E-02	7.360107E-04
3.964143E+03	2.601454E-02	7.407627E-04
3.974104E+03	2.640736E-02	7.451545E-04
3.984064E+03	2.679288E-02	7.491454E-04
3.994024E+03	2.717179E-02	7.527623E-04
4.003984E+03	2.754331E-02	7.559911E-04
4.013944E+03	2.790751E-02	7.588416E-04
4.023904E+03	2.826448E-02	7.613247E-04
4.033865E+03	2.861363E-02	7.634330E-04
4.043825E+03	2.895520E-02	7.651813E-04
4.053785E+03	2.928941E-02	7.665847E-04
4.063745E+03	2.961582E-02	7.676401E-04
4.073705E+03	2.993544E-02	7.683834E-04
4.083665E+03	3.024790E-02	7.688135E-04
4.093625E+03	3.055274E-02	7.689281E-04
4.103586E+03	3.085104E-02	7.687640E-04
4.113546E+03	3.114236E-02	7.683189E-04
4.123506E+03	3.142702E-02	7.676107E-04
4.133466E+03	3.170457E-02	7.666377E-04
4.143426E+03	3.197598E-02	7.654332E-04
4.153386E+03	3.224074E-02	7.639944E-04
4.163347E+03	3.249905E-02	7.623357E-04
4.173307E+03	3.275109E-02	7.604712E-04
4.183267E+03	3.299695E-02	7.584134E-04
4.193227E+03	3.323604E-02	7.561583E-04
4.203187E+03	3.346917E-02	7.537349E-04
4.213147E+03	3.369567E-02	7.511384E-04
4.223108E+03	3.391555E-02	7.483799E-04
4.233068E+03	3.412893E-02	7.454723E-04
4.243028E+03	3.433644E-02	7.424407E-04
4.252988E+03	3.453687E-02	7.392691E-04
4.262948E+03	3.473087E-02	7.359828E-04
4.272908E+03	3.491856E-02	7.325956E-04
4.282869E+03	3.510010E-02	7.291216E-04
4.292829E+03	3.527507E-02	7.255629E-04
4.302789E+03	3.544494E-02	7.219607E-04
4.312749E+03	3.560882E-02	7.183074E-04
4.322709E+03	3.576776E-02	7.146349E-04
4.332669E+03	3.592225E-02	7.109629E-04
4.342629E+03	3.607231E-02	7.073015E-04
4.352590E+03	3.621919E-02	7.036851E-04
4.362550E+03	3.636351E-02	7.001345E-04
4.372510E+03	3.650495E-02	6.966523E-04
4.382470E+03	3.664330E-02	6.932435E-04
4.392430E+03	3.677832E-02	6.899117E-04
4.402390E+03	3.690925E-02	6.866507E-04
4.412351E+03	3.703656E-02	6.834772E-04
4.422311E+03	3.715958E-02	6.803850E-04
4.432271E+03	3.727827E-02	6.773737E-04
4.442231E+03	3.739209E-02	6.744309E-04
4.452191E+03	3.750159E-02	6.715634E-04
4.462151E+03	3.760616E-02	6.687571E-04
4.472112E+03	3.770575E-02	6.660074E-04
4.482072E+03	3.780141E-02	6.633288E-04
4.492032E+03	3.789185E-02	6.606944E-04
4.501992E+03	3.797692E-02	6.580969E-04
4.511952E+03	3.805701E-02	6.555386E-04
