#wls	flux	fluxerr
1.593625E+03	-2.818323E-14	-0.000000E+00
1.633466E+03	-2.158630E-14	-0.000000E+00
1.673307E+03	-1.627588E-14	-0.000000E+00
1.713147E+03	-1.207540E-14	-0.000000E+00
1.752988E+03	-8.813844E-15	-0.000000E+00
1.792829E+03	-6.329496E-15	-0.000000E+00
1.832669E+03	-4.472702E-15	-0.000000E+00
1.872510E+03	-3.113792E-15	-0.000000E+00
1.912351E+03	-2.139852E-15	-0.000000E+00
1.952191E+03	-1.456766E-15	-0.000000E+00
1.992032E+03	-9.880957E-16	-0.000000E+00
2.031873E+03	-6.736750E-16	-0.000000E+00
2.071713E+03	-4.673346E-16	-0.000000E+00
2.111554E+03	-3.348595E-16	-0.000000E+00
2.151394E+03	-2.520112E-16	-0.000000E+00
2.191235E+03	-2.024174E-16	-0.000000E+00
2.231076E+03	-1.758315E-16	-0.000000E+00
2.270916E+03	-1.665374E-16	-0.000000E+00
2.310757E+03	-1.722269E-16	-0.000000E+00
2.350598E+03	-1.934472E-16	-0.000000E+00
2.390438E+03	-2.335016E-16	-0.000000E+00
2.430279E+03	-2.986440E-16	-0.000000E+00
2.470120E+03	-3.983569E-16	-0.000000E+00
2.509960E+03	-5.451347E-16	-0.000000E+00
2.549801E+03	-7.534487E-16	-0.000000E+00
2.589641E+03	-1.037054E-15	-0.000000E+00
2.629482E+03	-1.404874E-15	-0.000000E+00
2.669323E+03	-1.855835E-15	-0.000000E+00
2.709163E+03	-2.374995E-15	-0.000000E+00
2.749004E+03	-2.933053E-15	-0.000000E+00
2.788845E+03	-3.489983E-15	-0.000000E+00
2.828685E+03	-4.001921E-15	-0.000000E+00
2.868526E+03	-4.429165E-15	-0.000000E+00
2.908367E+03	-4.742102E-15	-0.000000E+00
2.948207E+03	-4.925467E-15	-0.000000E+00
2.988048E+03	-4.977592E-15	-0.000000E+00
2.998008E+03	-4.971241E-15	-0.000000E+00
3.007968E+03	-4.957464E-15	-0.000000E+00
3.017928E+03	-4.936525E-15	-0.000000E+00
3.027888E+03	-4.908938E-15	-0.000000E+00
3.037849E+03	-4.874904E-15	-0.000000E+00
3.047809E+03	-4.834757E-15	-0.000000E+00
3.057769E+03	-4.788991E-15	-0.000000E+00
3.067729E+03	-4.737825E-15	-0.000000E+00
3.077689E+03	-4.681588E-15	-0.000000E+00
3.087649E+03	-4.620812E-15	-0.000000E+00
3.097610E+03	-4.555629E-15	-0.000000E+00
3.107570E+03	-4.486470E-15	-0.000000E+00
3.117530E+03	-4.413572E-15	-0.000000E+00
3.127490E+03	-4.337519E-15	-0.000000E+00
3.137450E+03	-4.258364E-15	-0.000000E+00
3.147410E+03	-4.176500E-15	-0.000000E+00
3.157371E+03	-4.092306E-15	-0.000000E+00
3.167331E+03	-4.006061E-15	-0.000000E+00
3.177291E+03	-3.917893E-15	-0.000000E+00
3.187251E+03	-3.828290E-15	-0.000000E+00
3.197211E+03	-3.737361E-15	-0.000000E+00
3.207171E+03	-3.645423E-15	-0.000000E+00
3.217131E+03	-3.552642E-15	-0.000000E+00
3.227092E+03	-3.459309E-15	-0.000000E+00
3.237052E+03	-3.365639E-15	-0.000000E+00
3.247012E+03	-3.271835E-15	-0.000000E+00
3.256972E+03	-3.178042E-15	-0.000000E+00
3.266932E+03	-3.084508E-15	-0.000000E+00
3.276892E+03	-2.991414E-15	-0.000000E+00
3.286853E+03	-2.898889E-15	-0.000000E+00
3.296813E+03	-2.807156E-15	-0.000000E+00
3.306773E+03	-2.716339E-15	-0.000000E+00
3.316733E+03	-2.626646E-15	-0.000000E+00
3.326693E+03	-2.538198E-15	-0.000000E+00
3.336653E+03	-2.451154E-15	-0.000000E+00
3.346614E+03	-2.365674E-15	-0.000000E+00
3.356574E+03	-2.281914E-15	-0.000000E+00
3.366534E+03	-2.200030E-15	-0.000000E+00
3.376494E+03	-2.120143E-15	-0.000000E+00
3.386454E+03	-2.042440E-15	-0.000000E+00
3.396414E+03	-1.967018E-15	-0.000000E+00
3.406375E+03	-1.894091E-15	-0.000000E+00
3.416335E+03	-1.823757E-15	-0.000000E+00
3.426295E+03	-1.756177E-15	-0.000000E+00
3.436255E+03	-1.691506E-15	-0.000000E+00
3.446215E+03	-1.629876E-15	-0.000000E+00
3.456175E+03	-1.571463E-15	-0.000000E+00
3.466135E+03	-1.516392E-15	-0.000000E+00
3.476096E+03	-1.464790E-15	-0.000000E+00
3.486056E+03	-1.416798E-15	-0.000000E+00
3.496016E+03	-1.372531E-15	-0.000000E+00
3.505976E+03	-1.332134E-15	-0.000000E+00
3.515936E+03	-1.295677E-15	-0.000000E+00
3.525896E+03	-1.263288E-15	-0.000000E+00
3.535857E+03	-1.235056E-15	-0.000000E+00
3.545817E+03	-1.211072E-15	-0.000000E+00
3.555777E+03	-1.191393E-15	-0.000000E+00
